Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
A. Calfo,Angelo Calfo,-227059,Miami,Miami,https://cdn5.wyscout.com/photos/team/public/g35583_120x120.png,USL Championship,"LCB3, LCB",LCB3,43,LCB,36,,0,27.0,1998-11-04,0,2026-11-30,10,992,0,0.86,0,0.23,7.89,62.07,United States,['United States'],,186,82,False,5.9,3.7199999999999998,68.29,2.27,60.0,0.09,0.12,0.8200000000000001,3.27,4.2,0.64,1,0.09,0,0.0,0.09,0.0,0,0.0,0.08,0,0.0,2,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,100.0,0.73,62.5,0.64,0.27,0.0,24.41,0.18,0.64,35.56,85.46,12.79,63.83,1.27,78.57,30.85,92.65,4.72,38.46,20.84,36.98,0.02,0.09,0.0,0.0,0.0,0.0,0.09,2.18,45.83,0.18,0.0,0.18,0.0,0.09,0.0,5.17,45.61,98.96,17.51,0,,0,,0,0.0,0.0,0.0,,,0.64,,2.27,0.0,0.0,0.0,0.0,0,0.0
A. Milesi,Alessandro Milesi Germoni,499027,Miami,Miami,https://cdn5.wyscout.com/photos/team/public/g35583_120x120.png,USL Championship,"LB, LWB, LB5",LB,42,LWB,38,LB5,16,26.0,1999-12-21,300000,2026-11-30,10,977,2,1.2,0,0.37,15.66,49.41,Peru,"['Peru', 'Italy']",left,185,77,False,7.65,6.91,53.33,2.12,52.17,0.18,0.24,0.46,3.7800000000000002,4.9,2.03,5,0.46,0,0.0,2.4,0.18,2,0.18,0.11,0,0.0,10,0.92,40.0,20.0,0.0,2.03,50.0,1.8399999999999999,50.0,0.18,50.0,0.09,1.57,64.71,4.88,45.28,1.01,2.4,0.55,23.95,1.11,0.8300000000000001,33.07,78.55,12.25,71.43,5.9,96.88,26.35,85.31,4.88,52.83,19.25,36.77,0.03,0.46,0.0,0.0,0.0,0.0,0.09,4.7,64.71,2.58,53.57,0.46,40.0,0.37,0.92,7.19,73.08,79.61,9.49,0,,0,,0,0.0,0.0,0.0,,,0.18,,2.12,0.0,0.0,0.0,0.18,0,0.0
T. Patrizio Brewitt,Tom Patrizio Brewitt,320271,Orange County SC,Orange County SC,https://cdn5.wyscout.com/photos/team/public/g18413_120x120.png,USL Championship,RCB,RCB,96,,0,,0,29.0,1997-02-11,175000,2026-11-30,10,967,0,0.63,0,0.01,9.31,61.0,England,"['England', 'United States']",right,185,86,False,6.51,2.98,68.75,4.1,63.64,0.37,0.46,0.65,4.1,5.06,1.12,5,0.47000000000000003,0,0.0,0.19,0.0,0,0.0,0.06,0,0.0,4,0.37,25.0,0.0,0.0,0.09,100.0,0.0,0.0,0.09,100.0,0.0,0.0,0.0,0.56,16.67,0.74,0.09,0.0,27.36,0.09,0.28,39.93,88.58,17.31,80.11,1.9500000000000002,95.24,33.6,94.74,6.24,55.22,23.22,41.19,0.0,0.09,0.0,0.0,0.0,0.0,0.0,4.19,68.89,0.47000000000000003,40.0,0.09,0.0,0.37,0.09,7.26,70.51,96.88,17.87,0,,0,,0,0.0,0.0,0.0,,,1.02,,4.1,0.0,0.0,0.0,0.0,0,0.0
A. Rando,Alex Rando,507901,Orange County SC,Orange County SC,https://cdn5.wyscout.com/photos/team/public/g18413_120x120.png,USL Championship,GK,GK,100,,0,,0,25.0,2001-04-15,75000,2026-11-30,10,967,0,0.0,0,0.01,1.02,81.82,United States,"['United States', 'Republic of Ireland']",right,193,84,False,1.58,0.09,0.0,0.84,88.89,0.0,0.0,0.0,1.58,1.9500000000000002,0.09,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,100.0,0.0,0.0,0.0,11.26,0.09,0.28,19.27,82.13,9.77,67.62,0.0,0.0,12.19,96.95,7.07,56.58,31.62,49.16,0.0,0.09,0.0,0.0,0.0,0.0,0.0,3.07,57.58,0.28,33.33,0.0,0.0,0.09,0.0,4.28,71.74,96.77,8.66,8,0.74,33,3.07,5,75.76,8.51,0.79,0.51,0.047,0.0,2.33,0.84,,,,0.0,0,0.0
S. Kelly,Stephen Kelly,453179,Orange County SC,Orange County SC,https://cdn5.wyscout.com/photos/team/public/g18413_120x120.png,USL Championship,"LCMF, LDMF",LCMF,66,LDMF,19,,0,26.0,2000-04-13,550000,2026-11-30,10,934,1,0.45,0,0.9400000000000001,6.26,40.0,Scotland,['Scotland'],right,176,68,False,3.37,2.22,34.78,0.67,42.86,0.1,0.12,0.1,2.51,3.1,1.25,1,0.1,0,0.0,1.83,0.1,1,0.1,0.04,0,0.0,11,1.06,27.27,9.091,0.0,1.35,64.29,0.19,50.0,1.16,66.67,0.19,0.96,60.0,2.02,47.62,0.19,1.45,0.1,29.2,0.58,0.58,38.54,78.25,16.28,66.27,4.72,89.8,29.2,85.48,8.29,55.81,21.68,38.83,0.09,0.67,0.1,0.0,0.1,100.0,0.0,8.58,65.17,3.2800000000000002,50.0,0.58,16.67,0.67,0.96,9.73,70.3,87.22,12.82,0,,0,,0,0.0,0.0,0.0,,,0.39,,0.67,1.54,0.29,33.33,1.73,0,0.0
M. Romero,Matías Alexis Romero,289930,Miami,Miami,https://cdn5.wyscout.com/photos/team/public/g35583_120x120.png,USL Championship,"RWB, RCMF3, RB5",RWB,40,RCMF3,29,RB5,16,30.0,1996-02-01,175000,2026-11-30,10,930,0,0.19,1,0.58,10.45,39.81,Argentina,['Argentina'],right,179,71,False,4.94,5.23,44.44,1.45,40.0,0.29,0.36,0.19,2.32,2.89,0.68,0,0.0,0,0.0,1.45,0.0,0,0.0,0.02,0,0.0,6,0.58,66.67,0.0,0.1,2.23,34.78,0.0,0.0,2.23,34.78,0.39,0.68,42.86,2.71,39.29,0.97,1.8399999999999999,0.29,26.71,1.74,0.58,33.68,78.16,13.26,69.34,6.0,96.77,27.0,87.81,4.45,41.3,18.55,32.23,0.06,1.06,0.0,0.0,0.0,0.0,0.19,4.55,68.09,2.9,43.33,0.68,28.57,0.39,0.87,8.42,71.26,78.43,9.87,0,,0,,0,0.0,0.0,0.0,,,0.29,,1.45,0.0,0.0,0.0,0.0,0,0.0
M. Maldonado,Mikey Maldonado,-62241,San Antonio,San Antonio,https://cdn5.wyscout.com/photos/team/public/g35681_120x120.png,USL Championship,"LCMF, RCMF, DMF",LCMF,49,RCMF,40,DMF,10,27.0,1998-07-02,0,2027-11-30,10,902,0,0.08,1,0.61,8.88,56.18,United States,['United States'],right,175,72,False,5.19,3.29,66.67,1.5,53.33,0.2,0.33,0.2,2.79,4.62,0.8,4,0.4,0,0.0,1.4,0.0,0,0.0,0.01,0,0.0,2,0.2,50.0,0.0,0.1,1.0,80.0,0.7000000000000001,85.71,0.30000000000000004,66.67,0.0,0.9,55.56,2.59,50.0,0.4,0.6000000000000001,0.0,24.45,0.0,0.8,35.32,86.16,9.68,70.1,5.69,92.98,29.63,90.57,4.89,59.18,21.83,43.76,0.06,1.1,0.0,0.0,0.0,0.0,0.30000000000000004,6.29,73.02,1.1,81.82,0.2,100.0,0.30000000000000004,0.7000000000000001,6.49,72.31,92.81,16.66,0,,0,,0,0.0,0.0,0.0,,,0.30000000000000004,,1.5,0.30000000000000004,0.0,0.0,0.2,0,0.0
M. War,Mouhamadou War,-456261,Orange County SC,Orange County SC,https://cdn5.wyscout.com/photos/team/public/g18413_120x120.png,USL Championship,RB,RB,94,,0,,0,26.0,2000-04-04,0,2026-11-30,10,896,0,0.05,0,1.3,16.88,50.6,Japan,"['Japan', 'United States']",,170,67,False,7.63,6.63,56.06,4.02,60.0,0.1,0.12,0.2,3.8200000000000003,4.69,1.21,1,0.1,0,0.0,2.11,0.0,0,0.0,0.0,0,0.0,2,0.2,0.0,0.0,0.0,2.71,44.44,0.0,0.0,2.71,44.44,0.1,1.9100000000000001,47.37,4.52,33.33,0.8,0.8,0.1,22.2,3.7199999999999998,1.1,32.54,77.16,9.94,67.68,6.53,95.38,26.62,82.64,3.42,61.76,18.58,38.04,0.13,1.1,0.0,0.1,0.0,0.0,0.5,3.21,56.25,2.71,48.15,0.1,0.0,0.5,1.0,6.53,63.08,77.88,10.45,0,,0,,0,0.0,0.0,0.0,,,0.2,,4.02,0.0,0.0,0.0,0.0,0,0.0
T. McCabe,Tommy McCabe,425091,Oakland Roots,Oakland Roots,https://cdn5.wyscout.com/photos/team/public/g-12228_120x120.png,USL Championship,"LCMF, DMF, RCMF",LCMF,22,DMF,19,RCMF,19,28.0,1998-04-04,200000,2026-11-30,9,891,0,0.13,0,0.66,6.77,56.72,United States,['United States'],right,178,73,False,4.55,3.23,59.38,1.31,53.85,0.1,0.14,0.2,2.5300000000000002,3.5700000000000003,0.4,3,0.30000000000000004,0,0.0,0.51,0.0,0,0.0,0.01,0,0.0,5,0.51,0.0,0.0,0.0,0.91,55.56,0.1,0.0,0.81,62.5,0.0,0.0,0.0,0.81,62.5,0.2,0.81,0.1,58.38,0.2,0.51,71.62,90.27,23.43,81.9,10.71,94.34,64.24,94.65,6.57,52.31,18.92,41.64,0.07,0.71,0.0,0.0,0.1,0.0,0.2,12.32,73.77,1.92,36.84,0.91,33.33,0.4,0.30000000000000004,9.19,80.22,92.64,26.06,0,,0,,0,0.0,0.0,0.0,,,0.81,,1.31,0.51,0.0,0.0,0.61,0,0.0
M. Edwards,Michael Joseph Edwards,489485,Oakland Roots,Oakland Roots,https://cdn5.wyscout.com/photos/team/public/g-12228_120x120.png,USL Championship,"RCB, RB",RCB,71,RB,15,,0,25.0,2000-11-27,125000,2026-11-30,9,891,0,0.38,1,0.30000000000000004,8.48,51.19,United States,['United States'],right,191,84,False,5.45,2.83,53.57,2.42,50.0,0.2,0.29,0.4,3.74,5.29,0.71,1,0.1,0,0.0,0.71,0.0,0,0.0,0.04,0,0.0,2,0.2,50.0,0.0,0.1,0.30000000000000004,66.67,0.0,0.0,0.2,100.0,0.1,0.51,40.0,1.62,37.5,0.30000000000000004,1.31,0.2,34.55,0.2,0.61,46.16,91.25,19.39,84.38,3.43,97.06,43.03,94.13,2.83,50.0,18.27,39.61,0.03,0.2,0.0,0.1,0.2,100.0,0.30000000000000004,4.04,75.0,0.51,100.0,0.30000000000000004,100.0,0.4,0.1,6.97,72.46,97.14,17.68,0,,0,,0,0.0,0.0,0.0,,,1.72,,2.42,0.0,0.0,0.0,0.0,0,0.0
