Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
A. Sævarsson,Aron Elí Sævarsson,424478,Afturelding,Afturelding,https://cdn5.wyscout.com/photos/team/public/g2503_120x120.png,Besta-deild karla,LB,LB,93,,0,,0,28.0,1997-04-26,100000,,27,2664,2,2.69,2,2.61,10.57,57.19,Iceland,['Iceland'],left,0,0,False,8.48,4.49,66.17,2.5700000000000003,59.21,0.07,0.08,0.24,5.44,6.77,0.51,2,0.07,0,0.0,1.99,0.07,1,0.03,0.09,0,0.0,16,0.54,31.25,12.5,0.07,2.47,53.42,2.43,52.78,0.03,100.0,0.14,0.71,71.43,2.2,41.54,1.08,1.96,0.2,38.55,2.23,0.2,53.24,84.07,17.8,76.09,7.36,96.79,44.66,89.64,6.22,55.43,19.94,37.39,0.09,1.05,0.07,0.0,0.03,0.0,0.30000000000000004,6.28,73.12,2.36,62.86,0.27,12.5,0.54,1.22,12.5,74.05,87.01,21.59,0,,0,,0,0.0,0.0,0.0,,,0.88,,2.5700000000000003,0.03,0.03,0.0,0.17,1,100.0
Á. Ólafsson,Árni Snær Ólafsson,32257,Stjarnan,Stjarnan,https://cdn5.wyscout.com/photos/team/public/2941_120x120.png,Besta-deild karla,GK,GK,100,,0,,0,34.0,1991-08-16,75000,,27,2662,0,0.0,0,0.0,1.01,83.33,Iceland,['Iceland'],right,184,80,False,1.6600000000000001,0.1,33.33,0.68,90.0,0.0,0.0,0.0,1.62,2.22,0.07,1,0.03,0,0.0,0.03,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.14,100.0,0.0,0.03,0.0,21.57,0.30000000000000004,0.27,32.39,84.13,19.98,76.82,0.0,0.0,21.33,97.62,10.82,59.38,31.54,48.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,40.85,0.5700000000000001,5.88,0.44,46.15,0.07,0.0,8.01,77.64,96.11,11.29,45,1.52,172,5.82,3,73.84,48.66,1.65,3.66,0.124,0.0,1.6600000000000001,0.68,,,,0.0,0,0.0
A. Einarsson,Anton Ari Einarsson,249868,Breidablik,Breidablik,https://cdn5.wyscout.com/photos/team/public/2934_120x120.png,Besta-deild karla,GK,GK,100,,0,,0,31.0,1994-08-25,150000,,27,2653,0,0.0,0,0.0,0.68,95.0,Iceland,['Iceland'],right,0,0,False,1.3599999999999999,0.03,100.0,0.58,94.12,0.0,0.0,0.0,1.32,1.8900000000000001,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.0,0.0,0.0,20.66,0.37,0.14,32.84,85.64,20.9,78.25,0.03,100.0,22.66,97.6,10.18,59.0,30.96,48.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,50.0,0.41000000000000003,25.0,0.41000000000000003,8.33,0.1,0.0,7.29,75.81,98.79,11.19,42,1.42,138,4.68,5,69.57,43.73,1.48,1.73,0.059000000000000004,0.03,1.15,0.58,,,,0.0,0,0.0
G. Smit,Guy Smit,430423,Vestri,Vestri,https://cdn5.wyscout.com/photos/team/public/g35971_120x120.png,Besta-deild karla,GK,GK,100,,0,,0,29.0,1996-01-19,75000,,27,2643,0,0.0,0,0.0,0.89,76.92,Netherlands,['Netherlands'],,195,85,False,1.5,0.14,25.0,0.37,90.91,0.03,0.04,0.0,1.43,1.5899999999999999,0.03,3,0.1,0,0.0,0.07,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,100.0,0.31,77.78,0.0,0.0,0.0,20.53,0.17,0.14,31.74,77.47,21.04,67.8,0.0,0.0,15.26,96.65,16.41,59.96,36.31,49.61,0.0,0.0,0.0,0.03,0.0,0.0,0.0,3.64,38.32,0.41000000000000003,8.33,0.24,28.57,0.03,0.0,12.4,71.98,96.48,9.67,44,1.5,145,4.94,6,69.66,46.13,1.57,2.13,0.073,0.0,1.23,0.37,,,,0.0,0,0.0
Á. Einarsson,Árni Marinó Einarsson,-260044,ÍA,ÍA,https://cdn5.wyscout.com/photos/team/public/g1136_120x120.png,Besta-deild karla,GK,GK,100,,0,,0,23.0,2002-02-18,75000,2025-11-16,27,2638,0,0.0,0,0.0,1.33,66.67,Iceland,['Iceland'],,0,0,False,2.35,0.2,50.0,0.75,81.82,0.07,0.08,0.0,2.18,2.56,0.03,1,0.03,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,50.0,0.0,0.0,0.0,15.22,0.38,0.2,25.79,85.32,14.67,76.05,0.0,0.0,16.34,98.12,9.31,63.37,31.18,46.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.42,38.03,0.2,0.0,0.17,20.0,0.0,0.0,6.55,75.0,97.98,10.13,50,1.71,160,5.46,8,68.75,50.85,1.73,0.85,0.029,0.0,2.18,0.75,,,,0.0,0,0.0
J. Andrésson,Jökull Andrésson,-73933,Afturelding,Afturelding,https://cdn5.wyscout.com/photos/team/public/g2503_120x120.png,Besta-deild karla,GK,GK,100,,0,,0,24.0,2001-08-25,125000,,27,2613,0,0.0,0,0.0,1.03,83.33,Iceland,['Iceland'],left,194,82,False,1.83,0.21,66.67,0.52,93.33,0.1,0.13,0.0,1.58,1.96,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.0,0.0,0.0,12.43,0.1,0.28,23.28,85.8,13.5,77.55,0.0,0.0,13.12,97.38,10.06,71.23,32.82,47.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.45,47.62,0.03,0.0,0.03,0.0,0.0,0.0,7.96,74.89,97.98,8.51,45,1.55,138,4.75,4,67.39,41.61,1.43,-3.39,-0.117,0.0,2.14,0.52,,,,0.0,0,0.0
H. Magnússon,Hrannar Snaer Magnússon,-408970,Afturelding,Afturelding,https://cdn5.wyscout.com/photos/team/public/g2503_120x120.png,Besta-deild karla,"LAMF, LW, LWF",LAMF,53,LW,26,LWF,12,23.0,2001-12-27,0,2025-12-31,26,2565,12,9.22,2,3.1,28.18,42.71,Iceland,['Iceland'],unknown,0,0,False,7.12,5.65,58.39,3.54,39.6,0.28,0.35000000000000003,0.04,3.54,4.41,1.47,6,0.21,0,0.0,5.02,0.42,9,0.32,0.32,2,0.07,65,2.2800000000000002,44.62,18.462,0.07,3.19,23.08,2.77,22.78,0.35000000000000003,20.0,0.39,6.6,49.47,14.98,40.05,3.96,4.8100000000000005,0.91,17.61,3.68,2.49,24.88,69.82,3.47,43.43,9.65,88.0,20.46,78.56,1.37,43.59,17.65,32.37,0.11,1.02,0.04,0.0,0.04,0.0,0.53,1.58,44.44,2.14,29.51,0.04,0.0,0.6000000000000001,0.81,2.56,53.42,64.15,7.44,0,,0,,0,0.0,0.0,0.0,,,0.07,,3.54,0.0,0.0,0.0,0.04,3,100.0
V. Margeirsson,Viktor Örn Margeirsson,250520,Breidablik,Breidablik,https://cdn5.wyscout.com/photos/team/public/2934_120x120.png,Besta-deild karla,"LCB, RCB",LCB,63,RCB,27,,0,31.0,1994-07-22,175000,2027-12-31,26,2552,1,0.33,0,0.09,11.25,54.55,Iceland,['Iceland'],right,188,85,False,7.23,4.83,62.04,3.95,50.0,0.21,0.30000000000000004,0.49,4.02,5.66,1.02,2,0.07,0,0.0,0.25,0.04,1,0.04,0.01,0,0.0,4,0.14,50.0,25.0,0.0,0.21,50.0,0.18,40.0,0.04,100.0,0.0,0.07,100.0,0.81,52.17,0.49,1.83,0.04,36.01,0.42,0.35000000000000003,50.36,86.13,23.03,78.71,3.35,96.84,44.33,90.85,5.82,51.52,21.67,39.77,0.0,0.04,0.0,0.0,0.0,0.0,0.04,8.25,72.65,0.63,38.89,0.35000000000000003,30.0,0.14,0.11,10.44,76.35,93.65,19.43,0,,0,,0,0.0,0.0,0.0,,,2.79,,3.95,0.0,0.0,0.0,0.0,0,0.0
K. Chopart,Kennie Chopart,114628,Fram,Fram,https://cdn5.wyscout.com/photos/team/public/2937_120x120.png,Besta-deild karla,"RB5, RCB3",RB5,47,RCB3,30,,0,35.0,1990-06-01,150000,,26,2545,6,4.91,5,3.14,18.78,52.54,Denmark,['Denmark'],right,186,82,False,9.09,6.75,69.63,5.06,45.45,0.14,0.16,0.32,4.24,4.94,0.9500000000000001,5,0.18,0,0.0,2.3,0.21,6,0.21,0.17,3,0.11,46,1.63,32.61,13.043,0.18,2.48,34.29,0.32,22.22,2.16,36.07,0.46,1.87,47.17,4.53,45.31,1.98,1.49,0.14,21.43,1.38,1.13,32.68,75.11,11.67,63.64,5.55,95.54,25.57,85.34,4.8100000000000005,41.18,19.25,39.08,0.11,0.5,0.04,0.0,0.07,50.0,0.28,4.63,60.31,2.48,37.14,0.35000000000000003,20.0,0.42,0.67,6.61,64.17,76.87,10.86,0,,0,,0,0.0,0.0,0.0,,,0.81,,5.06,0.04,0.04,100.0,0.07,0,0.0
H. Steingrimsson,Hallgrímur Mar Steingrímsson,100437,KA,KA,https://cdn5.wyscout.com/photos/team/public/g1134_120x120.png,Besta-deild karla,"LAMF, LW, AMF",LAMF,28,LW,23,AMF,22,35.0,1990-10-02,150000,,27,2544,14,9.69,5,8.17,20.13,50.62,Iceland,['Iceland'],,0,0,False,4.88,4.39,64.52,0.71,40.0,0.11,0.13,0.11,1.9500000000000002,2.46,0.92,5,0.18,0,0.0,5.17,0.5,10,0.35000000000000003,0.34,0,0.0,94,3.33,34.04,14.894,0.18,3.01,34.12,2.55,33.33,0.32,33.33,0.35000000000000003,4.1,69.83,12.91,49.59,3.04,3.01,0.32,23.84,1.9500000000000002,2.41,34.71,79.31,10.44,74.92,6.9,93.85,27.38,86.43,4.32,65.57,20.23,39.74,0.29,2.12,0.11,0.0,0.18,80.0,0.5700000000000001,4.92,71.22,4.46,57.14,0.81,47.83,1.9500000000000002,1.03,6.9,83.59,79.55,11.07,0,,0,,0,0.0,0.0,0.0,,,0.42,,0.71,2.44,0.67,42.11,4.25,4,100.0
