Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
K. Carabantes,Kévin Edenilson Carabantes Rivera,430337,FAS,FAS,https://cdn5.wyscout.com/photos/team/public/3127_120x120.png,Primera Division,GK,GK,100,,0,,0,30.0,1995-03-20,175000,,31,2994,0,0.0,0,0.0,0.66,86.36,El Salvador,['El Salvador'],left,185,75,False,0.99,0.12,75.0,0.48,93.75,0.06,0.1,0.0,0.84,1.42,0.03,8,0.24,0,0.0,0.03,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,50.0,0.06,50.0,0.0,0.0,0.03,6.4,0.18,0.06,12.75,82.08,6.61,69.55,0.0,0.0,8.51,96.11,4.18,54.68,32.24,47.91,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.84,50.0,0.0,0.0,0.0,0.0,0.0,0.0,3.31,64.55,96.65,5.38,31,0.93,120,3.61,11,74.17,35.71,1.07,4.71,0.14200000000000002,0.0,1.2,0.48,,,,0.0,0,0
F. Amaya,Felipe Enrique Amaya,306752,Firpo,Firpo,https://cdn5.wyscout.com/photos/team/public/3043_120x120.png,Primera Division,GK,GK,100,,0,,0,37.0,1988-11-03,0,,30,2956,0,0.0,0,0.0,0.67,81.82,El Salvador,['El Salvador'],right,190,91,False,1.4,0.12,25.0,0.37,100.0,0.0,0.0,0.0,1.37,2.08,0.0,2,0.06,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,100.0,0.0,0.0,0.0,4.08,0.06,0.21,9.62,83.54,6.18,77.83,0.0,0.0,5.91,96.39,3.65,64.17,32.92,49.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,50.0,0.03,0.0,0.09,33.33,0.03,0.0,2.95,76.29,96.0,3.04,32,0.97,91,2.77,9,64.84,24.5,0.75,-7.5,-0.228,0.0,1.28,0.37,,,,0.0,0,0
J. Portillo,José Isaac Portillo Molina,-208521,FAS,FAS,https://cdn5.wyscout.com/photos/team/public/3127_120x120.png,Primera Division,"LDMF, DMF, RDMF",LDMF,25,DMF,24,RDMF,19,26.0,1999-11-14,150000,,32,2883,1,1.29,3,1.31,12.02,55.84,El Salvador,['El Salvador'],right,174,0,False,7.37,5.71,62.3,1.94,46.77,0.78,1.31,0.22,3.03,5.08,1.25,7,0.22,0,0.0,0.59,0.03,1,0.03,0.04,1,0.03,23,0.72,21.74,4.348,0.09,0.19,33.33,0.09,33.33,0.09,33.33,0.03,0.5,75.0,2.87,52.17,0.34,0.6900000000000001,0.0,37.96,0.44,1.16,50.6,87.11,19.07,78.23,5.87,93.62,43.89,90.54,6.52,65.55,19.41,35.1,0.04,0.53,0.0,0.06,0.03,0.0,0.19,9.9,71.92,1.12,50.0,0.28,66.67,0.5,0.06,9.37,80.33,93.03,19.7,0,,0,,0,0.0,0.0,0.0,,,0.34,,1.94,0.12,0.0,0.0,0.03,0,0
M. Jacobo,Mario Alberto Jacobo Segovia,279422,Alianza,Alianza,https://cdn5.wyscout.com/photos/team/public/3042_120x120.png,Primera Division,"RCB, LCB",RCB,65,LCB,33,,0,29.0,1996-08-02,150000,2026-06-30,30,2864,3,1.8900000000000001,0,0.04,10.21,57.64,El Salvador,['El Salvador'],,0,0,False,7.06,4.45,70.8,4.26,48.85,0.13,0.21,0.55,3.77,6.07,1.17,6,0.19,0,0.0,0.13,0.09,3,0.1,0.06,1,0.03,6,0.2,66.67,50.0,0.0,0.03,0.0,0.0,0.0,0.03,0.0,0.0,0.03,0.0,0.46,21.43,0.23,0.03,0.0,18.99,0.46,0.2,32.29,86.3,15.18,77.09,1.07,90.91,26.99,91.57,5.27,59.88,21.85,36.51,0.0,0.03,0.03,0.0,0.0,0.0,0.0,2.18,64.18,0.16,20.0,0.23,0.0,0.03,0.0,6.11,61.7,96.64,13.56,0,,0,,0,0.0,0.0,0.0,,,0.75,,4.26,0.0,0.0,0.0,0.0,0,0
Yan,Yan Dos Santos Maciel,474832,FAS,FAS,https://cdn5.wyscout.com/photos/team/public/3127_120x120.png,Primera Division,"AMF, CF, RDMF",AMF,28,CF,16,RDMF,15,28.0,1997-03-24,0,,32,2786,9,6.71,7,6.46,19.48,53.23,Brazil,['Brazil'],left,186,75,False,6.62,6.36,63.96,1.81,48.21,0.03,0.05,0.06,2.52,4.24,1.16,1,0.03,0,0.0,2.75,0.29,9,0.29,0.22,0,0.0,52,1.6800000000000002,44.23,17.308,0.23,1.58,42.86,0.97,33.33,0.61,57.89,0.32,1.74,61.11,9.34,48.44,1.74,2.33,0.06,32.3,1.65,2.0,44.9,86.4,15.41,80.29,8.66,97.01,40.28,89.17,3.17,70.41,17.89,30.72,0.21,1.78,0.23,0.13,0.39,66.67,0.84,8.04,81.12,2.9699999999999998,58.7,0.55,47.06,1.42,0.71,9.11,89.36,88.7,13.15,0,,0,,0,0.0,0.0,0.0,,,0.13,,1.81,0.78,0.13,50.0,2.49,0,0
L. Claros,Lizandro Enmanuel Claros Saravia,-169588,Firpo,Firpo,https://cdn5.wyscout.com/photos/team/public/3043_120x120.png,Primera Division,"RCB, LCB",RCB,57,LCB,32,,0,28.0,1998-01-25,150000,,29,2682,0,1.55,0,0.31,14.7,65.07,El Salvador,['El Salvador'],right,182,0,False,9.03,6.78,74.75,5.34,54.72,0.2,0.31,0.54,3.76,5.74,1.07,10,0.34,2,0.07,0.54,0.0,0,0.0,0.05,0,0.0,19,0.64,31.58,0.0,0.0,0.17,20.0,0.0,0.0,0.17,20.0,0.03,0.30000000000000004,100.0,1.4100000000000001,59.52,0.44,1.07,0.0,22.11,0.47000000000000003,0.47000000000000003,36.95,81.11,20.94,74.04,1.31,94.87,30.34,88.27,6.44,48.96,21.82,38.98,0.01,0.13,0.0,0.07,0.0,0.0,0.1,5.84,56.32,0.67,15.0,0.5,20.0,0.1,0.03,9.16,72.16,91.67,10.87,0,,0,,0,0.0,0.0,0.0,,,0.7000000000000001,,5.34,0.27,0.27,37.5,0.0,0,0
M. Murillo,Miguel Ángel Murillo Valencia,-473755,FAS,FAS,https://cdn5.wyscout.com/photos/team/public/3127_120x120.png,Primera Division,"LB, RB, RCB",LB,40,RB,28,RCB,24,28.0,1997-12-03,0,,30,2664,1,2.08,1,0.47000000000000003,18.82,59.61,Colombia,['Colombia'],,0,0,False,10.74,8.82,68.97,3.95,60.68,0.98,1.62,0.37,3.68,6.09,2.16,12,0.41000000000000003,1,0.03,0.51,0.03,1,0.03,0.07,1,0.03,14,0.47000000000000003,21.43,7.143,0.03,0.34,40.0,0.2,50.0,0.14,25.0,0.03,0.64,42.11,3.68,41.28,0.88,0.51,0.07,23.04,0.64,1.25,33.99,84.79,15.84,76.12,2.87,90.59,29.12,89.33,4.53,58.96,20.04,38.96,0.02,0.24,0.03,0.03,0.0,0.0,0.1,4.43,68.7,0.81,54.17,0.24,42.86,0.41000000000000003,0.14,7.26,73.49,94.46,10.98,0,,0,,0,0.0,0.0,0.0,,,0.74,,3.95,0.0,0.0,0.0,0.03,0,0
Nelson Diaz,Nelson Vladimir Diaz Tobar,-410258,Firpo,Firpo,https://cdn5.wyscout.com/photos/team/public/3043_120x120.png,Primera Division,"LW, LAMF",LW,44,LAMF,44,,0,19.0,2006-07-04,0,,28,2566,11,4.97,3,3.7800000000000002,24.45,39.6,El Salvador,['El Salvador'],unknown,0,0,False,4.95,5.33,59.21,0.91,15.38,0.11,0.16,0.04,1.6800000000000002,2.56,1.23,2,0.07,0,0.0,4.42,0.39,11,0.39,0.17,1,0.04,48,1.6800000000000002,50.0,22.917,0.11,1.33,39.47,1.26,41.67,0.0,0.0,0.28,6.24,47.19,15.89,33.77,2.2800000000000002,2.95,0.81,19.61,1.37,2.03,26.24,78.34,8.14,71.98,4.42,92.86,23.29,81.63,1.6099999999999999,63.04,15.77,21.63,0.13,1.47,0.04,0.0,0.18,60.0,0.63,3.26,77.42,2.74,65.38,0.42,50.0,1.75,0.56,5.02,81.12,78.7,7.58,0,,0,,0,0.0,0.0,0.0,,,0.0,,0.91,0.0,0.0,0.0,0.07,0,0
Julián Grueso,Julián Andrés Grueso Bravo,-83588,Internacional Formando Atletas,Internacional Formando Atletas,https://cdn5.wyscout.com/photos/team/public/g-24194_120x120.png,Primera Division,"LCB, RCB",LCB,51,RCB,48,,0,26.0,1999-04-12,0,,26,2530,0,0.24,0,0.0,11.77,59.82,Colombia,['Colombia'],right,0,0,False,7.08,5.44,64.71,3.63,60.78,0.28,0.46,0.28,3.27,5.32,1.1,9,0.32,1,0.04,0.11,0.0,0,0.0,0.01,0,0.0,4,0.14,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,66.67,1.25,37.14,0.28,0.71,0.04,29.35,1.03,0.36,43.04,89.75,18.36,82.36,3.06,95.35,37.25,94.56,5.8,58.9,21.37,37.5,0.0,0.04,0.04,0.0,0.04,0.0,0.0,4.02,75.22,0.18,20.0,0.14,25.0,0.07,0.0,7.86,73.3,96.48,17.18,0,,0,,0,0.0,0.0,0.0,,,2.24,,3.63,0.0,0.0,0.0,0.0,0,0
J. Sibrian,Julio Enrique Sibrian Molina,279416,Águila,Águila,https://cdn5.wyscout.com/photos/team/public/3410_120x120.png,Primera Division,RCB,RCB,90,,0,,0,29.0,1996-07-17,225000,,27,2523,1,1.8900000000000001,0,0.33,12.88,67.87,El Salvador,['El Salvador'],right,184,0,False,7.74,5.17,76.55,5.32,68.46,0.32,0.52,0.43,3.46,5.57,0.54,3,0.11,0,0.0,0.14,0.04,1,0.04,0.07,1,0.04,10,0.36,20.0,10.0,0.0,0.07,50.0,0.04,100.0,0.04,0.0,0.0,0.11,33.33,0.8200000000000001,30.43,0.71,0.32,0.04,18.48,0.14,0.18,32.68,86.57,16.23,80.88,1.53,88.37,28.47,91.48,4.14,53.45,20.01,36.67,0.01,0.11,0.0,0.07,0.0,0.0,0.04,2.85,66.25,0.25,14.29,0.04,100.0,0.11,0.0,6.53,69.4,94.62,11.27,0,,0,,0,0.0,0.0,0.0,,,1.03,,5.32,0.0,0.0,0.0,0.0,0,0
