Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Mateus Vital,Mateus Da Silva Vital Assumpção,427644,Shanghai Port,Shanghai Port,https://cdn5.wyscout.com/photos/team/public/g10655_120x120.png,CSL,"LCMF, LDMF, LCMF3",LCMF,31,LDMF,24,LCMF3,20,28,1998-02-12,3000000,2026-12-31,13,1368,2,1.4100000000000001,1,1.18,18.29,48.2,Brazil,"['Brazil', 'Portugal']",right,175,65,False,4.28,3.68,62.5,0.86,46.15,0.07,0.11,0.0,1.9100000000000001,3.23,0.72,1,0.07,0,0.0,2.63,0.13,1,0.07,0.09,0,0.0,27,1.78,22.22,7.407,0.07,1.78,33.33,1.38,33.33,0.39,33.33,0.39,3.88,42.37,11.64,43.5,0.39,2.43,0.53,42.83,0.33,2.37,57.43,90.15,18.95,85.07,8.09,96.75,50.79,94.95,4.87,60.81,17.89,37.79,0.08,0.72,0.0,0.07,0.0,0.0,0.2,9.54,80.69,3.8200000000000003,55.17,0.66,40.0,1.18,0.72,9.21,89.29,90.63,21.78,0,,0,,0,0.0,0.0,0.0,,,0.33,,0.86,1.25,0.2,0.0,1.51,1,100
A. Burcă,Andrei Burcă,313867,Yunnan Yukun,Yunnan Yukun,https://cdn5.wyscout.com/photos/team/public/g-18403_120x120.png,CSL,LCB,LCB,91,,0,,0,33,1993-04-15,3000000,2026-12-31,13,1350,1,0.55,0,0.0,8.53,63.28,Romania,['Romania'],right,188,78,False,7.53,4.0,68.33,2.27,70.59,0.4,0.6000000000000001,0.47000000000000003,4.4,6.5600000000000005,0.4,3,0.2,0,0.0,0.53,0.07,1,0.07,0.04,1,0.07,8,0.53,62.5,12.5,0.0,0.07,100.0,0.07,100.0,0.0,0.0,0.0,0.13,50.0,0.67,50.0,0.53,1.2,0.0,30.2,0.2,0.33,45.73,87.46,21.93,82.07,2.4,97.22,39.67,92.27,6.0,55.56,21.65,39.47,0.0,0.0,0.07,0.0,0.13,50.0,0.0,7.13,72.9,0.53,62.5,0.4,50.0,0.33,0.07,10.67,81.88,93.98,17.73,0,,0,,0,0.0,0.0,0.0,,,1.67,,2.27,0.07,0.07,0.0,0.0,0,0
E. Sorokin,Egor Sorokin,350977,Chengdu Rongcheng,Chengdu Rongcheng,https://cdn5.wyscout.com/photos/team/public/g33021_120x120.png,China League Two,"LCB, LCB3",LCB,76,LCB3,15,,0,30,1995-11-04,800000,2026-12-31,13,1347,3,1.87,0,0.4,11.09,61.45,Russia,['Russia'],left,191,85,False,6.82,2.94,65.91,5.48,59.76,0.07,0.11,0.8,4.8100000000000005,7.58,0.47000000000000003,3,0.2,0,0.0,0.4,0.2,3,0.2,0.13,2,0.13,9,0.6000000000000001,66.67,33.333,0.0,0.13,0.0,0.13,0.0,0.0,0.0,0.0,0.07,0.0,0.73,45.45,0.8,0.8,0.0,33.27,0.33,0.33,48.78,86.99,21.31,78.37,2.14,93.75,42.23,91.14,6.41,61.46,20.83,40.97,0.03,0.13,0.07,0.0,0.0,0.0,0.07,7.95,76.47,1.1400000000000001,52.94,0.33,0.0,0.67,0.0,9.15,72.26,95.38,20.24,0,,0,,0,0.0,0.0,0.0,,,1.47,,5.48,0.0,0.0,0.0,0.0,0,0
Alberto Quiles,Alberto Quiles Piosa,305875,Tianjin Tigers,Tianjin Tigers,https://cdn5.wyscout.com/photos/team/public/2454_120x120.png,CSL,"CF, RW",CF,71,RW,23,,0,31,1995-04-27,1000000,2026-12-31,13,1345,7,4.29,1,0.8200000000000001,19.94,38.59,Spain,['Spain'],left,188,74,False,2.74,2.14,59.38,3.88,36.21,0.0,0.0,0.0,1.47,1.8900000000000001,0.54,1,0.07,0,0.0,2.54,0.47000000000000003,8,0.54,0.29,0,0.0,27,1.81,55.56,29.63,0.07,0.6000000000000001,22.22,0.4,16.67,0.2,33.33,0.0,2.34,60.0,10.37,38.71,2.34,1.6099999999999999,0.33,10.64,1.67,1.94,16.66,77.11,4.75,63.38,2.94,88.64,14.86,81.08,1.2,55.56,16.05,22.52,0.06,0.67,0.0,0.0,0.0,0.0,0.2,2.2800000000000002,73.53,1.1400000000000001,47.06,0.2,33.33,0.67,0.2,2.48,64.86,80.52,5.15,0,,0,,0,0.0,0.0,0.0,,,0.0,,3.88,0.07,0.07,100.0,0.07,0,0
Xue Qinghao,Qinghao Xue,490352,Shanghai Shenhua,Shanghai Shenhua,https://cdn5.wyscout.com/photos/team/public/2447_120x120.png,CSL,GK,GK,100,,0,,0,25,2000-09-26,100000,2026-12-31,13,1340,0,0.0,0,0.0,0.4,100.0,China PR,['China PR'],right,195,0,False,1.01,0.0,0.0,0.27,100.0,0.0,0.0,0.0,1.01,1.3900000000000001,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,100.0,0.0,0.0,0.0,8.26,0.0,0.07,13.57,87.62,6.99,75.96,0.0,0.0,7.93,99.15,5.57,72.29,33.58,48.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6800000000000002,64.0,0.07,0.0,0.07,0.0,0.07,0.0,3.63,79.63,100.0,6.45,20,1.34,62,4.16,3,67.74,21.54,1.45,1.54,0.10300000000000001,0.0,0.9400000000000001,0.27,,,,0.0,0,0
Wesley,Wesley Moraes Ferreira da Silva,408768,Shenzhen Peng City,Shenzhen Peng City,https://cdn5.wyscout.com/photos/team/public/g430_120x120.png,CSL,CF,CF,98,,0,,0,29,1996-11-24,0,2027-12-31,13,1339,5,3.34,2,1.06,24.33,43.09,Brazil,['Brazil'],right,191,93,False,2.96,1.9500000000000002,62.07,8.47,44.44,0.0,0.0,0.2,1.75,2.41,1.55,2,0.13,0,0.0,1.55,0.34,4,0.27,0.22,2,0.13,19,1.28,52.63,26.316,0.13,0.54,25.0,0.4,16.67,0.13,50.0,0.07,1.28,52.63,8.4,33.6,2.69,0.67,0.07,9.07,2.02,1.88,15.86,69.07,3.36,58.0,2.89,81.4,14.52,71.3,0.81,58.33,15.62,18.66,0.07,1.1400000000000001,0.07,0.0,0.13,50.0,0.47000000000000003,2.49,62.16,1.21,66.67,0.2,66.67,0.9400000000000001,0.13,2.02,76.67,76.92,6.12,0,,0,,0,0.0,0.0,0.0,,,0.0,,8.47,0.0,0.0,0.0,0.0,1,100
Davidson,Davidson da Luz Pereira,282448,Qingdao West Coast,Qingdao West Coast,https://cdn5.wyscout.com/photos/team/public/g-14023_120x120.png,CSL,"LAMF, LW",LAMF,47,LW,44,,0,35,1991-03-05,850000,,13,1330,3,6.22,2,1.45,28.08,39.52,Brazil,['Brazil'],right,177,69,False,9.34,6.83,64.36,4.2,25.81,0.2,0.26,0.07,4.74,6.12,1.62,0,0.0,0,0.0,3.25,0.2,3,0.2,0.42,0,0.0,31,2.1,41.94,9.677,0.14,2.1,32.26,1.76,34.62,0.34,20.0,0.41000000000000003,3.45,45.1,14.14,34.93,2.91,1.76,0.74,20.44,1.56,2.77,31.87,74.1,8.66,64.84,9.74,88.89,26.8,80.3,3.25,45.83,17.82,35.37,0.1,0.9500000000000001,0.0,0.0,0.41000000000000003,33.33,0.54,3.7199999999999998,54.55,2.64,43.59,0.61,44.44,0.68,0.68,4.53,77.61,73.79,6.97,0,,0,,0,0.0,0.0,0.0,,,0.14,,4.2,1.15,0.2,0.0,0.41000000000000003,1,0
O. Maritu,Oscar Taty Maritu,-88184,Yunnan Yukun,Yunnan Yukun,https://cdn5.wyscout.com/photos/team/public/g-18403_120x120.png,CSL,"LAMF, LW, LWF",LAMF,41,LW,26,LWF,26,26,1999-08-17,900000,2026-12-31,13,1329,10,5.36,2,1.2,15.85,46.15,Congo DR,['Congo DR'],right,182,80,False,1.9,1.69,44.0,5.55,58.54,0.0,0.0,0.14,1.15,1.72,0.9500000000000001,1,0.07,0,0.0,3.18,0.68,10,0.68,0.36,4,0.27,47,3.18,46.81,21.277,0.14,1.9,25.0,1.49,31.82,0.41000000000000003,0.0,0.47000000000000003,2.1,58.06,6.77,34.0,3.7199999999999998,2.1,0.27,15.03,2.23,0.9500000000000001,19.23,76.06,2.64,56.41,4.0,91.53,15.91,82.55,1.63,66.67,19.18,30.5,0.08,0.9500000000000001,0.2,0.14,0.07,0.0,0.41000000000000003,1.08,56.25,1.83,37.04,0.27,0.0,0.61,0.61,2.5700000000000003,68.42,73.48,8.94,0,,0,,0,0.0,0.0,0.0,,,0.0,,5.55,0.0,0.0,0.0,0.0,0,0
Yao Haoyang,Haoyang Yao,-446017,Chongqing Tongliang Long,Chongqing Tongliang Long,https://cdn5.wyscout.com/photos/team/public/g-18398_120x120.png,CSL,GK,GK,100,,0,,0,19,2006-10-28,0,2030-12-31,13,1324,0,0.0,0,0.0,0.48,85.71,China PR,['China PR'],unknown,190,0,False,1.3599999999999999,0.07,100.0,0.27,75.0,0.0,0.0,0.0,1.29,1.6099999999999999,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,100.0,0.0,0.0,0.0,7.34,0.2,0.07,13.39,75.63,7.34,59.26,0.0,0.0,7.48,98.18,5.85,47.67,33.9,49.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43,33.33,0.0,0.0,0.14,0.0,0.07,0.0,4.42,58.46,96.05,5.17,13,0.88,36,2.45,5,63.89,13.12,0.89,0.12,0.008,0.0,1.77,0.27,,,,0.0,0,0
Lucão,Lucas Cavalcante Silva Afonso,288073,Chongqing Tongliang Long,Chongqing Tongliang Long,https://cdn5.wyscout.com/photos/team/public/g-18398_120x120.png,CSL,RCB3,RCB3,85,,0,,0,30,1996-03-23,400000,,13,1324,0,0.43,0,0.32,9.79,71.53,Brazil,['Brazil'],right,187,80,False,7.48,3.87,80.7,3.87,68.42,0.0,0.0,0.34,4.35,5.44,0.2,2,0.14,0,0.0,0.0,0.0,0,0.0,0.03,0,0.0,2,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,1.02,40.0,0.2,1.29,0.07,41.6,0.2,0.2,56.9,88.41,24.47,78.33,3.33,100.0,49.28,94.62,7.61,48.21,20.96,42.67,0.02,0.14,0.07,0.0,0.0,0.0,0.07,7.82,66.96,0.88,23.08,0.54,12.5,0.34,0.0,11.15,75.61,96.3,22.02,0,,0,,0,0.0,0.0,0.0,,,1.22,,3.87,0.0,0.0,0.0,0.0,0,0
