Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
R. Wallinder,Robin Wallinder,-98958,Öster,Öster,https://cdn5.wyscout.com/photos/team/public/2468_120x120.png,Allsvenskan,GK,GK,100,,0,,0,26.0,1999-05-13,300000,2025-12-31,30,2974,0,0.0,0,0.0,0.7000000000000001,73.91,Sweden,['Sweden'],right,189,75,False,2.03,0.09,66.67,0.45,73.33,0.03,0.04,0.0,1.94,2.31,0.03,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,100.0,0.0,0.0,0.0,15.01,0.06,0.12,23.42,86.18,13.71,78.15,0.0,0.0,13.04,97.45,10.38,72.01,33.37,49.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.76,68.97,0.06,50.0,0.09,33.33,0.03,0.0,9.02,77.18,97.95,8.84,48,1.45,159,4.8100000000000005,5,69.81,50.85,1.54,2.85,0.08600000000000001,0.0,1.18,0.45,,,,0.0,0,0.0
M. Fenger,Max Fenger,-45166,IFK Göteborg,IFK Göteborg,https://cdn5.wyscout.com/photos/team/public/642_120x120.png,Allsvenskan,CF,CF,100,,0,,0,24.0,2001-08-07,900000,2027-12-31,30,2960,12,12.5,3,2.52,24.14,37.28,Denmark,['Denmark'],right,182,75,False,4.2,3.8,59.2,6.26,38.83,0.21,0.29,0.27,1.73,2.4,0.97,1,0.03,0,0.0,1.8900000000000001,0.36,9,0.27,0.38,4,0.12,67,2.04,47.76,17.91,0.09,0.58,21.05,0.15,40.0,0.4,15.38,0.03,1.98,40.0,10.0,31.0,3.47,1.06,0.21,9.21,1.7000000000000002,2.31,14.63,77.96,3.56,64.96,4.07,90.3,13.77,80.79,0.27,55.56,13.19,12.63,0.08,0.64,0.03,0.03,0.0,0.0,0.21,1.49,73.47,0.58,52.63,0.0,0.0,0.73,0.09,1.79,55.93,81.52,2.8,0,,0,,0,0.0,0.0,0.0,,,0.0,,6.26,0.0,0.0,0.0,0.0,4,75.0
D. Andersson,David Andersson,-433894,IFK Norrköping,IFK Norrköping,https://cdn5.wyscout.com/photos/team/public/654_120x120.png,Allsvenskan,GK,GK,100,,0,,0,22.0,2003-09-16,0,2028-12-31,30,2929,0,0.0,1,0.43,1.29,83.33,Sweden,['Sweden'],right,188,72,False,1.54,0.06,50.0,0.86,85.71,0.0,0.0,0.0,1.51,1.85,0.0,2,0.06,0,0.0,0.03,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.22,85.71,0.0,0.0,0.0,12.26,0.25,0.34,19.54,81.13,11.65,71.5,0.06,100.0,12.01,96.42,7.53,56.73,32.24,48.76,0.01,0.03,0.0,0.0,0.0,0.0,0.03,2.03,45.45,0.18,0.0,0.18,16.67,0.0,0.0,5.65,64.13,95.18,7.01,55,1.69,161,4.95,2,65.84,52.39,1.6099999999999999,-2.61,-0.08,0.0,1.97,0.86,,,,0.0,0,0.0
E. Hovland,Even Hovland,29424,Brommapojkarna,Brommapojkarna,https://cdn5.wyscout.com/photos/team/public/1624_120x120.png,Allsvenskan,"LCB, RCB",LCB,53,RCB,36,,0,36.0,1989-02-14,350000,,30,2929,0,1.88,1,0.22,7.04,62.01,Norway,['Norway'],right,191,90,False,7.01,2.7,67.05,2.21,59.72,0.15,0.17,1.2,5.04,5.64,0.43,2,0.06,0,0.0,0.28,0.0,0,0.0,0.06,0,0.0,13,0.4,23.08,0.0,0.03,0.15,60.0,0.0,0.0,0.15,60.0,0.03,0.09,100.0,0.61,50.0,0.65,0.58,0.0,27.81,0.28,0.22,40.9,86.55,14.75,75.42,2.4,89.74,33.06,93.03,7.68,59.2,23.65,42.73,0.01,0.06,0.0,0.0,0.0,0.0,0.03,5.9,63.54,0.52,47.06,0.12,50.0,0.12,0.09,7.31,63.87,94.03,20.59,0,,0,,0,0.0,0.0,0.0,,,1.63,,2.21,0.0,0.0,0.0,0.0,0,0.0
M. Watson,Max Watson,315190,IFK Norrköping,IFK Norrköping,https://cdn5.wyscout.com/photos/team/public/654_120x120.png,Allsvenskan,"RCB, LCB, CB",RCB,42,LCB,37,CB,11,29.0,1996-02-03,700000,,30,2911,2,1.48,0,0.42,12.24,60.86,Sweden,"['Sweden', 'England']",right,184,74,False,8.59,4.48,64.14,4.76,62.99,0.06,0.08,0.8,5.66,6.92,0.71,3,0.09,0,0.0,0.15,0.06,2,0.06,0.05,0,0.0,8,0.25,25.0,25.0,0.0,0.06,50.0,0.0,0.0,0.06,50.0,0.0,0.09,66.67,0.74,33.33,0.46,0.31,0.0,26.74,0.03,0.62,40.53,87.19,16.29,75.14,1.9500000000000002,96.83,36.27,91.9,4.2,47.06,19.21,35.93,0.01,0.09,0.0,0.0,0.0,0.0,0.06,3.9,65.87,0.37,41.67,0.15,20.0,0.19,0.03,5.8100000000000005,61.17,96.06,17.28,0,,0,,0,0.0,0.0,0.0,,,1.45,,4.76,0.0,0.0,0.0,0.0,0,0.0
L. Walta,Leo Walta,-129389,Sirius,Sirius,https://cdn5.wyscout.com/photos/team/public/1633_120x120.png,Allsvenskan,"AMF, RCMF3",AMF,42,RCMF3,21,,0,22.0,2003-06-24,1000000,2028-06-30,30,2903,16,9.03,3,7.85,15.56,52.39,Finland,['Finland'],right,170,67,False,6.11,5.27,65.29,0.74,16.67,0.12,0.16,0.06,2.54,3.27,0.68,2,0.06,0,0.0,3.94,0.5,11,0.34,0.28,0,0.0,93,2.88,35.48,17.204,0.09,3.22,42.31,1.33,34.88,1.8900000000000001,47.54,0.53,2.36,64.47,7.32,51.27,1.6099999999999999,1.92,0.31,33.58,1.49,1.8,46.29,81.51,14.29,68.55,10.6,96.2,36.43,88.43,6.85,61.99,20.55,42.52,0.24,1.74,0.03,0.0,0.16,20.0,0.68,8.03,74.9,5.15,54.22,1.02,48.48,1.58,1.24,8.53,82.55,84.53,14.63,0,,0,,0,0.0,0.0,0.0,,,0.19,,0.74,1.98,0.31,30.0,3.26,5,100.0
G. Lundgren,Gustav Lundgren,446783,GAIS,GAIS,https://cdn5.wyscout.com/photos/team/public/648_120x120.png,Allsvenskan,"RWF, RCMF3, CF",RWF,64,RCMF3,14,CF,11,30.0,1995-04-18,0,2029-12-31,30,2897,2,6.16,7,8.34,28.67,42.69,Sweden,['Sweden'],left,190,80,False,6.31,5.84,65.43,1.58,27.45,0.03,0.04,0.16,2.45,3.2,0.81,3,0.09,0,0.0,5.06,0.06,2,0.06,0.19,0,0.0,58,1.8,25.86,3.448,0.22,3.85,29.84,0.12,50.0,3.67,29.66,0.56,5.69,56.83,17.55,39.47,3.14,3.11,0.43,27.56,1.6800000000000002,1.34,39.64,73.35,10.53,65.49,8.05,86.49,32.09,79.77,3.79,62.3,18.19,35.11,0.26,2.45,0.16,0.0,0.43,50.0,0.99,4.63,63.09,5.37,52.6,0.87,50.0,2.55,1.34,8.45,83.09,75.06,12.46,0,,0,,0,0.0,0.0,0.0,,,0.06,,1.58,0.65,0.22,14.29,1.96,0,0.0
V. Eriksson,Victor Eriksson,-84960,Hammarby,Hammarby,https://cdn5.wyscout.com/photos/team/public/644_120x120.png,Allsvenskan,"RCB, LCB",RCB,73,LCB,19,,0,25.0,2000-09-17,800000,2028-12-31,29,2862,2,2.11,1,0.1,15.35,64.34,Sweden,['Sweden'],right,192,82,False,8.81,6.38,65.02,5.31,69.23,0.35000000000000003,0.55,0.72,4.31,6.9,1.45,4,0.13,0,0.0,0.28,0.06,2,0.06,0.07,2,0.06,15,0.47000000000000003,33.33,13.333,0.03,0.16,20.0,0.0,0.0,0.16,20.0,0.0,0.16,40.0,0.88,42.86,0.5,0.31,0.03,40.72,0.31,0.72,57.52,89.17,21.29,79.03,3.52,95.54,53.81,92.34,3.55,44.25,18.29,37.99,0.0,0.16,0.0,0.03,0.03,100.0,0.0,5.94,75.13,0.5,43.75,0.16,60.0,0.16,0.03,7.77,61.13,95.16,25.31,0,,0,,0,0.0,0.0,0.0,,,2.17,,5.31,0.0,0.0,0.0,0.0,0,0.0
D. Kruse,David Kjær Kruse,-60306,IFK Göteborg,IFK Göteborg,https://cdn5.wyscout.com/photos/team/public/642_120x120.png,Allsvenskan,"DMF, LCMF, LDMF",DMF,54,LCMF,15,LDMF,13,23.0,2002-05-15,700000,2028-12-31,29,2854,2,2.24,0,1.9300000000000002,14.76,56.41,Denmark,['Denmark'],right,185,80,False,8.77,6.87,67.89,1.99,41.27,0.19,0.27,0.32,3.91,5.48,1.2,5,0.16,0,0.0,0.66,0.06,2,0.06,0.07,1,0.03,15,0.47000000000000003,26.67,13.333,0.0,0.22,28.57,0.09,33.33,0.09,33.33,0.0,0.73,60.87,3.91,45.16,0.63,1.01,0.03,29.33,0.16,0.79,44.15,89.36,10.28,73.01,6.37,96.53,41.41,91.47,2.52,60.0,16.84,33.68,0.06,0.47000000000000003,0.0,0.03,0.03,100.0,0.16,5.33,84.02,1.26,57.5,0.28,44.44,0.79,0.06,4.57,70.34,95.23,19.84,0,,0,,0,0.0,0.0,0.0,,,0.47000000000000003,,1.99,0.03,0.03,0.0,0.0,0,0.0
W. Hahn,Warner Hahn,102913,Hammarby,Hammarby,https://cdn5.wyscout.com/photos/team/public/644_120x120.png,Allsvenskan,GK,GK,100,,0,,0,33.0,1992-06-15,350000,2027-12-31,29,2853,0,0.0,0,0.0,0.54,82.35,Netherlands,"['Netherlands', 'Suriname']",right,190,88,False,1.8599999999999999,0.06,50.0,0.35000000000000003,90.91,0.0,0.0,0.0,1.83,2.9,0.0,2,0.06,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.0,0.03,0.0,10.73,0.13,0.06,17.19,81.28,10.66,71.3,0.03,100.0,11.07,97.44,6.03,52.88,33.32,53.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9699999999999998,46.81,0.22,0.0,0.35000000000000003,45.45,0.03,0.0,4.35,71.74,97.79,5.71,29,0.91,109,3.44,13,73.39,25.95,0.8200000000000001,-3.05,-0.096,0.0,1.2,0.35000000000000003,,,,0.0,0,0.0
