Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
J. Urozov,Jakhongir Urozov,-326769,Dinamo Samarqand,Dinamo Samarqand,https://cdn5.wyscout.com/photos/team/public/4232_120x120.png,Super League,LCB,LCB,91,,0,,0,22.0,2004-01-18,0,2027-12-31,11,1087,0,0.52,0,0.15,11.84,65.03,Uzbekistan,['Uzbekistan'],left,190,78,False,7.2,4.14,72.0,2.98,66.67,0.08,0.12,0.5,4.14,5.95,0.41000000000000003,1,0.08,0,0.0,0.41000000000000003,0.0,0,0.0,0.04,0,0.0,5,0.41000000000000003,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,66.67,1.82,27.27,0.41000000000000003,0.91,0.0,30.55,0.08,0.5,49.43,80.07,26.33,70.44,2.65,93.75,40.74,89.23,8.69,37.14,23.07,44.65,0.01,0.08,0.0,0.0,0.08,0.0,0.0,8.03,51.55,0.91,9.09,0.58,0.0,0.08,0.0,10.93,64.39,91.5,16.56,0,,0,,0,0.0,0.0,0.0,,,1.57,,2.98,0.0,0.0,0.0,0.0,0,0
F. Rakhmatov,Farkhod  Rakhmatov,-326005,Qizilqum,Qizilqum,https://cdn5.wyscout.com/photos/team/public/4233_120x120.png,Super League,GK,GK,100,,0,,0,26.0,2000-03-19,0,,11,1081,0,0.0,0,0.0,0.33,75.0,Uzbekistan,['Uzbekistan'],unknown,0,0,False,1.5,0.08,100.0,0.25,66.67,0.0,0.0,0.0,1.42,1.65,0.0,2,0.17,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.49,0.08,0.0,16.73,75.12,11.74,66.67,0.0,0.0,7.58,95.6,9.16,58.18,39.77,53.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75,51.11,0.33,0.0,0.08,0.0,0.0,0.0,6.66,75.0,98.11,4.41,15,1.25,46,3.83,3,67.39,15.9,1.32,0.9,0.075,0.0,1.83,0.25,,,,0.0,0,0
N. Kumburović,Nikola Kumburović,424234,Qizilqum,Qizilqum,https://cdn5.wyscout.com/photos/team/public/4233_120x120.png,Super League,"LCB3, RCB3, LCB",LCB3,45,RCB3,30,LCB,12,26.0,1999-11-13,225000,2026-12-31,11,1081,0,1.24,0,0.21,11.41,60.58,Montenegro,['Montenegro'],right,187,0,False,6.41,4.25,74.51,4.91,55.93,0.17,0.19,0.25,3.08,3.59,0.75,0,0.0,0,0.0,0.08,0.0,0,0.0,0.1,0,0.0,5,0.42,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,20.0,0.8300000000000001,0.25,0.0,16.57,0.17,0.25,27.64,85.84,11.49,75.36,2.33,96.43,22.48,91.85,5.16,59.68,21.43,39.83,0.02,0.25,0.0,0.0,0.0,0.0,0.17,4.5,61.11,0.5,16.67,0.58,42.86,0.17,0.0,5.08,67.21,94.44,10.49,0,,0,,0,0.0,0.0,0.0,,,1.33,,4.91,0.0,0.0,0.0,0.0,0,0
D. Akhmadaliev,Dilshod Akhmadaliev,405990,AGMK,AGMK,https://cdn5.wyscout.com/photos/team/public/4231_120x120.png,Super League,RB,RB,85,,0,,0,31.0,1994-11-02,350000,2026-12-31,11,1077,0,0.34,0,0.45,13.79,56.97,Uzbekistan,['Uzbekistan'],right,172,66,False,7.77,4.76,70.18,2.67,43.75,0.25,0.34,0.25,4.18,5.75,0.17,0,0.0,0,0.0,2.17,0.0,0,0.0,0.03,0,0.0,4,0.33,50.0,0.0,0.0,2.42,41.38,0.0,0.0,2.42,41.38,0.33,1.42,64.71,4.09,51.02,0.84,2.09,0.33,26.91,2.17,1.42,40.19,77.55,16.38,68.88,5.35,92.19,32.76,84.44,5.18,48.39,20.25,35.6,0.04,0.5,0.08,0.0,0.08,100.0,0.17,6.35,63.16,2.51,50.0,0.25,33.33,0.5,0.92,10.19,77.87,83.33,11.53,0,,0,,0,0.0,0.0,0.0,,,0.58,,2.67,0.08,0.0,0.0,0.08,0,0
N. Normurodov,Najmiddin Normurodov,297761,Bunyodkor,Bunyodkor,https://cdn5.wyscout.com/photos/team/public/1577_120x120.png,Super League,"RB, CB, RCB3",RB,36,CB,22,RCB3,18,30.0,1995-06-06,175000,2027-12-31,11,1077,0,0.15,0,0.36,10.95,70.99,Uzbekistan,['Uzbekistan'],,179,0,False,9.61,5.26,73.02,2.67,81.25,0.17,0.21,0.75,5.6,6.98,0.33,1,0.08,0,0.0,0.84,0.0,0,0.0,0.01,0,0.0,9,0.75,0.0,0.0,0.0,1.34,37.5,0.0,0.0,1.34,37.5,0.17,0.42,80.0,1.75,61.9,0.33,0.75,0.0,29.16,1.0,0.33,43.45,75.38,22.31,63.3,1.92,100.0,31.17,86.86,11.03,46.97,24.86,43.22,0.03,0.5,0.0,0.0,0.0,0.0,0.17,8.11,51.55,1.8399999999999999,27.27,0.58,28.57,0.17,0.42,11.36,69.85,88.4,15.13,0,,0,,0,0.0,0.0,0.0,,,0.84,,2.67,0.5,0.42,0.0,0.0,0,0
A. Kozlov,Aleksey Kozlov,477092,Lokomotiv Tashkent,Lokomotiv Tashkent,https://cdn5.wyscout.com/photos/team/public/4223_120x120.png,Super League,GK,GK,100,,0,,0,27.0,1999-01-23,150000,2026-12-31,11,1075,0,0.0,0,0.0,0.59,85.71,Russia,['Russia'],left,188,79,False,2.09,0.08,100.0,0.25,100.0,0.17,0.24,0.0,1.8399999999999999,2.68,0.0,2,0.17,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,100.0,0.0,0.0,0.0,19.84,0.08,0.17,29.05,83.29,15.82,72.49,0.0,0.0,18.59,97.3,10.47,58.4,32.16,48.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.68,61.36,0.42,40.0,0.25,66.67,0.17,0.0,7.2,74.42,96.6,12.31,14,1.17,38,3.18,3,63.16,12.17,1.02,-1.83,-0.153,0.0,1.42,0.25,,,,0.0,0,0
A. Pirmukhamedov,Azizbek  Pirmukhamedov,-335684,Xorazm,Xorazm,https://cdn5.wyscout.com/photos/team/public/g7747_120x120.png,Super League,LB,LB,76,,0,,0,24.0,2002-04-20,0,2027-12-15,11,1074,1,0.06,0,0.87,15.0,54.75,Uzbekistan,['Uzbekistan'],unknown,0,0,False,7.54,6.2,62.16,4.02,54.17,0.67,0.9,0.25,3.02,4.06,1.34,1,0.08,0,0.0,1.09,0.08,1,0.08,0.01,0,0.0,3,0.25,100.0,33.333,0.0,2.26,22.22,2.18,23.08,0.08,0.0,0.25,0.5,66.67,2.35,50.0,0.59,0.84,0.0,31.84,1.42,1.17,42.74,74.31,19.02,63.88,5.87,91.43,33.02,83.76,7.63,47.25,23.09,39.7,0.07,0.34,0.0,0.0,0.08,0.0,0.17,7.88,59.57,2.68,34.38,0.42,40.0,0.59,0.67,10.98,69.47,87.66,12.91,0,,0,,0,0.0,0.0,0.0,,,0.67,,4.02,0.42,0.0,0.0,0.08,0,0
V. Filipović,Veljko Filipović,-75619,Buxoro,Buxoro,https://cdn5.wyscout.com/photos/team/public/4229_120x120.png,Super League,RCB,RCB,99,,0,,0,26.0,1999-10-11,250000,2027-11-30,11,1073,1,0.96,1,0.59,16.1,67.71,Serbia,['Serbia'],right,197,92,False,8.14,5.45,73.85,6.71,72.5,0.17,0.23,0.42,3.94,5.51,0.84,0,0.0,0,0.0,0.59,0.08,1,0.08,0.08,1,0.08,8,0.67,50.0,12.5,0.08,0.08,100.0,0.0,0.0,0.08,100.0,0.0,0.25,66.67,1.34,37.5,1.51,0.34,0.08,12.5,0.25,0.42,23.32,66.55,12.33,57.14,1.43,76.47,18.29,77.06,4.95,27.12,23.42,42.01,0.05,0.17,0.0,0.0,0.0,0.0,0.17,4.28,47.06,0.42,20.0,0.42,40.0,0.25,0.08,7.05,46.43,79.79,7.88,0,,0,,0,0.0,0.0,0.0,,,0.67,,6.71,0.0,0.0,0.0,0.0,0,0
U. Khamroev,Umid  Khamroev,447801,Buxoro,Buxoro,https://cdn5.wyscout.com/photos/team/public/4229_120x120.png,Super League,GK,GK,100,,0,,0,28.0,1997-05-13,0,,11,1073,0,0.0,0,0.0,1.34,87.5,Uzbekistan,['Uzbekistan'],,0,0,False,1.34,0.08,100.0,1.01,91.67,0.0,0.0,0.0,1.26,1.76,0.0,2,0.17,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,50.0,0.0,0.0,0.0,9.06,0.0,0.17,17.78,76.89,12.16,67.59,0.0,0.0,7.97,96.84,9.73,60.34,35.59,46.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.76,52.38,0.0,0.0,0.0,0.0,0.0,0.0,7.72,66.3,96.55,4.86,11,0.92,37,3.1,4,70.27,9.4,0.79,-1.6,-0.134,0.0,2.68,1.01,,,,0.0,0,0
N. Ćalasan,Nemanja Ćalasan,450317,Andijan,Andijan,https://cdn5.wyscout.com/photos/team/public/4222_120x120.png,Super League,LCB,LCB,100,,0,,0,30.0,1996-03-17,900000,2026-12-31,11,1073,1,0.45,0,0.1,10.74,66.41,Serbia,['Serbia'],left,188,82,False,6.29,3.52,73.81,4.36,67.31,0.0,0.0,0.92,3.69,5.08,0.59,1,0.08,0,0.0,0.17,0.08,1,0.08,0.04,1,0.08,2,0.17,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,50.0,1.01,41.67,0.5,0.25,0.0,27.6,0.0,0.5,42.02,86.23,19.46,76.29,1.09,92.31,35.48,92.2,6.54,53.85,22.16,34.86,0.01,0.08,0.0,0.0,0.0,0.0,0.08,3.61,69.77,0.17,50.0,0.25,66.67,0.08,0.0,7.72,63.04,97.22,18.12,0,,0,,0,0.0,0.0,0.0,,,0.84,,4.36,0.0,0.0,0.0,0.0,0,0
