Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
D. Jovanovic,Dejan Jovanovic,-780862,Rudar,Rudar,https://cdn5.wyscout.com/photos/team/public/1988_120x120.png,Second League,"LAMF, LW",LAMF,69,LW,15,,0,23.0,2002-10-11,0,,20,1910,8,5.11,3,2.42,23.98,43.22,Serbia,['Serbia'],unknown,0,0,False,6.93,6.93,57.14,1.37,6.9,0.09,0.12,0.0,2.87,3.7,1.27,5,0.24,0,0.0,4.48,0.38,8,0.38,0.24,0,0.0,39,1.8399999999999999,53.85,20.513,0.14,2.73,24.14,2.03,25.58,0.71,20.0,0.61,4.99,56.6,13.1,39.21,2.73,2.26,0.05,15.69,2.17,1.6,24.79,64.83,8.43,54.19,4.62,89.8,20.12,73.54,2.07,34.09,18.23,31.08,0.11,0.85,0.05,0.05,0.09,0.0,0.38,3.02,45.31,3.02,28.13,0.38,0.0,0.66,0.61,3.63,68.83,57.34,6.74,0,,0,,0,0.0,0.0,0.0,,,0.19,,1.37,0.09,0.0,0.0,0.71,1,0.0
M. Djurdjevic,Milos Djurdjevic,-362471,Igalo,Igalo,https://cdn5.wyscout.com/photos/team/public/g19088_120x120.png,Second League,"RDMF, DMF, LDMF",RDMF,22,DMF,20,LDMF,19,23.0,2003-01-26,0,,20,1904,0,0.55,1,1.08,22.88,54.34,Montenegro,['Montenegro'],unknown,177,0,False,10.59,9.12,69.95,1.18,48.0,1.04,1.31,0.33,3.17,3.98,1.7000000000000002,6,0.28,0,0.0,1.8,0.0,0,0.0,0.03,0,0.0,15,0.71,33.33,0.0,0.05,0.43,44.44,0.14,66.67,0.24,40.0,0.09,2.27,58.33,8.93,42.86,0.33,0.85,0.14,15.88,0.24,1.75,30.02,77.17,11.3,60.25,4.49,92.63,25.9,81.57,3.69,50.0,19.04,36.3,0.05,0.33,0.0,0.0,0.09,50.0,0.19,4.49,62.11,0.66,28.57,0.19,25.0,0.14,0.24,6.1,60.47,89.15,10.02,0,,0,,0,0.0,0.0,0.0,,,0.5700000000000001,,1.18,0.0,0.0,0.0,0.0,0,0.0
S. Bošković,Srdjan Bošković,-69794,Berane,Berane,https://cdn5.wyscout.com/photos/team/public/1995_120x120.png,Second League,"AMF, RCMF, RCMF3",AMF,40,RCMF,14,RCMF3,14,29.0,1996-12-24,125000,,20,1890,8,6.43,1,3.29,13.76,46.35,Montenegro,['Montenegro'],right,0,0,False,4.77,4.52,67.78,0.8,18.75,0.15,0.2,0.0,1.56,2.04,0.65,2,0.1,0,0.0,2.41,0.38,4,0.2,0.32,0,0.0,42,2.11,45.24,19.048,0.05,0.9,27.78,0.2,0.0,0.7000000000000001,35.71,0.2,1.8599999999999999,59.46,6.08,38.02,1.3599999999999999,2.06,0.30000000000000004,29.43,1.1,0.55,38.82,75.03,15.72,62.94,4.97,95.96,33.05,81.31,4.87,41.24,19.43,40.66,0.17,1.31,0.0,0.0,0.4,25.0,0.55,8.99,56.98,2.81,44.64,1.0,40.0,1.26,0.25,7.89,75.8,84.21,11.45,0,,0,,0,0.0,0.0,0.0,,,0.5,,0.8,0.9500000000000001,0.2,50.0,3.11,5,80.0
Taishi Otsu,Taishi Otsu,-794126,Kom,Kom,https://cdn5.wyscout.com/photos/team/public/1991_120x120.png,Second League,"LCB, RB",LCB,69,RB,19,,0,23.0,2002-08-14,0,,20,1860,1,0.75,0,0.16,14.23,66.31,Japan,['Japan'],unknown,0,0,False,9.64,6.27,68.29,3.7199999999999998,69.86,0.51,0.71,0.46,4.84,6.74,0.71,3,0.15,0,0.0,0.36,0.05,1,0.05,0.04,1,0.05,4,0.2,25.0,25.0,0.0,0.31,16.67,0.0,0.0,0.31,16.67,0.0,0.36,71.43,1.8900000000000001,67.57,0.51,0.46,0.0,21.26,0.36,0.97,37.78,79.76,19.38,68.68,1.94,89.47,32.69,85.49,4.79,44.68,19.69,34.6,0.01,0.2,0.0,0.0,0.0,0.0,0.0,4.59,56.67,0.51,10.0,0.15,33.33,0.15,0.05,7.5,64.63,92.62,12.44,0,,0,,0,0.0,0.0,0.0,,,0.92,,3.7199999999999998,0.0,0.0,0.0,0.0,0,0.0
O. Kasalica,Ognjen  Kasalica,-154233,Rudar,Rudar,https://cdn5.wyscout.com/photos/team/public/1988_120x120.png,Second League,LB,LB,95,,0,,0,23.0,2002-10-16,0,,20,1854,0,0.36,2,1.48,16.8,51.45,Montenegro,['Montenegro'],,0,0,False,9.17,7.04,65.52,2.18,60.0,0.15,0.19,0.15,4.42,5.68,1.26,3,0.15,0,0.0,1.6,0.0,0,0.0,0.02,0,0.0,10,0.49,20.0,0.0,0.1,3.06,28.57,3.06,28.57,0.0,0.0,0.44,1.3599999999999999,46.43,5.19,34.58,0.8300000000000001,1.7000000000000002,0.68,19.61,1.46,0.49,32.52,70.15,14.37,63.51,4.8100000000000005,85.86,24.17,79.92,5.53,47.37,20.96,37.7,0.07,0.53,0.0,0.0,0.0,0.0,0.29,5.58,63.48,2.23,36.96,0.1,0.0,0.24,0.92,8.3,67.25,73.53,8.25,0,,0,,0,0.0,0.0,0.0,,,0.68,,2.18,0.0,0.0,0.0,0.05,0,0.0
S. Kastratović,Stefan Kastratović,228443,Berane,Berane,https://cdn5.wyscout.com/photos/team/public/1995_120x120.png,Second League,GK,GK,100,,0,,0,32.0,1994-01-04,100000,,19,1837,0,0.0,0,0.0,0.5700000000000001,45.45,Montenegro,['Montenegro'],,0,0,False,2.43,0.05,0.0,0.21,100.0,0.05,0.07,0.0,2.38,3.09,0.1,3,0.15,0,0.0,0.05,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,100.0,0.16,33.33,0.0,0.0,0.0,13.66,0.26,0.05,27.38,85.44,15.53,76.67,0.05,0.0,17.8,97.09,9.52,64.13,32.41,50.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.31,59.38,0.0,0.0,0.26,20.0,0.0,0.0,7.19,75.54,97.63,10.92,16,0.8300000000000001,74,3.83,10,78.38,22.06,1.1400000000000001,6.06,0.314,0.0,0.98,0.21,,,,0.0,0,0.0
D. Bracanović,Danilo Bracanović,-85237,Kom,Kom,https://cdn5.wyscout.com/photos/team/public/1991_120x120.png,Second League,LB,LB,93,,0,,0,25.0,2000-04-09,0,,20,1835,1,0.56,1,1.04,17.53,63.13,Montenegro,['Montenegro'],left,180,73,False,11.07,7.91,73.2,3.21,58.06,0.98,1.4,0.1,4.29,6.13,0.72,5,0.25,0,0.0,2.12,0.05,1,0.05,0.03,0,0.0,16,0.8300000000000001,25.0,6.25,0.05,3.21,25.81,3.0,25.86,0.21,25.0,0.62,1.81,60.0,5.22,52.48,0.8300000000000001,1.34,0.21,17.64,1.34,1.8599999999999999,28.5,68.42,12.05,60.52,4.45,93.02,20.84,82.38,4.5,34.48,19.72,34.3,0.05,0.78,0.0,0.0,0.0,0.0,0.26,4.4,51.76,2.9,33.93,0.16,0.0,0.36,0.8300000000000001,5.9,67.54,66.67,7.14,0,,1,,0,100.0,0.14,0.01,,,0.41000000000000003,,3.21,1.09,0.26,20.0,1.1400000000000001,0,0.0
L. Pajović,Lazar Pajović,299080,Grbalj,Grbalj,https://cdn5.wyscout.com/photos/team/public/1994_120x120.png,Second League,RB,RB,90,,0,,0,30.0,1995-11-10,0,,19,1828,6,1.52,1,2.79,18.12,54.89,Montenegro,['Montenegro'],,0,0,False,9.9,5.27,71.03,3.74,51.32,0.1,0.13,0.44,6.06,7.99,0.84,3,0.15,0,0.0,3.59,0.30000000000000004,6,0.30000000000000004,0.07,0,0.0,28,1.38,35.71,21.429,0.05,2.81,35.09,0.49,50.0,2.26,32.61,0.34,3.05,69.35,7.58,47.4,0.98,1.92,0.49,19.3,1.77,0.6900000000000001,32.94,69.36,16.35,60.54,4.87,95.96,22.7,80.26,7.58,49.35,23.63,41.14,0.14,1.38,0.0,0.1,0.0,0.0,0.49,7.78,56.33,3.1,39.68,0.64,46.15,0.44,0.98,9.85,74.0,70.81,7.93,0,,0,,0,0.0,0.0,0.0,,,1.03,,3.74,1.58,0.2,50.0,3.99,0,0.0
V. Vicković,Vuko Vicković,-285409,Rudar,Rudar,https://cdn5.wyscout.com/photos/team/public/1988_120x120.png,Second League,RB,RB,95,,0,,0,23.0,2003-02-09,0,,19,1811,1,0.86,2,1.62,20.62,56.87,Montenegro,['Montenegro'],,0,0,False,11.58,9.24,70.43,1.99,42.5,0.5,0.64,0.25,4.57,5.87,1.54,2,0.1,0,0.0,2.34,0.05,0,0.0,0.04,0,0.0,6,0.30000000000000004,33.33,16.667,0.1,2.93,27.12,0.0,0.0,2.83,28.07,0.65,2.34,59.57,6.51,47.33,0.2,2.34,0.45,16.15,1.29,1.54,29.47,64.08,13.91,56.43,3.58,86.11,20.43,76.16,6.31,40.16,21.39,36.1,0.08,0.55,0.1,0.1,0.05,100.0,0.25,5.62,48.67,2.58,36.54,0.65,23.08,0.1,0.75,7.9,65.41,67.11,7.55,0,,0,,0,0.0,0.0,0.0,,,0.6000000000000001,,1.99,0.05,0.0,0.0,0.0,1,100.0
M. Pejović,Matija Pejović,-85238,Rudar,Grbalj,https://cdn5.wyscout.com/photos/team/public/1988_120x120.png,Second League,RCB,RCB,90,,0,,0,25.0,2000-10-04,0,,19,1789,0,0.8300000000000001,0,0.30000000000000004,13.88,68.12,Montenegro,['Montenegro'],right,196,0,False,10.67,6.24,74.19,4.02,76.25,0.45,0.59,0.4,5.58,7.32,0.91,4,0.2,0,0.0,0.35000000000000003,0.0,0,0.0,0.04,0,0.0,8,0.4,12.5,0.0,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.65,46.15,2.36,38.3,0.45,2.41,0.25,22.69,0.25,0.4,40.65,78.22,20.37,63.46,3.17,95.24,29.98,89.26,10.61,47.39,25.2,41.08,0.01,0.1,0.0,0.0,0.0,0.0,0.05,9.16,51.1,0.8,43.75,1.11,45.45,0.4,0.0,9.81,73.85,93.84,13.88,0,,0,,0,0.0,0.0,0.0,,,2.31,,4.02,0.0,0.0,0.0,0.0,0,0.0
A. Djukanović,Aleksandar Djukanović,-367309,Igalo,Igalo,https://cdn5.wyscout.com/photos/team/public/g19088_120x120.png,Second League,"RCB, CB",RCB,70,CB,15,,0,23.0,2002-06-04,0,,19,1787,0,0.21,0,0.21,14.3,61.27,Montenegro,['Montenegro'],unknown,188,0,False,10.88,6.25,65.32,3.22,54.69,0.35000000000000003,0.45,0.55,6.45,8.15,1.06,5,0.25,0,0.0,0.55,0.0,0,0.0,0.01,0,0.0,4,0.2,50.0,0.0,0.0,0.15,66.67,0.0,0.0,0.15,66.67,0.05,0.6000000000000001,58.33,2.62,65.38,0.30000000000000004,0.96,0.05,18.18,0.45,1.16,37.87,74.6,20.9,64.58,3.42,97.06,28.35,83.48,9.37,47.85,24.47,40.19,0.01,0.15,0.0,0.0,0.0,0.0,0.1,7.2,51.05,1.01,15.0,0.4,12.5,0.05,0.1,10.32,69.76,88.21,10.68,0,,0,,0,0.0,0.0,0.0,,,2.42,,3.22,0.05,0.05,0.0,0.0,0,0.0
B. Ljumović,Boško Ljumović,-173798,Kom,Kom,https://cdn5.wyscout.com/photos/team/public/1991_120x120.png,Second League,"LDMF, LCMF, DMF",LDMF,40,LCMF,34,DMF,13,22.0,2003-04-28,0,,20,1778,0,0.1,0,0.13,12.62,61.44,Montenegro,['Montenegro'],,175,62,False,10.16,6.42,68.33,1.44,59.26,0.16,0.23,0.16,5.61,7.91,0.91,3,0.15,0,0.0,0.75,0.0,0,0.0,0.01,0,0.0,6,0.32,16.67,0.0,0.0,0.11,100.0,0.05,100.0,0.05,100.0,0.0,0.8,66.67,3.26,54.1,0.16,0.86,0.0,26.36,0.21,0.75,46.74,75.74,19.63,65.12,4.55,89.41,40.64,80.92,5.99,40.18,19.28,35.16,0.01,0.27,0.05,0.0,0.05,100.0,0.16,9.36,62.29,0.91,35.29,0.86,37.5,0.32,0.11,8.98,63.1,85.61,14.87,0,,0,,0,0.0,0.0,0.0,,,0.59,,1.44,0.05,0.0,0.0,0.05,0,0.0
S. Ueda,Shunya  Ueda,-423375,Grbalj,Grbalj,https://cdn5.wyscout.com/photos/team/public/1994_120x120.png,Second League,"RCMF, LDMF, RCMF3",RCMF,36,LDMF,30,RCMF3,14,25.0,2000-12-08,0,,19,1763,2,0.8300000000000001,4,1.72,17.0,54.65,Japan,['Japan'],,0,0,False,7.66,6.94,63.97,2.76,57.41,0.71,0.92,0.1,2.5,3.22,1.12,3,0.15,0,0.0,1.33,0.1,2,0.1,0.04,0,0.0,11,0.56,36.36,18.182,0.2,0.41000000000000003,25.0,0.1,100.0,0.31,0.0,0.0,1.63,59.38,4.95,50.52,1.17,0.61,0.1,24.04,0.56,1.43,39.1,86.29,13.37,78.24,7.5600000000000005,94.59,35.33,88.87,3.37,66.67,16.55,36.14,0.09,0.87,0.0,0.0,0.1,50.0,0.56,5.41,77.36,1.02,65.0,0.56,72.73,0.77,0.1,6.74,79.55,91.48,11.38,0,,0,,0,0.0,0.0,0.0,,,0.51,,2.76,0.0,0.0,0.0,0.0,0,0.0
