Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
R. Abbasov,Rufat Abbasov,-292945,Shamakhi FK,Shamakhi FK,https://cdn5.wyscout.com/photos/team/public/1837_120x120.png,Premyer Liqa,"LB5, LWB, LB",LB5,38,LWB,30,LB,13,21.0,2005-01-01,0,2026-06-30,33,3154,1,1.1,6,6.29,15.04,52.94,Azerbaijan,['Azerbaijan'],left,168,61,False,8.73,7.16,65.34,1.63,36.84,0.11,0.13,0.2,3.94,4.51,1.2,2,0.06,0,0.0,2.4,0.03,1,0.03,0.03,0,0.0,21,0.6000000000000001,42.86,4.7620000000000005,0.17,2.65,36.56,2.54,37.08,0.09,33.33,0.46,1.97,59.42,4.65,44.79,0.97,1.74,0.43,15.95,1.06,0.77,23.03,69.27,8.76,56.68,4.42,94.84,16.09,81.56,4.42,43.87,22.22,38.54,0.18,1.26,0.03,0.0,0.03,0.0,0.37,4.19,55.1,2.77,46.39,0.46,37.5,0.63,0.97,6.51,73.25,67.7,6.45,0,,0,,0,0.0,0.0,0.0,,,0.17,,1.63,2.08,0.14,20.0,1.28,0,0.0
H. Hurtado,Haiderson Hurtado Palomino,485116,Turan-T,Turan-T,https://cdn5.wyscout.com/photos/team/public/1844_120x120.png,Premyer Liqa,CB,CB,95,,0,,0,30.0,1995-11-25,400000,2027-06-30,32,3070,3,3.47,1,0.44,15.92,66.3,Colombia,['Colombia'],left,185,89,False,10.38,5.95,79.31,4.69,61.88,0.18,0.24,0.38,5.48,7.57,1.32,1,0.03,0,0.0,0.32,0.09,3,0.09,0.1,2,0.06,22,0.64,36.36,13.636,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,100.0,1.88,50.0,1.11,0.06,0.03,17.68,0.06,1.2,32.07,83.91,13.05,70.56,1.08,91.89,27.64,89.18,4.43,50.99,20.32,36.46,0.01,0.06,0.03,0.0,0.0,0.0,0.03,2.81,52.08,0.41000000000000003,35.71,0.26,22.22,0.23,0.0,5.1,58.05,95.33,15.07,0,,0,,0,0.0,0.0,0.0,,,0.62,,4.69,0.0,0.0,0.0,0.0,0,0.0
Ricardo Fernandes,Ricardo José da Silva Fernandes,255702,Shamakhi FK,Shamakhi FK,https://cdn5.wyscout.com/photos/team/public/1837_120x120.png,Premyer Liqa,GK,GK,100,,0,,0,31.0,1994-10-28,125000,2027-06-30,31,3002,0,0.0,0,0.0,0.63,71.43,Portugal,['Portugal'],right,193,85,False,1.8599999999999999,0.24,25.0,0.18,100.0,0.0,0.0,0.0,1.8,2.05,0.03,4,0.12,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,100.0,0.0,0.03,0.0,5.46,0.09,0.30000000000000004,10.94,71.78,7.05,58.72,0.0,0.0,5.34,96.63,5.61,48.13,39.17,52.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.19,41.1,0.24,0.0,0.21,0.0,0.0,0.0,3.48,68.1,95.73,3.51,36,1.08,135,4.05,13,73.33,35.62,1.07,-0.38,-0.011,0.0,0.9,0.18,,,,0.0,0,0.0
Ruan Renato,Ruan Renato Bonifacio Augusto,395280,Zira,Zira,https://cdn5.wyscout.com/photos/team/public/g31325_120x120.png,Premyer Liqa,"LCB, LCB3",LCB,78,LCB3,11,,0,32.0,1994-01-14,750000,2026-06-30,31,2983,7,7.55,0,0.26,12.31,60.78,Brazil,['Brazil'],left,188,80,False,8.45,4.8,69.81,4.13,57.66,0.27,0.42,0.48,4.83,7.4,1.27,4,0.12,0,0.0,0.6000000000000001,0.21,1,0.03,0.23,1,0.03,23,0.6900000000000001,56.52,30.435,0.0,0.30000000000000004,40.0,0.30000000000000004,40.0,0.0,0.0,0.0,0.12,75.0,0.91,40.0,0.78,1.15,0.06,47.19,0.63,0.24,62.76,90.0,24.2,81.8,2.69,95.51,56.06,94.19,6.4,55.66,21.42,36.06,0.01,0.18,0.12,0.0,0.0,0.0,0.0,6.43,74.18,0.84,46.43,0.39,38.46,0.39,0.09,9.47,72.93,95.98,30.77,0,,0,,0,0.0,0.0,0.0,,,1.8399999999999999,,4.13,0.0,0.0,0.0,0.0,7,85.714
A. Salahly,Azar Salahly,161859,İmişli,İmişli,https://cdn5.wyscout.com/photos/team/public/g25722_120x120.png,Premyer Liqa,LCB3,LCB3,98,,0,,0,32.0,1994-04-11,300000,2026-06-30,31,2959,2,1.02,0,0.31,5.72,55.85,Azerbaijan,['Azerbaijan'],left,183,74,False,5.2,3.04,60.0,1.13,43.24,0.03,0.03,0.33,3.35,3.74,0.4,3,0.09,0,0.0,0.67,0.06,2,0.06,0.03,1,0.03,8,0.24,50.0,25.0,0.0,0.76,40.0,0.7000000000000001,43.48,0.06,0.0,0.15,0.36,66.67,0.9400000000000001,51.61,0.33,0.67,0.0,20.1,0.27,0.36,29.41,84.59,15.91,78.2,1.73,96.49,23.12,92.11,5.63,59.46,21.47,35.84,0.01,0.12,0.0,0.0,0.0,0.0,0.06,3.86,70.87,0.64,38.1,0.18,16.67,0.06,0.27,7.42,73.36,92.44,8.85,0,,0,,0,0.0,0.0,0.0,,,0.4,,1.13,0.06,0.0,0.0,0.06,0,0.0
S. Pokatilov,Stas Pokatilov,186843,Sabah,Sabah,https://cdn5.wyscout.com/photos/team/public/g40739_120x120.png,Premyer Liqa,GK,GK,100,,0,,0,33.0,1992-12-08,500000,2026-06-30,30,2936,0,0.0,0,0.0,0.25,75.0,Kazakhstan,['Kazakhstan'],right,190,83,False,1.23,0.0,0.0,0.18,100.0,0.0,0.0,0.0,1.23,2.05,0.0,2,0.06,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.71,0.21,0.03,17.1,87.1,10.21,81.08,0.03,100.0,12.54,96.33,4.57,61.74,28.37,45.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01,45.45,0.15,20.0,0.34,18.18,0.03,0.0,3.46,60.18,97.07,6.28,22,0.67,86,2.64,13,74.42,21.37,0.66,-0.63,-0.019,0.0,0.71,0.18,,,,0.0,0,0.0
S. Sno,Shaquill Sno,314249,Karvan,Karvan,https://cdn5.wyscout.com/photos/team/public/g3066_120x120.png,Premyer Liqa,"RB5, LB5",RB5,56,LB5,13,,0,30.0,1996-01-05,200000,2026-06-30,31,2928,1,0.79,0,1.04,15.52,53.66,Netherlands,"['Netherlands', 'Suriname']",right,176,73,False,7.75,5.8100000000000005,65.61,1.78,53.45,0.12,0.15,0.31,3.81,4.78,1.05,3,0.09,0,0.0,1.29,0.03,1,0.03,0.02,0,0.0,7,0.22,14.29,14.286,0.0,1.23,27.5,0.31,30.0,0.92,26.67,0.18,1.6,57.69,6.49,45.02,0.49,1.05,0.03,13.71,0.8300000000000001,1.63,20.84,77.29,7.5,63.93,4.4,92.31,17.55,84.59,2.06,44.78,18.05,30.54,0.03,0.4,0.0,0.0,0.0,0.0,0.12,2.74,69.66,1.26,36.59,0.31,30.0,0.12,0.34,3.93,71.09,78.24,5.23,0,,0,,0,0.0,0.0,0.0,,,0.46,,1.78,0.22,0.0,0.0,0.0,0,0.0
Cézar Henrique,Cézar Henrique Dias Santos,-93602,Shamakhi FK,Shamakhi FK,https://cdn5.wyscout.com/photos/team/public/1837_120x120.png,Premyer Liqa,"LCB3, LCB",LCB3,59,LCB,34,,0,26.0,2000-01-22,0,2026-06-30,30,2906,3,2.19,0,0.77,9.72,65.61,Brazil,['Brazil'],left,188,87,False,7.28,4.03,69.23,3.5,69.91,0.03,0.04,0.71,4.46,5.16,0.68,3,0.09,0,0.0,0.43,0.09,3,0.09,0.07,0,0.0,12,0.37,50.0,25.0,0.0,0.22,14.29,0.19,16.67,0.03,0.0,0.06,0.25,75.0,1.15,51.35,0.46,0.65,0.0,19.08,0.25,0.53,29.14,76.09,14.31,59.52,1.8,96.55,21.65,88.7,7.28,40.43,26.7,47.02,0.02,0.12,0.03,0.0,0.03,100.0,0.03,6.41,51.69,1.3,23.81,0.77,28.0,0.31,0.03,6.84,65.16,92.75,10.25,0,,0,,0,0.0,0.0,0.0,,,0.5,,3.5,0.15,0.06,0.0,0.0,0,0.0
E. Hackman,Emmanuel Hackman,398591,Turan-T,Turan-T,https://cdn5.wyscout.com/photos/team/public/1844_120x120.png,Premyer Liqa,RCB3,RCB3,94,,0,,0,31.0,1995-05-14,450000,2026-06-30,31,2886,0,2.13,0,0.28,9.26,57.24,Ghana,"['Ghana', 'Togo']",right,187,76,False,6.77,4.68,70.0,3.18,47.06,0.09,0.13,0.28,3.4,4.64,0.6900000000000001,5,0.16,0,0.0,0.16,0.0,0,0.0,0.07,0,0.0,13,0.41000000000000003,15.38,0.0,0.0,0.22,28.57,0.03,0.0,0.19,33.33,0.03,0.06,50.0,0.53,35.29,0.84,0.19,0.0,22.05,0.28,0.19,33.27,79.94,18.27,71.5,1.56,94.0,25.63,88.69,7.45,51.05,22.4,38.61,0.01,0.09,0.03,0.0,0.0,0.0,0.06,5.77,61.62,0.53,23.53,0.56,33.33,0.19,0.06,8.36,69.4,93.64,10.29,0,,0,,0,0.0,0.0,0.0,,,0.9400000000000001,,3.18,0.03,0.0,0.0,0.0,0,0.0
E. Badalov,Elvin Badalov,215518,Neftchi,Neftchi,https://cdn5.wyscout.com/photos/team/public/899_120x120.png,Premyer Liqa,RCB,RCB,95,,0,,0,30.0,1995-06-14,600000,2027-06-30,30,2859,1,1.85,0,0.59,8.94,62.68,Azerbaijan,['Azerbaijan'],right,188,78,False,6.42,4.75,67.55,2.17,59.42,0.0,0.0,0.35000000000000003,3.21,4.83,0.72,5,0.16,1,0.03,0.31,0.03,1,0.03,0.06,0,0.0,12,0.38,25.0,8.333,0.0,0.35000000000000003,27.27,0.03,0.0,0.25,37.5,0.06,0.13,100.0,0.76,45.83,0.6900000000000001,0.63,0.0,28.87,0.5,0.25,41.74,88.61,18.04,81.33,2.64,97.62,35.89,92.98,5.54,64.2,21.85,37.95,0.02,0.13,0.03,0.03,0.0,0.0,0.03,5.98,73.68,0.98,35.48,0.44,42.86,0.47000000000000003,0.06,8.22,77.78,95.04,17.12,0,,0,,0,0.0,0.0,0.0,,,1.8599999999999999,,2.17,0.0,0.0,0.0,0.0,0,0.0
