Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
A. Csenterics,Adrián Dany Hammad Csenterics,-272166,Mérida AD,Mérida AD,https://cdn5.wyscout.com/photos/team/public/g30539_120x120.png,Primera Division RFEF,GK,GK,100,,0,,0,21.0,2004-10-08,0,,30,3094,0,0.0,0,0.04,0.55,84.21,Hungary,['Hungary'],right,196,0,True,1.63,0.15,80.0,0.2,85.71,0.03,0.04,0.0,1.48,2.29,0.03,3,0.09,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,100.0,0.0,0.0,0.0,11.55,0.03,0.12,17.51,83.72,11.11,76.18,0.0,0.0,10.36,98.03,7.07,63.37,33.56,50.2,0.0,0.03,0.0,0.0,0.0,0.0,0.0,3.37,60.34,0.23,0.0,0.15,20.0,0.03,0.0,5.5,78.84,96.63,6.05,40,1.16,112,3.26,9,64.29,36.91,1.07,-3.09,-0.09,0.0,1.31,0.2,,,,0.0,0,0.0
M. Parera,Miquel Parera Pizá,360651,Racing Ferrol,Racing Ferrol,https://cdn5.wyscout.com/photos/team/public/659_120x120.png,Primera Division RFEF,GK,GK,100,,0,,0,29.0,1996-05-18,700000,2026-06-30,30,3081,0,0.0,0,0.0,1.02,85.71,Spain,['Spain'],right,182,77,False,1.43,0.12,75.0,0.67,91.3,0.03,0.04,0.0,1.31,1.9100000000000001,0.0,2,0.06,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,100.0,0.0,0.0,0.0,11.04,0.2,0.35000000000000003,17.23,86.61,9.76,78.74,0.0,0.0,10.66,96.71,6.57,70.22,32.13,48.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29,65.91,0.06,0.0,0.15,40.0,0.0,0.0,5.32,74.18,96.6,6.86,34,0.99,128,3.74,8,73.44,34.37,1.0,0.37,0.011,0.0,1.87,0.67,,,,0.0,0,0.0
D. Martín,Daniel Martín Fernández,387305,Tenerife,Tenerife,https://cdn5.wyscout.com/photos/team/public/778_120x120.png,Primera Division RFEF,GK,GK,100,,0,,0,27.0,1998-07-08,800000,2028-06-30,30,3027,0,0.0,1,0.0,0.51,88.24,Spain,['Spain'],right,187,78,False,1.37,0.06,50.0,0.30000000000000004,90.0,0.0,0.0,0.0,1.34,2.14,0.0,3,0.09,0,0.0,0.03,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.09,100.0,0.0,0.0,0.0,14.24,0.36,0.18,20.4,84.26,11.51,73.64,0.0,0.0,11.83,98.49,8.56,64.58,34.13,48.63,0.0,0.0,0.0,0.0,0.0,0.0,0.03,2.79,46.81,0.21,14.29,0.21,28.57,0.03,0.0,5.83,77.04,98.23,8.38,18,0.54,100,2.9699999999999998,17,82.0,25.75,0.77,7.75,0.23,0.0,1.1,0.30000000000000004,,,,0.0,0,0.0
F. Smand,Floris Smand,-358001,Eldense,Eldense,https://cdn5.wyscout.com/photos/team/public/g7071_120x120.png,Primera Division RFEF,"LCB, RCB, RCB3",LCB,67,RCB,14,RCB3,13,23.0,2003-01-20,0,2027-06-30,30,3006,1,0.47000000000000003,0,0.03,9.82,65.85,Netherlands,['Netherlands'],right,185,77,False,6.86,3.98,75.19,3.17,60.38,0.15,0.23,0.36,3.71,5.72,0.75,3,0.09,0,0.0,0.24,0.03,1,0.03,0.01,0,0.0,5,0.15,40.0,20.0,0.0,0.06,0.0,0.03,0.0,0.03,0.0,0.03,0.21,85.71,1.17,58.97,0.39,0.96,0.03,30.81,0.15,0.54,42.31,92.57,16.14,88.31,2.69,94.44,40.12,95.07,2.13,47.89,17.48,31.92,0.0,0.03,0.03,0.0,0.0,0.0,0.0,3.17,81.13,0.18,16.67,0.06,50.0,0.06,0.0,4.1,66.42,95.99,17.16,0,,0,,0,0.0,0.0,0.0,,,1.4100000000000001,,3.17,0.0,0.0,0.0,0.0,0,0.0
D. Fuoli,Diego Licinio Lázaro Fuoli,499775,Sabadell,Sabadell,https://cdn5.wyscout.com/photos/team/public/2516_120x120.png,Primera Division RFEF,GK,GK,100,,0,,0,28.0,1997-10-20,200000,2027-06-30,29,3001,0,0.01,1,0.44,0.42,92.86,Spain,['Spain'],right,188,79,False,1.44,0.0,0.0,0.30000000000000004,90.0,0.0,0.0,0.0,1.44,2.22,0.0,4,0.12,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,1,0.03,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,100.0,0.0,0.03,0.0,14.49,0.21,0.21,21.05,76.5,14.01,66.38,0.03,100.0,10.2,97.65,10.83,56.79,38.78,55.4,0.01,0.03,0.0,0.0,0.0,0.0,0.03,5.67,49.74,0.48,18.75,0.42,28.57,0.15,0.0,6.93,78.35,97.27,6.6,16,0.48,108,3.24,18,85.19,26.16,0.78,10.16,0.305,0.0,0.96,0.30000000000000004,,,,0.0,0,0.0
David Rodríguez,David Rodríguez Ramos,-205278,Tenerife,Tenerife,https://cdn5.wyscout.com/photos/team/public/778_120x120.png,Primera Division RFEF,"LB, RB",LB,69,RB,27,,0,25.0,2000-06-26,250000,2028-06-30,31,2992,0,1.03,1,1.1400000000000001,14.2,59.32,Spain,['Spain'],right,179,70,False,9.69,7.07,71.49,2.5,53.01,0.12,0.19,0.27,4.51,7.15,1.23,4,0.12,0,0.0,1.1400000000000001,0.0,0,0.0,0.03,0,0.0,15,0.45,20.0,0.0,0.03,1.77,28.81,1.17,35.9,0.6000000000000001,15.0,0.30000000000000004,0.9,56.67,2.71,45.56,0.87,1.44,0.30000000000000004,27.25,0.96,0.78,39.38,85.1,13.72,74.34,7.79,96.91,34.29,91.14,3.34,53.15,18.73,32.91,0.03,0.39,0.03,0.0,0.03,100.0,0.18,4.27,75.35,1.5899999999999999,37.74,0.21,28.57,0.42,0.6000000000000001,6.32,63.81,88.86,12.15,0,,0,,0,0.0,0.0,0.0,,,1.56,,2.5,0.0,0.0,0.0,0.0,0,0.0
A. Landázuri,Anthony Rigoberto Landázuri Estacio,429839,Tenerife,Tenerife,https://cdn5.wyscout.com/photos/team/public/778_120x120.png,Primera Division RFEF,"RCB, LCB",RCB,75,LCB,23,,0,28.0,1997-04-19,500000,2027-06-30,30,2988,1,1.32,0,0.32,12.65,64.76,Ecuador,['Ecuador'],right,179,81,False,7.95,4.76,74.68,4.28,55.63,0.27,0.44,0.42,4.13,6.68,0.93,4,0.12,0,0.0,0.24,0.03,1,0.03,0.04,0,0.0,8,0.24,50.0,12.5,0.0,0.09,33.33,0.0,0.0,0.09,33.33,0.0,0.06,100.0,1.1400000000000001,47.37,0.5700000000000001,0.99,0.03,34.37,0.18,0.51,47.44,89.59,17.92,80.0,3.98,96.97,42.71,93.94,4.64,50.65,21.02,39.21,0.01,0.15,0.0,0.0,0.09,33.33,0.06,6.57,71.56,0.72,50.0,0.51,35.29,0.30000000000000004,0.06,7.41,76.02,95.99,21.02,0,,0,,0,0.0,0.0,0.0,,,3.01,,4.28,0.0,0.0,0.0,0.0,0,0.0
Coke Carrillo,Jorge Carrillo Balea,-81614,Celta Fortuna,Celta Fortuna,https://cdn5.wyscout.com/photos/team/public/2701_120x120.png,Primera Division RFEF,GK,GK,100,,0,,0,24.0,2002-01-07,200000,2029-06-30,29,2970,0,0.0,0,0.0,0.88,89.66,Spain,['Spain'],right,188,75,False,2.61,0.09,33.33,0.58,100.0,0.06,0.1,0.0,2.52,4.23,0.03,2,0.06,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,66.67,0.0,0.0,0.0,10.64,0.27,0.12,20.0,86.06,9.67,73.67,0.03,100.0,15.03,97.58,4.91,51.85,26.78,46.24,0.0,0.0,0.0,0.03,0.0,0.0,0.0,1.73,45.61,0.27,11.11,0.21,42.86,0.03,0.0,3.94,60.77,97.86,8.52,36,1.09,133,4.03,8,72.93,38.45,1.17,2.45,0.074,0.03,1.6099999999999999,0.58,,,,0.0,0,0.0
Ramón Juan,Ramón Juan Ramírez,427959,Ibiza,Ibiza,https://cdn5.wyscout.com/photos/team/public/g39898_120x120.png,Primera Division RFEF,GK,GK,100,,0,,0,26.0,1999-12-10,600000,2026-06-30,29,2950,0,0.0,0,0.0,0.9500000000000001,74.19,Spain,['Spain'],right,179,79,False,2.29,0.21,42.86,0.46,93.33,0.03,0.05,0.0,2.17,3.34,0.0,0,0.0,0,0.0,0.03,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.27,66.67,0.0,0.0,0.0,12.45,0.06,0.15,23.0,86.47,12.81,78.33,0.06,50.0,14.31,98.08,8.66,67.61,32.06,46.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.07,54.41,0.06,0.0,0.12,0.0,0.0,0.0,6.25,76.59,97.43,9.49,29,0.88,97,2.96,11,70.1,25.57,0.78,-3.43,-0.105,0.03,1.28,0.46,,,,0.0,0,0.0
Hugo Sanz,Hugo  Sanz Pérez,-370806,Ourense CF,Ourense CF,https://cdn5.wyscout.com/photos/team/public/g39884_120x120.png,Primera Division RFEF,LB,LB,96,,0,,0,23.0,2002-04-21,0,2026-06-30,30,2948,3,0.45,3,4.72,9.43,41.75,Spain,['Spain'],left,174,0,False,5.53,4.21,45.65,1.19,35.9,0.03,0.04,0.24,3.5700000000000003,5.15,0.34,3,0.09,0,0.0,2.01,0.09,3,0.09,0.01,1,0.03,8,0.24,75.0,37.5,0.09,3.66,35.0,3.48,35.09,0.18,33.33,0.43,0.89,62.07,2.47,37.04,0.98,1.22,0.52,19.72,1.4,0.27,29.37,70.48,11.57,65.44,4.95,91.98,21.49,80.68,4.43,50.34,20.31,31.9,0.14,0.98,0.03,0.0,0.0,0.0,0.58,3.51,56.52,2.5,42.68,0.18,33.33,0.21,1.22,7.33,70.42,66.8,7.63,0,,0,,0,0.0,0.0,0.0,,,0.55,,1.19,0.58,0.03,0.0,0.98,0,0.0
