Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Vireak Dara,Dara Vireak,-189049,Svay Rieng,Svay Rieng,https://cdn5.wyscout.com/photos/team/public/g15009_120x120.png,Cambodian Premier League,GK,GK,100,,0,,0,22.0,2003-10-30,0,,24,2457,1,0.01,0,0.32,0.55,86.67,Cambodia,['Cambodia'],,0,0,False,1.28,0.04,0.0,0.37,90.0,0.0,0.0,0.0,1.28,2.54,0.0,1,0.04,0,0.0,0.07,0.04,1,0.04,0.0,0,0.0,1,0.04,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,0.15,100.0,0.0,0.0,0.0,19.82,0.44,0.18,27.73,87.71,13.15,76.32,0.0,0.0,20.29,97.47,7.44,61.08,28.29,45.92,0.01,0.07,0.0,0.0,0.0,0.0,0.07,2.64,52.78,0.22,16.67,0.4,45.45,0.04,0.0,4.84,67.42,99.18,13.41,22,0.81,72,2.64,9,69.44,17.64,0.65,-4.36,-0.16,0.0,1.17,0.37,,,,0.0,0,0
K. Salim,Koy Salim,-171346,Boeung Ket,Boeung Ket,https://cdn5.wyscout.com/photos/team/public/g21053_120x120.png,Cambodian Premier League,GK,GK,100,,0,,0,23.0,2002-12-10,0,2026-05-31,24,2419,0,0.0,0,0.0,0.97,76.92,Cambodia,['Cambodia'],right,0,0,False,1.12,0.0,0.0,0.67,72.22,0.04,0.05,0.0,1.08,1.42,0.0,2,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,100.0,0.0,0.0,0.04,7.03,0.30000000000000004,0.26,12.28,79.09,7.33,68.53,0.0,0.0,7.66,97.57,4.58,48.78,35.87,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,37.29,0.22,0.0,0.22,16.67,0.0,0.0,3.05,70.73,95.9,4.54,19,0.71,101,3.76,11,81.19,23.11,0.86,4.11,0.153,0.0,1.67,0.67,,,,0.0,0,0
S. Kelly,Sean Kelly,201704,Boeung Ket,Boeung Ket,https://cdn5.wyscout.com/photos/team/public/g21053_120x120.png,Cambodian Premier League,LCB,LCB,93,,0,,0,32.0,1993-11-01,300000,,24,2419,1,0.46,1,0.79,8.37,61.78,Scotland,['Scotland'],left,188,76,False,6.77,3.5300000000000002,68.42,2.98,62.5,0.41000000000000003,0.54,0.6000000000000001,3.94,5.2,0.33,1,0.04,0,0.0,0.15,0.04,1,0.04,0.02,0,0.0,9,0.33,22.22,11.111,0.04,0.11,66.67,0.07,50.0,0.04,100.0,0.0,0.0,0.0,0.52,50.0,0.56,0.37,0.0,23.03,0.33,0.37,33.78,84.14,16.37,73.41,1.45,100.0,25.82,93.66,7.85,53.08,24.99,40.78,0.03,0.26,0.04,0.0,0.0,0.0,0.15,6.44,55.49,0.67,16.67,0.6000000000000001,37.5,0.11,0.07,7.74,78.85,94.65,13.91,0,,0,,0,0.0,0.0,0.0,,,0.97,,2.98,0.15,0.15,50.0,0.30000000000000004,0,0
R. Lyheng,Reth Lyheng,-172160,Naga World,Naga World,https://cdn5.wyscout.com/photos/team/public/g14926_120x120.png,Cambodian Premier League,GK,GK,100,,0,,0,22.0,2004-01-01,0,,24,2405,0,0.0,0,0.0,1.42,84.21,Cambodia,['Cambodia'],,0,0,False,3.85,0.15,75.0,0.64,94.12,0.07,0.11,0.0,3.67,5.19,0.04,2,0.07,0,0.0,0.04,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,0.26,85.71,0.0,0.0,0.07,18.41,0.22,0.41000000000000003,30.42,85.24,12.91,70.43,0.0,0.0,22.04,96.77,8.38,54.91,29.16,47.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.98,49.06,0.22,16.67,0.11,33.33,0.04,0.0,5.76,57.14,96.38,16.54,22,0.8200000000000001,86,3.22,7,74.42,20.68,0.77,-1.32,-0.049,0.0,2.47,0.64,,,,0.0,0,0
R. Feher,Raul Mihai Feher,495229,Phnom Penh Crown,Phnom Penh Crown,https://cdn5.wyscout.com/photos/team/public/g13099_120x120.png,Cambodian Premier League,"LCB3, CB, LCB",LCB3,47,CB,23,LCB,22,29.0,1997-03-12,250000,,23,2384,6,3.35,1,0.46,15.48,60.98,Romania,['Romania'],left,190,82,False,8.53,5.89,71.79,4.49,61.34,0.19,0.30000000000000004,0.38,4.11,6.46,0.98,5,0.19,0,0.0,0.76,0.23,5,0.19,0.13,2,0.08,19,0.72,47.37,31.579,0.04,0.23,16.67,0.11,0.0,0.11,33.33,0.15,0.72,52.63,3.17,45.24,1.13,1.81,0.23,30.99,0.72,0.64,48.47,87.38,23.18,81.11,2.87,96.05,42.85,92.07,5.4,53.15,21.71,41.16,0.02,0.23,0.0,0.0,0.0,0.0,0.15,6.23,75.15,0.49,53.85,0.23,50.0,0.30000000000000004,0.04,10.31,73.99,95.15,17.89,0,,0,,0,0.0,0.0,0.0,,,1.17,,4.49,0.0,0.0,0.0,0.0,1,100
Y. Minagawa,Yusuke Minagawa,330917,Naga World,Naga World,https://cdn5.wyscout.com/photos/team/public/g14926_120x120.png,Cambodian Premier League,CF,CF,99,,0,,0,34.0,1991-10-09,200000,2026-06-30,24,2305,12,11.52,3,1.5899999999999999,15.66,42.39,Japan,['Japan'],right,185,83,False,3.05,2.73,55.71,4.92,44.44,0.0,0.0,0.12,1.52,2.19,1.13,0,0.0,0,0.0,1.33,0.47000000000000003,10,0.39,0.45,5,0.2,67,2.62,37.31,16.418,0.12,0.2,20.0,0.04,0.0,0.16,25.0,0.0,0.7000000000000001,33.33,5.62,32.64,3.2,0.31,0.04,10.43,2.03,1.9100000000000001,15.62,71.0,4.76,51.64,3.2800000000000002,90.48,13.67,77.14,1.76,28.89,17.61,34.31,0.06,0.51,0.04,0.0,0.12,66.67,0.31,2.9699999999999998,44.74,0.9400000000000001,45.83,0.12,66.67,0.47000000000000003,0.08,2.11,55.56,69.44,4.22,0,,0,,0,0.0,0.0,0.0,,,0.04,,4.92,0.0,0.0,0.0,0.0,1,100
S. Murata,Shori Murata,473092,Tiffy Army FC,Tiffy Army FC,https://cdn5.wyscout.com/photos/team/public/g15012_120x120.png,Cambodian Premier League,"LCMF, RCMF",LCMF,54,RCMF,13,,0,32.0,1993-09-04,0,,23,2298,0,0.21,1,0.76,9.36,47.28,Japan,['Japan'],,172,0,False,4.82,2.74,71.43,1.02,46.15,0.2,0.24,0.27,2.66,3.26,0.23,1,0.04,0,0.0,0.7000000000000001,0.0,0,0.0,0.01,0,0.0,7,0.27,0.0,0.0,0.04,0.59,46.67,0.23,50.0,0.35000000000000003,44.44,0.16,0.59,60.0,3.49,30.34,0.27,1.17,0.16,37.87,0.35000000000000003,0.35000000000000003,51.34,86.88,18.99,75.46,5.25,94.03,45.2,91.68,5.5600000000000005,52.11,20.22,37.69,0.03,0.35000000000000003,0.2,0.04,0.2,40.0,0.2,9.67,70.45,1.8,43.48,0.78,25.0,0.51,0.23,8.66,78.73,94.58,21.66,0,,0,,0,0.0,0.0,0.0,,,0.59,,1.02,0.04,0.0,0.0,0.0,0,0
Lucas Venuto,Lucas Henrique Ferreira Venuto,228714,Naga World,Naga World,https://cdn5.wyscout.com/photos/team/public/g14926_120x120.png,Cambodian Premier League,"LW, LAMF, CF",LW,27,LAMF,26,CF,19,31.0,1995-01-14,0,,24,2295,5,5.79,7,5.99,19.69,48.21,Brazil,['Brazil'],right,164,60,False,2.55,2.04,71.15,0.31,25.0,0.0,0.0,0.04,1.1,1.5899999999999999,0.2,1,0.04,0,0.0,5.53,0.2,5,0.2,0.23,0,0.0,66,2.59,48.48,7.5760000000000005,0.27,2.98,31.58,2.27,29.31,0.67,35.29,0.63,5.57,57.75,15.88,46.17,4.39,3.76,0.47000000000000003,20.51,3.02,2.55,27.8,80.54,4.31,78.18,9.84,92.43,24.16,87.18,0.78,55.0,16.29,21.23,0.24,1.6099999999999999,0.04,0.08,0.16,75.0,0.78,1.4100000000000001,83.33,2.55,50.77,0.2,60.0,1.29,1.06,3.5300000000000002,80.0,72.08,7.73,0,,0,,0,0.0,0.0,0.0,,,0.2,,0.31,0.35000000000000003,0.08,0.0,0.8200000000000001,0,0
P. Dy,Pharunn Dy,-341001,Kompong Dewa,Kompong Dewa,https://cdn5.wyscout.com/photos/team/public/g-24261_120x120.png,Cambodian Premier League,"RDMF, RCMF, LDMF",RDMF,37,RCMF,16,LDMF,15,22.0,2003-05-05,0,,24,2295,1,3.33,2,1.42,15.57,53.15,Cambodia,['Cambodia'],unknown,0,0,False,8.2,7.06,66.67,1.06,40.74,0.39,0.51,0.16,3.1,4.04,0.59,0,0.0,0,0.0,1.76,0.04,1,0.04,0.13,0,0.0,42,1.65,35.71,2.3810000000000002,0.08,0.71,16.67,0.16,25.0,0.55,14.29,0.08,1.57,65.0,5.18,40.91,0.9400000000000001,0.8200000000000001,0.16,23.76,0.51,0.55,32.51,79.37,11.88,66.67,4.78,94.26,27.65,85.82,4.16,47.17,18.56,37.42,0.06,0.43,0.04,0.04,0.27,14.29,0.12,6.75,64.53,1.29,39.39,0.43,27.27,0.31,0.16,5.41,71.74,84.67,10.75,0,,0,,0,0.0,0.0,0.0,,,0.43,,1.06,0.9,0.2,60.0,1.57,0,0
Dida,Wagner Augusto Guimarães dos Santos,-369005,Kompong Dewa,Kompong Dewa,https://cdn5.wyscout.com/photos/team/public/g-24261_120x120.png,Cambodian Premier League,GK,GK,100,,0,,0,27.0,1998-04-28,0,,23,2294,0,0.0,0,0.0,1.69,79.07,Brazil,['Brazil'],right,197,87,False,2.12,0.35000000000000003,66.67,0.63,87.5,0.16,0.2,0.0,1.73,2.25,0.08,4,0.16,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,90.0,0.0,0.0,0.0,12.24,0.2,0.43,21.19,77.78,12.87,64.33,0.0,0.0,13.3,97.94,7.89,43.78,34.9,52.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.49,34.83,0.27,0.0,0.47000000000000003,41.67,0.0,0.0,5.77,61.9,98.92,7.26,32,1.26,108,4.24,7,70.37,29.23,1.15,-2.77,-0.109,0.0,2.08,0.63,,,,0.0,0,0
