Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Frederico Namora,Nuno Frederico Melo Machado Cerejeira Namora,495004,UD Oliveirense,UD Oliveirense,https://cdn5.wyscout.com/photos/team/public/g1740_120x120.png,Segunda Liga,"LCB, LCB3, RCB3",LCB,38,LCB3,29,RCB3,17,28.0,1998-02-12,0,,34,3336,0,0.33,2,0.29,10.39,57.66,Portugal,['Portugal'],left,178,73,False,8.39,4.05,71.33,3.35,41.13,0.08,0.12,0.62,5.42,7.93,0.51,4,0.11,0,0.0,0.4,0.0,0,0.0,0.01,0,0.0,6,0.16,16.67,0.0,0.05,0.22,50.0,0.16,33.33,0.03,100.0,0.03,0.22,87.5,1.13,59.52,0.22,0.81,0.05,25.6,0.13,0.51,43.35,84.19,21.37,75.25,2.7199999999999998,93.07,37.5,89.35,5.64,51.2,22.93,39.91,0.01,0.13,0.03,0.0,0.08,100.0,0.08,5.67,60.48,0.84,41.94,0.5700000000000001,28.57,0.24,0.11,9.44,70.29,93.97,16.56,0,,0,,0,0.0,0.0,0.0,,,1.94,,3.35,0.0,0.0,0.0,0.0,0,0.0
Ricardo Ribeiro,Ricardo Abreu Ribeiro,140284,UD Oliveirense,UD Oliveirense,https://cdn5.wyscout.com/photos/team/public/g1740_120x120.png,Segunda Liga,GK,GK,100,,0,,0,36.0,1990-01-27,50000,2026-06-30,34,3334,0,0.0,0,0.0,0.76,100.0,Portugal,['Portugal'],right,184,75,False,1.48,0.13,100.0,0.43,100.0,0.0,0.0,0.0,1.35,1.98,0.0,3,0.08,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,100.0,0.0,0.0,0.0,10.12,0.16,0.38,15.82,85.49,8.8,74.85,0.0,0.0,9.66,99.16,6.15,64.04,32.89,50.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,55.41,0.13,20.0,0.03,0.0,0.0,0.0,4.48,76.51,98.74,6.45,46,1.24,166,4.48,12,72.29,44.61,1.2,-1.3900000000000001,-0.038,0.0,1.16,0.43,,,,0.0,0,0.0
Antonio Gomís,Antonio Gomís Alemañ,-289357,Vizela,Vizela,https://cdn5.wyscout.com/photos/team/public/1547_120x120.png,Segunda Liga,GK,GK,100,,0,,0,22.0,2003-05-20,0,2027-06-30,33,3323,0,0.0,0,0.17,1.06,82.05,Spain,['Spain'],left,186,80,False,2.0,0.08,66.67,0.5700000000000001,95.24,0.0,0.0,0.0,1.9500000000000002,3.23,0.03,4,0.11,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,62.5,0.0,0.0,0.0,12.86,0.16,0.30000000000000004,20.53,82.59,12.03,71.85,0.03,0.0,13.38,98.38,7.12,53.23,30.88,49.44,0.0,0.03,0.0,0.0,0.0,0.0,0.03,2.2800000000000002,33.33,0.33,0.0,0.27,20.0,0.0,0.0,4.82,69.1,98.25,7.72,36,0.98,132,3.58,11,72.73,34.39,0.93,-1.6099999999999999,-0.044,0.0,1.6800000000000002,0.5700000000000001,,,,0.0,0,0.0
Javi Vázquez,Javier María Vázquez López,460192,Torreense,Torreense,https://cdn5.wyscout.com/photos/team/public/g1734_120x120.png,Segunda Liga,LB,LB,93,,0,,0,25.0,2000-09-24,200000,2027-06-30,33,3269,4,3.76,7,6.39,11.37,55.93,Spain,['Spain'],left,178,70,False,6.52,4.52,67.07,1.9,47.83,0.19,0.27,0.06,3.3,4.6,0.55,3,0.08,0,0.0,3.52,0.11,3,0.08,0.1,0,0.0,37,1.02,35.14,10.811,0.19,4.98,35.36,4.85,34.66,0.11,50.0,0.36,2.06,64.0,3.47,51.59,1.1,0.72,0.06,25.16,2.45,0.61,34.52,68.26,14.37,63.22,5.37,93.85,23.02,82.18,6.91,44.62,23.49,41.02,0.18,1.65,0.03,0.03,0.11,75.0,0.55,6.44,56.84,5.45,47.98,0.5,27.78,1.05,1.71,10.41,71.69,64.97,10.3,0,,0,,0,0.0,0.0,0.0,,,0.6900000000000001,,1.9,1.76,0.22,25.0,1.73,2,50.0
Afonso Silva,Afonso Rodrigues Silva,-306336,Felgueiras 1932,Felgueiras 1932,https://cdn5.wyscout.com/photos/team/public/g25119_120x120.png,Segunda Liga,"RCB, LCB, RCB3",RCB,42,LCB,33,RCB3,13,22.0,2004-04-28,0,2026-06-30,33,3241,0,2.12,0,0.55,14.05,62.85,Portugal,['Portugal'],left,176,69,False,8.5,5.0,73.33,4.44,53.75,0.28,0.44,0.42,4.55,7.17,0.9400000000000001,5,0.14,0,0.0,0.61,0.0,0,0.0,0.06,0,0.0,22,0.61,27.27,0.0,0.0,0.28,40.0,0.17,33.33,0.08,66.67,0.08,0.39,85.71,2.19,68.35,1.31,0.64,0.0,18.63,0.06,1.58,30.13,85.44,14.61,77.0,1.1400000000000001,90.24,25.38,91.47,4.5,54.32,21.81,38.52,0.02,0.19,0.0,0.0,0.0,0.0,0.06,5.36,66.32,0.44,25.0,0.33,8.33,0.14,0.06,6.72,74.79,96.58,12.16,0,,0,,0,0.0,0.0,0.0,,,0.64,,4.44,0.0,0.0,0.0,0.0,0,0.0
Samú Silva,Samuel António Silva,-66838,Marítimo,Marítimo,https://cdn5.wyscout.com/photos/team/public/162_120x120.png,Segunda Liga,GK,GK,100,,0,,0,27.0,1999-05-12,450000,2026-06-30,33,3232,0,0.0,0,0.0,0.61,90.91,France,"['France', 'Portugal']",right,193,90,False,2.0,0.06,100.0,0.39,92.86,0.06,0.1,0.0,1.8900000000000001,3.3,0.08,4,0.11,0,0.0,0.03,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.11,100.0,0.0,0.0,0.0,12.17,0.14,0.14,18.07,83.82,10.36,73.12,0.0,0.0,10.83,97.94,7.21,62.93,32.98,50.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,60.66,0.36,30.77,0.14,20.0,0.08,0.0,5.46,76.02,99.19,6.85,28,0.78,124,3.45,14,77.42,29.74,0.8300000000000001,1.74,0.048,0.0,0.9500000000000001,0.39,,,,0.0,0,0.0
Joan Femenías,Joan Femenías del Salto,282236,Penafiel,Penafiel,https://cdn5.wyscout.com/photos/team/public/1964_120x120.png,Segunda Liga,GK,GK,100,,0,,0,29.0,1996-08-19,600000,2026-06-30,32,3227,0,0.0,0,0.0,0.56,95.0,Spain,['Spain'],right,189,79,False,1.34,0.08,100.0,0.28,100.0,0.0,0.0,0.0,1.26,1.77,0.0,3,0.08,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,100.0,0.0,0.0,0.0,11.02,0.11,0.33,16.98,83.09,9.32,73.65,0.0,0.0,9.79,98.01,7.14,63.28,33.02,47.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.87,46.27,0.11,0.0,0.11,0.0,0.0,0.0,5.08,73.08,96.09,7.14,35,0.98,151,4.21,13,76.82,43.07,1.2,8.07,0.225,0.0,1.3900000000000001,0.28,,,,0.0,0,0.0
Vitor Hugo,Vitor Hugo Batista Araujo de Mendonça,-131806,Lusitania FC Lourosa,Lusitania FC Lourosa,https://cdn5.wyscout.com/photos/team/public/g2905_120x120.png,Segunda Liga,GK,GK,100,,0,,0,24.0,2001-07-27,0,2028-06-30,33,3226,0,0.0,0,0.0,0.86,77.42,Brazil,['Brazil'],right,195,92,False,1.76,0.17,50.0,0.47000000000000003,94.12,0.03,0.04,0.0,1.65,2.35,0.11,2,0.06,1,0.03,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,80.0,0.0,0.0,0.0,9.62,0.22,0.17,14.73,83.14,7.84,71.53,0.0,0.0,8.96,96.88,5.72,62.44,34.7,51.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.65,50.85,0.08,33.33,0.11,25.0,0.03,0.0,4.85,72.41,97.77,6.25,47,1.31,150,4.18,8,68.67,45.84,1.28,-1.16,-0.032,0.0,1.26,0.47000000000000003,,,,0.0,0,0.0
S. Messeguem,Soufiane Messeguem,-54246,Académico de Viseu F.C.,Académico de Viseu F.C.,https://cdn5.wyscout.com/photos/team/public/g1737_120x120.png,Segunda Liga,"LDMF, LCMF",LDMF,64,LCMF,20,,0,25.0,2001-02-05,550000,2028-06-30,33,3221,1,2.7199999999999998,10,4.7,15.98,47.38,Germany,"['Germany', 'Algeria']",left,180,72,False,8.41,6.43,60.87,1.65,38.98,0.48,0.73,0.39,4.02,6.17,1.34,8,0.22,0,0.0,1.5899999999999999,0.03,1,0.03,0.08,0,0.0,42,1.17,23.81,2.3810000000000002,0.28,1.01,44.44,0.73,38.46,0.28,60.0,0.14,1.73,45.16,5.98,39.25,0.73,0.78,0.14,18.78,0.5,1.65,28.81,77.59,10.9,62.56,5.11,94.54,24.62,83.2,3.24,43.97,19.78,37.66,0.13,0.92,0.08,0.03,0.17,50.0,0.39,4.95,59.89,1.9300000000000002,46.38,0.42,40.0,0.5,0.45,5.64,72.77,85.76,9.22,0,,0,,0,0.0,0.0,0.0,,,0.7000000000000001,,1.65,0.73,0.22,37.5,0.98,0,0.0
Andre Clóvis,André Clóvis Silva Filho,434152,Académico de Viseu F.C.,Académico de Viseu F.C.,https://cdn5.wyscout.com/photos/team/public/g1737_120x120.png,Segunda Liga,CF,CF,96,,0,,0,28.0,1997-11-21,1300000,2028-06-30,34,3206,23,20.97,2,1.32,17.69,33.97,Brazil,['Brazil'],right,186,78,False,2.22,1.85,57.58,4.83,34.3,0.0,0.0,0.08,1.15,1.79,1.6800000000000002,3,0.08,0,0.0,2.3,0.65,20,0.56,0.59,2,0.06,117,3.2800000000000002,43.59,19.658,0.06,0.56,50.0,0.22,62.5,0.34,41.67,0.03,1.26,42.22,6.51,29.74,3.87,0.56,0.03,6.32,2.02,1.26,9.18,67.89,2.39,50.59,2.61,82.8,7.72,72.0,0.93,45.45,18.11,23.76,0.04,0.45,0.08,0.0,0.11,50.0,0.25,1.26,51.11,0.9500000000000001,44.12,0.2,42.86,0.39,0.25,1.43,68.63,69.23,2.19,0,,0,,0,0.0,0.0,0.0,,,0.14,,4.83,0.0,0.0,0.0,0.0,4,75.0
