Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
J. Newman,Jack Newman,475129,Peterhead,Peterhead,https://cdn5.wyscout.com/photos/team/public/2927_120x120.png,League One,GK,GK,100,,0,,0,24.0,2002-02-12,150000,2026-05-31,31,2957,0,0.0,0,0.0,0.79,80.77,England,"['England', 'Scotland']",right,192,80,False,1.98,0.18,50.0,0.46,93.33,0.0,0.0,0.0,1.8900000000000001,2.81,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,100.0,0.0,0.0,0.0,8.8,0.09,0.12,16.59,81.83,10.04,70.91,0.0,0.0,8.49,97.85,8.1,65.04,34.19,47.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.77,44.83,0.12,0.0,0.18,33.33,0.03,0.0,6.06,75.88,98.45,5.9,54,1.6400000000000001,133,4.05,3,59.4,42.73,1.3,-11.27,-0.343,0.0,1.55,0.46,,,,0.0,0,0.0
R. Munro,Ross Munro,451119,Inverness CT,Inverness CT,https://cdn5.wyscout.com/photos/team/public/304_120x120.png,League One,GK,GK,100,,0,,0,26.0,2000-04-01,75000,2026-05-31,30,2864,0,0.0,0,0.08,0.72,91.3,Scotland,['Scotland'],left,182,83,False,1.01,0.06,50.0,0.47000000000000003,100.0,0.03,0.05,0.0,0.9400000000000001,1.51,0.03,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,100.0,0.0,0.0,0.0,13.39,0.09,0.22,20.17,87.69,9.71,76.7,0.0,0.0,14.46,98.7,5.72,59.89,28.76,47.74,0.0,0.03,0.0,0.0,0.0,0.0,0.0,1.48,40.43,0.13,0.0,0.16,0.0,0.0,0.0,3.65,65.52,98.0,9.43,21,0.66,74,2.33,15,71.62,25.57,0.8,4.57,0.14400000000000002,0.0,1.4100000000000001,0.47000000000000003,,,,0.0,0,0.0
R. Savage,Remi Savage,506414,Inverness CT,Inverness CT,https://cdn5.wyscout.com/photos/team/public/304_120x120.png,League One,LCB,LCB,99,,0,,0,24.0,2001-10-26,0,2026-05-31,30,2864,0,1.05,1,0.81,16.59,66.67,England,['England'],left,0,0,False,8.58,6.16,77.55,4.8100000000000005,58.82,0.09,0.15,0.63,3.71,5.92,0.91,7,0.22,1,0.03,0.31,0.0,0,0.0,0.03,0,0.0,4,0.13,0.0,0.0,0.03,0.25,37.5,0.19,50.0,0.0,0.0,0.09,0.28,55.56,2.42,45.45,0.19,1.32,0.0,35.16,0.38,1.04,53.55,87.38,24.57,78.26,3.99,98.43,45.69,92.92,7.6,55.79,22.76,41.74,0.03,0.19,0.0,0.0,0.16,40.0,0.13,8.58,68.13,1.48,38.3,0.91,34.48,0.41000000000000003,0.13,11.41,77.13,95.7,21.21,0,,0,,0,0.0,0.0,0.0,,,3.05,,4.8100000000000005,0.0,0.0,0.0,0.0,0,0.0
D. Forrest,Dylan Forrest,-57279,Peterhead,Peterhead,https://cdn5.wyscout.com/photos/team/public/2927_120x120.png,League One,"RDMF, DMF",RDMF,43,DMF,25,,0,24.0,2002-01-14,0,2026-05-31,31,2844,2,1.2,0,0.63,19.78,56.96,Scotland,['Scotland'],,0,0,False,10.79,8.1,63.28,3.73,52.54,0.41000000000000003,0.61,0.38,5.25,7.74,1.33,8,0.25,0,0.0,0.7000000000000001,0.06,2,0.06,0.04,0,0.0,24,0.76,25.0,8.333,0.0,0.38,25.0,0.16,20.0,0.06,50.0,0.06,0.85,48.15,4.91,49.68,0.19,0.73,0.03,22.06,0.32,2.44,39.87,74.6,18.92,61.87,3.51,90.09,32.75,80.68,6.74,47.89,18.62,32.53,0.02,0.32,0.0,0.03,0.13,0.0,0.09,8.16,61.63,1.65,34.62,0.41000000000000003,23.08,0.54,0.13,8.07,70.59,88.15,11.49,0,,0,,0,0.0,0.0,0.0,,,0.47000000000000003,,3.73,0.89,0.03,0.0,0.0,0,0.0
K. Shanks,Kieran  Shanks,-353307,Peterhead,Peterhead,https://cdn5.wyscout.com/photos/team/public/2927_120x120.png,League One,CF,CF,98,,0,,0,23.0,2002-04-30,0,2026-05-31,31,2837,17,17.84,3,1.34,33.72,34.24,Scotland,['Scotland'],right,0,0,False,3.9699999999999998,3.43,62.04,10.31,27.69,0.19,0.28,0.16,1.65,2.46,2.2800000000000002,7,0.22,0,0.0,2.32,0.54,12,0.38,0.5700000000000001,1,0.03,76,2.41,40.79,22.368,0.1,1.3,31.71,0.38,33.33,0.89,28.57,0.13,1.4,65.91,12.21,34.55,3.84,0.7000000000000001,0.16,10.56,2.47,2.73,17.16,61.74,4.7,45.27,3.52,79.28,15.23,63.96,0.67,71.43,14.62,16.16,0.04,0.76,0.06,0.03,0.1,0.0,0.25,2.25,46.48,1.52,50.0,0.16,40.0,0.7000000000000001,0.38,2.0,73.02,58.27,4.03,0,,0,,0,0.0,0.0,0.0,,,0.03,,10.31,0.0,0.0,0.0,0.0,6,83.333
R. Stewart,Ross Stewart,279026,Queen of the South,Queen of the South,https://cdn5.wyscout.com/photos/team/public/1229_120x120.png,League One,GK,GK,100,,0,,0,30.0,1995-04-10,150000,2026-05-31,29,2786,0,0.0,0,0.23,1.03,90.63,Scotland,['Scotland'],right,191,71,False,1.62,0.03,100.0,0.65,95.0,0.0,0.0,0.0,1.58,2.29,0.0,4,0.13,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,75.0,0.0,0.0,0.0,14.21,0.32,0.39,23.49,81.43,14.34,71.4,0.0,0.0,11.37,98.01,12.08,66.04,37.6,49.18,0.01,0.03,0.03,0.0,0.0,0.0,0.0,5.72,61.02,0.29,22.22,0.29,22.22,0.03,0.0,8.17,84.19,97.41,8.72,39,1.26,133,4.3,6,70.68,39.86,1.29,0.86,0.028,0.0,1.87,0.65,,,,0.0,0,0.0
D. Jamieson,Darren Jamieson,87738,Stenhousemuir,Stenhousemuir,https://cdn5.wyscout.com/photos/team/public/g1929_120x120.png,League One,GK,GK,100,,0,,0,35.0,1991-02-15,0,2026-05-31,29,2757,0,0.0,0,0.0,0.44,76.92,Scotland,['Scotland'],right,185,71,False,1.25,0.03,0.0,0.24,85.71,0.0,0.0,0.0,1.25,1.71,0.03,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,100.0,0.0,0.0,0.0,8.8,0.2,0.2,17.95,69.25,14.02,62.56,0.0,0.0,5.76,92.94,12.12,58.38,45.73,54.04,0.0,0.0,0.0,0.03,0.0,0.0,0.0,6.47,54.45,0.58,17.65,0.47000000000000003,35.71,0.1,0.0,8.36,81.78,94.5,3.69,22,0.74,106,3.59,13,79.25,26.79,0.91,4.79,0.162,0.0,1.42,0.24,,,,0.0,0,0.0
D. Devine,Daniel Devine,158891,Inverness CT,Inverness CT,https://cdn5.wyscout.com/photos/team/public/304_120x120.png,League One,RCB,RCB,100,,0,,0,33.0,1992-09-07,200000,2027-05-31,29,2749,1,2.36,0,0.56,15.49,60.04,Northern Ireland,['Northern Ireland'],right,183,70,False,8.71,5.5,73.21,6.42,53.57,0.1,0.16,0.36,4.58,7.37,1.28,7,0.23,0,0.0,0.52,0.03,1,0.03,0.08,0,0.0,15,0.49,26.67,6.667,0.0,0.49,46.67,0.0,0.0,0.46,50.0,0.0,0.16,80.0,1.11,52.94,0.92,1.7000000000000002,0.0,41.84,0.62,0.59,63.25,82.25,34.47,74.74,2.32,92.96,50.68,90.5,12.08,49.05,22.27,37.92,0.02,0.29,0.0,0.07,0.03,100.0,0.1,10.25,56.23,1.6400000000000001,34.0,1.15,25.71,0.39,0.23,15.52,72.78,93.43,21.41,0,,0,,0,0.0,0.0,0.0,,,1.44,,6.42,0.0,0.0,0.0,0.0,0,0.0
G. Buchanan,Gregor Buchanan,254599,Stenhousemuir,Stenhousemuir,https://cdn5.wyscout.com/photos/team/public/g1929_120x120.png,League One,"RCB, CB",RCB,75,CB,17,,0,35.0,1990-03-31,0,2027-05-31,29,2742,0,2.42,1,0.72,13.83,64.53,Scotland,['Scotland'],right,191,76,False,6.71,3.17,69.89,7.29,65.42,0.2,0.28,0.44,4.29,5.83,0.89,9,0.30000000000000004,0,0.0,0.24,0.0,0,0.0,0.08,0,0.0,16,0.54,31.25,0.0,0.03,0.07,50.0,0.03,0.0,0.03,100.0,0.03,0.03,100.0,0.65,52.63,0.8200000000000001,0.17,0.0,9.84,0.17,0.8200000000000001,24.25,68.12,14.91,56.39,1.5,97.73,15.63,81.48,8.55,43.82,26.88,42.21,0.02,0.1,0.0,0.0,0.0,0.0,0.07,6.3,44.86,0.72,19.05,0.48,14.29,0.27,0.07,7.93,59.66,87.23,6.4,0,,0,,0,0.0,0.0,0.0,,,1.23,,7.29,0.07,0.0,0.0,0.0,0,0.0
M. Douglas,Matthew Douglas,361549,Queen of the South,Queen of the South,https://cdn5.wyscout.com/photos/team/public/1229_120x120.png,League One,RCB,RCB,93,,0,,0,28.0,1998-01-17,0,2026-05-31,29,2738,5,2.41,0,0.55,14.04,60.66,England,['England'],,188,79,False,8.48,3.55,62.96,7.63,64.22,0.23,0.33,0.59,6.02,8.66,0.66,7,0.23,0,0.0,0.46,0.16,5,0.16,0.08,4,0.13,19,0.62,42.11,26.316,0.0,0.23,42.86,0.03,100.0,0.2,33.33,0.07,0.26,37.5,1.18,41.67,1.02,0.59,0.0,18.67,0.23,0.85,35.37,74.91,19.76,64.23,1.6099999999999999,89.8,25.57,85.6,9.57,47.08,25.55,41.23,0.02,0.1,0.07,0.0,0.0,0.0,0.03,7.69,50.0,0.72,22.73,0.43,23.08,0.23,0.13,9.37,68.07,89.77,11.57,0,,0,,0,0.0,0.0,0.0,,,1.31,,7.63,0.0,0.0,0.0,0.0,0,0.0
