Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
S. Nigro,Stefan Nigro,425103,Preston Lions,Preston Lions,https://cdn5.wyscout.com/photos/team/public/g5154_120x120.png,Australian Championship,RB,RB,94,,0,,0,29.0,1996-08-10,300000,,28,2720,0,0.13,2,0.9,17.17,56.45,Australia,"['Australia', 'Italy']",right,180,70,False,11.35,9.3,67.62,1.52,45.65,0.33,0.43,0.2,4.73,6.18,0.8300000000000001,4,0.13,0,0.0,1.5899999999999999,0.0,0,0.0,0.0,0,0.0,5,0.17,20.0,0.0,0.07,1.85,33.93,0.0,0.0,1.85,33.93,0.30000000000000004,1.3900000000000001,57.14,4.53,41.61,0.4,1.26,0.26,26.97,1.42,0.5,40.1,76.49,19.75,69.35,5.79,95.43,31.93,84.56,6.42,48.45,20.22,37.79,0.03,0.33,0.07,0.07,0.26,50.0,0.2,7.71,62.23,2.58,39.74,0.6000000000000001,38.89,0.33,0.63,10.59,70.31,82.07,9.6,0,,0,,0,0.0,0.0,0.0,,,0.4,,1.52,0.03,0.0,0.0,0.03,0,0.0
M. Bozinovski,Matthew Bozinovski,495623,Preston Lions,Preston Lions,https://cdn5.wyscout.com/photos/team/public/g5154_120x120.png,Australian Championship,RCB,RCB,96,,0,,0,24.0,2001-01-05,100000,,27,2645,2,2.04,0,0.18,13.24,62.98,Australia,"['Australia', 'North Macedonia']",right,195,90,False,8.95,5.0,71.43,5.58,64.02,0.2,0.27,0.8200000000000001,5.17,6.72,0.8200000000000001,5,0.17,0,0.0,0.2,0.07,2,0.07,0.07,1,0.03,11,0.37,18.18,18.182,0.0,0.07,50.0,0.03,100.0,0.03,0.0,0.03,0.14,75.0,0.8200000000000001,50.0,0.54,0.14,0.0,34.57,0.1,0.27,49.1,89.26,17.08,74.7,2.89,100.0,42.98,94.77,6.06,50.56,22.39,39.23,0.01,0.07,0.03,0.03,0.0,0.0,0.03,3.7800000000000002,43.24,0.37,9.09,0.31,22.22,0.07,0.03,6.77,65.33,97.56,26.51,0,,0,,0,0.0,0.0,0.0,,,2.21,,5.58,0.0,0.0,0.0,0.0,0,0.0
M. Memeti,Mersim Memeti,-176655,Dandenong Thunder,Dandenong Thunder,https://cdn5.wyscout.com/photos/team/public/g12880_120x120.png,Victoria NPL,"LB, LCB3",LB,60,LCB3,34,,0,25.0,2000-07-22,0,,27,2600,3,1.0,3,5.26,10.63,57.0,Australia,['Australia'],,0,0,False,7.55,5.12,67.57,3.08,52.81,0.17,0.25,0.28,3.91,5.74,0.45,3,0.1,0,0.0,2.04,0.1,3,0.1,0.03,2,0.07,15,0.52,33.33,20.0,0.1,3.67,39.62,3.36,37.11,0.28,75.0,0.45,0.76,54.55,1.49,39.53,0.35000000000000003,0.87,0.03,40.4,0.8,0.24,50.85,73.52,26.07,64.67,4.08,90.68,36.28,85.78,11.22,44.14,24.29,42.0,0.18,1.18,0.03,0.0,0.0,0.0,0.45,11.28,55.52,4.6,39.1,1.1400000000000001,33.33,0.66,1.45,15.23,74.09,83.4,16.48,0,,0,,0,0.0,0.0,0.0,,,0.73,,3.08,0.9,0.1,0.0,2.77,0,0.0
M. Aidara,Mohamed Aidara,254489,Heidelberg United,Heidelberg United,https://cdn5.wyscout.com/photos/team/public/g5152_120x120.png,Australian Championship,"RCMF, RDMF, RCMF3",RCMF,45,RDMF,26,RCMF3,10,35.0,1989-12-24,0,,27,2555,0,2.49,4,3.04,16.59,54.35,Senegal,"['Senegal', 'France']",right,171,69,False,7.71,5.88,77.84,1.23,51.43,0.92,1.25,0.18,2.22,3.04,0.74,2,0.07,0,0.0,1.87,0.0,0,0.0,0.09,0,0.0,17,0.6000000000000001,5.88,0.0,0.14,1.2,41.18,0.21,50.0,0.9500000000000001,40.74,0.18,2.11,58.33,7.57,41.86,1.97,1.6600000000000001,0.04,22.79,0.42,0.81,34.13,88.44,9.93,80.5,7.36,96.65,32.23,91.04,0.74,47.62,15.81,16.46,0.11,1.02,0.0,0.0,0.21,50.0,0.49,4.4,84.0,1.69,68.75,0.14,50.0,1.02,0.49,4.33,84.55,93.33,9.51,0,,0,,0,0.0,0.0,0.0,,,0.49,,1.23,0.0,0.0,0.0,0.0,0,0.0
B. Collins,Ben Collins,-97273,Heidelberg United,Heidelberg United,https://cdn5.wyscout.com/photos/team/public/g5152_120x120.png,Australian Championship,RCB,RCB,87,,0,,0,25.0,2000-01-15,0,,27,2549,1,2.2800000000000002,0,0.32,11.72,63.55,Australia,['Australia'],right,191,79,False,7.24,3.25,73.91,2.9699999999999998,63.1,0.18,0.24,0.71,4.66,6.41,0.74,3,0.11,1,0.04,0.71,0.04,1,0.04,0.08,1,0.04,14,0.49,35.71,7.143,0.0,0.04,100.0,0.0,0.0,0.04,100.0,0.0,0.56,75.0,3.21,56.04,0.92,1.2,0.07,33.68,0.18,1.34,48.27,86.32,20.66,74.36,2.61,95.95,40.36,91.78,7.87,58.3,23.72,42.0,0.01,0.11,0.04,0.0,0.11,66.67,0.07,7.91,67.41,0.9500000000000001,51.85,0.46,46.15,0.42,0.04,10.77,73.77,96.76,21.82,0,,0,,0,0.0,0.0,0.0,,,2.12,,2.9699999999999998,0.0,0.0,0.0,0.0,0,0.0
Y. Sözer,Yaren İzzet Sözer,409430,Heidelberg United,Heidelberg United,https://cdn5.wyscout.com/photos/team/public/g5152_120x120.png,Australian Championship,GK,GK,100,,0,,0,28.0,1997-04-19,0,,26,2541,0,0.0,0,0.01,0.92,65.38,Australia,"['Australia', 'Türkiye']",right,189,78,False,2.02,0.18,20.0,0.39,72.73,0.04,0.05,0.0,1.9500000000000002,2.65,0.07,6,0.21,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,85.71,0.0,0.0,0.0,23.02,0.18,0.18,36.06,89.49,14.91,76.96,0.07,100.0,26.64,98.67,9.39,63.4,26.44,43.5,0.0,0.04,0.0,0.0,0.0,0.0,0.0,1.74,48.98,0.25,0.0,0.04,0.0,0.0,0.0,6.27,62.15,98.39,19.76,23,0.81,82,2.9,9,71.95,21.57,0.76,-1.43,-0.051000000000000004,0.0,1.06,0.39,,,,0.0,0,0.0
O. Kubilay,Oliver Hasan Kubilay,495625,Preston Lions,Preston Lions,https://cdn5.wyscout.com/photos/team/public/g5154_120x120.png,Australian Championship,"RCMF, LCMF, LDMF",RCMF,27,LCMF,24,LDMF,19,26.0,1999-08-11,0,,27,2540,0,0.84,1,0.8300000000000001,15.48,48.74,Australia,"['Australia', 'Türkiye']",,0,0,False,9.04,6.59,57.53,2.62,50.0,0.32,0.42,0.28,4.93,6.49,0.96,6,0.21,0,0.0,0.96,0.0,0,0.0,0.03,0,0.0,14,0.5,28.57,0.0,0.04,1.13,34.38,0.46,23.08,0.64,38.89,0.04,0.85,50.0,4.18,38.14,0.89,0.5700000000000001,0.04,24.56,0.43,0.74,39.83,78.83,15.17,66.36,6.52,97.28,33.34,85.02,5.46,49.35,19.74,36.88,0.03,0.46,0.04,0.0,0.04,0.0,0.14,7.3,67.96,1.88,39.62,0.5,21.43,0.6000000000000001,0.28,7.8,69.55,84.15,12.3,0,,0,,0,0.0,0.0,0.0,,,0.14,,2.62,0.0,0.0,0.0,0.04,0,0.0
A. Yokokawa,Asahi Yokokawa,-152714,Heidelberg United,Heidelberg United,https://cdn5.wyscout.com/photos/team/public/g5152_120x120.png,Australian Championship,"CF, AMF, LWF",CF,41,AMF,29,LWF,17,23.0,2002-05-26,0,2025-12-31,27,2534,9,7.41,8,9.57,16.8,45.03,Japan,['Japan'],,173,67,False,5.15,4.69,68.94,2.1,18.64,0.11,0.14,0.14,1.81,2.46,0.64,2,0.07,0,0.0,3.41,0.32,8,0.28,0.26,0,0.0,62,2.2,33.87,14.516,0.28,1.99,37.5,1.03,27.59,0.89,52.0,0.36,3.23,54.95,7.67,43.06,3.13,1.46,0.14,17.05,1.31,1.1400000000000001,22.62,71.74,7.71,59.91,4.37,91.06,19.61,76.27,1.1400000000000001,50.0,17.32,29.05,0.34,2.02,0.04,0.0,0.28,50.0,0.6000000000000001,3.3,55.91,2.88,53.09,0.25,42.86,1.49,0.64,3.76,82.08,74.18,6.46,0,,0,,0,0.0,0.0,0.0,,,0.11,,2.1,0.67,0.25,28.57,3.34,1,100.0
P. Clark,Pierce Clark,465245,Dandenong City,Dandenong City,https://cdn5.wyscout.com/photos/team/public/g27634_120x120.png,Victoria NPL,GK,GK,100,,0,,0,27.0,1998-01-25,0,,26,2530,0,0.0,0,0.0,0.85,66.67,Australia,['Australia'],,187,84,False,1.32,0.25,14.29,0.53,93.33,0.04,0.05,0.0,1.25,1.58,0.11,5,0.18,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,0.0,0.0,0.0,10.21,0.11,0.11,16.58,70.17,9.71,55.31,0.0,0.0,7.65,97.67,8.93,46.61,40.45,54.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.59,41.09,0.53,26.67,0.28,37.5,0.11,0.0,5.09,71.33,92.4,6.08,35,1.25,120,4.27,8,70.83,37.28,1.33,2.2800000000000002,0.081,0.0,1.49,0.53,,,,0.0,0,0.0
J. Young,Jamie Young,50780,Dandenong Thunder,Dandenong Thunder,https://cdn5.wyscout.com/photos/team/public/g12880_120x120.png,Victoria NPL,GK,GK,100,,0,,0,40.0,1985-08-25,200000,,26,2530,0,0.0,0,0.0,0.6000000000000001,70.59,Australia,"['Australia', 'England']",left,180,83,False,1.03,0.04,0.0,0.43,66.67,0.04,0.05,0.0,1.0,1.45,0.0,5,0.18,0,0.0,0.04,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,0.04,100.0,0.0,0.0,0.0,34.9,0.14,0.0,48.84,93.3,17.11,86.07,0.0,0.0,37.92,97.84,10.89,77.78,24.55,38.36,0.0,0.0,0.07,0.04,0.0,0.0,0.0,1.32,70.27,0.0,0.0,0.0,0.0,0.0,0.0,7.04,66.16,97.57,29.28,31,1.1,101,3.59,8,69.31,27.08,0.96,-3.92,-0.139,0.0,1.46,0.43,,,,0.0,0,0.0
