Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
F. Kolić,Franko Kolić,-134685,Istra 1961,Istra 1961,https://cdn5.wyscout.com/photos/team/public/1950_120x120.png,Superleague,GK,GK,100,,0,,0,23,2003-02-07,450000,2027-06-30,35,3426,0,0.0,0,0.0,0.63,87.5,Croatia,['Croatia'],right,190,0,False,1.18,0.11,75.0,0.42,87.5,0.0,0.0,0.0,1.1,1.42,0.03,2,0.05,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,100.0,0.0,0.0,0.03,11.06,0.08,0.16,17.15,83.46,9.4,73.46,0.0,0.0,11.09,98.1,6.02,57.21,28.67,46.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,28.21,0.11,0.0,0.05,0.0,0.0,0.0,4.52,59.3,96.12,6.09,48,1.26,171,4.49,6,71.93,54.09,1.42,6.09,0.16,0.0,1.5,0.42,,,,0.0,0,0.0
D. Matijaš,Davor Matijaš,427643,Gorica,Gorica,https://cdn5.wyscout.com/photos/team/public/3706_120x120.png,Superleague,GK,GK,100,,0,,0,26,1999-08-23,800000,2028-06-30,34,3333,0,0.0,0,0.0,0.62,65.22,Croatia,['Croatia'],right,188,75,False,1.46,0.03,0.0,0.41000000000000003,73.33,0.03,0.03,0.0,1.43,1.76,0.0,3,0.08,0,0.0,0.05,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,66.67,0.11,75.0,0.0,0.0,0.0,12.1,0.11,0.08,17.98,83.78,8.72,68.42,0.0,0.0,11.61,96.98,6.37,59.75,32.36,48.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.65,40.98,0.30000000000000004,0.0,0.16,0.0,0.0,0.0,4.91,71.98,98.13,8.64,46,1.24,143,3.86,7,67.83,39.64,1.07,-6.36,-0.17200000000000001,0.0,1.49,0.41000000000000003,,,,0.0,0,0.0
J. Filipović,Jakov Filipović,360885,Gorica,Gorica,https://cdn5.wyscout.com/photos/team/public/3706_120x120.png,Superleague,"LCB, CB, RCB",LCB,38,CB,26,RCB,26,33,1992-10-17,350000,2027-06-30,34,3285,2,1.8399999999999999,0,0.2,10.49,63.97,Bosnia and Herzegovina,"['Bosnia and Herzegovina', 'Croatia']",right,191,86,False,7.04,3.75,62.04,4.25,65.16,0.47000000000000003,0.5700000000000001,0.47000000000000003,4.25,5.18,0.6000000000000001,3,0.08,0,0.0,0.25,0.05,2,0.05,0.05,2,0.05,12,0.33,58.33,16.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,66.67,0.66,66.67,0.52,0.25,0.0,24.3,0.16,0.68,37.21,88.07,13.01,75.58,2.08,96.05,32.63,93.12,4.58,52.1,21.01,35.81,0.01,0.03,0.0,0.0,0.0,0.0,0.03,2.47,53.33,0.14,40.0,0.11,0.0,0.03,0.0,5.01,57.92,95.33,19.34,0,,0,,0,0.0,0.0,0.0,,,1.62,,4.25,0.0,0.0,0.0,0.0,0,0.0
A. Kavelj,Ante Kavelj,-287986,Gorica,Gorica,https://cdn5.wyscout.com/photos/team/public/3706_120x120.png,Superleague,"RCMF, LDMF, RDMF",RCMF,24,LDMF,23,RDMF,22,20,2005-08-26,0,2028-06-30,35,3259,3,3.04,2,2.12,14.58,57.39,Croatia,['Croatia'],right,0,0,False,8.53,5.8,64.29,4.25,59.74,0.44,0.53,0.41000000000000003,4.36,5.25,1.13,3,0.08,0,0.0,0.47000000000000003,0.08,3,0.08,0.08,1,0.03,22,0.61,36.36,13.636,0.06,0.47000000000000003,23.53,0.14,20.0,0.33,25.0,0.06,0.36,38.46,2.32,47.62,1.1,0.44,0.03,14.72,0.5,0.97,26.32,77.65,11.65,67.06,3.45,96.0,22.84,82.83,3.04,46.36,18.17,33.61,0.06,0.33,0.06,0.0,0.03,0.0,0.22,4.09,66.89,0.8,41.38,0.28,40.0,0.39,0.11,5.0,65.75,84.27,7.37,0,,0,,0,0.0,0.0,0.0,,,0.28,,4.25,0.03,0.0,0.0,0.0,0,0.0
M. Zlomislić,Martin Zlomislić,478334,Rijeka,Rijeka,https://cdn5.wyscout.com/photos/team/public/233_120x120.png,Superleague,GK,GK,100,,0,,0,27,1998-08-16,150000,2027-06-30,33,3221,0,0.0,0,0.0,0.59,90.48,Bosnia and Herzegovina,"['Bosnia and Herzegovina', 'Croatia']",right,190,85,False,1.51,0.11,75.0,0.36,100.0,0.03,0.04,0.0,1.4,2.02,0.03,1,0.03,0,0.0,0.03,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,66.67,0.0,0.0,0.03,15.17,0.42,0.2,22.55,88.35,10.51,77.13,0.0,0.0,15.9,98.42,6.62,64.56,30.73,49.67,0.0,0.0,0.0,0.0,0.03,100.0,0.0,1.73,54.84,0.06,0.0,0.14,20.0,0.03,0.0,5.39,76.17,99.02,11.37,36,1.01,107,2.99,11,66.36,32.89,0.92,-3.11,-0.08700000000000001,0.0,1.26,0.36,,,,0.0,0,0.0
D. Maresić,Dario Maresić,400754,Hajduk Split,Hajduk Split,https://cdn5.wyscout.com/photos/team/public/232_120x120.png,Superleague,"LCB, RCB",LCB,71,RCB,15,,0,26,1999-09-29,750000,2029-06-30,33,3168,1,1.45,2,1.12,9.46,63.06,Austria,"['Austria', 'Croatia']",right,183,74,False,7.95,3.44,75.21,2.36,50.6,0.28,0.38,0.71,5.09,6.73,0.45,8,0.23,0,0.0,0.43,0.03,0,0.0,0.04,0,0.0,6,0.17,50.0,16.667,0.06,0.11,75.0,0.06,50.0,0.06,100.0,0.03,0.17,83.33,1.88,50.0,0.23,2.59,0.06,41.62,0.37,0.9400000000000001,58.47,86.39,28.81,77.91,2.9,96.08,48.66,92.41,9.69,56.3,20.75,39.06,0.03,0.34,0.03,0.0,0.17,66.67,0.09,10.57,69.89,1.28,37.78,1.05,24.32,0.4,0.09,13.01,77.95,95.69,20.45,0,,0,,0,0.0,0.0,0.0,,,1.28,,2.36,0.11,0.0,0.0,0.45,1,100.0
J. Posavec,Josip Posavec,290656,Lokomotiva Zagreb,Lokomotiva Zagreb,https://cdn5.wyscout.com/photos/team/public/1949_120x120.png,Superleague,GK,GK,100,,0,,0,30,1996-03-10,500000,2027-06-30,32,3130,0,0.0,0,0.0,0.4,85.71,Croatia,['Croatia'],right,190,85,False,1.58,0.0,0.0,0.17,83.33,0.0,0.0,0.0,1.58,2.16,0.0,1,0.03,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,100.0,0.0,0.0,0.0,18.55,0.37,0.26,27.26,87.76,11.62,76.24,0.0,0.0,19.61,97.95,7.62,61.89,29.26,49.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6099999999999999,57.14,0.09,33.33,0.14,40.0,0.03,0.0,5.75,68.5,96.67,14.66,46,1.32,127,3.65,6,63.78,38.4,1.1,-7.6,-0.219,0.0,1.18,0.17,,,,0.0,0,0.0
D. Kovačić,Dominik Kovačić,285145,Slaven Belupo,Slaven Belupo,https://cdn5.wyscout.com/photos/team/public/234_120x120.png,Superleague,LCB,LCB,81,,0,,0,32,1994-01-05,300000,2027-06-15,32,3118,0,0.97,2,1.6099999999999999,11.57,65.09,Croatia,['Croatia'],right,192,86,False,9.15,5.95,70.39,2.83,58.16,0.29,0.38,0.58,4.68,6.14,1.15,4,0.12,0,0.0,0.32,0.0,0,0.0,0.03,0,0.0,8,0.23,0.0,0.0,0.06,0.17,16.67,0.14,20.0,0.0,0.0,0.06,0.35000000000000003,83.33,1.04,66.67,0.81,0.92,0.03,29.47,0.43,0.32,43.24,88.12,19.02,79.36,2.31,91.25,36.86,93.42,6.21,58.6,20.47,34.11,0.05,0.35000000000000003,0.0,0.03,0.0,0.0,0.2,4.79,72.89,0.49,35.29,0.35000000000000003,25.0,0.29,0.06,7.39,71.09,96.03,18.16,0,,0,,0,0.0,0.0,0.0,,,1.44,,2.83,0.0,0.0,0.0,0.0,0,0.0
Ž. Trontelj,Žan Trontelj,466621,Gorica,Gorica,https://cdn5.wyscout.com/photos/team/public/3706_120x120.png,Superleague,"RB, RWB, RB5",RB,57,RWB,15,RB5,11,26,2000-01-21,350000,2027-06-30,32,3112,3,1.19,4,5.19,14.46,52.4,Slovenia,['Slovenia'],right,177,65,True,8.53,6.83,61.02,1.97,42.65,0.64,0.79,0.17,3.73,4.63,0.67,4,0.12,0,0.0,2.7800000000000002,0.09,3,0.09,0.03,1,0.03,14,0.4,50.0,21.429,0.12,4.77,32.12,0.03,100.0,4.71,31.9,0.64,1.79,58.06,3.9,46.67,1.01,1.74,0.52,25.65,1.79,0.81,36.99,71.23,13.22,63.68,6.28,94.47,27.16,82.11,5.29,49.73,20.55,35.8,0.15,1.13,0.03,0.0,0.06,0.0,0.84,5.15,61.8,5.03,41.95,0.58,50.0,0.93,1.62,8.76,69.64,70.03,11.48,0,,0,,0,0.0,0.0,0.0,,,0.32,,1.97,0.2,0.0,0.0,0.2,0,0.0
R. Gonzales,Robin De Jesus Gonzales Ruiz,-359782,Vukovar,Vukovar,https://cdn5.wyscout.com/photos/team/public/3707_120x120.png,Superleague,"AMF, CF, LW",AMF,43,CF,28,LW,12,27,1998-11-26,0,,34,3077,7,6.69,4,2.7,18.81,43.39,Colombia,['Colombia'],,0,0,False,4.65,4.5600000000000005,57.69,1.32,22.22,0.15,0.18,0.03,1.87,2.2800000000000002,1.08,7,0.2,0,0.0,2.08,0.2,6,0.18,0.2,0,0.0,49,1.43,34.69,14.286,0.12,0.7000000000000001,37.5,0.35000000000000003,41.67,0.29,40.0,0.09,2.54,50.57,10.71,40.44,1.43,1.35,0.32,17.11,1.37,2.16,24.95,82.06,7.66,76.72,4.5,87.66,22.55,85.6,1.73,52.54,16.58,33.8,0.08,0.67,0.09,0.0,0.18,16.67,0.35000000000000003,3.31,77.88,1.67,56.14,0.47000000000000003,18.75,0.7000000000000001,0.35000000000000003,4.04,77.54,85.04,7.43,0,,0,,0,0.0,0.0,0.0,,,0.09,,1.32,0.32,0.09,33.33,0.18,2,50.0
