Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
D. Stavropoulos,Dimitris Stavropoulos,470799,Atromitos,Atromitos,https://cdn5.wyscout.com/photos/team/public/1549_120x120.png,Stoiximan Super League,"RCB, LCB",RCB,78,LCB,13,,0,29.0,1997-05-01,400000,2026-06-30,34,3323,2,2.13,0,0.1,10.59,59.08,Greece,['Greece'],right,191,87,False,7.8,4.52,63.47,3.55,61.07,0.19,0.27,1.03,4.74,6.64,1.0,8,0.22,0,0.0,0.14,0.05,2,0.05,0.06,2,0.05,16,0.43,25.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,50.0,0.65,37.5,0.62,0.51,0.0,36.35,0.30000000000000004,0.46,50.78,89.92,20.12,81.97,2.2800000000000002,94.05,45.74,94.61,5.04,47.31,20.45,38.39,0.0,0.05,0.0,0.03,0.0,0.0,0.03,3.76,64.03,0.24,22.22,0.22,37.5,0.05,0.0,7.31,62.59,96.28,24.0,0,,0,,0,0.0,0.0,0.0,,,1.87,,3.55,0.0,0.0,0.0,0.0,0,0.0
K. Tzolakis,Konstantinos Tzolakis,-110815,Olympiacos Piraeus,Olympiacos Piraeus,https://cdn5.wyscout.com/photos/team/public/429_120x120.png,Stoiximan Super League,GK,GK,100,,0,,0,23.0,2002-11-08,0,2027-06-30,32,3165,0,0.0,0,0.04,0.88,87.1,Greece,['Greece'],right,193,85,False,1.5899999999999999,0.09,66.67,0.31,100.0,0.0,0.0,0.0,1.54,2.7199999999999998,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,85.71,0.0,0.0,0.0,12.54,0.17,0.37,18.82,80.82,12.4,72.48,0.0,0.0,10.81,96.58,7.96,60.0,35.84,50.52,0.0,0.03,0.0,0.0,0.0,0.0,0.03,3.9,56.93,0.34,16.67,0.5700000000000001,15.0,0.06,0.0,6.03,78.77,98.1,6.0,17,0.48,70,1.99,19,75.71,20.33,0.58,3.33,0.095,0.0,1.02,0.31,,,,0.0,0,0.0
M. Vichos,Marios Vichos,-95457,Levadiakos,Levadiakos,https://cdn5.wyscout.com/photos/team/public/440_120x120.png,Stoiximan Super League,LB,LB,93,,0,,0,26.0,2000-01-14,400000,2029-06-30,32,3130,2,2.11,2,2.35,12.91,56.79,Greece,['Greece'],left,180,75,False,7.76,5.06,63.07,3.36,52.99,0.26,0.42,0.2,4.31,6.99,0.63,1,0.03,0,0.0,1.87,0.06,1,0.03,0.06,0,0.0,23,0.66,39.13,8.696,0.06,3.19,22.52,2.93,19.61,0.23,62.5,0.35000000000000003,1.55,55.56,3.51,54.92,0.98,0.78,0.03,26.88,2.42,1.24,34.53,75.19,11.99,64.27,6.93,95.85,28.27,85.25,3.2800000000000002,38.6,19.65,34.73,0.07,0.63,0.0,0.03,0.06,50.0,0.23,3.39,61.02,2.47,34.88,0.26,22.22,0.26,0.72,6.79,65.25,78.27,10.98,0,,0,,0,0.0,0.0,0.0,,,0.43,,3.36,0.52,0.14,20.0,1.01,1,100.0
L. Tupta,Ľubomír Tupta,387267,Larissa,Larissa,https://cdn5.wyscout.com/photos/team/public/435_120x120.png,Stoiximan Super League,"CF, LW, LAMF",CF,25,LW,25,LAMF,15,28.0,1998-03-27,800000,2028-06-30,35,2985,8,7.48,1,3.61,15.11,38.52,Slovakia,['Slovakia'],right,182,75,False,3.2,3.14,48.08,1.3,30.23,0.03,0.04,0.0,1.6600000000000001,2.11,1.06,2,0.06,0,0.0,2.92,0.24,8,0.24,0.23,1,0.03,67,2.02,35.82,11.94,0.03,1.63,35.19,1.03,35.29,0.5700000000000001,31.58,0.18,3.26,50.0,8.59,37.54,3.2,2.38,0.45,16.85,1.99,1.12,22.04,80.98,4.82,69.38,6.3,93.78,19.33,85.8,1.21,60.0,16.95,27.83,0.11,1.03,0.06,0.0,0.09,0.0,0.51,1.9300000000000002,64.06,2.02,65.67,0.21,14.29,1.3599999999999999,0.5700000000000001,3.29,76.15,76.89,6.39,0,,0,,0,0.0,0.0,0.0,,,0.09,,1.3,0.12,0.0,0.0,0.27,1,0.0
T. Strakosha,Thomas Strakosha,235328,AEK Athens,AEK Athens,https://cdn5.wyscout.com/photos/team/public/430_120x120.png,Stoiximan Super League,GK,GK,100,,0,,0,31.0,1995-03-19,0,2029-06-30,30,2969,0,0.0,0,0.0,0.33,63.64,Greece,"['Greece', 'Albania']",right,186,78,False,1.06,0.06,0.0,0.21,85.71,0.0,0.0,0.0,1.06,1.76,0.03,3,0.09,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.49,0.15,0.06,15.61,82.72,9.28,74.51,0.0,0.0,8.61,96.83,6.97,65.65,32.09,46.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.27,40.48,0.09,0.0,0.21,28.57,0.0,0.0,5.3,74.86,94.35,5.37,18,0.55,85,2.58,18,78.82,25.71,0.78,7.71,0.234,0.0,1.0,0.21,,,,0.0,0,0.0
T. Tsapras,Triantafyllos Tsapras,-147196,Levadiakos,Levadiakos,https://cdn5.wyscout.com/photos/team/public/440_120x120.png,Stoiximan Super League,RB,RB,86,,0,,0,24.0,2001-10-22,0,2030-06-30,31,2966,1,1.58,10,5.47,11.23,48.38,Greece,['Greece'],right,186,80,False,7.74,5.19,55.56,1.3,41.86,0.33,0.53,0.49,4.52,7.21,0.85,2,0.06,0,0.0,1.79,0.03,1,0.03,0.05,0,0.0,21,0.64,28.57,4.7620000000000005,0.30000000000000004,3.67,27.27,0.06,0.0,3.52,26.72,0.64,1.09,55.56,3.19,40.95,1.7000000000000002,1.15,0.18,33.95,3.55,0.67,43.51,76.29,14.84,69.12,6.52,94.42,36.32,84.13,3.55,46.15,19.21,37.61,0.17,0.85,0.03,0.12,0.03,0.0,0.61,5.43,67.04,3.31,47.71,0.27,33.33,0.8200000000000001,1.15,9.5,70.93,79.24,14.32,0,,0,,0,0.0,0.0,0.0,,,0.36,,1.3,0.09,0.03,0.0,0.06,0,0.0
M. Baku,Makana Nsimba Baku,453968,Atromitos,Atromitos,https://cdn5.wyscout.com/photos/team/public/1549_120x120.png,Stoiximan Super League,"LAMF, CF, LW",LAMF,39,CF,22,LW,17,28.0,1998-04-08,450000,2026-06-30,35,2962,10,10.71,4,2.7,11.67,43.49,Germany,"['Germany', 'Congo DR']",right,177,72,False,3.52,2.2800000000000002,61.33,1.52,30.0,0.09,0.13,0.09,2.04,2.8,0.73,2,0.06,1,0.03,2.34,0.30000000000000004,10,0.30000000000000004,0.33,1,0.03,60,1.82,41.67,16.667,0.12,1.34,18.18,0.85,21.43,0.49,12.5,0.12,2.07,60.29,6.2,45.1,3.25,1.94,0.27,19.78,1.85,1.19,24.89,75.82,6.05,60.8,6.72,92.31,22.36,80.43,1.31,53.49,15.47,21.41,0.08,0.9400000000000001,0.06,0.03,0.18,50.0,0.46,2.2800000000000002,64.0,1.73,50.88,0.24,37.5,1.03,0.24,3.62,54.62,77.01,5.68,0,,0,,0,0.0,0.0,0.0,,,0.12,,1.52,0.0,0.0,0.0,0.15,1,0.0
L. Lyratzis,Lefteris Lyratzis,463371,Panserraikos,Panserraikos,https://cdn5.wyscout.com/photos/team/public/678_120x120.png,Stoiximan Super League,"RB5, RB",RB5,44,RB,44,,0,26.0,2000-02-22,1200000,2026-06-30,32,2960,1,0.42,3,3.46,13.83,53.19,Greece,['Greece'],right,178,72,False,8.85,6.6,61.29,2.71,42.7,0.4,0.45,0.49,4.41,5.03,1.19,4,0.12,1,0.03,2.13,0.03,1,0.03,0.01,0,0.0,10,0.30000000000000004,50.0,10.0,0.09,2.1,43.48,0.03,100.0,2.07,42.65,0.36,1.58,67.31,3.41,52.68,0.61,1.09,0.12,13.62,1.22,0.76,21.71,72.69,9.49,61.86,3.71,94.26,15.99,81.94,3.83,48.41,21.43,34.62,0.11,0.76,0.03,0.06,0.0,0.0,0.18,2.86,59.57,1.82,53.33,0.15,60.0,0.30000000000000004,0.85,5.29,60.92,76.6,5.72,0,,0,,0,0.0,0.0,0.0,,,0.67,,2.71,0.33,0.0,0.0,0.4,0,0.0
J. Pombo,Jorge Marcos Pombo Escobar,356093,Kifissia,Kifissia,https://cdn5.wyscout.com/photos/team/public/g25467_120x120.png,Stoiximan Super League,"AMF, LCMF, CF",AMF,57,LCMF,13,CF,13,32.0,1994-02-22,400000,2026-06-30,35,2889,10,9.35,1,4.78,16.23,43.76,Spain,['Spain'],right,177,68,False,2.93,3.43,50.91,1.9,32.79,0.09,0.14,0.09,1.09,1.5899999999999999,1.74,6,0.19,0,0.0,2.87,0.31,7,0.22,0.29,0,0.0,101,3.15,32.67,9.901,0.03,0.9,48.28,0.44,57.14,0.47000000000000003,40.0,0.06,2.68,47.67,8.01,42.02,1.62,1.9,0.4,25.7,1.37,1.9300000000000002,33.05,82.66,10.47,71.43,6.92,94.14,28.94,85.79,3.3,64.15,18.66,40.11,0.15,1.74,0.0,0.06,0.34,36.36,0.53,6.98,71.43,2.83,63.74,0.84,40.74,1.34,0.44,5.36,87.79,84.46,10.62,0,,0,,0,0.0,0.0,0.0,,,0.28,,1.9,2.15,0.5,25.0,2.52,3,100.0
L. Rota,Lazaros Rota,-88113,AEK Athens,AEK Athens,https://cdn5.wyscout.com/photos/team/public/430_120x120.png,Stoiximan Super League,RB,RB,99,,0,,0,28.0,1997-08-23,2000000,2030-06-30,29,2850,0,1.69,5,3.48,13.58,55.58,Greece,"['Greece', 'Albania']",right,180,74,False,7.89,6.28,64.32,2.18,47.83,0.22,0.36,0.09,3.63,5.96,1.1400000000000001,8,0.25,0,0.0,1.71,0.0,0,0.0,0.05,0,0.0,16,0.51,12.5,0.0,0.16,2.15,50.0,0.0,0.0,2.12,50.75,0.22,0.79,72.0,3.95,46.4,1.77,1.8900000000000001,0.25,30.44,2.5300000000000002,0.98,42.0,86.54,12.88,78.68,8.72,96.74,37.55,90.66,2.46,51.28,16.97,35.03,0.11,0.92,0.06,0.03,0.0,0.0,0.6000000000000001,4.14,75.57,2.34,64.86,0.13,75.0,0.9500000000000001,1.1400000000000001,6.44,76.96,89.52,13.26,0,,0,,0,0.0,0.0,0.0,,,1.26,,2.18,0.0,0.0,0.0,0.06,0,0.0
