Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
V. Muftic,Vedad Muftic,-191673,Željezničar,Željezničar,https://cdn5.wyscout.com/photos/team/public/1310_120x120.png,Premijer Liga,GK,GK,100,,0,,0,24,2001-10-25,300000,2026-05-31,24,2352,0,0.0,0,0.0,0.61,75.0,Bosnia and Herzegovina,['Bosnia and Herzegovina'],right,186,0,False,1.26,0.15,25.0,0.23,83.33,0.04,0.06,0.0,1.19,1.8,0.0,1,0.04,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,100.0,0.0,0.0,0.0,9.53,0.34,0.19,15.57,85.26,8.19,76.17,0.04,100.0,9.99,96.17,5.55,66.21,31.2,46.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.72,53.33,0.0,0.0,0.0,0.0,0.04,0.0,4.71,76.42,96.53,6.62,28,1.07,102,3.9,9,72.55,30.15,1.15,2.15,0.082,0.04,1.15,0.23,,,,0.0,0,0.0
R. Josipović,Renato Josipović,-76342,Široki Brijeg,Široki Brijeg,https://cdn5.wyscout.com/photos/team/public/1307_120x120.png,Premijer Liga,GK,GK,100,,0,,0,24,2001-06-12,200000,2026-06-30,23,2243,0,0.0,0,0.0,0.64,87.5,Croatia,['Croatia'],right,189,82,False,1.81,0.08,50.0,0.36,100.0,0.04,0.05,0.0,1.73,2.1,0.04,1,0.04,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,66.67,0.0,0.0,0.04,14.04,0.32,0.24,21.43,84.27,10.51,71.37,0.0,0.0,13.68,97.65,7.66,60.73,30.98,45.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.52,34.21,0.28,0.0,0.12,33.33,0.0,0.0,5.78,65.97,97.58,9.95,26,1.04,94,3.77,9,72.34,28.1,1.13,2.1,0.084,0.0,1.3599999999999999,0.36,,,,0.0,0,0.0
F. Erić,Filip Erić,372361,Sloga Doboj,Sloga Doboj,https://cdn5.wyscout.com/photos/team/public/g3179_120x120.png,Premijer Liga,GK,GK,100,,0,,0,31,1994-10-10,25000,2026-05-31,23,2224,0,0.0,0,0.0,0.65,81.25,Serbia,"['Serbia', 'Bosnia and Herzegovina']",right,196,88,False,2.14,0.04,100.0,0.32,100.0,0.0,0.0,0.0,2.1,2.7,0.0,0,0.0,0,0.0,0.08,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,100.0,0.16,50.0,0.0,0.04,0.0,15.62,0.16,0.08,24.93,82.79,12.63,68.91,0.0,0.0,15.01,96.77,9.91,61.63,32.25,48.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.04,48.0,0.12,0.0,0.08,100.0,0.0,0.0,7.04,73.56,97.32,10.56,26,1.05,93,3.76,5,72.04,27.96,1.13,1.96,0.079,0.0,1.62,0.32,,,,0.0,0,0.0
T. Jović,Toni Jović,266527,Sloga Doboj,Sloga Doboj,https://cdn5.wyscout.com/photos/team/public/g3179_120x120.png,Premijer Liga,"LAMF, LW",LAMF,67,LW,19,,0,33,1992-09-02,200000,2026-05-31,24,2189,6,3.73,1,3.7800000000000002,20.8,39.13,Croatia,['Croatia'],right,178,75,False,4.85,4.4,50.47,3.62,36.36,0.29,0.38,0.08,2.34,3.06,1.27,2,0.08,1,0.04,2.84,0.25,4,0.16,0.15,0,0.0,46,1.8900000000000001,36.96,13.043,0.04,1.85,26.67,1.6,28.21,0.25,16.67,0.45,3.41,48.19,10.48,37.25,1.81,1.32,0.12,13.81,1.27,1.97,21.05,66.41,7.52,56.83,4.48,84.4,17.8,73.44,1.44,28.57,16.91,25.58,0.16,1.27,0.12,0.0,0.0,0.0,0.29,3.08,56.0,2.26,40.0,0.21,0.0,0.49,0.53,3.66,67.42,65.6,5.14,0,,0,,0,0.0,0.0,0.0,,,0.16,,3.62,2.18,0.29,57.14,2.38,2,100.0
M. Milanović,Milan Milanović,128839,Sloga Doboj,Sloga Doboj,https://cdn5.wyscout.com/photos/team/public/g3179_120x120.png,Premijer Liga,"LCB, RCB",LCB,58,RCB,36,,0,34,1991-03-31,50000,2027-05-31,22,2121,0,1.51,0,0.01,8.91,61.9,Serbia,['Serbia'],right,194,83,False,7.13,3.18,61.33,4.16,72.45,0.42,0.55,0.64,4.75,6.15,0.85,4,0.17,0,0.0,0.13,0.0,0,0.0,0.06,0,0.0,9,0.38,22.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,33.33,0.38,0.17,0.0,29.15,0.21,0.25,43.41,85.83,17.19,71.36,2.59,96.72,37.3,91.7,6.11,50.0,22.07,38.89,0.0,0.04,0.0,0.0,0.04,100.0,0.04,3.8200000000000003,52.22,0.42,60.0,0.13,33.33,0.21,0.0,6.75,62.26,95.58,20.16,0,,0,,0,0.0,0.0,0.0,,,2.16,,4.16,0.0,0.0,0.0,0.0,0,0.0
B. Šerbečić,Besim Šerbečić,386969,Velež,Velež,https://cdn5.wyscout.com/photos/team/public/1315_120x120.png,Premijer Liga,RCB,RCB,87,,0,,0,27,1998-05-01,250000,2026-06-30,22,2119,1,1.67,0,0.32,10.36,58.8,Bosnia and Herzegovina,['Bosnia and Herzegovina'],right,194,80,False,6.22,4.44,73.0,2.71,50.82,0.0,0.0,0.44,2.98,4.51,0.98,4,0.17,0,0.0,0.76,0.04,1,0.04,0.07,0,0.0,12,0.53,50.0,8.333,0.0,0.71,31.25,0.04,0.0,0.67,33.33,0.04,0.49,45.45,1.82,46.34,0.71,1.9100000000000001,0.0,31.07,0.36,0.58,48.22,85.9,21.29,76.62,4.44,97.0,41.24,93.0,6.27,45.39,21.18,37.63,0.01,0.22,0.0,0.0,0.04,100.0,0.04,6.84,62.99,1.56,31.43,0.27,33.33,0.22,0.22,9.33,77.62,93.86,18.09,0,,0,,0,0.0,0.0,0.0,,,3.16,,2.71,0.0,0.0,0.0,0.0,0,0.0
D. Ćosić,Djordje Ćosić,492520,Radnik Bijeljina,Radnik Bijeljina,https://cdn5.wyscout.com/photos/team/public/g3188_120x120.png,Premijer Liga,"LCB, CB, LB",LCB,65,CB,11,LB,10,30,1995-09-11,200000,2026-06-30,22,2096,0,1.8,0,0.74,9.63,51.87,Bosnia and Herzegovina,['Bosnia and Herzegovina'],left,187,82,False,7.11,3.73,55.42,2.56,49.12,0.18,0.25,0.31,4.86,6.72,1.12,3,0.13,0,0.0,0.31,0.0,0,0.0,0.08,0,0.0,8,0.36,25.0,0.0,0.0,0.36,37.5,0.31,42.86,0.0,0.0,0.13,0.22,40.0,1.8,45.0,0.49,0.22,0.04,17.77,0.04,0.76,33.64,78.61,15.29,64.71,2.9699999999999998,93.94,26.18,88.32,7.11,44.94,23.65,40.92,0.03,0.27,0.04,0.0,0.0,0.0,0.09,4.5,53.0,0.9,25.0,0.36,0.0,0.18,0.13,8.05,57.54,91.61,13.4,0,,0,,0,0.0,0.0,0.0,,,2.11,,2.56,0.04,0.0,0.0,0.0,0,0.0
Abel Pascual,Abel Pascual Urbón,491106,Borac Banja Luka,Borac Banja Luka,https://cdn5.wyscout.com/photos/team/public/1312_120x120.png,Premijer Liga,RCB,RCB,85,,0,,0,30,1996-02-24,200000,2028-06-30,22,2075,1,1.3,0,0.02,12.1,64.52,Spain,['Spain'],right,183,68,False,7.98,4.38,74.26,4.8100000000000005,57.66,0.09,0.12,0.91,4.64,6.25,0.52,1,0.04,0,0.0,0.56,0.04,1,0.04,0.06,1,0.04,12,0.52,33.33,8.333,0.0,0.26,50.0,0.0,0.0,0.26,50.0,0.0,0.35000000000000003,75.0,1.82,54.76,0.52,0.61,0.0,31.45,0.39,0.43,46.67,85.97,19.78,74.12,3.12,98.61,38.26,93.54,8.15,51.6,23.02,37.78,0.0,0.09,0.0,0.0,0.0,0.0,0.0,4.51,59.62,0.61,21.43,0.13,0.0,0.0,0.13,8.46,67.18,95.93,20.26,0,,0,,0,0.0,0.0,0.0,,,2.47,,4.8100000000000005,0.04,0.0,0.0,0.0,0,0.0
M. Stanić,Mato Stanić,386973,Široki Brijeg,Široki Brijeg,https://cdn5.wyscout.com/photos/team/public/1307_120x120.png,Premijer Liga,"LCMF, RCMF, LDMF",LCMF,47,RCMF,14,LDMF,12,28,1998-01-11,150000,2026-05-31,22,2063,8,5.95,2,1.55,13.61,43.27,Bosnia and Herzegovina,"['Bosnia and Herzegovina', 'Croatia']",left,184,78,False,5.63,3.8,62.07,1.96,37.78,0.35000000000000003,0.42,0.17,2.92,3.5,1.05,3,0.13,0,0.0,1.35,0.35000000000000003,5,0.22,0.26,2,0.09,36,1.57,38.89,22.222,0.09,0.74,23.53,0.65,26.67,0.04,0.0,0.09,1.44,30.3,5.89,33.33,1.53,0.35000000000000003,0.0,18.8,1.22,1.27,28.36,66.92,11.52,54.17,5.28,84.3,24.04,72.05,3.58,41.46,18.86,38.16,0.07,0.8300000000000001,0.13,0.04,0.26,50.0,0.26,5.98,48.91,2.27,36.54,0.8300000000000001,26.32,0.52,0.17,5.8,59.4,70.99,7.07,0,,0,,0,0.0,0.0,0.0,,,0.35000000000000003,,1.96,0.8300000000000001,0.09,50.0,0.87,3,100.0
E. Alić,Enes Alić,-192842,Željezničar,Željezničar,https://cdn5.wyscout.com/photos/team/public/1310_120x120.png,Premijer Liga,LB,LB,97,,0,,0,26,1999-09-03,200000,2027-05-31,22,2061,2,1.31,1,2.13,16.16,54.05,Bosnia and Herzegovina,['Bosnia and Herzegovina'],left,175,72,False,8.17,6.64,62.5,1.92,45.45,0.44,0.65,0.09,3.58,5.34,1.57,8,0.35000000000000003,0,0.0,2.75,0.09,1,0.04,0.06,0,0.0,21,0.92,23.81,9.524000000000001,0.04,3.8,31.03,3.45,31.65,0.31,28.57,0.52,2.31,58.49,5.55,49.61,0.5700000000000001,1.57,0.22,19.91,0.74,1.05,31.7,68.87,15.94,63.29,4.19,96.88,21.44,83.91,6.59,41.72,21.34,36.98,0.09,1.1400000000000001,0.0,0.0,0.04,0.0,0.26,6.38,63.01,2.88,36.36,0.39,22.22,0.04,1.1400000000000001,9.3,66.2,68.35,6.9,0,,0,,0,0.0,0.0,0.0,,,0.44,,1.92,1.75,0.26,16.67,2.18,1,100.0
