Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Léo Aragão,Leonardo De Aragão Carvalho,-166227,Avaí,Avaí,https://cdn5.wyscout.com/photos/team/public/495_120x120.png,Serie B,GK,GK,100,,0,,0,24,2002-04-19,0,2027-12-31,9,937,0,0.0,0,0.0,0.29,33.33,Brazil,['Brazil'],right,192,79,True,1.92,0.1,0.0,0.1,100.0,0.1,0.14,0.0,1.82,2.58,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.34,0.1,0.0,14.31,84.56,7.59,75.95,0.0,0.0,10.57,98.18,3.75,46.15,29.22,46.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,20.0,0.0,0.0,0.1,0.0,0.0,0.0,2.4,64.0,93.85,6.24,11,1.06,45,4.32,4,75.56,17.51,1.6800000000000002,6.51,0.625,0.0,0.67,0.1,,,,0.0,0,0
Helton Leite,Helton Brant Aleixo Leite,171229,Vila Nova,Vila Nova,https://cdn5.wyscout.com/photos/team/public/503_120x120.png,Serie B,GK,GK,100,,0,,0,35,1990-11-02,1000000,2026-11-30,9,932,0,0.0,0,0.0,0.77,75.0,Brazil,"['Brazil', 'Portugal']",right,196,93,False,2.41,0.1,0.0,0.29,100.0,0.0,0.0,0.0,2.41,4.01,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,9.85,0.19,0.19,18.44,81.15,11.3,70.09,0.0,0.0,11.68,99.17,6.76,50.0,31.05,49.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.45,33.33,0.0,0.0,0.1,0.0,0.0,0.0,4.54,61.7,98.53,6.57,10,0.97,41,3.96,2,75.61,10.99,1.06,0.99,0.096,0.0,1.26,0.29,,,,0.0,0,0
Felipinho,André Felipe de Almeida Santos,-168684,Sport Recife,Sport Recife,https://cdn5.wyscout.com/photos/team/public/258_120x120.png,Serie B,LB,LB,99,,0,,0,29,1997-01-13,500000,2027-12-31,9,927,1,0.65,1,0.52,10.68,58.18,Brazil,['Brazil'],left,177,74,False,5.83,4.47,52.17,1.8399999999999999,57.89,0.0,0.0,0.19,3.5,5.43,1.17,2,0.19,0,0.0,2.62,0.1,1,0.1,0.06,0,0.0,6,0.58,16.67,16.667,0.1,3.01,38.71,3.01,38.71,0.0,0.0,0.49,1.55,87.5,3.69,63.16,0.68,2.14,0.29,34.37,1.65,0.87,43.2,79.78,15.53,65.0,6.99,100.0,35.15,87.02,5.24,55.56,22.19,41.63,0.05,0.78,0.0,0.19,0.0,0.0,0.29,6.31,67.69,3.69,50.0,0.39,50.0,0.97,0.87,10.19,69.52,88.41,13.4,0,,0,,0,0.0,0.0,0.0,,,1.17,,1.8399999999999999,0.0,0.0,0.0,0.0,0,0
Thiago Couto,Thiago Couto Wenceslau,474044,Sport Recife,Sport Recife,https://cdn5.wyscout.com/photos/team/public/258_120x120.png,Serie B,GK,GK,100,,0,,0,27,1999-03-26,200000,2027-12-31,9,927,0,0.0,0,0.0,0.58,83.33,Brazil,['Brazil'],right,188,79,False,1.17,0.1,100.0,0.39,100.0,0.0,0.0,0.0,1.07,1.6600000000000001,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.65,0.19,0.0,19.61,91.09,7.67,81.01,0.0,0.0,14.56,99.33,5.05,67.31,28.17,46.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,60.0,0.1,0.0,0.0,0.0,0.0,0.0,3.01,64.52,97.46,11.46,7,0.68,37,3.59,4,81.08,10.44,1.01,3.44,0.334,0.0,1.3599999999999999,0.39,,,,0.0,0,0
Muriel,Muriel Gustavo Becker,9403,Náutico,Náutico,https://cdn5.wyscout.com/photos/team/public/259_120x120.png,Serie B,GK,GK,100,,0,,0,39,1987-02-14,200000,2026-11-30,9,925,0,0.0,0,0.0,0.68,100.0,Brazil,"['Brazil', 'Germany']",left,190,84,False,1.26,0.1,100.0,0.39,100.0,0.0,0.0,0.0,1.17,2.12,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,100.0,0.0,0.0,0.0,10.02,0.19,0.29,17.22,87.57,7.2,74.32,0.1,100.0,13.33,99.27,3.89,47.5,27.37,47.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.56,50.0,0.19,0.0,0.1,0.0,0.0,0.0,1.9500000000000002,80.0,96.91,9.44,9,0.88,39,3.79,3,76.92,11.68,1.1400000000000001,2.68,0.261,0.0,1.17,0.39,,,,0.0,0,0
Pará,Anderson Ferreira da Silva,329245,São Bernardo FC,São Bernardo FC,https://cdn5.wyscout.com/photos/team/public/3188_120x120.png,Serie B,LB,LB,96,,0,,0,30,1995-08-23,100000,2027-03-31,9,916,2,0.6000000000000001,0,0.03,8.94,45.05,Brazil,['Brazil'],left,167,70,False,6.09,4.13,50.0,1.38,64.29,0.39,0.49,0.1,3.64,4.57,0.59,2,0.2,0,0.0,1.38,0.2,2,0.2,0.06,1,0.1,4,0.39,50.0,50.0,0.0,2.26,30.43,2.16,27.27,0.1,100.0,0.1,1.18,41.67,2.85,31.03,0.79,2.16,0.39,29.38,2.95,0.39,37.73,81.77,12.77,73.08,6.68,88.24,30.16,90.23,5.5,57.14,21.08,38.13,0.0,0.29,0.0,0.0,0.0,0.0,0.0,3.14,65.63,2.26,43.48,0.1,100.0,0.29,0.59,7.96,69.14,87.97,13.07,0,,0,,0,0.0,0.0,0.0,,,0.98,,1.38,0.2,0.0,0.0,0.59,0,0
Augusto,Augusto De Souza Silva,430037,São Bernardo FC,São Bernardo FC,https://cdn5.wyscout.com/photos/team/public/3188_120x120.png,Serie B,LCB,LCB,96,,0,,0,29,1997-04-16,0,2026-11-30,9,916,0,0.0,0,0.18,10.71,55.05,Brazil,['Brazil'],right,186,86,False,7.76,4.13,61.9,4.22,58.14,0.1,0.12,0.59,5.11,6.42,0.98,0,0.0,0,0.0,0.2,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.1,100.0,0.1,100.0,0.0,0.0,0.0,0.2,50.0,1.47,40.0,0.0,0.98,0.0,32.03,0.6900000000000001,0.29,46.57,86.92,21.62,78.64,1.47,93.33,39.5,91.29,6.98,61.97,22.3,36.4,0.02,0.2,0.0,0.0,0.0,0.0,0.2,3.83,71.79,0.29,66.67,0.1,0.0,0.1,0.1,10.51,61.68,98.54,20.24,0,,0,,0,0.0,0.0,0.0,,,0.6900000000000001,,4.22,0.0,0.0,0.0,0.0,0,0
Rodrigo Ferreira,Rodrigo Ferreira da Silva,435215,São Bernardo FC,São Bernardo FC,https://cdn5.wyscout.com/photos/team/public/3188_120x120.png,Serie B,RB,RB,96,,0,,0,31,1995-03-29,0,2026-11-30,9,916,1,1.2,1,0.32,8.94,52.75,Brazil,['Brazil'],right,178,80,False,7.17,4.32,63.64,2.06,52.38,0.2,0.25,0.29,4.22,5.31,0.98,2,0.2,0,0.0,1.28,0.1,1,0.1,0.12,0,0.0,10,0.98,30.0,10.0,0.1,1.97,35.0,0.0,0.0,1.97,35.0,0.49,0.39,50.0,1.67,29.41,1.08,0.59,0.0,33.9,4.42,0.29,42.84,82.8,15.62,71.07,6.39,95.38,35.86,88.49,5.21,60.38,20.31,36.21,0.03,0.39,0.0,0.0,0.1,100.0,0.2,3.24,75.76,1.87,36.84,0.0,0.0,0.39,0.59,8.94,62.64,89.51,15.92,0,,0,,0,0.0,0.0,0.0,,,1.18,,2.06,0.0,0.0,0.0,0.1,0,0
Gustavo,Luis Gustavo de Almeida Pinto,143127,América Mineiro,América Mineiro,https://cdn5.wyscout.com/photos/team/public/1729_120x120.png,Serie B,GK,GK,100,,0,,0,33,1993-03-10,0,,9,914,0,0.0,0,0.0,0.30000000000000004,33.33,Brazil,['Brazil'],right,187,90,False,1.38,0.0,0.0,0.2,50.0,0.0,0.0,0.0,1.38,2.31,0.0,2,0.2,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,11.23,0.2,0.1,19.0,89.64,10.14,82.52,0.0,0.0,13.59,97.1,5.22,73.58,29.84,48.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.36,50.0,0.0,0.0,0.1,0.0,0.0,0.0,4.63,80.85,100.0,8.17,17,1.67,45,4.43,1,62.22,13.13,1.29,-3.87,-0.381,0.0,0.30000000000000004,0.2,,,,0.0,0,0
Marcelo Carné,Marcelo Henrique Passos Carné,111439,Cuiabá,Cuiabá,https://cdn5.wyscout.com/photos/team/public/3325_120x120.png,Serie B,GK,GK,100,,0,,0,36,1990-02-06,350000,2026-11-30,9,908,0,0.0,0,0.0,0.2,100.0,Brazil,['Brazil'],right,188,88,False,1.3900000000000001,0.0,0.0,0.1,100.0,0.0,0.0,0.0,1.3900000000000001,1.88,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.52,0.30000000000000004,0.1,14.77,85.23,6.34,70.31,0.0,0.0,10.51,100.0,4.06,51.22,31.26,58.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2800000000000002,39.13,0.2,0.0,0.0,0.0,0.0,0.0,2.7800000000000002,71.43,97.44,7.73,4,0.4,17,1.69,6,76.47,4.22,0.42,0.22,0.022,0.0,0.79,0.1,,,,0.0,0,0
