Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
L. Gustavino,Luis Carlos Gustavino Chila,-354645,Aucas,Aucas,https://cdn5.wyscout.com/photos/team/public/g648_120x120.png,Liga Pro,"RCB, RCB3, RB",RCB,72,RCB3,16,RB,11,27.0,1999-05-09,0,2026-12-31,14,1443,0,1.52,0,0.38,13.91,57.85,Ecuador,['Ecuador'],unknown,0,0,False,7.17,6.3,67.33,3.93,50.79,0.06,0.1,0.37,2.87,4.63,1.12,2,0.12,0,0.0,0.81,0.0,0,0.0,0.09,0,0.0,14,0.87,28.57,0.0,0.0,1.06,23.53,0.0,0.0,1.06,23.53,0.0,0.62,50.0,1.62,53.85,0.81,1.06,0.06,36.3,0.31,0.31,48.77,85.29,20.02,76.95,1.87,96.67,40.29,92.26,7.67,56.1,22.9,38.19,0.02,0.19,0.0,0.0,0.0,0.0,0.19,8.67,74.82,1.19,42.11,0.37,50.0,0.37,0.12,10.42,74.25,92.76,22.39,0,,0,,0,0.0,0.0,0.0,,,0.6900000000000001,,3.93,0.0,0.0,0.0,0.0,0,0
A. Spina,Agostino Luigi Spina,-242115,Aucas,Aucas,https://cdn5.wyscout.com/photos/team/public/g648_120x120.png,Liga Pro,DMF,DMF,79,,0,,0,24.0,2001-10-31,0,2027-12-31,14,1443,0,0.30000000000000004,1,0.49,11.41,59.56,Argentina,['Argentina'],right,180,71,True,9.29,6.49,66.35,1.37,50.0,1.25,2.01,0.19,3.74,6.04,1.0,2,0.12,0,0.0,0.31,0.0,0,0.0,0.02,0,0.0,11,0.6900000000000001,9.09,0.0,0.06,0.31,60.0,0.06,0.0,0.19,66.67,0.06,0.19,33.33,1.81,55.17,0.5,0.87,0.12,28.88,0.06,0.81,42.85,91.7,11.66,81.82,5.93,95.79,40.67,93.4,1.9300000000000002,61.29,17.66,30.43,0.03,0.75,0.0,0.0,0.0,0.0,0.06,5.8,84.95,1.06,64.71,0.06,0.0,0.56,0.12,5.24,75.0,95.91,19.83,0,,0,,0,0.0,0.0,0.0,,,0.25,,1.37,0.0,0.0,0.0,0.12,0,0
H. Piedra,Hamilton Emanuel Piedra Ordóñez,189004,Aucas,Aucas,https://cdn5.wyscout.com/photos/team/public/g648_120x120.png,Liga Pro,GK,GK,100,,0,,0,33.0,1993-02-20,450000,2026-12-31,14,1443,0,0.0,0,0.0,0.25,100.0,Ecuador,['Ecuador'],right,182,66,False,0.56,0.06,100.0,0.19,100.0,0.0,0.0,0.0,0.5,0.81,0.0,2,0.12,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,6.8,0.25,0.12,11.29,91.16,6.24,84.0,0.0,0.0,7.73,100.0,3.56,71.93,30.42,47.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81,61.54,0.0,0.0,0.06,0.0,0.0,0.0,2.68,83.72,100.0,4.3,15,0.9400000000000001,39,2.43,5,61.54,9.02,0.56,-5.98,-0.373,0.0,1.12,0.19,,,,0.0,0,0
P. Ortíz,Pedro Alfredo Ortíz Angulo,432450,Emelec,Emelec,https://cdn5.wyscout.com/photos/team/public/663_120x120.png,Liga Pro,GK,GK,100,,0,,0,36.0,1990-02-19,600000,2026-12-31,14,1442,0,0.0,0,0.0,0.5,75.0,Ecuador,['Ecuador'],right,187,80,False,1.12,0.06,0.0,0.31,80.0,0.0,0.0,0.0,1.12,1.69,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,100.0,0.0,0.0,0.0,9.74,0.81,0.06,15.67,81.67,10.67,74.27,0.0,0.0,8.3,99.25,7.36,61.86,35.81,45.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.06,63.64,0.06,100.0,0.06,100.0,0.06,0.0,5.55,75.28,97.33,4.68,16,1.0,65,4.06,4,75.38,16.19,1.01,0.19,0.012,0.0,1.0,0.31,,,,0.0,0,0
J. Ayoví,Junior Jimar Ayoví Caicedo,-320290,Guayaquil City,Guayaquil City,https://cdn5.wyscout.com/photos/team/public/g14771_120x120.png,Liga Pro,"RWB, RB5",RWB,70,RB5,21,,0,24.0,2001-12-21,0,2026-12-31,14,1442,0,0.91,4,2.42,12.86,38.35,Ecuador,['Ecuador'],,0,0,False,4.43,3.37,51.85,0.6900000000000001,9.09,0.12,0.18,0.06,2.56,3.77,0.25,0,0.0,0,0.0,2.56,0.0,0,0.0,0.06,0,0.0,7,0.44,28.57,0.0,0.25,3.06,42.86,0.0,0.0,3.06,42.86,0.37,1.9300000000000002,51.61,7.61,33.61,1.56,2.0,0.19,26.4,1.75,1.06,33.77,84.1,6.8,70.64,8.3,96.24,29.08,89.91,1.81,58.62,17.2,31.41,0.15,1.12,0.0,0.0,0.19,66.67,1.0,2.56,65.85,2.93,53.19,0.44,71.43,0.81,1.19,4.93,72.15,82.29,10.92,0,,0,,0,0.0,0.0,0.0,,,0.12,,0.6900000000000001,0.0,0.0,0.0,0.0,0,0
J. Quiñónez,Joshué Jampier Quiñónez Rodriguez,-154348,Guayaquil City,Guayaquil City,https://cdn5.wyscout.com/photos/team/public/g14771_120x120.png,Liga Pro,CB,CB,91,,0,,0,24.0,2001-05-29,250000,2026-12-31,14,1442,1,0.53,0,0.0,7.49,63.33,Ecuador,['Ecuador'],right,180,76,False,6.55,2.81,75.56,3.18,60.78,0.06,0.09,0.5,4.37,6.44,0.37,0,0.0,0,0.0,0.19,0.06,1,0.06,0.03,0,0.0,3,0.19,33.33,33.333,0.0,0.06,100.0,0.0,0.0,0.06,100.0,0.0,0.06,100.0,0.56,55.56,0.56,0.12,0.06,30.15,0.31,0.31,42.25,92.02,14.98,82.08,1.69,96.3,38.76,96.14,3.43,45.45,20.76,40.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.44,39.13,0.12,50.0,0.06,0.0,0.0,0.06,4.49,69.44,98.51,20.91,0,,0,,0,0.0,0.0,0.0,,,1.25,,3.18,0.0,0.0,0.0,0.0,0,0
F. Ferrero,Facundo Luciano Ferrero,274467,Deportivo Cuenca,Deportivo Cuenca,https://cdn5.wyscout.com/photos/team/public/962_120x120.png,Liga Pro,GK,GK,100,,0,,0,30.0,1996-03-05,175000,2027-12-31,14,1434,0,0.02,0,0.0,1.0,75.0,Argentina,['Argentina'],right,184,83,True,2.01,0.31,60.0,0.38,83.33,0.13,0.16,0.0,1.69,2.23,0.0,1,0.06,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,1,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,100.0,0.06,0.0,0.0,10.48,0.19,0.06,20.21,87.58,10.67,77.65,0.0,0.0,12.74,100.0,7.47,66.39,35.33,55.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.26,48.08,0.31,0.0,0.38,16.67,0.0,0.0,4.96,88.61,98.62,9.1,16,1.0,69,4.33,5,76.81,17.67,1.11,1.67,0.105,0.0,1.51,0.38,,,,0.0,0,0
R. Caicedo,Romario Javier Caicedo Ante,166681,Emelec,Emelec,https://cdn5.wyscout.com/photos/team/public/663_120x120.png,Liga Pro,"RB, RB5",RB,57,RB5,27,,0,35.0,1990-05-23,300000,2026-12-30,14,1433,2,0.92,0,0.43,15.45,53.66,Ecuador,['Ecuador'],right,181,74,False,6.41,4.46,73.24,3.64,50.0,0.19,0.28,0.13,2.95,4.43,0.5700000000000001,1,0.06,0,0.0,1.76,0.13,2,0.13,0.06,1,0.06,10,0.63,30.0,20.0,0.0,2.83,26.67,0.0,0.0,2.83,26.67,0.13,1.51,54.17,5.02,41.25,1.0,1.44,0.06,22.42,1.7000000000000002,1.44,31.4,76.6,12.37,70.05,4.84,97.4,25.44,85.93,3.33,45.28,19.57,37.53,0.03,0.19,0.06,0.0,0.0,0.0,0.13,3.96,68.25,2.83,37.78,0.44,14.29,0.63,0.6900000000000001,6.78,77.78,73.91,8.67,0,,0,,0,0.0,0.0,0.0,,,0.25,,3.64,0.0,0.0,0.0,0.0,0,0
O. Moscarelli,Octavio  Moscarelli,-424498,Manta,Manta,https://cdn5.wyscout.com/photos/team/public/1674_120x120.png,Liga Pro,"LCB, RCB, RCB3",LCB,44,RCB,34,RCB3,16,25.0,2001-01-08,0,2026-12-31,14,1428,1,1.83,0,0.39,12.79,61.08,Argentina,['Argentina'],unknown,0,0,False,8.57,5.48,71.26,3.2800000000000002,53.85,0.25,0.36,1.07,4.41,6.33,1.13,4,0.25,0,0.0,0.25,0.06,1,0.06,0.12,0,0.0,11,0.6900000000000001,27.27,9.091,0.0,0.32,20.0,0.13,50.0,0.19,0.0,0.0,0.25,0.0,2.02,50.0,0.76,0.25,0.0,16.32,0.32,0.9500000000000001,28.61,84.14,12.04,73.3,1.58,100.0,24.26,90.39,4.03,51.56,21.93,38.43,0.02,0.06,0.0,0.0,0.0,0.0,0.06,2.14,58.82,0.38,16.67,0.06,0.0,0.0,0.06,5.61,60.67,90.96,11.85,0,,0,,0,0.0,0.0,0.0,,,0.88,,3.2800000000000002,0.0,0.0,0.0,0.0,0,0
S. Razzeto,Santiago Razzeto,-256295,Técnico Universitario,Técnico Universitario,https://cdn5.wyscout.com/photos/team/public/965_120x120.png,Liga Pro,GK,GK,100,,0,,0,25.0,2001-05-04,0,2026-12-31,14,1427,0,0.0,0,0.0,0.13,100.0,Argentina,['Argentina'],right,0,0,False,1.45,0.0,0.0,0.13,100.0,0.0,0.0,0.0,1.45,1.9300000000000002,0.0,2,0.13,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,3.03,0.19,0.0,8.64,81.75,5.11,69.14,0.06,100.0,6.5600000000000005,99.04,2.02,28.13,31.16,45.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,26.32,0.32,0.0,0.06,0.0,0.0,0.0,1.2,68.42,100.0,2.7800000000000002,15,0.9500000000000001,49,3.09,3,69.39,13.67,0.86,-1.33,-0.084,0.0,1.51,0.13,,,,0.0,0,0
