Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Jérôme Prior,Jérôme Prior,259268,Livingston,Livingston,https://cdn5.wyscout.com/photos/team/public/1226_120x120.png,Premiership,GK,GK,100,,0,,0,30.0,1995-08-08,400000,2028-05-31,31,3053,0,0.0,0,0.03,0.56,84.21,France,['France'],both,187,85,False,3.01,0.09,33.33,0.18,100.0,0.03,0.04,0.0,2.95,3.62,0.0,3,0.09,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,100.0,0.0,0.0,0.0,15.54,0.21,0.18,23.55,86.98,13.21,79.24,0.0,0.0,12.79,98.62,10.76,73.15,34.56,46.06,0.0,0.03,0.0,0.03,0.0,0.0,0.03,2.0,57.35,0.06,50.0,0.0,0.0,0.03,0.0,7.99,79.34,97.0,9.82,61,1.8,176,5.19,2,65.34,57.86,1.71,-3.14,-0.093,0.0,1.74,0.18,,,,0.0,0,0.0
J. Butland,Jack Butland,192419,Rangers,Rangers,https://cdn5.wyscout.com/photos/team/public/295_120x120.png,Premiership,GK,GK,100,,0,,0,33.0,1993-03-10,3000000,2027-05-31,31,3044,0,0.0,0,0.0,0.35000000000000003,100.0,England,['England'],right,196,95,False,1.33,0.06,100.0,0.15,100.0,0.03,0.05,0.0,1.24,2.08,0.0,1,0.03,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,100.0,0.0,0.0,0.0,16.08,0.24,0.09,23.15,85.82,13.45,77.58,0.0,0.0,15.34,98.27,7.8100000000000005,61.36,30.29,51.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5700000000000003,50.57,0.21,14.29,0.06,0.0,0.0,0.0,5.82,74.62,98.56,8.19,26,0.77,121,3.58,12,78.51,33.03,0.98,7.03,0.20800000000000002,0.0,0.9500000000000001,0.15,,,,0.0,0,0.0
Jon McCracken,Jon McCracken,451113,Dundee,Dundee,https://cdn5.wyscout.com/photos/team/public/1225_120x120.png,Premiership,GK,GK,100,,0,,0,25.0,2000-05-24,250000,2026-06-30,31,3026,0,0.0,0,0.0,0.65,81.82,Scotland,['Scotland'],right,190,77,False,1.25,0.06,50.0,0.30000000000000004,100.0,0.0,0.0,0.0,1.22,1.47,0.0,1,0.03,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,66.67,0.0,0.0,0.0,16.66,0.33,0.21,22.46,73.11,13.74,59.09,0.0,0.0,12.08,97.29,10.32,44.96,38.84,55.52,0.0,0.0,0.03,0.0,0.0,0.0,0.03,4.94,31.93,0.59,10.0,0.15,0.0,0.06,0.0,5.89,66.67,95.94,8.06,50,1.49,175,5.2,5,71.43,45.62,1.3599999999999999,-4.38,-0.13,0.0,1.07,0.30000000000000004,,,,0.0,0,0.0
Miguel Freckleton,Miguel Freckleton,-340526,St. Mirren,St. Mirren,https://cdn5.wyscout.com/photos/team/public/305_120x120.png,Premiership,LCB3,LCB3,90,,0,,0,22.0,2003-06-08,0,2027-05-31,31,3022,4,2.29,0,0.9400000000000001,16.59,57.99,England,"['England', 'Jamaica']",left,193,0,False,11.02,6.58,69.68,5.72,56.77,0.24,0.31,0.86,6.19,8.0,0.71,7,0.21,0,0.0,1.1,0.12,4,0.12,0.07,2,0.06,18,0.54,38.89,22.222,0.0,1.52,31.37,1.37,34.78,0.15,0.0,0.18,0.63,61.9,2.56,34.88,1.22,1.34,0.12,31.24,0.54,0.42,46.97,81.36,20.82,72.25,4.17,91.43,38.66,89.06,6.85,48.26,21.38,39.87,0.03,0.36,0.0,0.03,0.06,50.0,0.18,7.98,64.55,1.88,42.86,0.33,27.27,0.5700000000000001,0.51,10.24,68.9,90.8,17.48,0,,0,,0,0.0,0.0,0.0,,,1.58,,5.72,0.0,0.0,0.0,0.0,0,0.0
C. Ward,Calum Ward,-129445,Motherwell,Motherwell,https://cdn5.wyscout.com/photos/team/public/300_120x120.png,Premiership,GK,GK,100,,0,,0,25.0,2000-10-17,250000,2027-05-31,31,3009,0,0.0,0,0.0,0.6900000000000001,82.61,England,['England'],right,188,96,False,1.65,0.12,75.0,0.45,93.33,0.03,0.05,0.0,1.53,2.31,0.0,1,0.03,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,50.0,0.0,0.0,0.0,32.12,0.33,0.09,42.41,90.27,20.1,81.55,0.03,100.0,31.85,97.75,10.5,68.09,26.23,46.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.41,57.02,0.21,28.57,0.15,0.0,0.06,0.0,7.51,70.12,98.38,20.37,23,0.6900000000000001,111,3.32,17,79.28,32.46,0.97,9.46,0.28300000000000003,0.03,1.5,0.45,,,,0.0,0,0.0
Shamal George,Shamal George,449604,St. Mirren,St. Mirren,https://cdn5.wyscout.com/photos/team/public/305_120x120.png,Premiership,GK,GK,100,,0,,0,28.0,1998-01-06,300000,2026-06-30,31,2995,0,0.0,1,0.0,0.51,94.12,England,['England'],right,198,75,True,1.65,0.09,66.67,0.18,100.0,0.03,0.04,0.0,1.56,1.97,0.06,2,0.06,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,100.0,0.0,0.0,0.0,13.52,0.30000000000000004,0.24,20.28,82.96,13.91,76.46,0.0,0.0,8.56,99.3,11.72,71.03,40.05,51.1,0.0,0.03,0.0,0.0,0.0,0.0,0.0,4.15,62.32,0.30000000000000004,0.0,0.09,0.0,0.0,0.0,8.86,86.78,97.49,5.98,47,1.4100000000000001,139,4.18,7,66.19,46.67,1.4,-0.33,-0.01,0.0,1.08,0.18,,,,0.0,0,0.0
Killian Phillips,Killian Phillips,-193902,St. Mirren,St. Mirren,https://cdn5.wyscout.com/photos/team/public/305_120x120.png,Premiership,"RCMF3, RCMF",RCMF3,68,RCMF,11,,0,24.0,2002-03-30,300000,2027-05-31,32,2923,3,5.0,0,1.73,14.78,49.79,United States,"['United States', 'Republic of Ireland']",right,190,85,False,6.4,4.62,58.0,4.22,45.99,0.49,0.62,0.37,3.23,4.08,1.3900000000000001,8,0.25,0,0.0,1.48,0.09,3,0.09,0.15,0,0.0,34,1.05,38.24,8.824,0.0,1.79,37.93,0.4,38.46,1.3900000000000001,37.78,0.28,0.65,57.14,4.06,44.7,1.6600000000000001,0.28,0.03,16.53,0.8,1.32,27.34,75.11,9.24,58.67,6.34,94.17,22.75,82.14,2.96,42.71,19.3,35.57,0.05,0.46,0.0,0.0,0.12,25.0,0.25,4.46,56.55,2.56,42.17,0.52,17.65,0.65,0.65,4.96,67.08,77.95,7.82,0,,0,,0,0.0,0.0,0.0,,,1.82,,4.22,0.15,0.03,100.0,0.46,0,0.0
Luke Graham,Luke Graham,-383074,Dundee,Dundee,https://cdn5.wyscout.com/photos/team/public/1225_120x120.png,Premiership,"RCB, LCB, LCB3",RCB,33,LCB,30,LCB3,25,22.0,2004-02-11,0,,30,2902,2,2.41,1,1.29,15.6,62.23,Scotland,['Scotland'],left,192,0,False,8.16,4.71,66.45,6.14,67.68,0.19,0.23,0.81,4.84,5.86,0.84,3,0.09,0,0.0,0.78,0.06,2,0.06,0.07,1,0.03,14,0.43,14.29,14.286,0.03,0.22,28.57,0.12,0.0,0.09,66.67,0.03,0.84,77.78,3.01,53.61,0.78,1.12,0.09,26.39,0.53,1.12,41.06,81.8,17.24,66.01,2.76,96.63,34.55,89.95,6.3,38.92,22.83,38.45,0.04,0.19,0.0,0.03,0.03,0.0,0.12,5.12,49.7,0.9,24.14,0.31,30.0,0.22,0.06,7.35,57.81,93.58,17.86,0,,0,,0,0.0,0.0,0.0,,,1.67,,6.14,0.03,0.0,0.0,0.0,0,0.0
Scott Bain,Scott Bain,134241,Falkirk,Falkirk,https://cdn5.wyscout.com/photos/team/public/303_120x120.png,Premiership,GK,GK,100,,0,,0,34.0,1991-11-22,250000,2028-05-31,30,2897,0,0.0,0,0.0,0.56,100.0,Scotland,['Scotland'],right,183,84,False,0.93,0.06,100.0,0.28,100.0,0.0,0.0,0.0,0.87,1.24,0.0,2,0.06,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,100.0,0.0,0.0,0.0,21.0,0.12,0.19,27.77,88.7,13.14,78.96,0.03,100.0,18.95,97.87,8.82,69.01,30.2,49.6,0.0,0.0,0.0,0.03,0.0,0.0,0.0,2.7,55.17,0.03,0.0,0.06,0.0,0.0,0.0,5.93,74.87,97.67,13.33,41,1.27,131,4.07,6,68.7,42.09,1.31,1.09,0.034,0.03,0.93,0.28,,,,0.0,0,0.0
Danny Finlayson,Danny Finlayson,498313,Livingston,Livingston,https://cdn5.wyscout.com/photos/team/public/1226_120x120.png,Premiership,"RB, RCB, RCB3",RB,31,RCB,26,RCB3,10,25.0,2001-01-19,200000,2026-05-31,30,2893,0,0.91,0,0.8300000000000001,16.86,55.17,Scotland,"['Scotland', 'Northern Ireland']",right,191,0,False,8.77,6.5,55.02,6.63,58.22,0.06,0.07,0.44,5.13,6.16,0.65,7,0.22,0,0.0,0.9,0.0,0,0.0,0.03,0,0.0,10,0.31,50.0,0.0,0.0,1.52,34.69,0.12,25.0,1.37,36.36,0.12,0.28,77.78,1.77,49.12,0.93,1.15,0.16,26.91,1.12,0.9,41.03,80.97,17.64,73.02,4.6,94.59,34.22,87.73,5.51,50.28,20.32,37.41,0.03,0.28,0.0,0.03,0.0,0.0,0.19,6.91,68.47,1.46,42.55,0.31,40.0,0.22,0.5,8.87,69.47,86.68,14.25,0,,0,,0,0.0,0.0,0.0,,,1.5899999999999999,,6.63,0.0,0.0,0.0,0.0,0,0.0
