Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
M. Focşa,Maxim Focşa,208568,Baltika,CSF Bălți,https://cdn5.wyscout.com/photos/team/public/1653_120x120.png,Premier League,"RCB3, RCB",RCB3,71,RCB,22,,0,33.0,1992-04-21,100000,,22,2142,1,0.61,0,0.9,9.58,62.72,Moldova,['Moldova'],right,186,0,False,7.35,3.36,71.25,3.5700000000000003,52.94,0.13,0.15,0.59,4.83,5.93,0.38,2,0.08,0,0.0,0.34,0.04,1,0.04,0.03,0,0.0,9,0.38,33.33,11.111,0.0,0.55,30.77,0.0,0.0,0.55,30.77,0.0,0.08,0.0,1.55,70.27,0.5,1.6,0.0,32.23,0.46,1.26,47.77,82.41,24.12,72.82,3.32,92.41,38.03,89.94,9.2,54.34,24.11,42.07,0.04,0.29,0.04,0.0,0.04,100.0,0.04,7.44,61.58,1.3900000000000001,45.45,0.67,50.0,0.55,0.17,12.14,71.97,93.16,15.97,0,,0,,0,0.0,0.0,0.0,,,1.6,,3.5700000000000003,0.17,0.08,0.0,0.0,0,0
M. Ștefan,Mihail Ștefan,-127045,Zimbru,Zimbru,https://cdn5.wyscout.com/photos/team/public/3413_120x120.png,Super Liga,"LCB, RCB, LCB3",LCB,55,RCB,17,LCB3,14,24.0,2001-08-07,0,,21,2011,1,1.57,1,1.45,11.32,62.06,Moldova,['Moldova'],,0,0,False,8.55,4.52,70.3,4.61,56.31,0.18,0.26,0.27,5.19,7.57,0.63,3,0.13,0,0.0,0.49,0.04,1,0.04,0.07,1,0.04,15,0.67,40.0,6.667,0.04,0.13,33.33,0.0,0.0,0.13,33.33,0.04,0.22,80.0,0.76,70.59,0.98,0.81,0.09,37.37,0.4,0.4,55.18,83.29,21.12,68.86,3.04,92.65,45.92,90.84,9.13,46.08,24.38,43.87,0.06,0.27,0.0,0.0,0.09,0.0,0.13,8.64,49.22,1.25,28.57,1.07,16.67,0.4,0.04,9.13,68.63,94.64,25.87,0,,0,,0,0.0,0.0,0.0,,,1.6099999999999999,,4.61,0.0,0.0,0.0,0.0,0,0
Rai,Rai Lopes De Oliveira,-163314,Sheriff,Sheriff,https://cdn5.wyscout.com/photos/team/public/1979_120x120.png,Super Liga,LB,LB,100,,0,,0,25.0,2000-03-28,200000,2026-12-31,21,1972,2,1.17,2,2.83,16.38,54.32,Brazil,['Brazil'],left,182,0,False,7.39,5.48,62.5,3.47,65.79,0.37,0.63,0.0,3.61,6.2,1.4100000000000001,4,0.18,0,0.0,3.7,0.09,2,0.09,0.05,0,0.0,20,0.91,25.0,10.0,0.09,4.34,44.21,4.29,44.68,0.05,0.0,0.5,2.74,56.67,6.21,42.65,1.4100000000000001,2.7800000000000002,0.41000000000000003,34.82,1.46,0.5,47.65,75.38,22.45,68.29,5.39,94.92,35.92,85.13,7.67,45.83,21.47,36.87,0.13,1.1,0.09,0.0,0.0,0.0,0.41000000000000003,11.0,66.39,4.75,48.08,0.68,26.67,0.73,1.87,14.1,79.29,76.87,13.42,0,,0,,0,0.0,0.0,0.0,,,0.37,,3.47,0.0,0.0,0.0,0.46,0,0
Ş. Efros,Ştefan Efros,411029,Dacia-Buiucani,Dacia-Buiucani,https://cdn5.wyscout.com/photos/team/public/g11313_120x120.png,Super Liga,"CB, LCB",CB,77,LCB,12,,0,35.0,1990-05-08,75000,,21,1965,1,0.65,0,0.0,10.76,66.38,Moldova,['Moldova'],right,195,84,False,7.47,3.8,71.08,4.31,67.02,0.14,0.16,0.96,4.63,5.48,0.6900000000000001,4,0.18,0,0.0,0.05,0.05,1,0.05,0.03,0,0.0,5,0.23,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05,52.17,0.32,0.0,0.0,18.05,0.05,0.92,30.05,87.65,8.02,66.29,1.83,95.0,27.85,91.12,2.2,43.75,20.64,29.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,48.57,0.14,33.33,0.09,0.0,0.05,0.0,3.76,51.22,96.42,17.91,0,,0,,0,0.0,0.0,0.0,,,1.05,,4.31,0.0,0.0,0.0,0.0,0,0
I. Jardan,Ion Jardan,39522,Petrocub,Petrocub,https://cdn5.wyscout.com/photos/team/public/g9135_120x120.png,Super Liga,"RB5, RCB3, RWB",RB5,43,RCB3,15,RWB,13,36.0,1990-01-10,200000,,21,1948,6,5.9,8,4.82,10.76,51.93,Moldova,['Moldova'],right,183,74,False,5.22,3.65,67.09,2.77,45.0,0.14,0.2,0.18,2.63,3.73,1.02,4,0.18,0,0.0,3.14,0.28,6,0.28,0.27,3,0.14,28,1.29,32.14,21.429,0.37,3.9699999999999998,47.67,0.09,50.0,3.88,47.62,0.88,1.29,60.71,2.73,45.76,2.86,1.76,0.18,35.57,2.08,0.6000000000000001,46.62,78.39,14.74,67.08,7.53,93.25,37.52,85.22,5.45,51.69,20.13,36.56,0.22,1.43,0.05,0.09,0.09,50.0,0.8300000000000001,7.67,61.45,4.57,47.47,0.74,43.75,1.2,1.71,10.44,79.2,82.61,19.13,0,,0,,0,0.0,0.0,0.0,,,1.02,,2.77,0.0,0.0,0.0,0.0,0,0
M. Căruntu,Marin Căruntu,297931,Baltika,CSF Bălți,https://cdn5.wyscout.com/photos/team/public/1653_120x120.png,Premier League,"CF, RW",CF,72,RW,14,,0,28.0,1997-11-28,250000,,21,1943,6,6.9,1,0.79,16.21,39.14,Moldova,['Moldova'],right,178,72,False,3.24,1.99,65.12,5.0,32.41,0.23,0.28,0.09,1.71,2.09,1.3900000000000001,4,0.19,0,0.0,1.85,0.28,3,0.14,0.32,0,0.0,38,1.76,42.11,15.789,0.05,1.34,24.14,0.28,50.0,1.02,18.18,0.37,1.62,48.57,6.76,38.36,2.64,1.16,0.23,8.99,2.69,1.71,11.63,66.53,2.7800000000000002,58.33,3.01,81.54,9.82,72.17,0.46,70.0,17.62,15.67,0.04,0.32,0.09,0.0,0.0,0.0,0.09,0.97,42.86,1.3,46.43,0.05,0.0,0.32,0.37,1.67,69.44,63.51,3.43,0,,0,,0,0.0,0.0,0.0,,,0.05,,5.0,0.19,0.14,33.33,0.0,3,100
Alvaro Bely,Álvaro Bely Medina,450768,CSF Bălți,CSF Bălți,https://cdn5.wyscout.com/photos/team/public/g-12757_120x120.png,Super Liga,"RCMF, RCMF3, LCB",RCMF,27,RCMF3,14,LCB,13,31.0,1994-03-21,250000,,21,1938,1,1.03,1,0.67,12.68,58.24,Argentina,['Argentina'],right,180,79,False,6.92,4.6,58.59,5.11,59.09,0.33,0.43,0.74,3.9,5.15,0.7000000000000001,0,0.0,0,0.0,0.51,0.05,1,0.05,0.05,0,0.0,11,0.51,36.36,9.091,0.05,0.42,44.44,0.09,50.0,0.33,42.86,0.09,0.23,60.0,0.98,42.86,0.65,0.46,0.0,24.15,0.7000000000000001,0.33,38.54,78.31,18.2,64.8,3.5300000000000002,94.74,30.14,87.52,7.99,45.35,22.26,37.86,0.03,0.28,0.05,0.0,0.0,0.0,0.09,7.94,51.46,1.16,28.0,0.6000000000000001,30.77,0.28,0.19,8.45,72.53,92.09,12.91,0,,0,,0,0.0,0.0,0.0,,,0.84,,5.11,0.14,0.09,50.0,0.0,0,0
A. Rusnac,Andrei Rusnac,262293,CSF Bălți,CSF Bălți,https://cdn5.wyscout.com/photos/team/public/g-12757_120x120.png,Super Liga,"CB, RCB",CB,67,RCB,11,,0,29.0,1996-09-22,100000,,20,1914,0,2.11,0,0.53,9.78,59.13,Moldova,['Moldova'],both,0,0,False,6.58,3.34,60.56,3.86,58.54,0.05,0.06,0.66,4.51,5.79,0.75,3,0.14,0,0.0,0.28,0.0,0,0.0,0.1,0,0.0,10,0.47000000000000003,40.0,0.0,0.0,0.09,100.0,0.05,100.0,0.05,100.0,0.05,0.09,0.0,0.71,33.33,0.56,0.71,0.0,29.2,0.19,0.89,45.94,88.02,21.49,79.43,1.88,97.5,39.73,93.02,6.11,55.38,20.48,34.13,0.02,0.19,0.0,0.0,0.0,0.0,0.09,3.62,71.43,0.52,36.36,0.14,33.33,0.14,0.09,8.89,65.61,96.5,17.45,0,,0,,0,0.0,0.0,0.0,,,1.3599999999999999,,3.86,0.05,0.05,0.0,0.0,1,0
V. Pascari,Vlad Pascari,-386235,Petrocub,Petrocub,https://cdn5.wyscout.com/photos/team/public/g9135_120x120.png,Super Liga,"LCB3, LCB",LCB3,72,LCB,14,,0,19.0,2006-09-14,0,,20,1853,0,0.05,0,0.38,11.85,60.66,Moldova,['Moldova'],left,0,0,False,10.54,5.44,75.89,2.5300000000000002,51.92,0.49,0.58,0.24,5.93,7.13,0.39,0,0.0,0,0.0,0.58,0.0,0,0.0,0.0,0,0.0,2,0.1,0.0,0.0,0.0,0.44,33.33,0.39,37.5,0.05,0.0,0.1,0.73,60.0,2.96,39.34,0.29,1.7000000000000002,0.19,27.78,0.39,0.78,44.83,81.04,20.01,69.66,4.42,95.6,38.9,86.02,5.49,49.56,20.89,34.44,0.02,0.24,0.0,0.0,0.0,0.0,0.0,4.66,65.63,0.73,40.0,0.24,40.0,0.24,0.15,10.1,55.29,91.99,16.37,0,,0,,0,0.0,0.0,0.0,,,1.51,,2.5300000000000002,0.0,0.0,0.0,0.0,0,0
R. Dumenco,Roman Dumenco,-289229,Dacia-Buiucani,Dacia-Buiucani,https://cdn5.wyscout.com/photos/team/public/g11313_120x120.png,Super Liga,GK,GK,100,,0,,0,21.0,2004-07-30,0,,19,1849,0,0.0,0,0.0,0.8300000000000001,88.24,Moldova,"['Moldova', 'Russia']",left,185,76,False,1.85,0.15,100.0,0.44,77.78,0.0,0.0,0.0,1.7000000000000002,2.11,0.0,2,0.1,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,100.0,0.0,0.0,0.0,11.39,0.0,0.24,22.78,83.12,11.2,70.43,0.0,0.0,14.99,96.75,7.74,57.23,31.11,47.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,41.67,0.05,0.0,0.15,0.0,0.0,0.0,6.43,61.36,95.54,10.9,35,1.7000000000000002,96,4.67,2,63.54,29.69,1.45,-5.31,-0.258,0.0,1.8,0.44,,,,0.0,0,0
