Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
K. Lavuta,Kyrylo Lavuta,-384031,Vorskla,Vorskla,https://cdn5.wyscout.com/photos/team/public/1049_120x120.png,Persha Liga,GK,GK,100,,0,,0,23.0,2002-07-31,0,2026-06-30,28,2706,0,0.0,0,0.0,1.16,88.57,Ukraine,['Ukraine'],right,194,0,False,1.7000000000000002,0.17,40.0,0.8300000000000001,96.0,0.0,0.0,0.0,1.63,2.23,0.03,2,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.0,0.0,0.0,9.01,0.2,0.17,16.03,86.1,7.98,76.67,0.0,0.0,11.71,95.74,4.29,60.47,28.31,40.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,37.5,0.03,0.0,0.03,100.0,0.0,0.0,3.26,58.16,95.02,7.35,34,1.13,134,4.46,7,74.63,39.89,1.33,5.89,0.196,0.0,1.96,0.8300000000000001,,,,0.0,0,0.0
A. Bobynets,Andriy Bobynets,-464416,Prykarpattia,Prykarpattia,https://cdn5.wyscout.com/photos/team/public/g36980_120x120.png,Persha Liga,GK,GK,100,,0,,0,22.0,2003-05-26,0,2026-06-30,28,2692,0,0.0,0,0.0,1.1,87.88,Ukraine,['Ukraine'],right,184,0,False,1.9100000000000001,0.07,100.0,0.8,95.83,0.0,0.0,0.0,1.8399999999999999,2.34,0.0,2,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,80.0,0.0,0.0,0.0,11.13,0.2,0.23,20.69,84.33,13.64,79.17,0.0,0.0,9.86,96.61,10.77,73.6,36.88,49.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.07,56.45,0.07,0.0,0.2,33.33,0.0,0.0,8.83,81.82,95.72,6.25,34,1.1400000000000001,110,3.68,10,69.09,28.84,0.96,-5.16,-0.17300000000000001,0.0,2.21,0.8,,,,0.0,0,0.0
V. Rybak,Vladislav Rybak,-99825,Metalist Kharkiv,Metalist Kharkiv,https://cdn5.wyscout.com/photos/team/public/g-12761_120x120.png,Persha Liga,GK,GK,100,,0,,0,24.0,2001-07-05,450000,2026-06-30,27,2596,0,0.0,0,0.0,1.18,94.12,Ukraine,['Ukraine'],right,192,0,False,1.42,0.1,66.67,0.8,100.0,0.03,0.04,0.0,1.32,1.69,0.07,1,0.03,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,100.0,0.0,0.0,0.0,11.58,0.1,0.31,18.24,76.62,12.1,66.76,0.0,0.0,9.5,91.61,8.74,60.32,38.3,50.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,45.92,0.24,0.0,0.14,50.0,0.0,0.0,6.76,70.26,96.36,5.72,33,1.1400000000000001,127,4.4,5,74.02,37.65,1.31,4.65,0.161,0.0,2.88,0.8,,,,0.0,0,0.0
Sidnney,Sidnney Silva Santos,-80781,Livyi Bereh,Livyi Bereh,https://cdn5.wyscout.com/photos/team/public/g-14335_120x120.png,Persha Liga,LB,LB,100,,0,,0,26.0,2000-05-15,0,2027-06-30,27,2591,5,7.49,4,1.92,19.9,56.54,Brazil,['Brazil'],,0,0,False,8.48,5.91,59.41,6.7,62.69,0.21,0.31,0.14,4.76,7.06,1.63,8,0.28,0,0.0,2.43,0.17,4,0.14,0.26,1,0.03,50,1.74,28.0,10.0,0.14,1.35,53.85,1.35,53.85,0.0,0.0,0.1,1.6,69.57,5.11,50.34,2.22,1.32,0.24,31.64,1.01,1.22,44.11,78.27,19.42,68.16,5.5600000000000005,90.63,36.79,83.57,6.04,51.15,21.48,41.57,0.07,0.76,0.0,0.07,0.14,75.0,0.28,8.79,62.85,2.74,55.7,0.42,41.67,1.11,0.76,11.05,73.58,85.46,13.62,0,,0,,0,0.0,0.0,0.0,,,0.9400000000000001,,6.7,0.0,0.0,0.0,0.0,2,50.0
R. Tolochko,Roman Tolochko,-44003,Ahrobiznes Volochysk,Ahrobiznes Volochysk,https://cdn5.wyscout.com/photos/team/public/g39592_120x120.png,Persha Liga,"RCMF, RDMF",RCMF,44,RDMF,27,,0,27.0,1998-10-25,125000,2026-06-15,28,2590,4,1.21,1,0.86,12.96,55.76,Ukraine,['Ukraine'],right,179,70,False,9.03,6.08,65.71,1.56,53.33,0.42,0.56,0.45,4.62,6.21,0.76,3,0.1,0,0.0,0.6900000000000001,0.14,4,0.14,0.04,0,0.0,27,0.9400000000000001,18.52,14.815,0.03,0.9400000000000001,33.33,0.21,50.0,0.6900000000000001,25.0,0.07,0.52,40.0,3.75,44.44,0.49,0.56,0.0,29.75,0.28,1.32,50.14,80.94,18.03,67.05,8.2,94.07,40.93,87.69,8.27,52.94,20.83,34.64,0.03,0.35000000000000003,0.03,0.03,0.14,0.0,0.1,8.55,65.85,2.08,40.0,0.52,6.67,0.56,0.38,10.29,71.28,87.31,18.63,0,,0,,0,0.0,0.0,0.0,,,1.56,,1.56,0.07,0.0,0.0,0.0,0,0.0
V. Samar,Valerii Samar,-135662,Livyi Bereh,Livyi Bereh,https://cdn5.wyscout.com/photos/team/public/g-14335_120x120.png,Persha Liga,LCB,LCB,100,,0,,0,24.0,2001-08-31,75000,2027-06-30,27,2589,2,2.79,0,0.0,11.61,61.38,Ukraine,['Ukraine'],,0,0,False,8.24,4.45,80.47,3.55,53.92,0.07,0.1,0.35000000000000003,4.59,6.85,0.9400000000000001,3,0.1,0,0.0,0.31,0.07,2,0.07,0.1,2,0.07,16,0.56,37.5,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,50.0,1.18,41.18,0.87,1.3599999999999999,0.03,34.62,0.52,0.35000000000000003,48.95,88.99,18.04,78.81,2.5,95.83,43.8,92.7,5.14,57.43,21.15,40.2,0.0,0.0,0.0,0.03,0.03,100.0,0.0,5.94,76.61,0.45,46.15,0.17,20.0,0.21,0.0,8.97,69.77,96.86,24.33,0,,0,,0,0.0,0.0,0.0,,,1.77,,3.55,0.0,0.0,0.0,0.0,0,0.0
N. Gavrylyuk,Nazar Gavrylyuk,-374427,Probiy Horodenka,Probiy Horodenka,https://cdn5.wyscout.com/photos/team/public/g-21934_120x120.png,Persha Liga,LB,LB,94,,0,,0,24.0,2001-06-19,0,2026-06-30,27,2529,2,2.81,1,0.81,21.78,57.19,Ukraine,['Ukraine'],unknown,0,0,False,10.5,8.54,70.42,4.98,62.14,0.18,0.24,0.43,4.31,5.73,1.42,4,0.14,0,0.0,2.6,0.07,2,0.07,0.1,1,0.04,26,0.93,30.77,7.692,0.04,2.42,29.41,2.42,29.41,0.0,0.0,0.25,2.49,62.86,6.3,42.37,0.89,1.6400000000000001,0.46,13.91,0.64,0.89,25.94,63.1,13.95,55.61,3.24,94.51,17.58,76.72,6.19,37.93,23.03,39.81,0.03,0.36,0.04,0.0,0.04,100.0,0.11,4.91,50.0,2.21,33.87,0.25,57.14,0.32,0.64,7.47,55.71,65.13,5.41,0,,0,,0,0.0,0.0,0.0,,,0.43,,4.98,0.32,0.14,50.0,0.53,0,0.0
P. Stasyuk,Petro Stasyuk,292817,Bukovyna,Bukovyna,https://cdn5.wyscout.com/photos/team/public/4052_120x120.png,Persha Liga,RB,RB,86,,0,,0,31.0,1995-02-24,500000,2026-06-30,28,2528,1,1.3900000000000001,5,4.52,11.43,47.98,Ukraine,['Ukraine'],right,176,72,False,6.19,4.41,62.1,2.1,18.64,0.04,0.05,0.21,3.42,5.27,0.75,2,0.07,0,0.0,3.13,0.04,1,0.04,0.05,0,0.0,27,0.96,29.63,3.7039999999999997,0.18,4.63,37.69,0.5,28.57,4.13,38.79,0.5,1.67,57.45,4.02,49.56,1.82,1.28,0.04,32.4,2.14,0.68,45.32,80.28,17.05,77.04,6.8,94.76,36.63,88.24,4.27,58.33,20.34,37.69,0.16,1.3900000000000001,0.11,0.07,0.14,100.0,0.5700000000000001,6.69,79.26,6.09,49.71,0.85,41.67,1.6400000000000001,1.71,12.0,84.57,78.91,15.7,0,,0,,0,0.0,0.0,0.0,,,1.1400000000000001,,2.1,1.0,0.07,50.0,0.11,0,0.0
V. Sydorenko,Vladyslav Sydorenko,491074,FSC Mariupol,FSC Mariupol,https://cdn5.wyscout.com/photos/team/public/g-12762_120x120.png,Persha Liga,"RW, RAMF, RB",RW,25,RAMF,20,RB,12,28.0,1997-10-24,250000,2026-06-30,28,2510,4,3.4,2,2.59,19.4,43.44,Ukraine,['Ukraine'],right,174,70,False,6.1,5.38,60.0,2.15,28.33,0.29,0.38,0.0,2.58,3.39,1.33,3,0.11,0,0.0,2.58,0.14,4,0.14,0.12,0,0.0,35,1.25,42.86,11.429,0.07,2.15,43.33,0.5,35.71,1.65,45.65,0.11,2.44,44.12,9.07,37.94,2.47,1.69,0.14,16.67,1.11,2.12,24.78,75.98,6.74,64.36,5.06,94.33,19.94,82.01,2.83,56.96,18.21,30.8,0.09,0.86,0.0,0.0,0.04,100.0,0.36,3.3,60.87,2.33,58.46,0.18,60.0,0.61,0.86,4.09,72.81,79.49,8.39,0,,0,,0,0.0,0.0,0.0,,,0.32,,2.15,0.32,0.07,0.0,0.47000000000000003,0,0.0
O. Sokolov,Oleg Sokolov,-42939,Livyi Bereh,Livyi Bereh,https://cdn5.wyscout.com/photos/team/public/g-14335_120x120.png,Persha Liga,RB,RB,96,,0,,0,26.0,1999-07-12,125000,2027-06-30,26,2506,0,0.88,1,2.38,13.72,61.78,Ukraine,['Ukraine'],right,179,0,False,8.37,6.5,71.82,2.62,57.53,0.47000000000000003,0.6900000000000001,0.07,3.23,4.8,0.93,4,0.14,0,0.0,2.33,0.0,0,0.0,0.03,0,0.0,13,0.47000000000000003,30.77,0.0,0.04,3.34,47.31,0.0,0.0,3.34,47.31,0.14,0.86,70.83,3.16,48.86,0.54,1.47,0.36,38.97,1.4,0.68,52.97,82.51,20.97,71.58,8.44,96.6,41.48,90.74,8.37,54.94,20.37,37.9,0.09,1.08,0.04,0.07,0.0,0.0,0.5,8.98,68.0,3.77,57.14,0.54,26.67,0.79,1.51,12.93,77.78,87.47,16.34,0,,0,,0,0.0,0.0,0.0,,,1.65,,2.62,0.07,0.0,0.0,0.07,0,0.0
