Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
M. Vásquez,Matías Alonso Vásquez Poblete,-233787,Magallanes,Magallanes,https://cdn5.wyscout.com/photos/team/public/3899_120x120.png,Primera B,"LCB, RCB",LCB,57,RCB,38,,0,23.0,2003-01-12,0,2027-12-31,12,1221,1,0.91,1,0.22,15.77,63.08,Chile,['Chile'],right,179,81,False,10.02,5.53,80.0,6.41,55.17,0.29,0.49,0.81,5.31,8.74,0.37,4,0.29,0,0.0,0.74,0.07,1,0.07,0.07,1,0.07,8,0.59,62.5,12.5,0.07,0.15,50.0,0.07,100.0,0.07,0.0,0.0,0.29,100.0,1.03,57.14,0.74,0.96,0.22,21.97,0.37,0.22,39.88,84.66,18.5,74.9,1.4,100.0,34.5,88.68,5.23,59.15,22.0,39.81,0.02,0.15,0.0,0.15,0.0,0.0,0.07,4.57,69.35,0.44,50.0,0.29,50.0,0.22,0.07,7.3,64.65,94.87,17.25,0,,0,,0,0.0,0.0,0.0,,,1.03,,6.41,0.0,0.0,0.0,0.0,0,0.0
L. García,Luis Francisco García Varas,408488,Unión San Felipe,Unión San Felipe,https://cdn5.wyscout.com/photos/team/public/2259_120x120.png,Primera B,"RB, RDMF, LDMF",RB,32,RDMF,27,LDMF,24,30.0,1996-02-09,300000,2026-12-31,12,1217,0,0.26,0,0.42,8.65,50.43,Chile,['Chile'],right,175,70,False,6.8,3.55,54.17,2.0,48.15,0.44,0.58,0.44,4.44,5.83,0.74,2,0.15,0,0.0,0.44,0.0,0,0.0,0.02,0,0.0,5,0.37,20.0,0.0,0.0,0.22,33.33,0.0,0.0,0.22,33.33,0.0,0.37,80.0,2.0,51.85,0.44,0.22,0.0,23.15,0.59,0.59,35.05,85.65,13.09,74.01,3.18,95.35,30.02,89.9,4.8100000000000005,61.54,20.0,36.3,0.03,0.37,0.07,0.0,0.0,0.0,0.07,5.77,71.79,0.30000000000000004,50.0,0.30000000000000004,50.0,0.15,0.07,5.99,69.14,94.2,15.31,0,,0,,0,0.0,0.0,0.0,,,0.59,,2.0,0.07,0.0,0.0,0.0,0,0.0
C. Muga,Cristian Daniel Muga Machado,485472,Cobreloa,Cobreloa,https://cdn5.wyscout.com/photos/team/public/945_120x120.png,Primera B,"LDMF, LCMF, DMF",LDMF,45,LCMF,23,DMF,20,30.0,1996-01-02,300000,2027-12-31,12,1215,0,1.24,2,0.67,17.11,48.05,Uruguay,['Uruguay'],left,178,78,False,6.89,5.78,57.69,3.19,60.47,0.07,0.1,0.52,3.48,4.83,1.26,1,0.07,0,0.0,1.11,0.0,0,0.0,0.09,0,0.0,10,0.74,20.0,0.0,0.15,0.52,57.14,0.22,66.67,0.30000000000000004,50.0,0.0,1.11,60.0,5.7,33.77,1.19,0.44,0.15,13.04,0.52,0.96,24.89,76.79,8.67,56.41,4.22,89.47,21.41,83.39,2.96,32.5,18.64,38.12,0.05,0.52,0.07,0.0,0.0,0.0,0.30000000000000004,4.59,54.84,0.44,66.67,0.15,0.0,0.22,0.30000000000000004,3.63,57.14,89.42,7.7,0,,0,,0,0.0,0.0,0.0,,,0.07,,3.19,0.0,0.0,0.0,0.0,0,0.0
D. Tello,Damián Ezequiel Tello Cabrera,-75000,Curicó Unido,Curicó Unido,https://cdn5.wyscout.com/photos/team/public/1667_120x120.png,Primera B,GK,GK,100,,0,,0,30.0,1995-09-23,0,,12,1212,0,0.0,0,0.0,0.30000000000000004,100.0,Argentina,['Argentina'],right,190,85,False,1.4100000000000001,0.0,0.0,0.22,100.0,0.0,0.0,0.0,1.4100000000000001,1.92,0.0,1,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,100.0,0.07,0.0,0.0,6.68,0.0,0.07,13.14,82.49,7.2,74.23,0.0,0.0,6.61,98.88,6.53,65.91,38.97,52.07,0.0,0.0,0.0,0.07,0.0,0.0,0.0,2.23,56.67,0.07,0.0,0.07,100.0,0.07,0.0,4.16,82.14,92.21,5.72,23,1.71,60,4.46,2,61.67,17.22,1.28,-5.78,-0.429,0.0,0.74,0.22,,,,0.0,0,0.0
R. De La Fuente,Ronald De La Fuente Arias,189580,Curicó Unido,Curicó Unido,https://cdn5.wyscout.com/photos/team/public/1667_120x120.png,Primera B,LB,LB,95,,0,,0,35.0,1991-01-25,250000,2026-12-31,12,1212,0,0.02,1,1.6,10.02,58.52,Chile,['Chile'],left,176,71,False,4.98,3.94,58.49,1.19,62.5,0.07,0.1,0.07,2.6,3.54,0.74,3,0.22,0,0.0,1.8599999999999999,0.0,0,0.0,0.0,0,0.0,2,0.15,0.0,0.0,0.07,1.9300000000000002,46.15,1.9300000000000002,46.15,0.0,0.0,0.0,1.26,70.59,3.94,62.26,0.30000000000000004,1.19,0.15,23.24,1.04,0.8200000000000001,32.3,80.0,12.85,76.88,4.68,95.24,26.81,86.15,3.56,52.08,19.54,34.05,0.12,0.8200000000000001,0.07,0.0,0.07,100.0,0.45,4.38,74.58,2.3,41.94,0.22,66.67,0.30000000000000004,0.8200000000000001,9.5,76.56,79.41,10.1,0,,0,,0,0.0,0.0,0.0,,,0.15,,1.19,1.04,0.0,0.0,1.04,0,0.0
S. Felipe,Sergio Andrés Felipe Silva,304219,Santiago Wanderers,Santiago Wanderers,https://cdn5.wyscout.com/photos/team/public/2196_120x120.png,Primera B,"LCB, RCB",LCB,61,RCB,28,,0,35.0,1991-02-21,175000,2026-12-31,12,1209,2,0.55,0,0.06,14.0,68.09,Uruguay,['Uruguay'],right,178,74,False,8.78,3.5,72.34,6.18,69.88,0.6000000000000001,0.93,0.52,5.66,8.84,0.45,5,0.37,0,0.0,0.30000000000000004,0.15,2,0.15,0.04,2,0.15,4,0.30000000000000004,50.0,50.0,0.0,0.30000000000000004,25.0,0.07,0.0,0.22,33.33,0.0,0.45,16.67,1.4100000000000001,52.63,0.45,0.45,0.07,17.87,0.22,1.49,32.9,78.73,16.53,65.77,1.56,100.0,24.12,88.27,8.49,53.51,26.37,42.89,0.0,0.07,0.0,0.0,0.0,0.0,0.0,6.25,47.62,0.89,25.0,0.37,40.0,0.22,0.07,8.04,63.89,92.4,12.73,0,,0,,0,0.0,0.0,0.0,,,1.12,,6.18,0.0,0.0,0.0,0.0,0,0.0
N. Peranic,Nicolás Aldo Peranic,248361,San Luis,San Luis,https://cdn5.wyscout.com/photos/team/public/2258_120x120.png,Primera B,GK,GK,100,,0,,0,40.0,1985-06-02,50000,,12,1208,0,0.0,0,0.0,0.45,83.33,Argentina,"['Argentina', 'Chile']",right,184,80,False,0.45,0.07,0.0,0.15,100.0,0.0,0.0,0.0,0.45,0.63,0.07,4,0.30000000000000004,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,100.0,0.0,0.0,0.0,7.75,0.37,0.15,12.67,82.94,7.97,77.57,0.0,0.0,6.78,96.7,5.89,67.09,34.64,45.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.49,45.0,0.07,0.0,0.0,0.0,0.0,0.0,3.95,79.25,94.83,4.32,20,1.49,52,3.87,1,61.54,17.34,1.29,-2.66,-0.198,0.0,1.34,0.15,,,,0.0,0,0.0
G. Gotti,Gustavo Gotti,221519,Cobreloa,Cobreloa,https://cdn5.wyscout.com/photos/team/public/945_120x120.png,Primera B,CF,CF,100,,0,,0,32.0,1993-10-20,250000,2026-12-31,12,1208,8,4.5600000000000005,3,1.77,25.03,32.14,Argentina,['Argentina'],right,180,83,False,2.16,2.38,37.5,7.67,38.83,0.22,0.31,0.15,1.04,1.45,1.71,4,0.30000000000000004,0,0.0,2.5300000000000002,0.6000000000000001,7,0.52,0.34,4,0.30000000000000004,33,2.46,51.52,24.242,0.22,0.75,10.0,0.22,0.0,0.52,14.29,0.0,2.24,50.0,9.54,25.0,3.2800000000000002,1.56,0.45,7.15,2.46,1.56,10.73,70.14,2.76,62.16,2.83,94.74,9.61,75.97,0.45,33.33,15.41,13.61,0.13,0.89,0.0,0.07,0.07,100.0,0.37,1.42,52.63,1.19,50.0,0.15,100.0,0.89,0.07,0.8200000000000001,90.91,55.88,2.5300000000000002,0,,0,,0,0.0,0.0,0.0,,,0.07,,7.67,0.0,0.0,0.0,0.0,1,100.0
J. Rivera,Javier Ignacio Rivera Bello,-116425,San Marcos,San Marcos,https://cdn5.wyscout.com/photos/team/public/4094_120x120.png,Primera B,LCB,LCB,100,,0,,0,26.0,1999-10-19,0,2026-12-31,12,1201,1,0.88,0,0.32,16.41,60.73,Chile,['Chile'],right,0,0,False,13.41,6.37,74.12,5.02,58.21,0.30000000000000004,0.43,0.9,8.39,11.96,1.27,3,0.22,0,0.0,0.67,0.07,1,0.07,0.07,1,0.07,9,0.67,55.56,11.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,50.0,1.9500000000000002,42.31,0.9,0.9,0.22,20.38,0.52,0.6000000000000001,38.07,82.48,19.71,74.9,2.4,100.0,33.05,86.62,5.02,55.22,21.02,39.67,0.02,0.30000000000000004,0.0,0.0,0.0,0.0,0.15,4.12,56.36,0.30000000000000004,25.0,0.07,100.0,0.07,0.0,7.57,67.33,90.36,12.44,0,,0,,0,0.0,0.0,0.0,,,2.02,,5.02,0.0,0.0,0.0,0.0,0,0.0
P. Navarro,Pedro Ignacio Navarro Castillo,-173312,Santiago Wanderers,Santiago Wanderers,https://cdn5.wyscout.com/photos/team/public/2196_120x120.png,Primera B,LB,LB,89,,0,,0,25.0,2001-03-30,75000,2026-12-31,12,1197,1,0.45,0,0.37,14.96,56.28,Chile,['Chile'],left,175,64,True,11.95,6.54,65.52,2.48,54.55,0.8300000000000001,1.28,0.6000000000000001,6.84,10.58,0.53,2,0.15,0,0.0,1.28,0.08,1,0.08,0.03,0,0.0,13,0.98,23.08,7.692,0.0,1.65,22.73,1.5,20.0,0.08,100.0,0.38,0.75,80.0,3.23,44.19,0.75,0.68,0.23,12.48,1.05,0.68,23.01,68.95,12.78,64.12,2.7800000000000002,91.89,17.89,78.15,3.61,41.67,19.84,35.03,0.03,0.30000000000000004,0.0,0.0,0.15,50.0,0.15,4.14,63.64,1.58,33.33,0.23,33.33,0.15,0.68,6.39,58.82,65.08,4.74,0,,0,,0,0.0,0.0,0.0,,,0.23,,2.48,0.0,0.0,0.0,0.0,0,0.0
