Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
S. Bahar,Samed Bahar,-86387,Buchbach,Buchbach,https://cdn5.wyscout.com/photos/team/public/g11062_120x120.png,Regionalliga Bayern,RB,RB,96,,0,,0,28.0,1997-10-20,50000,2027-06-30,22,2115,4,2.24,1,0.65,14.3,55.36,Germany,"['Germany', 'Türkiye']",right,181,71,False,8.64,5.15,71.07,2.81,53.03,0.38,0.56,0.21,4.6,6.74,0.55,3,0.13,0,0.0,1.87,0.17,4,0.17,0.1,2,0.09,17,0.72,47.06,23.529,0.04,2.64,29.03,0.04,0.0,2.55,30.0,0.30000000000000004,1.15,66.67,4.38,44.66,0.98,0.89,0.0,32.43,1.06,1.06,46.04,76.43,19.36,63.74,6.34,94.63,36.77,85.19,6.8100000000000005,46.88,19.25,35.05,0.03,0.55,0.0,0.0,0.04,0.0,0.17,6.43,51.66,3.02,35.21,0.47000000000000003,18.18,0.47000000000000003,0.81,9.49,63.23,80.76,12.38,0,,0,,0,0.0,0.0,0.0,,,1.11,,2.81,0.09,0.0,0.0,0.04,0,0.0
T. Stoßberger,Tobias Stoßberger,449186,Buchbach,Buchbach,https://cdn5.wyscout.com/photos/team/public/g11062_120x120.png,Regionalliga Bayern,"CF, RW",CF,53,RW,36,,0,26.0,1999-10-31,50000,2028-06-30,22,2072,9,5.8100000000000005,1,1.04,19.07,40.77,Germany,['Germany'],right,184,80,False,3.47,2.7800000000000002,64.06,3.3,40.79,0.04,0.06,0.0,1.65,2.4,0.87,0,0.0,0,0.0,2.17,0.39,9,0.39,0.25,3,0.13,34,1.48,50.0,26.471,0.04,2.35,11.11,0.17,0.0,2.13,12.24,0.30000000000000004,2.22,50.98,9.56,34.55,3.26,1.43,0.26,14.86,3.56,1.6099999999999999,22.33,70.62,3.74,52.33,7.47,92.44,19.42,79.42,0.65,20.0,16.04,11.89,0.05,0.35000000000000003,0.04,0.04,0.09,50.0,0.09,1.56,50.0,1.78,26.83,0.22,40.0,0.61,0.30000000000000004,2.08,60.42,58.16,6.12,0,,0,,0,0.0,0.0,0.0,,,0.09,,3.3,0.0,0.0,0.0,0.04,0,0.0
J. Hipper,Johann Hipper,492208,Würzburger Kickers,Würzburger Kickers,https://cdn5.wyscout.com/photos/team/public/g11060_120x120.png,Regionalliga Bayern,GK,GK,100,,0,,0,27.0,1998-09-30,75000,2026-06-30,21,2042,0,0.0,0,0.0,1.23,78.57,Germany,['Germany'],right,183,76,False,1.45,0.09,50.0,0.66,86.67,0.0,0.0,0.0,1.4100000000000001,2.0,0.09,4,0.18,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,83.33,0.0,0.0,0.0,18.47,0.09,0.35000000000000003,29.93,85.27,16.79,75.85,0.0,0.0,19.13,97.7,10.75,63.52,30.62,45.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.47,42.86,0.13,33.33,0.18,0.0,0.04,0.0,7.49,71.18,97.5,12.34,17,0.75,75,3.31,9,77.33,20.14,0.89,3.14,0.138,0.0,1.76,0.66,,,,0.0,0,0.0
E. Farahnak,Ebrahim Farahnak,451344,Würzburger Kickers,Würzburger Kickers,https://cdn5.wyscout.com/photos/team/public/g11060_120x120.png,Regionalliga Bayern,LCB,LCB,98,,0,,0,28.0,1998-01-19,50000,2026-06-30,21,2036,0,1.33,0,0.74,10.65,64.32,Iran,['Iran'],left,194,0,False,7.78,4.16,77.66,4.02,62.64,0.09,0.13,0.44,4.46,6.31,0.62,3,0.13,0,0.0,0.09,0.0,0,0.0,0.06,0,0.0,12,0.53,0.0,0.0,0.0,0.22,40.0,0.13,66.67,0.09,0.0,0.09,0.09,0.0,0.88,35.0,0.93,1.15,0.13,44.78,0.31,0.13,59.37,89.72,25.55,81.83,3.09,94.29,51.63,95.03,7.6,54.65,21.78,38.34,0.03,0.18,0.0,0.0,0.0,0.0,0.0,7.69,69.54,0.66,13.33,0.5700000000000001,15.38,0.09,0.04,10.08,80.26,96.68,26.61,0,,0,,0,0.0,0.0,0.0,,,2.17,,4.02,0.04,0.0,0.0,0.0,0,0.0
H. Schiefer,Heiko Schiefer,-343650,Ansbach,Ansbach,https://cdn5.wyscout.com/photos/team/public/g2552_120x120.png,Regionalliga Bayern,GK,GK,100,,0,,0,26.0,1999-07-01,0,2026-06-30,21,2020,0,0.0,0,0.0,0.49,81.82,Germany,['Germany'],right,0,0,False,1.87,0.09,50.0,0.36,87.5,0.0,0.0,0.0,1.83,2.38,0.0,1,0.04,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.11,0.13,0.09,29.5,80.06,17.91,70.4,0.04,0.0,16.08,97.23,13.37,59.67,34.21,48.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.36,32.08,0.13,33.33,0.09,0.0,0.04,0.0,9.58,71.63,95.45,10.78,43,1.92,119,5.3,3,63.87,38.53,1.72,-4.47,-0.199,0.0,1.25,0.36,,,,0.0,0,0.0
B. Baier,Benjamin Baier,16773,Viktoria Aschaffenburg,Viktoria Aschaffenburg,https://cdn5.wyscout.com/photos/team/public/g5923_120x120.png,Regionalliga Bayern,"CB, LCB, LCMF",CB,43,LCB,19,LCMF,12,37.0,1988-07-23,75000,2026-06-30,22,2012,4,3.19,1,1.6600000000000001,13.96,63.78,Germany,['Germany'],right,180,75,False,10.74,6.13,70.8,1.57,60.0,0.18,0.2,0.58,6.22,6.84,0.72,1,0.04,0,0.0,0.76,0.18,1,0.04,0.14,0,0.0,19,0.85,42.11,21.053,0.04,0.18,0.0,0.09,0.0,0.09,0.0,0.13,0.76,52.94,3.71,49.4,0.13,0.54,0.04,24.38,0.27,1.43,38.78,83.39,15.12,72.49,3.44,96.1,32.52,89.82,6.08,51.47,22.01,40.54,0.07,0.63,0.0,0.0,0.0,0.0,0.04,4.38,52.04,0.67,13.33,0.18,25.0,0.09,0.0,6.93,61.94,92.25,16.73,0,,0,,0,0.0,0.0,0.0,,,2.06,,1.57,2.19,0.4,11.11,2.33,4,75.0
R. Manz,Riko Manz,-343186,Ansbach,Ansbach,https://cdn5.wyscout.com/photos/team/public/g2552_120x120.png,Regionalliga Bayern,"LB, LB5",LB,84,LB5,12,,0,26.0,1999-09-25,0,2027-06-30,21,2011,4,1.44,3,2.71,18.71,58.13,Germany,['Germany'],left,0,0,False,9.89,8.28,69.73,2.01,55.56,0.0,0.0,0.22,4.12,5.39,0.85,2,0.09,0,0.0,2.64,0.18,4,0.18,0.06,0,0.0,25,1.12,28.0,16.0,0.13,2.6,27.59,2.51,26.79,0.09,50.0,0.49,2.8200000000000003,55.56,6.89,48.7,1.75,2.8200000000000003,0.85,22.15,1.75,1.12,35.76,64.58,17.23,55.84,3.98,84.27,25.24,76.06,8.06,40.56,21.73,36.17,0.12,0.72,0.09,0.04,0.04,100.0,0.45,5.82,53.85,3.04,42.65,0.4,33.33,1.12,0.54,10.96,60.41,68.92,9.94,0,,0,,0,0.0,0.0,0.0,,,0.49,,2.01,0.0,0.0,0.0,0.04,0,0.0
D. Dewein,Dominik Dewein,-458455,Memmingen,Memmingen,https://cdn5.wyscout.com/photos/team/public/g5843_120x120.png,Regionalliga Bayern,GK,GK,100,,0,,0,26.0,1999-07-08,0,2026-06-30,21,2008,0,0.0,1,0.74,0.72,93.75,Germany,['Germany'],,0,0,False,1.3900000000000001,0.13,100.0,0.4,88.89,0.0,0.0,0.04,1.25,1.37,0.0,1,0.04,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,100.0,0.0,0.0,0.0,15.73,0.27,0.22,25.32,76.46,15.69,64.0,0.0,0.0,12.82,98.6,12.5,53.76,38.57,52.51,0.03,0.13,0.0,0.04,0.0,0.0,0.0,6.05,51.85,0.67,26.67,0.63,42.86,0.13,0.0,8.7,75.26,96.59,9.19,25,1.12,90,4.03,5,72.22,26.21,1.17,1.21,0.054,0.0,2.06,0.4,,,,0.0,0,0.0
T. Dietrich,Tobias Dietrich,-343185,Ansbach,Ansbach,https://cdn5.wyscout.com/photos/team/public/g2552_120x120.png,Regionalliga Bayern,"RCMF, DMF, LCMF",RCMF,64,DMF,15,LCMF,11,29.0,1996-10-25,0,,21,1980,1,1.53,0,0.74,13.36,56.8,Germany,['Germany'],,0,0,False,7.77,5.0,65.45,4.05,58.43,0.27,0.36,0.5,4.23,5.5,1.23,5,0.23,0,0.0,0.18,0.05,1,0.05,0.07,0,0.0,12,0.55,8.33,8.333,0.0,0.18,0.0,0.14,0.0,0.05,0.0,0.09,0.23,60.0,2.45,44.44,0.73,0.32,0.05,21.09,0.23,0.91,36.68,79.93,12.27,63.33,6.77,94.63,32.55,85.34,3.95,39.08,17.89,34.73,0.03,0.32,0.05,0.0,0.0,0.0,0.18,5.32,53.85,0.68,33.33,0.23,20.0,0.41000000000000003,0.05,4.86,53.27,88.32,12.45,0,,0,,0,0.0,0.0,0.0,,,1.45,,4.05,0.0,0.0,0.0,0.0,0,0.0
J. Gräser,Jakob Gräser,-94688,Memmingen,Memmingen,https://cdn5.wyscout.com/photos/team/public/g5843_120x120.png,Regionalliga Bayern,RCB,RCB,90,,0,,0,27.0,1999-02-01,0,2026-06-30,21,1977,3,2.01,0,0.02,11.84,66.92,Germany,['Germany'],right,190,83,False,9.51,5.33,71.79,4.46,68.37,0.05,0.05,0.73,5.64,6.12,0.36,2,0.09,0,0.0,0.36,0.14,2,0.09,0.09,0,0.0,7,0.32,57.14,42.857,0.0,0.18,75.0,0.09,100.0,0.09,50.0,0.0,0.09,50.0,1.0,40.91,0.86,0.18,0.0,16.34,0.27,0.36,33.82,73.76,18.39,61.63,2.37,94.23,22.53,85.86,11.11,49.18,26.64,41.09,0.0,0.05,0.0,0.0,0.0,0.0,0.0,6.65,48.63,1.09,20.83,0.68,40.0,0.27,0.09,9.47,63.94,90.42,10.93,0,,0,,0,0.0,0.0,0.0,,,1.82,,4.46,0.0,0.0,0.0,0.0,1,100.0
D. Meisel,Dominik Meisel,-34675,Würzburger Kickers,Würzburger Kickers,https://cdn5.wyscout.com/photos/team/public/g11060_120x120.png,Regionalliga Bayern,"LCMF, LDMF",LCMF,37,LDMF,36,,0,26.0,1999-06-29,150000,2027-06-30,21,1950,5,3.93,2,1.17,10.66,56.28,Germany,['Germany'],right,175,68,False,9.18,5.31,69.57,1.75,44.74,0.32,0.46,0.28,5.17,7.34,0.78,3,0.14,0,0.0,0.8300000000000001,0.23,5,0.23,0.18,2,0.09,20,0.92,40.0,25.0,0.09,0.46,30.0,0.28,50.0,0.14,0.0,0.14,0.37,87.5,1.94,45.24,2.31,0.42,0.14,12.23,0.42,0.46,21.51,80.26,6.83,67.57,4.98,94.44,19.71,83.37,1.38,50.0,17.39,29.84,0.05,0.37,0.0,0.0,0.0,0.0,0.14,2.17,70.21,0.55,50.0,0.05,100.0,0.42,0.18,2.86,64.52,86.13,6.32,0,,0,,0,0.0,0.0,0.0,,,0.42,,1.75,0.0,0.0,0.0,0.0,0,0.0
D. Hägele,Daniel Hägele,76963,Würzburger Kickers,Würzburger Kickers,https://cdn5.wyscout.com/photos/team/public/g11060_120x120.png,Regionalliga Bayern,RCB,RCB,98,,0,,0,37.0,1989-02-23,125000,2026-06-30,21,1935,0,0.73,0,0.0,10.19,66.67,Germany,['Germany'],both,186,76,False,7.8100000000000005,4.23,79.12,2.98,70.31,0.09,0.13,0.23,4.37,6.32,0.51,1,0.05,0,0.0,0.14,0.0,0,0.0,0.03,0,0.0,6,0.28,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,66.67,0.88,36.84,0.6000000000000001,0.14,0.05,43.26,0.33,0.33,60.14,91.42,26.56,84.94,2.98,98.44,53.49,94.87,6.65,63.64,21.45,36.04,0.0,0.0,0.0,0.09,0.0,0.0,0.0,6.28,79.26,0.28,50.0,0.37,50.0,0.28,0.0,10.47,80.0,97.44,25.4,0,,0,,0,0.0,0.0,0.0,,,2.14,,2.98,0.0,0.0,0.0,0.05,0,0.0
M. Schöller,Markus Schöller,408173,Wacker Burghausen,Wacker Burghausen,https://cdn5.wyscout.com/photos/team/public/1122_120x120.png,Regionalliga Bayern,GK,GK,100,,0,,0,30.0,1995-05-12,75000,2028-06-30,20,1929,0,0.0,0,0.0,0.75,62.5,Austria,['Austria'],right,186,85,False,1.31,0.09,50.0,0.23,80.0,0.0,0.0,0.0,1.26,1.79,0.0,1,0.05,0,0.0,0.05,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,50.0,0.33,42.86,0.0,0.0,0.0,18.2,0.23,0.14,30.93,91.4,15.77,84.62,0.09,100.0,23.33,99.0,7.5600000000000005,67.9,27.27,48.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,50.0,0.0,0.0,0.19,75.0,0.0,0.0,6.02,77.52,98.98,13.72,28,1.31,92,4.29,5,69.57,24.03,1.12,-3.9699999999999998,-0.185,0.05,1.07,0.23,,,,0.0,0,0.0
M. Neuberger,Maximilian Neuberger,-91481,Illertissen,Illertissen,https://cdn5.wyscout.com/photos/team/public/g11268_120x120.png,Regionalliga Bayern,"RCB3, RCB",RCB3,66,RCB,32,,0,25.0,2000-03-23,100000,2027-06-30,20,1919,1,0.1,0,0.30000000000000004,14.4,63.52,Germany,['Germany'],right,188,83,False,9.61,6.71,72.03,3.71,60.76,0.09,0.12,0.28,4.69,5.79,0.98,3,0.14,0,0.0,0.33,0.05,1,0.05,0.0,0,0.0,2,0.09,50.0,50.0,0.0,0.19,25.0,0.0,0.0,0.19,25.0,0.0,0.28,83.33,2.06,56.82,0.47000000000000003,1.31,0.23,30.25,0.19,0.84,48.07,83.51,22.98,72.24,3.8,96.3,40.99,90.39,6.94,44.59,21.84,40.56,0.01,0.14,0.0,0.0,0.0,0.0,0.0,8.49,61.88,0.52,27.27,0.7000000000000001,40.0,0.19,0.09,10.32,72.27,94.81,17.17,0,,0,,0,0.0,0.0,0.0,,,2.81,,3.71,0.05,0.05,0.0,0.0,0,0.0
