Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
M. Slouk,Matěj Slouk,-296418,Petržalka Akadémia,Petržalka Akadémia,https://cdn5.wyscout.com/photos/team/public/g37333_120x120.png,2. liga,RCB,RCB,86,,0,,0,21.0,2004-06-21,0,,30,2850,0,1.11,0,0.01,13.89,57.95,Czech Republic,['Czech Republic'],unknown,0,0,True,8.91,5.68,66.67,4.17,53.03,0.0,0.0,0.66,5.12,7.05,1.29,4,0.13,0,0.0,0.28,0.0,0,0.0,0.03,0,0.0,9,0.28,22.22,0.0,0.0,0.32,20.0,0.03,0.0,0.28,22.22,0.06,0.28,55.56,1.48,48.94,0.73,0.92,0.0,29.24,0.76,0.76,45.66,83.26,21.09,70.81,3.06,98.97,37.2,91.6,8.15,47.67,24.03,40.55,0.0,0.03,0.0,0.0,0.0,0.0,0.0,7.71,61.07,1.07,32.35,0.44,42.86,0.41000000000000003,0.09,10.45,73.72,95.17,18.98,0,,0,,0,0.0,0.0,0.0,,,2.34,,4.17,0.0,0.0,0.0,0.0,0,0.0
S. Vavrúš,Samuel Vavrúš,387237,Púchov,Púchov,https://cdn5.wyscout.com/photos/team/public/g1980_120x120.png,2. liga,GK,GK,100,,0,,0,28.0,1998-04-13,150000,,30,2847,0,0.0,0,0.17,0.89,89.29,Slovakia,['Slovakia'],,185,83,False,2.15,0.13,75.0,0.6000000000000001,89.47,0.0,0.0,0.0,2.05,2.77,0.0,3,0.09,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,100.0,0.0,0.03,0.0,20.9,0.38,0.25,32.15,81.71,19.0,71.71,0.03,100.0,18.68,97.8,13.4,59.67,35.64,51.65,0.01,0.03,0.0,0.0,0.0,0.0,0.0,6.92,49.77,0.7000000000000001,18.18,0.38,33.33,0.13,0.0,8.79,81.65,96.52,12.71,50,1.58,161,5.09,9,68.94,50.07,1.58,0.07,0.002,0.0,1.6400000000000001,0.6000000000000001,,,,0.0,0,0.0
N. Deligiannis,Nikolaos Deligiannis,-301790,Petržalka Akadémia,Petržalka Akadémia,https://cdn5.wyscout.com/photos/team/public/g37333_120x120.png,2. liga,LB,LB,92,,0,,0,21.0,2005-03-22,0,,30,2800,4,3.34,3,2.03,10.45,59.69,Greece,['Greece'],left,178,70,False,8.65,5.08,68.35,2.7,54.76,0.13,0.18,0.19,5.05,6.98,0.26,3,0.1,0,0.0,1.51,0.13,0,0.0,0.11,0,0.0,21,0.68,28.57,19.048,0.1,3.18,31.31,3.12,30.93,0.0,0.0,0.45,0.45,71.43,1.48,54.35,0.51,0.68,0.13,31.37,1.77,0.71,45.03,78.23,20.64,71.5,5.66,94.89,34.3,86.5,7.75,60.58,21.93,35.81,0.07,0.58,0.0,0.0,0.0,0.0,0.23,7.01,72.48,3.09,45.83,0.32,30.0,0.64,0.87,13.21,73.24,84.87,13.6,0,,0,,0,0.0,0.0,0.0,,,1.09,,2.7,0.06,0.0,0.0,0.1,4,100.0
L. Remeň,Lukáš Remeň,332931,Inter Bratislava,Inter Bratislava,https://cdn5.wyscout.com/photos/team/public/g1978_120x120.png,2. liga,"RCB, RCB3",RCB,74,RCB3,17,,0,32.0,1993-07-19,0,,29,2766,3,4.44,2,0.29,13.21,62.07,Slovakia,['Slovakia'],,187,79,False,7.26,5.5,65.09,4.91,58.94,0.29,0.37,0.68,3.38,4.32,1.11,6,0.2,0,0.0,0.33,0.1,3,0.1,0.14,1,0.03,19,0.62,36.84,15.789,0.07,0.07,50.0,0.03,100.0,0.03,0.0,0.0,0.2,33.33,0.98,56.67,1.11,0.9400000000000001,0.1,10.51,0.36,0.75,20.6,74.72,11.65,63.69,1.07,96.97,15.29,86.6,5.24,40.37,23.1,35.45,0.01,0.13,0.0,0.0,0.0,0.0,0.03,4.2,50.39,0.62,21.05,0.39,16.67,0.26,0.03,4.95,57.24,90.21,6.31,0,,0,,0,0.0,0.0,0.0,,,0.78,,4.91,0.03,0.0,0.0,0.0,0,0.0
P. Halouska,Pavel Halouska,409926,Petržalka Akadémia,Petržalka Akadémia,https://cdn5.wyscout.com/photos/team/public/g37333_120x120.png,2. liga,GK,GK,100,,0,,0,30.0,1995-05-23,150000,,29,2755,0,0.0,0,0.0,0.59,88.89,Czech Republic,['Czech Republic'],right,194,93,False,1.96,0.16,80.0,0.33,100.0,0.03,0.04,0.0,1.8,2.47,0.03,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.0,0.0,0.03,15.55,0.39,0.2,23.19,78.73,15.52,69.05,0.03,100.0,11.73,98.89,11.43,58.0,37.22,53.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.34,45.11,0.33,20.0,0.39,33.33,0.07,0.0,7.97,77.46,99.06,6.93,30,0.98,134,4.38,10,77.61,35.23,1.15,5.23,0.171,0.0,1.31,0.33,,,,0.0,0,0.0
D. Kucharčík,Dušan Kucharčík,154525,Považská Bystrica,Považská Bystrica,https://cdn5.wyscout.com/photos/team/public/g19095_120x120.png,2. liga,"LCB, CB",LCB,72,CB,16,,0,32.0,1994-04-28,125000,,29,2729,3,3.07,2,0.8,16.19,58.66,Slovakia,['Slovakia'],,0,0,False,8.54,4.62,62.86,8.24,61.6,0.49,0.59,0.33,5.14,6.13,0.96,8,0.26,0,0.0,0.49,0.1,3,0.1,0.1,2,0.07,32,1.06,28.13,9.375,0.07,0.07,0.0,0.07,0.0,0.0,0.0,0.0,0.26,75.0,1.19,52.78,1.22,0.49,0.0,18.01,0.36,0.30000000000000004,30.77,76.63,16.89,66.99,2.01,93.44,22.03,84.43,8.67,57.41,24.68,39.72,0.03,0.2,0.0,0.03,0.0,0.0,0.07,7.32,58.11,1.15,37.14,0.73,40.91,0.53,0.0,9.47,72.82,91.55,9.37,0,,0,,0,0.0,0.0,0.0,,,1.71,,8.24,0.1,0.07,0.0,0.0,0,0.0
A. Slančík,Adrián Slančík,491084,Tatran Liptovský Mikuláš,Tatran Liptovský Mikuláš,https://cdn5.wyscout.com/photos/team/public/g11335_120x120.png,2. liga,GK,GK,100,,0,,0,26.0,1999-07-22,0,,29,2717,0,0.0,0,0.0,0.93,78.57,Slovakia,['Slovakia'],right,188,83,False,1.8900000000000001,0.07,0.0,0.6000000000000001,88.89,0.0,0.0,0.0,1.8900000000000001,2.61,0.0,2,0.07,0,0.0,0.03,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.03,0.0,0.0,0.03,100.0,0.17,60.0,0.0,0.03,0.0,12.98,0.23,0.2,21.56,84.64,11.92,74.44,0.0,0.0,12.62,96.85,8.91,67.66,34.35,48.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.98,60.0,0.17,0.0,0.1,33.33,0.0,0.0,7.12,81.4,98.18,9.11,43,1.42,152,5.03,5,71.71,43.22,1.43,0.22,0.007,0.0,2.7800000000000002,0.6000000000000001,,,,0.0,0,0.0
S. Alabi,Samuel Alabi Borquaye,-84604,Petržalka Akadémia,Petržalka Akadémia,https://cdn5.wyscout.com/photos/team/public/g37333_120x120.png,2. liga,"LCMF, LDMF, DMF",LCMF,27,LDMF,24,DMF,21,26.0,2000-05-06,0,,29,2711,0,0.46,1,1.48,15.24,52.29,Ghana,['Ghana'],right,166,69,False,7.6,6.37,59.9,1.76,35.85,0.1,0.14,0.2,3.68,5.07,1.33,3,0.1,0,0.0,0.8300000000000001,0.0,0,0.0,0.02,0,0.0,18,0.6000000000000001,5.5600000000000005,0.0,0.03,0.4,41.67,0.2,50.0,0.2,33.33,0.1,1.1,57.58,4.91,55.41,0.23,1.06,0.1,27.45,0.23,1.46,42.36,87.62,12.02,74.86,7.6,94.32,36.82,92.79,5.21,54.14,20.56,39.96,0.05,0.63,0.0,0.1,0.0,0.0,0.13,6.67,72.14,1.46,50.0,0.37,45.45,0.63,0.17,6.04,74.73,93.35,18.46,0,,0,,0,0.0,0.0,0.0,,,0.9,,1.76,0.17,0.0,0.0,0.86,0,0.0
M. Teplan,Marek Teplan,-196191,Považská Bystrica,Považská Bystrica,https://cdn5.wyscout.com/photos/team/public/g19095_120x120.png,2. liga,GK,GK,100,,0,,0,23.0,2002-07-07,75000,2026-06-30,29,2704,0,0.0,0,0.0,0.87,61.54,Slovakia,['Slovakia'],,189,0,True,2.0,0.27,50.0,0.4,66.67,0.07,0.08,0.0,1.8,2.16,0.07,2,0.07,1,0.03,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,60.0,0.0,0.0,0.0,13.08,0.2,0.17,22.5,78.11,15.61,70.15,0.03,100.0,10.98,96.67,11.48,60.58,37.85,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.13,48.39,0.33,0.0,0.27,12.5,0.03,0.0,8.52,78.91,96.41,6.49,43,1.43,122,4.06,5,64.75,39.1,1.3,-3.9,-0.13,0.0,1.5,0.4,,,,0.0,0,0.0
J. Kousal,Jakub Kousal,-249904,Stará Ľubovňa,Stará Ľubovňa,https://cdn5.wyscout.com/photos/team/public/g8627_120x120.png,2. liga,"CF, AMF",CF,63,AMF,17,,0,23.0,2002-09-06,100000,2026-06-30,29,2695,6,7.52,1,0.27,25.08,37.68,Czech Republic,['Czech Republic'],right,0,0,False,5.58,3.77,58.41,8.18,33.88,0.03,0.04,0.27,3.34,4.3,1.34,8,0.27,0,0.0,1.44,0.2,6,0.2,0.25,2,0.07,50,1.67,34.0,12.0,0.03,0.7000000000000001,9.52,0.30000000000000004,11.11,0.37,9.09,0.07,1.77,45.28,9.55,33.92,2.94,1.1,0.2,10.15,2.07,2.4,18.03,68.7,5.54,57.83,4.21,88.1,15.7,73.19,1.6400000000000001,51.02,16.52,22.7,0.01,0.30000000000000004,0.0,0.0,0.03,0.0,0.03,2.2,48.48,1.2,38.89,0.1,0.0,0.47000000000000003,0.13,2.84,56.47,70.34,3.94,0,,0,,0,0.0,0.0,0.0,,,0.07,,8.18,0.03,0.03,0.0,0.03,0,0.0
