Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
T. Yamamoto,Toi Yamamoto,-183969,Osaka,Osaka,https://cdn5.wyscout.com/photos/team/public/g29215_120x120.png,J3 League,GK,GK,100,,0,,0,24.0,2001-05-31,0,2026-01-31,40,3980,0,0.0,0,0.0,1.67,83.78,Japan,['Japan'],,180,0,False,1.88,0.05,50.0,1.22,87.04,0.02,0.03,0.0,1.83,2.76,0.07,2,0.05,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,70.0,0.0,0.0,0.0,5.86,0.18,0.5700000000000001,12.37,77.51,9.38,73.01,0.0,0.0,4.18,94.05,8.05,70.22,42.03,50.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.55,67.52,0.16,0.0,0.11,0.0,0.0,0.0,6.58,84.19,94.21,2.74,37,0.84,144,3.26,16,74.31,44.0,0.99,7.0,0.158,0.0,2.71,1.22,,,,0.0,0,0.0
R. Kawakami,Ryu Kawakami,-159726,Osaka,Osaka,https://cdn5.wyscout.com/photos/team/public/g29215_120x120.png,J3 League,"RCB, LCB",RCB,79,LCB,17,,0,31.0,1994-10-25,200000,2026-01-31,40,3905,2,0.87,0,0.28,12.49,58.86,Japan,['Japan'],right,177,73,False,6.36,3.69,75.0,6.36,52.54,0.14,0.21,0.28,3.46,5.21,0.76,2,0.05,0,0.0,0.18,0.05,2,0.05,0.02,0,0.0,15,0.35000000000000003,20.0,13.333,0.0,0.23,40.0,0.02,0.0,0.18,50.0,0.0,0.05,50.0,0.6900000000000001,46.67,0.55,0.30000000000000004,0.0,14.59,0.09,0.44,29.11,77.43,16.39,65.4,0.97,90.48,20.07,88.06,8.8,54.19,25.43,38.56,0.01,0.07,0.0,0.0,0.0,0.0,0.0,7.12,60.52,0.99,30.23,0.35000000000000003,33.33,0.37,0.07,8.02,73.56,95.55,9.84,0,,0,,0,0.0,0.0,0.0,,,0.44,,6.36,0.02,0.0,0.0,0.0,0,0.0
K. Kuroki,Kengo  Kuroki,-322734,Tegevajaro Miyazaki,Tegevajaro Miyazaki,https://cdn5.wyscout.com/photos/team/public/g41671_120x120.png,J3 League,RCB,RCB,97,,0,,0,26.0,1999-07-06,0,,39,3799,4,3.36,0,0.24,14.07,66.67,Japan,['Japan'],right,185,79,False,7.49,4.45,78.19,5.99,68.38,0.07,0.1,0.73,3.93,5.6,0.66,4,0.09,0,0.0,0.21,0.09,4,0.09,0.08,4,0.09,12,0.28,50.0,33.333,0.0,0.07,33.33,0.0,0.0,0.07,33.33,0.0,0.07,33.33,0.9,36.84,0.52,0.14,0.0,26.75,0.45,0.88,41.48,81.38,19.83,68.22,1.92,92.59,33.71,89.53,7.7,46.15,23.92,40.82,0.01,0.07,0.05,0.02,0.02,100.0,0.05,5.64,58.4,0.45,10.53,0.33,28.57,0.07,0.02,9.86,62.98,96.2,16.82,0,,0,,0,0.0,0.0,0.0,,,1.37,,5.99,0.0,0.0,0.0,0.0,0,0.0
S. Kawata,Shuhei Kawata,234339,Tochigi SC,Tochigi SC,https://cdn5.wyscout.com/photos/team/public/g8335_120x120.png,J3 League,GK,GK,100,,0,,0,31.0,1994-04-05,150000,2026-01-31,38,3791,0,0.0,0,0.0,0.5700000000000001,91.67,Japan,['Japan'],right,189,82,False,1.26,0.05,100.0,0.43,94.44,0.0,0.0,0.0,1.21,1.74,0.0,2,0.05,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,100.0,0.0,0.0,0.0,7.34,0.07,0.07,13.94,82.45,10.37,77.35,0.0,0.0,5.75,96.69,8.17,72.67,38.64,48.74,0.0,0.0,0.0,0.0,0.0,0.0,0.02,2.2800000000000002,76.04,0.02,0.0,0.07,100.0,0.0,0.0,6.84,81.6,96.95,3.11,36,0.85,124,2.94,15,70.97,36.21,0.86,0.21,0.005,0.0,1.23,0.43,,,,0.0,0,0.0
Y. Matsumoto,Yuma Matsumoto,-189788,Tegevajaro Miyazaki,Tegevajaro Miyazaki,https://cdn5.wyscout.com/photos/team/public/g41671_120x120.png,J3 League,RB,RB,96,,0,,0,26.0,1999-11-14,0,,39,3785,1,1.67,1,3.4,17.22,51.8,Japan,['Japan'],right,175,0,False,9.56,6.61,64.03,3.71,50.0,0.29,0.4,0.24,5.04,7.14,1.12,7,0.17,0,0.0,1.9300000000000002,0.02,1,0.02,0.04,1,0.02,17,0.4,17.65,5.882,0.02,2.95,33.06,0.0,0.0,2.9,33.61,0.24,1.43,61.67,4.68,39.59,0.74,1.12,0.1,24.75,1.71,0.9,36.97,74.66,14.48,63.22,6.52,96.72,29.25,83.9,4.95,44.23,20.51,33.92,0.08,0.4,0.02,0.02,0.0,0.0,0.26,4.97,58.85,2.85,40.0,0.33,35.71,0.4,0.86,8.61,64.64,78.97,10.18,0,,0,,0,0.0,0.0,0.0,,,0.45,,3.71,0.0,0.0,0.0,0.05,0,0.0
I. Ouchi,Issei Ouchi,477599,Matsumoto Yamaga,Matsumoto Yamaga,https://cdn5.wyscout.com/photos/team/public/g12592_120x120.png,J3 League,GK,GK,100,,0,,0,25.0,2000-09-08,175000,2026-01-31,38,3784,0,0.0,0,0.0,0.55,78.26,Japan,['Japan'],,185,0,False,1.76,0.07,66.67,0.31,92.31,0.0,0.0,0.02,1.71,2.51,0.05,2,0.05,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,100.0,0.0,0.0,0.0,12.91,0.19,0.12,19.86,76.65,12.89,65.5,0.0,0.0,9.28,97.44,10.54,58.69,38.0,52.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.69,50.25,0.31,7.69,0.26,9.09,0.02,0.0,7.42,78.21,98.13,6.35,50,1.19,160,3.81,11,68.75,53.03,1.26,3.03,0.07200000000000001,0.0,1.24,0.31,,,,0.0,0,0.0
Y. Tsukegi,Yuya Tsukegi,-326946,Kamatamare Sanuki,Kamatamare Sanuki,https://cdn5.wyscout.com/photos/team/public/g16848_120x120.png,J3 League,"LCB3, CB, LCB",LCB3,35,CB,33,LCB,29,31.0,1994-12-17,0,2026-01-31,38,3754,3,2.65,1,1.24,12.01,67.47,Japan,['Japan'],unknown,184,0,False,8.27,3.69,75.32,5.49,63.76,0.05,0.06,0.6000000000000001,5.44,7.35,0.67,1,0.02,0,0.0,0.58,0.07,3,0.07,0.06,1,0.02,19,0.46,57.89,15.789,0.02,0.29,33.33,0.24,40.0,0.02,0.0,0.07,0.22,88.89,0.89,59.46,0.7000000000000001,0.24,0.0,23.42,0.19,0.5,38.19,77.9,19.13,65.29,1.4100000000000001,91.53,30.74,86.9,7.17,41.14,23.4,38.53,0.03,0.1,0.02,0.0,0.05,50.0,0.12,7.05,54.76,1.32,30.91,0.55,39.13,0.36,0.1,9.01,61.7,92.41,14.53,0,,0,,0,0.0,0.0,0.0,,,0.74,,5.49,0.0,0.0,0.0,0.0,0,0.0
H. Sato,Hisaya  Sato,-243334,Ryūkyū,Ryūkyū,https://cdn5.wyscout.com/photos/team/public/g8342_120x120.png,J3 League,GK,GK,100,,0,,0,27.0,1998-04-04,0,,38,3749,0,0.0,0,0.0,0.9400000000000001,89.74,Japan,['Japan'],right,180,77,False,1.22,0.1,75.0,0.67,92.86,0.0,0.0,0.0,1.15,1.71,0.02,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,100.0,0.02,0.0,0.0,17.4,0.07,0.24,26.14,85.22,13.3,72.92,0.0,0.0,18.58,98.19,7.54,53.5,28.83,50.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.26,56.62,0.19,37.5,0.22,22.22,0.02,0.0,5.38,67.41,97.99,10.73,57,1.37,220,5.28,7,74.09,61.89,1.49,4.89,0.117,0.0,1.94,0.67,,,,0.0,0,0.0
T. Shirai,Tatsuya Shirai,-189662,Vanraure Hachinohe,Vanraure Hachinohe,https://cdn5.wyscout.com/photos/team/public/g25477_120x120.png,J3 League,RCB3,RCB3,85,,0,,0,28.0,1997-04-25,75000,2026-01-31,38,3746,4,3.73,2,1.71,18.28,58.61,Japan,['Japan'],right,180,73,False,10.07,7.04,67.58,7.35,55.88,0.22,0.28,0.48,5.09,6.5600000000000005,1.01,1,0.02,0,0.0,0.91,0.1,4,0.1,0.09,2,0.05,19,0.46,31.58,21.053,0.05,1.08,51.11,0.07,0.0,1.01,54.76,0.07,0.5,42.86,1.78,35.14,0.79,0.19,0.02,14.66,0.34,0.53,28.59,69.33,15.52,56.97,1.47,85.25,20.9,80.11,6.66,37.91,22.52,38.36,0.04,0.34,0.0,0.0,0.0,0.0,0.14,6.44,49.63,1.8,45.33,0.55,17.39,0.41000000000000003,0.58,7.64,59.43,85.87,8.67,0,,0,,0,0.0,0.0,0.0,,,0.53,,7.35,0.0,0.0,0.0,0.0,0,0.0
S. Onishi,Shogo Onishi,286927,Vanraure Hachinohe,Vanraure Hachinohe,https://cdn5.wyscout.com/photos/team/public/g25477_120x120.png,J3 League,GK,GK,100,,0,,0,35.0,1990-07-29,25000,2026-01-31,38,3746,0,0.09,0,0.0,0.5,80.95,Japan,['Japan'],left,185,78,False,1.11,0.07,66.67,0.34,92.86,0.0,0.0,0.0,1.06,1.3599999999999999,0.0,1,0.02,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,1,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.05,50.0,0.02,0.0,0.0,5.98,0.12,0.1,11.82,75.41,9.68,70.97,0.0,0.0,3.12,96.92,8.67,67.87,46.27,54.23,0.0,0.0,0.0,0.02,0.0,0.0,0.0,4.4,57.92,0.19,50.0,0.24,30.0,0.07,0.0,6.49,87.41,96.1,1.85,23,0.55,102,2.45,20,77.45,30.74,0.74,7.74,0.186,0.0,1.11,0.34,,,,0.0,0,0.0
