Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
L. Jansen,Lars Jansen,-76698,Quick Boys,Quick Boys,https://cdn5.wyscout.com/photos/team/public/g4647_120x120.png,Tweede Divisie,GK,GK,100,,0,,0,28.0,1998-02-10,0,2026-06-30,28,2693,0,0.0,0,0.0,0.9400000000000001,75.0,Netherlands,['Netherlands'],right,183,82,False,2.01,0.17,80.0,0.43,92.31,0.03,0.05,0.0,1.8399999999999999,2.95,0.0,1,0.03,0,0.0,0.03,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,50.0,0.17,40.0,0.0,0.03,0.0,33.89,0.5,0.13,48.26,83.31,28.21,72.99,0.03,100.0,33.59,97.71,14.67,50.34,29.83,50.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.55,41.33,0.6000000000000001,22.22,0.74,13.64,0.17,0.0,10.26,67.75,97.61,18.15,29,0.97,110,3.68,9,73.64,31.19,1.04,2.19,0.073,0.0,1.47,0.43,,,,0.0,0,0.0
M. Apau,Mitch Apau,87824,Spakenburg,Spakenburg,https://cdn5.wyscout.com/photos/team/public/3027_120x120.png,Tweede Divisie,RCB,RCB,80,,0,,0,35.0,1990-04-27,125000,2026-06-30,28,2629,0,0.48,0,0.58,15.78,56.4,Netherlands,"['Netherlands', 'Ghana']",right,181,80,False,8.18,6.26,69.4,2.19,42.19,0.21,0.28,0.65,3.63,4.86,1.54,4,0.14,1,0.03,0.31,0.0,0,0.0,0.02,0,0.0,2,0.07,50.0,0.0,0.0,0.24,85.71,0.0,0.0,0.24,85.71,0.0,0.07,100.0,2.84,43.37,0.24,0.51,0.0,35.6,0.17,1.3,48.47,89.34,17.6,77.24,3.7,96.3,41.56,95.47,6.68,51.28,22.47,40.36,0.02,0.1,0.03,0.03,0.0,0.0,0.07,6.03,62.5,1.06,48.39,0.65,15.79,0.45,0.21,7.84,75.55,97.12,23.79,0,,0,,0,0.0,0.0,0.0,,,2.88,,2.19,0.03,0.0,0.0,0.0,0,0.0
B. van der Meer,Bradley van der Meer,421433,Barendrecht,Barendrecht,https://cdn5.wyscout.com/photos/team/public/g4725_120x120.png,Tweede Divisie,GK,GK,100,,0,,0,30.0,1996-01-18,0,,27,2601,0,0.11,0,0.11,1.42,63.41,Netherlands,['Netherlands'],,182,82,False,3.08,0.28,87.5,0.55,81.25,0.0,0.0,0.03,2.84,3.51,0.03,1,0.03,0,0.0,0.14,0.0,0,0.0,0.0,0,0.0,1,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,66.67,0.45,38.46,0.03,0.07,0.0,22.84,0.52,0.14,36.19,82.12,20.42,70.17,0.1,100.0,23.15,97.91,13.01,54.26,30.91,49.26,0.0,0.03,0.0,0.0,0.0,0.0,0.03,3.63,50.48,0.24,28.57,0.31,55.56,0.07,0.0,9.52,66.18,97.83,14.36,66,2.2800000000000002,179,6.19,2,63.13,58.23,2.01,-7.77,-0.269,0.03,1.7000000000000002,0.55,,,,0.0,0,0.0
J. Maats,Jorick Maats,-300588,HHC,HHC,https://cdn5.wyscout.com/photos/team/public/g4669_120x120.png,Tweede Divisie,GK,GK,100,,0,,0,26.0,1999-12-25,0,2027-06-30,27,2589,0,0.22,0,0.24,0.49,71.43,Netherlands,['Netherlands'],right,0,0,False,1.9100000000000001,0.07,50.0,0.35000000000000003,80.0,0.0,0.0,0.0,1.88,2.58,0.0,0,0.0,0,0.0,0.03,0.0,0,0.0,0.01,0,0.0,1,0.03,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.0,0.0,15.02,0.31,0.07,24.33,80.71,18.15,75.86,0.03,0.0,10.98,96.2,13.35,67.97,40.64,56.18,0.01,0.03,0.03,0.03,0.0,0.0,0.03,5.5600000000000005,70.63,0.24,28.57,0.31,55.56,0.14,0.0,11.37,81.04,95.63,5.5600000000000005,32,1.11,122,4.24,8,73.77,38.37,1.33,6.37,0.221,0.0,1.7000000000000002,0.35000000000000003,,,,0.0,0,0.0
S. van Rooijen,Steff  van Rooijen,-385305,Rijnsburgse Boys,Rijnsburgse Boys,https://cdn5.wyscout.com/photos/team/public/g4648_120x120.png,Tweede Divisie,"LCMF, LCMF3, LDMF",LCMF,34,LCMF3,15,LDMF,13,27.0,1999-03-08,0,,27,2553,1,0.79,0,1.24,13.61,54.15,Netherlands,['Netherlands'],right,0,0,False,8.5,5.96,66.86,0.71,35.0,0.35000000000000003,0.51,0.21,4.16,6.04,0.63,1,0.04,0,0.0,1.6600000000000001,0.04,1,0.04,0.03,0,0.0,18,0.63,27.78,5.556,0.0,1.8,31.37,0.67,26.32,1.13,34.38,0.18,1.73,53.06,5.25,43.62,0.85,2.5700000000000003,0.42,35.57,0.39,1.3,52.88,82.73,17.56,70.28,7.93,94.22,44.59,88.7,6.5600000000000005,56.45,21.76,38.73,0.04,0.39,0.0,0.04,0.14,0.0,0.18,8.95,67.72,2.86,49.38,1.13,31.25,1.02,0.56,9.27,74.52,89.41,21.65,0,,0,,0,0.0,0.0,0.0,,,2.04,,0.71,0.11,0.0,0.0,0.11,0,0.0
W. Zonneveld,Wesley Zonneveld,170254,Rijnsburgse Boys,Rijnsburgse Boys,https://cdn5.wyscout.com/photos/team/public/g4648_120x120.png,Tweede Divisie,GK,GK,100,,0,,0,33.0,1992-06-17,0,2027-06-30,27,2539,0,0.37,0,0.0,1.13,75.0,Netherlands,['Netherlands'],left,195,81,False,2.45,0.25,57.14,0.53,93.33,0.04,0.05,0.0,2.27,3.31,0.04,0,0.0,1,0.04,0.04,0.0,0,0.0,0.01,0,0.0,1,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,33.33,0.32,55.56,0.04,0.0,0.04,25.13,0.64,0.0,40.27,83.98,24.85,75.61,0.0,0.0,24.64,97.12,15.63,63.27,32.63,46.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.15,49.57,0.46,0.0,0.53,40.0,0.0,0.0,11.34,71.56,97.61,14.82,42,1.49,124,4.4,5,66.13,36.23,1.28,-5.77,-0.20500000000000002,0.0,1.35,0.53,,,,0.0,0,0.0
S. Van Huffel,Sam Van Huffel,517973,Spakenburg,Spakenburg,https://cdn5.wyscout.com/photos/team/public/3027_120x120.png,Tweede Divisie,"LCMF3, LCMF, RCMF3",LCMF3,35,LCMF,25,RCMF3,18,27.0,1998-06-24,0,2027-06-30,28,2538,9,6.26,5,5.95,17.34,44.58,Netherlands,['Netherlands'],both,176,70,False,6.49,5.11,62.5,1.74,24.49,0.14,0.19,0.25,3.16,4.24,1.03,3,0.11,0,0.0,4.22,0.32,8,0.28,0.22,0,0.0,83,2.94,48.19,10.843,0.18,3.3,33.33,2.2,30.65,0.96,37.04,0.6000000000000001,3.26,51.09,8.4,40.51,2.84,2.34,0.21,23.87,1.28,1.03,34.18,75.21,9.89,64.87,7.38,90.87,27.3,83.38,3.62,50.98,18.89,35.76,0.21,1.45,0.11,0.0,0.14,25.0,0.6000000000000001,4.79,65.19,4.22,41.18,0.53,40.0,0.99,1.1,5.71,82.61,75.57,10.89,0,,0,,0,0.0,0.0,0.0,,,0.53,,1.74,1.49,0.78,59.09,2.2,2,50.0
S. Lever,Sisqo Lever,-290359,Almere City U23,Almere City U23,https://cdn5.wyscout.com/photos/team/public/g24775_120x120.png,Tweede Divisie,"RCMF, LCMF, DMF",RCMF,60,LCMF,16,DMF,13,23.0,2003-02-21,0,2026-06-30,26,2493,2,2.4,1,2.63,13.47,56.57,Netherlands,['Netherlands'],,0,0,False,7.62,5.16,69.93,2.38,51.52,0.79,1.05,0.14,3.21,4.26,0.87,1,0.04,0,0.0,0.9,0.07,1,0.04,0.09,0,0.0,20,0.72,35.0,10.0,0.04,0.25,42.86,0.04,0.0,0.18,40.0,0.07,1.12,45.16,3.9,44.44,1.01,2.27,0.25,49.57,0.43,0.61,66.68,88.09,21.19,77.0,11.41,96.84,62.82,90.06,3.65,57.43,17.49,37.01,0.09,0.97,0.07,0.0,0.07,50.0,0.22,9.96,81.88,1.81,52.0,0.54,33.33,0.9,0.07,10.29,75.44,93.34,23.86,0,,0,,0,0.0,0.0,0.0,,,1.19,,2.38,0.43,0.07,0.0,2.06,1,100.0
H. Eikelboom,Hessel Eikelboom,-736372,HHC,HHC,https://cdn5.wyscout.com/photos/team/public/g4669_120x120.png,Tweede Divisie,"DMF, RDMF, LDMF",DMF,52,RDMF,25,LDMF,14,23.0,2003-02-22,0,2027-06-30,26,2492,1,1.8900000000000001,1,1.9500000000000002,19.21,56.58,Netherlands,['Netherlands'],unknown,0,0,False,11.16,7.08,73.98,2.67,43.24,1.08,1.48,0.4,4.84,6.62,1.34,5,0.18,0,0.0,1.6600000000000001,0.04,1,0.04,0.07,0,0.0,34,1.23,17.65,2.941,0.04,0.87,54.17,0.07,0.0,0.79,59.09,0.29,1.3,63.89,5.67,49.68,0.61,1.4100000000000001,0.25,31.1,0.18,1.3,52.8,81.6,20.3,65.48,9.03,96.8,44.39,86.98,7.58,52.86,22.26,41.01,0.07,0.58,0.07,0.04,0.22,66.67,0.36,12.39,64.14,2.13,40.68,0.9400000000000001,42.31,0.4,0.51,10.51,75.95,90.85,17.77,0,,0,,0,0.0,0.0,0.0,,,1.9500000000000002,,2.67,0.07,0.0,0.0,0.07,0,0.0
G. Zwikstra,Giovanni Zwikstra,-169822,HHC,HHC,https://cdn5.wyscout.com/photos/team/public/g4669_120x120.png,Tweede Divisie,CF,CF,83,,0,,0,25.0,2001-03-06,0,2027-06-30,27,2487,8,9.51,8,5.77,27.03,36.95,Netherlands,['Netherlands'],right,192,0,False,2.86,2.42,70.15,7.53,42.79,0.11,0.15,0.11,1.05,1.45,1.16,3,0.11,0,0.0,2.71,0.29,8,0.29,0.34,2,0.07,45,1.63,46.67,17.778,0.29,1.74,39.58,1.05,34.48,0.54,46.67,0.14,2.61,48.61,10.86,30.33,4.92,1.23,0.11,13.03,3.18,1.38,18.13,67.47,3.8,55.24,3.98,83.64,15.56,70.7,0.9,64.0,16.06,24.59,0.21,1.34,0.07,0.0,0.04,0.0,0.8,1.6600000000000001,58.7,2.03,55.36,0.07,50.0,1.63,0.62,2.24,83.87,67.25,6.19,0,,0,,0,0.0,0.0,0.0,,,0.0,,7.53,0.0,0.0,0.0,0.0,0,0.0
