Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Omar Salah,Omar Mohamed Salah,449621,Petrojet,Petrojet,https://cdn5.wyscout.com/photos/team/public/3080_120x120.png,Premier League,GK,GK,100,,0,,0,28.0,1998-01-10,100000,2027-06-30,20,2031,0,0.0,0,0.0,1.02,82.61,Egypt,['Egypt'],right,187,0,False,1.11,0.04,0.0,0.8,83.33,0.0,0.0,0.0,1.11,1.51,0.0,1,0.04,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,100.0,0.0,0.0,0.04,5.98,0.13,0.18,12.01,71.59,9.17,65.22,0.0,0.0,4.48,99.01,7.44,55.36,43.51,53.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.23,52.05,0.0,0.0,0.04,0.0,0.0,0.0,5.23,75.42,93.1,2.5700000000000003,23,1.02,80,3.55,6,71.25,26.44,1.17,3.44,0.152,0.0,1.55,0.8,,,,0.0,0,0.0
Ahmed El Aash,Ahmed Mahmoud Abdelkader,-117305,Ghazl El Mehalla,Ghazl El Mehalla,https://cdn5.wyscout.com/photos/team/public/1833_120x120.png,Premier League,RCB,RCB,91,,0,,0,27.0,1998-06-18,50000,2028-06-30,20,2027,0,0.27,0,0.04,11.19,67.46,Egypt,['Egypt'],right,0,0,False,8.08,3.91,81.82,4.84,62.39,0.22,0.30000000000000004,0.75,4.66,6.38,0.22,2,0.09,0,0.0,0.18,0.0,0,0.0,0.01,0,0.0,9,0.4,0.0,0.0,0.0,0.53,16.67,0.13,0.0,0.4,22.22,0.09,0.09,100.0,1.29,51.72,0.31,0.4,0.0,19.89,0.18,0.67,35.43,75.44,19.63,62.9,1.55,97.14,21.18,86.79,13.76,60.0,27.33,39.09,0.0,0.13,0.0,0.0,0.0,0.0,0.0,6.79,52.94,1.69,15.79,0.49,27.27,0.27,0.18,11.28,69.69,92.75,12.25,0,,0,,0,0.0,0.0,0.0,,,1.07,,4.84,0.09,0.0,0.0,0.0,0,0.0
Amer Amer,Amer Mohamed Amer,52077,Ghazl El Mehalla,Ghazl El Mehalla,https://cdn5.wyscout.com/photos/team/public/1833_120x120.png,Premier League,GK,GK,100,,0,,0,39.0,1987-02-14,100000,2026-06-30,20,2027,0,0.0,0,0.0,0.89,100.0,Egypt,['Egypt'],,183,0,False,1.69,0.0,0.0,0.58,100.0,0.0,0.0,0.0,1.69,2.31,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,100.0,0.0,0.0,0.0,4.8,0.13,0.4,10.74,85.12,6.22,76.43,0.0,0.0,6.75,96.05,4.0,66.67,32.95,45.95,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.75,41.18,0.0,0.0,0.04,0.0,0.0,0.0,3.42,77.92,96.81,4.17,15,0.67,61,2.71,13,75.41,17.44,0.77,2.44,0.108,0.0,1.55,0.58,,,,0.0,0,0.0
Mohamed Bassam,Mohamed Bassam,96850,Ceramica,Ceramica,https://cdn5.wyscout.com/photos/team/public/g-12397_120x120.png,Premier League,GK,GK,100,,0,,0,35.0,1990-12-25,600000,2027-06-30,19,1949,0,0.0,0,0.0,0.88,84.21,Egypt,['Egypt'],right,191,0,False,1.8,0.09,50.0,0.42,100.0,0.0,0.0,0.05,1.75,2.86,0.0,1,0.05,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,83.33,0.0,0.0,0.0,13.71,0.28,0.28,21.75,83.23,11.27,70.08,0.0,0.0,15.01,98.46,6.74,49.32,29.54,50.5,0.0,0.0,0.0,0.0,0.0,0.0,0.05,2.59,41.07,0.23,20.0,0.28,16.67,0.05,0.0,3.65,70.89,96.94,9.05,13,0.6000000000000001,67,3.09,9,80.6,16.97,0.78,3.9699999999999998,0.183,0.0,1.3900000000000001,0.42,,,,0.0,0,0.0
Mahmoud El Zanfaly,Mahmoud El Zanfaly,286049,Haras El Hodood,Haras El Hodood,https://cdn5.wyscout.com/photos/team/public/2043_120x120.png,Premier League,GK,GK,100,,0,,0,33.0,1992-04-28,200000,2027-06-30,19,1929,0,0.0,0,0.0,1.31,85.71,Egypt,['Egypt'],right,190,83,False,2.01,0.05,100.0,1.03,86.36,0.0,0.0,0.0,1.96,2.61,0.0,2,0.09,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,100.0,0.0,0.0,0.05,5.65,0.23,0.28,12.32,73.48,10.4,69.06,0.0,0.0,3.7800000000000002,95.06,8.54,63.93,42.48,49.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.94,53.97,0.14,0.0,0.09,0.0,0.0,0.0,6.25,79.85,97.44,1.82,28,1.31,94,4.39,5,70.21,22.35,1.04,-5.65,-0.264,0.0,2.24,1.03,,,,0.0,0,0.0
Ahmed Hamed Shousha,Ahmed Hamed  Shousha,498213,Ghazl El Mehalla,Ghazl El Mehalla,https://cdn5.wyscout.com/photos/team/public/1833_120x120.png,Premier League,LCB,LCB,90,,0,,0,32.0,1993-10-01,175000,2028-06-30,19,1927,3,2.66,0,0.09,9.39,59.7,Egypt,['Egypt'],,0,0,False,7.8,3.36,70.83,3.5,50.67,0.33,0.45,0.47000000000000003,5.09,7.0,0.56,5,0.23,0,0.0,0.37,0.14,1,0.05,0.12,0,0.0,12,0.56,58.33,25.0,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.09,50.0,0.79,64.71,0.33,0.61,0.05,21.34,0.23,0.42,37.64,79.53,19.76,70.92,1.12,100.0,26.72,88.64,10.88,57.51,25.89,41.62,0.0,0.05,0.0,0.0,0.0,0.0,0.0,7.61,57.67,0.65,28.57,0.47000000000000003,30.0,0.28,0.0,10.74,69.13,90.94,14.43,0,,0,,0,0.0,0.0,0.0,,,0.89,,3.5,0.19,0.09,0.0,0.0,3,66.667
M. Alaa,Mohamed Alaa,-656286,El Gounah,El Gounah,https://cdn5.wyscout.com/photos/team/public/3076_120x120.png,Premier League,GK,GK,100,,0,,0,26.0,1999-09-01,0,2027-06-30,19,1923,0,0.0,0,0.09,1.31,82.14,Egypt,['Egypt'],unknown,0,0,False,1.92,0.19,50.0,0.75,81.25,0.09,0.12,0.0,1.73,2.31,0.09,1,0.05,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,100.0,0.0,0.0,0.0,6.93,0.05,0.37,13.34,69.12,9.83,60.0,0.0,0.0,5.1,95.41,8.19,53.14,44.71,57.15,0.0,0.05,0.0,0.0,0.0,0.0,0.05,4.82,44.66,0.47000000000000003,0.0,0.23,40.0,0.0,0.0,5.43,78.45,95.52,3.14,15,0.7000000000000001,65,3.04,7,76.92,19.34,0.91,4.34,0.203,0.0,2.5300000000000002,0.75,,,,0.0,0,0.0
Amr Hossam,Amr Hossam,474003,Wadi Degla,Wadi Degla,https://cdn5.wyscout.com/photos/team/public/3047_120x120.png,Premier League,GK,GK,100,,0,,0,34.0,1991-08-29,200000,2028-06-30,19,1910,0,0.0,0,0.0,0.99,80.95,Egypt,['Egypt'],right,183,0,False,1.18,0.14,66.67,0.19,100.0,0.0,0.0,0.05,1.08,1.94,0.05,3,0.14,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,81.82,0.0,0.0,0.0,11.45,0.19,0.38,17.01,84.49,8.81,73.26,0.0,0.0,10.88,97.4,6.08,62.02,31.19,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,50.0,0.05,0.0,0.0,0.0,0.05,0.0,4.43,64.89,97.96,6.93,19,0.9,61,2.87,4,68.85,18.1,0.85,-0.9,-0.042,0.0,0.9,0.19,,,,0.0,0,0.0
Ahmed Al Shenawy,Ahmed Naser Mahmoud Al Shenawy,51983,Pyramids,Pyramids,https://cdn5.wyscout.com/photos/team/public/g26826_120x120.png,Premier League,GK,GK,100,,0,,0,34.0,1991-05-14,800000,2029-06-30,19,1908,0,0.0,0,0.0,0.75,81.25,Egypt,['Egypt'],right,195,85,False,1.27,0.09,0.0,0.5700000000000001,91.67,0.0,0.0,0.0,1.27,2.38,0.09,1,0.05,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,100.0,0.0,0.0,0.0,10.9,0.75,0.14,15.85,86.01,8.02,74.12,0.05,100.0,11.32,97.08,4.53,58.33,30.72,48.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,22.22,0.05,0.0,0.0,0.0,0.0,0.0,3.35,63.38,98.04,7.22,14,0.66,38,1.79,9,63.16,13.54,0.64,-0.46,-0.022,0.0,1.37,0.5700000000000001,,,,0.0,0,0.0
Y. Zakaria,Yehia Zakaria,-192922,Ghazl El Mehalla,Ghazl El Mehalla,https://cdn5.wyscout.com/photos/team/public/1833_120x120.png,Premier League,LB,LB,87,,0,,0,24.0,2001-12-20,0,2029-06-30,20,1905,0,0.19,0,0.5700000000000001,11.76,52.21,Egypt,['Egypt'],,0,0,False,6.61,5.06,64.49,2.27,52.08,0.24,0.33,0.09,3.12,4.3,0.8,1,0.05,0,0.0,1.51,0.0,0,0.0,0.01,0,0.0,2,0.09,100.0,0.0,0.0,2.17,45.65,2.08,45.45,0.05,100.0,0.09,0.9400000000000001,45.0,3.21,32.35,0.19,1.32,0.09,23.76,2.5,0.76,34.63,75.03,16.2,68.8,4.02,91.76,25.98,82.36,6.61,55.71,19.43,32.79,0.03,0.5700000000000001,0.0,0.0,0.05,0.0,0.24,5.8100000000000005,63.41,2.46,42.31,0.19,50.0,0.33,0.8,9.78,77.29,75.94,8.83,0,,0,,0,0.0,0.0,0.0,,,0.19,,2.27,0.76,0.05,100.0,1.09,0,0.0
