Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Á. Martínez,Ángel Isaías Martínez Vegas,-544617,2 de Mayo,2 de Mayo,https://cdn5.wyscout.com/photos/team/public/969_120x120.png,Division Profesional,GK,GK,100,,0,,0,23.0,2002-07-31,0,2029-12-31,21,2071,0,0.0,0,0.0,0.65,66.67,Paraguay,['Paraguay'],,0,0,False,1.6099999999999999,0.09,0.0,0.30000000000000004,85.71,0.0,0.0,0.0,1.6099999999999999,2.3,0.09,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,75.0,0.0,0.0,0.0,10.39,0.13,0.26,19.12,81.82,11.43,73.38,0.04,100.0,10.3,96.62,8.73,65.17,35.93,48.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,54.35,0.26,16.67,0.17,25.0,0.04,0.0,6.39,68.03,95.18,7.21,34,1.48,109,4.74,6,68.81,37.12,1.6099999999999999,3.12,0.136,0.04,1.22,0.30000000000000004,,,,0.0,0,0.0
J. González,Julio César González Trinidad,306404,Sportivo Ameliano,Sportivo Ameliano,https://cdn5.wyscout.com/photos/team/public/g-10312_120x120.png,Division Profesional,RCB,RCB,99,,0,,0,33.0,1992-06-28,250000,2026-12-31,21,2070,1,0.6000000000000001,1,0.11,12.0,62.68,Paraguay,['Paraguay'],right,176,73,False,7.96,3.96,78.02,4.74,56.88,0.13,0.19,0.87,4.74,7.0,0.5700000000000001,3,0.13,0,0.0,0.17,0.04,1,0.04,0.03,0,0.0,2,0.09,50.0,50.0,0.04,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.17,75.0,1.7000000000000002,48.72,0.17,0.30000000000000004,0.04,27.0,0.30000000000000004,0.74,38.96,88.06,14.7,77.22,2.96,97.06,33.87,92.94,5.04,56.03,22.07,37.63,0.0,0.13,0.0,0.04,0.0,0.0,0.04,2.83,58.46,0.17,25.0,0.17,25.0,0.09,0.0,6.43,62.16,95.83,18.78,0,,0,,0,0.0,0.0,0.0,,,2.43,,4.74,0.0,0.0,0.0,0.0,0,0.0
A. Cañete,Alexis Damián Cañete Torres,-544838,Nacional Asunción,Nacional Asunción,https://cdn5.wyscout.com/photos/team/public/2296_120x120.png,Division Profesional,"RCB, RB, LCB",RCB,65,RB,15,LCB,11,22.0,2003-08-27,0,2026-12-31,21,2064,0,0.73,3,0.76,13.78,63.29,Paraguay,['Paraguay'],right,185,68,False,9.16,5.58,71.88,4.06,52.69,0.31,0.48,0.44,4.84,7.64,1.26,3,0.13,0,0.0,0.87,0.0,0,0.0,0.03,0,0.0,8,0.35000000000000003,37.5,0.0,0.13,0.65,60.0,0.0,0.0,0.65,60.0,0.13,0.39,77.78,2.18,60.0,0.96,0.61,0.0,27.6,0.92,1.05,42.43,84.48,18.79,74.01,3.1,97.18,35.76,89.88,6.1,55.71,21.71,40.14,0.03,0.35000000000000003,0.04,0.0,0.04,100.0,0.22,4.36,65.0,0.96,50.0,0.22,40.0,0.31,0.26,8.5,67.18,94.07,16.92,0,,0,,0,0.0,0.0,0.0,,,2.49,,4.06,0.0,0.0,0.0,0.0,0,0.0
F. Franco,Hugo Fabián Franco Schlender,473509,Sportivo Ameliano,Sportivo Ameliano,https://cdn5.wyscout.com/photos/team/public/g-10312_120x120.png,Division Profesional,RB,RB,99,,0,,0,27.0,1998-10-11,200000,2026-12-31,21,2062,1,1.15,1,1.34,12.57,51.74,Paraguay,['Paraguay'],right,177,75,False,8.42,4.71,64.81,2.66,47.54,0.35000000000000003,0.52,0.22,5.02,7.42,0.87,4,0.17,0,0.0,1.31,0.04,1,0.04,0.05,1,0.04,38,1.6600000000000001,28.95,2.632,0.04,1.57,22.22,0.09,0.0,1.48,23.53,0.17,0.8300000000000001,47.37,3.06,40.0,0.7000000000000001,0.87,0.09,27.63,2.36,1.22,40.59,75.27,19.34,67.72,3.32,94.74,29.2,83.71,10.04,58.26,23.32,38.75,0.06,0.65,0.0,0.0,0.17,50.0,0.31,6.77,60.65,2.18,34.0,1.0,39.13,0.48,0.31,11.52,75.0,79.15,13.4,0,,0,,0,0.0,0.0,0.0,,,0.48,,2.66,0.8300000000000001,0.52,41.67,0.74,0,0.0
S. Rojas,Santiago Gerardo Rojas López,467982,Nacional Asunción,Nacional Asunción,https://cdn5.wyscout.com/photos/team/public/2296_120x120.png,Division Profesional,GK,GK,100,,0,,0,30.0,1996-04-05,700000,2026-12-31,20,1990,0,0.0,1,0.01,0.32,100.0,Paraguay,['Paraguay'],right,189,92,False,1.54,0.05,100.0,0.27,100.0,0.0,0.0,0.0,1.49,2.3,0.0,4,0.18,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.91,0.32,0.09,25.15,88.13,12.08,77.53,0.05,100.0,16.01,99.15,9.05,69.5,33.63,50.95,0.0,0.05,0.0,0.0,0.0,0.0,0.05,3.48,55.84,0.23,0.0,0.18,25.0,0.0,0.0,6.06,82.09,98.19,12.53,20,0.9,68,3.08,6,70.59,22.16,1.0,2.16,0.098,0.0,1.09,0.27,,,,0.0,0,0.0
M. Martínez,Miguel Angel Martínez Irala,398599,Sportivo Ameliano,Sportivo Ameliano,https://cdn5.wyscout.com/photos/team/public/g-10312_120x120.png,Division Profesional,GK,GK,100,,0,,0,27.0,1998-09-29,200000,2026-12-31,20,1970,0,0.0,0,0.0,0.73,81.25,Paraguay,['Paraguay'],right,184,78,False,2.01,0.0,0.0,0.5,72.73,0.0,0.0,0.0,2.01,2.99,0.05,2,0.09,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,100.0,0.0,0.0,0.0,11.83,0.18,0.14,21.56,90.47,10.42,81.58,0.0,0.0,15.85,98.85,5.62,68.29,28.85,47.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.37,56.67,0.0,0.0,0.09,50.0,0.0,0.0,4.29,68.09,99.12,10.37,18,0.8200000000000001,61,2.79,5,70.49,17.43,0.8,-0.5700000000000001,-0.026000000000000002,0.0,1.23,0.5,,,,0.0,0,0.0
A. Paredes,Jesús Abel Paredes Melgarejo,395014,Sportivo Ameliano,Sportivo Ameliano,https://cdn5.wyscout.com/photos/team/public/g-10312_120x120.png,Division Profesional,LB,LB,99,,0,,0,28.0,1997-05-27,300000,2026-12-31,21,1889,0,0.45,2,1.45,12.67,53.01,Paraguay,['Paraguay'],left,180,74,False,9.67,5.96,67.2,1.9100000000000001,37.5,0.14,0.21,0.48,5.53,8.15,0.67,4,0.19,0,0.0,2.1,0.0,0,0.0,0.02,0,0.0,22,1.05,13.64,0.0,0.1,3.14,46.97,3.0,46.03,0.14,66.67,0.38,1.1400000000000001,41.67,2.7199999999999998,33.33,0.38,1.0,0.1,27.82,1.81,0.19,41.07,76.68,19.3,68.89,5.86,93.5,31.35,85.41,6.8100000000000005,50.35,21.06,39.58,0.07,0.71,0.0,0.0,0.05,0.0,0.43,5.62,65.25,3.05,46.88,0.5700000000000001,41.67,0.38,1.33,11.77,68.02,81.57,10.34,0,,0,,0,0.0,0.0,0.0,,,0.24,,1.9100000000000001,0.43,0.29,16.67,0.9500000000000001,0,0.0
G. Servio,Gaspar Andrés Servio,247730,Guaraní,Guaraní,https://cdn5.wyscout.com/photos/team/public/968_120x120.png,Division Profesional,GK,GK,100,,0,,0,34.0,1992-03-09,600000,2026-12-31,19,1882,3,2.2800000000000002,0,0.0,0.62,92.31,Argentina,['Argentina'],right,185,86,False,0.86,0.05,100.0,0.43,88.89,0.0,0.0,0.05,0.81,1.12,0.0,2,0.1,0,0.0,0.14,0.14,0,0.0,0.11,0,0.0,3,0.14,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,100.0,0.0,0.0,0.0,8.94,0.1,0.19,15.11,85.76,8.13,74.71,0.0,0.0,8.51,98.31,6.55,70.07,37.87,55.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.49,65.75,0.38,12.5,0.38,37.5,0.1,0.0,5.31,86.49,100.0,6.5,19,0.91,75,3.59,7,74.67,23.59,1.13,4.59,0.22,0.0,1.15,0.43,,,,0.0,3,100.0
Andrea Falabella,Luca Andrea Falabella,-72696,Sportivo Ameliano,Sportivo Ameliano,https://cdn5.wyscout.com/photos/team/public/g-10312_120x120.png,Division Profesional,LCB,LCB,99,,0,,0,27.0,1999-03-10,0,2027-12-31,19,1876,2,1.6,0,0.0,12.09,61.51,Argentina,"['Argentina', 'Italy']",left,188,89,False,6.91,3.02,76.19,4.94,57.28,0.19,0.29,0.38,4.41,6.65,0.43,4,0.19,0,0.0,0.29,0.1,2,0.1,0.08,1,0.05,9,0.43,44.44,22.222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,50.0,1.82,39.47,0.72,0.77,0.05,29.22,0.24,0.38,43.94,88.86,18.76,80.05,2.25,91.49,38.57,92.41,5.37,63.39,21.04,37.29,0.0,0.05,0.0,0.05,0.0,0.0,0.0,2.88,66.67,0.14,0.0,0.1,0.0,0.0,0.0,7.2,67.33,96.51,19.24,0,,0,,0,0.0,0.0,0.0,,,1.63,,4.94,0.0,0.0,0.0,0.0,0,0.0
I. Maggi,Iván Gabriel Maggi,-109618,Sportivo Luqueño,Sportivo Luqueño,https://cdn5.wyscout.com/photos/team/public/555_120x120.png,Division Profesional,CF,CF,98,,0,,0,26.0,1999-06-14,0,2026-12-31,20,1834,10,9.14,2,1.28,23.46,31.38,Argentina,['Argentina'],right,178,74,False,4.07,4.17,43.53,8.0,40.49,0.34,0.52,0.05,1.9100000000000001,2.9,2.01,6,0.29,0,0.0,2.65,0.49,8,0.39,0.45,1,0.05,48,2.36,50.0,20.833,0.1,1.23,28.0,0.93,31.58,0.29,16.67,0.05,2.94,38.33,8.0,20.86,3.63,1.03,0.44,10.01,1.23,0.34,15.31,71.47,2.94,61.67,4.07,87.95,13.35,75.74,0.74,66.67,15.87,19.83,0.06,0.74,0.1,0.0,0.0,0.0,0.39,1.32,59.26,1.18,29.17,0.0,0.0,0.49,0.29,1.18,58.33,65.22,4.51,0,,0,,0,0.0,0.0,0.0,,,0.05,,8.0,0.0,0.0,0.0,0.0,2,100.0
