Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
M. Brenet,Maxime Brenet,146823,Bavois,Bavois,https://cdn5.wyscout.com/photos/team/public/g9790_120x120.png,1. Liga Promotion,GK,GK,100,,0,,0,34.0,1992-03-01,0,2026-06-30,23,2234,0,0.0,0,0.0,1.25,83.87,France,"['France', 'Switzerland']",right,182,0,False,2.09,0.04,100.0,0.97,83.33,0.04,0.06,0.0,2.01,2.79,0.04,0,0.0,0,0.0,0.04,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,0.12,100.0,0.0,0.04,0.0,16.15,0.52,0.24,26.19,79.54,19.74,73.88,0.0,0.0,11.6,97.22,14.54,65.65,38.2,49.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,51.72,0.08,0.0,0.12,33.33,0.0,0.0,10.8,80.22,98.01,6.08,33,1.33,103,4.15,5,67.96,25.67,1.03,-7.33,-0.295,0.0,3.34,0.97,,,,0.0,0,0.0
C. Heim,Calvin Heim,463003,Brühl,Brühl,https://cdn5.wyscout.com/photos/team/public/3813_120x120.png,1. Liga Promotion,GK,GK,100,,0,,0,25.0,2000-09-18,75000,2026-06-30,23,2213,0,0.0,0,0.43,0.49,75.0,Switzerland,['Switzerland'],right,193,75,False,1.5899999999999999,0.0,0.0,0.28,100.0,0.0,0.0,0.0,1.5899999999999999,2.59,0.0,1,0.04,0,0.0,0.04,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,50.0,0.16,25.0,0.0,0.0,0.0,21.47,0.41000000000000003,0.0,31.68,79.08,18.5,67.47,0.0,0.0,17.89,97.5,13.66,55.65,34.91,52.05,0.02,0.04,0.04,0.0,0.0,0.0,0.04,6.71,50.91,0.53,15.38,0.6900000000000001,47.06,0.16,0.0,10.41,69.14,96.33,12.2,33,1.34,83,3.38,6,60.24,25.25,1.03,-7.75,-0.315,0.0,1.38,0.28,,,,0.0,0,0.0
L. Ribeiro Maio,Lucas Ribeiro Maio,-416634,Bavois,Bavois,https://cdn5.wyscout.com/photos/team/public/g9790_120x120.png,1. Liga Promotion,"RCMF3, LCMF, LCMF3",RCMF3,27,LCMF,20,LCMF3,19,22.0,2003-09-18,0,2026-06-30,23,2190,6,4.05,2,4.78,21.25,54.35,Switzerland,"['Switzerland', 'Portugal']",unknown,0,0,False,12.78,10.81,65.78,2.47,31.67,0.7000000000000001,0.96,0.21,4.97,6.86,1.9300000000000002,4,0.16,0,0.0,1.9300000000000002,0.25,5,0.21,0.17,0,0.0,72,2.96,27.78,8.333,0.08,0.7000000000000001,41.18,0.29,28.57,0.41000000000000003,50.0,0.21,0.99,70.83,5.1,44.35,0.9500000000000001,0.66,0.08,14.84,0.66,1.44,26.88,67.58,12.37,57.81,4.23,87.38,21.7,73.48,4.52,43.64,19.12,39.15,0.2,1.19,0.04,0.0,0.16,75.0,0.41000000000000003,5.71,51.08,2.14,46.15,0.8200000000000001,35.0,0.74,0.33,6.08,64.19,75.0,6.08,0,,0,,0,0.0,0.0,0.0,,,0.41000000000000003,,2.47,0.86,0.16,25.0,1.48,1,100.0
S. Miranda,Santiago Miranda,-266351,Paradiso,Paradiso,https://cdn5.wyscout.com/photos/team/public/g-14481_120x120.png,1. Liga Promotion,"LCB3, CB, RCB3",LCB3,34,CB,17,RCB3,15,24.0,2001-06-01,150000,2026-06-30,22,2135,1,2.39,2,2.26,14.67,60.34,Switzerland,"['Switzerland', 'Argentina']",right,184,0,False,10.2,7.59,67.78,3.29,57.69,0.08,0.1,0.55,4.97,5.97,0.89,5,0.21,2,0.08,1.05,0.04,1,0.04,0.1,0,0.0,23,0.97,43.48,4.348,0.08,0.93,36.36,0.46,36.36,0.46,36.36,0.04,0.51,58.33,2.15,49.02,1.43,1.26,0.21,17.49,0.46,0.59,32.88,74.62,17.28,64.63,3.25,94.81,25.33,82.03,6.62,51.59,24.38,40.45,0.1,0.55,0.0,0.0,0.0,0.0,0.17,6.03,57.34,1.73,56.1,0.55,30.77,0.84,0.34,9.15,69.12,87.73,9.27,0,,0,,0,0.0,0.0,0.0,,,1.6400000000000001,,3.29,0.34,0.17,25.0,0.0,0,0.0
E. Briner,Eric Briner,272842,Breitenrain,Breitenrain,https://cdn5.wyscout.com/photos/team/public/g11543_120x120.png,1. Liga Promotion,"AMF, RCMF, RCMF3",AMF,29,RCMF,22,RCMF3,16,30.0,1996-02-01,75000,2026-06-30,23,2120,1,2.11,1,1.25,18.68,51.82,Switzerland,['Switzerland'],,0,0,False,9.25,6.58,70.97,3.23,31.58,0.76,0.9400000000000001,0.13,3.8200000000000003,4.7,1.3599999999999999,6,0.25,0,0.0,0.76,0.04,1,0.04,0.09,0,0.0,18,0.76,38.89,5.556,0.04,0.89,19.05,0.08,0.0,0.81,21.05,0.08,0.89,33.33,4.37,39.81,1.15,0.34,0.0,21.69,0.55,1.44,39.01,78.02,13.16,64.19,8.07,93.68,34.56,83.17,3.61,42.35,16.92,29.38,0.05,0.55,0.0,0.0,0.04,0.0,0.17,5.6,57.58,1.27,43.33,0.30000000000000004,14.29,0.51,0.25,5.9,67.63,85.37,10.44,0,,0,,0,0.0,0.0,0.0,,,0.38,,3.23,0.0,0.0,0.0,0.04,0,0.0
B. Kabeya,Benjamin Kabeya Muteba,-53686,Young Boys II,Young Boys II,https://cdn5.wyscout.com/photos/team/public/g8758_120x120.png,1. Liga Promotion,"RDMF, LDMF, RB",RDMF,28,LDMF,26,RB,20,24.0,2001-06-16,0,2026-06-30,22,2113,2,2.94,2,0.18,11.29,55.09,Switzerland,"['Switzerland', 'Congo DR']",right,179,70,False,6.22,3.88,65.93,1.6600000000000001,61.54,0.09,0.11,0.30000000000000004,3.58,4.64,0.34,1,0.04,0,0.0,0.68,0.09,0,0.0,0.13,0,0.0,13,0.55,46.15,15.385,0.09,1.24,20.69,0.38,11.11,0.85,25.0,0.09,0.38,44.44,4.6,40.74,0.34,1.53,0.38,32.07,0.77,1.11,45.7,87.79,12.61,78.72,11.2,98.48,41.44,92.39,3.07,51.39,17.74,29.82,0.01,0.17,0.0,0.13,0.0,0.0,0.09,4.8100000000000005,76.11,1.02,50.0,0.26,33.33,0.13,0.26,5.96,66.43,90.08,15.04,0,,0,,0,0.0,0.0,0.0,,,1.7000000000000002,,1.6600000000000001,0.0,0.0,0.0,0.0,3,66.667
U. Vasić,Uroš Vasić,519278,Biel-Bienne,Biel-Bienne,https://cdn5.wyscout.com/photos/team/public/1144_120x120.png,U16 Group B,"RB, LB, RAMF",RB,33,LB,17,RAMF,15,24.0,2001-10-25,150000,2026-06-30,24,2096,7,4.15,5,5.87,15.2,49.72,Switzerland,['Switzerland'],right,172,65,False,6.35,5.41,71.43,0.99,17.39,0.0,0.0,0.13,2.49,3.2,0.43,2,0.09,0,0.0,3.65,0.30000000000000004,7,0.30000000000000004,0.18,1,0.04,42,1.8,47.62,16.667,0.21,2.66,32.26,0.56,30.77,2.02,29.79,0.64,3.01,64.29,7.6,42.94,2.4,2.06,0.26,22.71,1.72,0.9,32.68,78.71,9.75,66.08,9.36,95.87,27.22,87.54,2.88,37.31,18.1,32.93,0.25,1.85,0.13,0.0,0.0,0.0,0.56,3.22,65.33,2.58,53.33,0.21,40.0,1.12,0.73,5.58,64.62,76.32,8.16,0,,0,,0,0.0,0.0,0.0,,,1.12,,0.99,1.55,0.17,25.0,3.74,0,0.0
J. Wörnhard,Jan Wörnhard,519269,Brühl,Brühl,https://cdn5.wyscout.com/photos/team/public/3813_120x120.png,1. Liga Promotion,LB,LB,94,,0,,0,24.0,2001-04-23,100000,2026-06-30,23,2078,1,1.75,3,3.84,23.08,52.35,Switzerland,['Switzerland'],left,175,72,False,8.75,7.8,64.44,1.3,36.67,0.26,0.43,0.13,3.46,5.76,1.34,5,0.22,0,0.0,5.02,0.04,1,0.04,0.08,0,0.0,16,0.6900000000000001,50.0,6.25,0.13,4.11,32.63,4.07,32.98,0.04,0.0,0.61,4.8100000000000005,69.37,12.08,49.82,1.56,4.07,0.65,22.78,1.52,1.21,35.21,75.4,12.65,67.81,7.19,97.59,27.5,85.83,3.81,43.18,19.77,34.88,0.17,1.21,0.09,0.0,0.0,0.0,0.6900000000000001,4.59,63.21,4.16,48.96,0.22,20.0,1.08,1.3900000000000001,7.97,74.46,66.96,9.7,0,,0,,0,0.0,0.0,0.0,,,0.52,,1.3,0.0,0.0,0.0,0.0,0,0.0
S. Kucani,Sanijel Kucani,434484,Brühl,Brühl,https://cdn5.wyscout.com/photos/team/public/3813_120x120.png,1. Liga Promotion,RB,RB,94,,0,,0,30.0,1996-03-14,100000,2026-06-30,22,2051,1,2.24,2,3.0,13.65,54.66,Serbia,"['Serbia', 'Switzerland']",right,173,67,False,9.08,7.42,65.09,1.58,52.78,0.66,1.09,0.44,3.6,5.94,0.5700000000000001,5,0.22,0,0.0,1.76,0.04,1,0.04,0.1,0,0.0,17,0.75,47.06,5.882,0.09,2.19,40.0,0.0,0.0,2.19,40.0,0.31,0.75,58.82,2.68,45.9,0.88,0.44,0.0,26.33,1.8,0.79,36.16,78.76,12.07,61.09,9.3,96.7,29.4,87.31,4.65,42.45,19.67,38.02,0.13,1.18,0.18,0.04,0.09,100.0,0.48,4.87,55.86,2.24,49.02,0.53,58.33,0.5700000000000001,0.88,6.58,70.0,85.32,9.57,0,,0,,0,0.0,0.0,0.0,,,1.05,,1.58,0.0,0.0,0.0,0.0,0,0.0
J. Correa,Joris Correa,184672,Bulle,Bulle,https://cdn5.wyscout.com/photos/team/public/g2196_120x120.png,1. Liga Promotion,"DMF, LCMF, RDMF",DMF,36,LCMF,20,RDMF,16,32.0,1993-12-25,0,2026-06-30,22,2045,2,1.85,1,1.01,21.12,56.04,France,"['France', 'Senegal']",right,171,63,False,10.43,7.83,66.29,2.51,57.89,0.7000000000000001,0.93,0.44,4.53,5.99,1.4100000000000001,5,0.22,1,0.04,1.54,0.09,1,0.04,0.08,0,0.0,18,0.79,38.89,11.111,0.04,1.01,21.74,0.66,26.67,0.31,14.29,0.18,2.33,43.4,8.58,45.13,0.26,1.4100000000000001,0.26,27.11,0.18,2.02,46.12,78.34,21.12,66.88,6.91,94.27,37.54,85.81,7.61,48.55,20.86,38.22,0.04,0.62,0.04,0.0,0.04,0.0,0.26,9.33,59.91,2.2,38.0,1.28,27.59,0.5700000000000001,0.22,10.3,76.07,86.67,13.2,0,,0,,0,0.0,0.0,0.0,,,1.8,,2.51,1.1,0.35000000000000003,25.0,1.32,1,100.0
