Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Noureddin Zaid,Noureddin Zaid Khaleel Bani Ateyah,431959,Al Faisaly,Al Faisaly,https://cdn5.wyscout.com/photos/team/public/3564_120x120.png,Pro League,GK,GK,100,,0,,0,33.0,1993-01-25,0,2026-06-30,25,2473,0,0.0,0,0.0,0.66,94.44,Jordan,['Jordan'],,0,0,False,1.09,0.11,66.67,0.36,100.0,0.0,0.0,0.0,1.02,1.6,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,100.0,0.0,0.0,0.0,9.03,0.22,0.36,14.23,82.86,7.72,71.7,0.0,0.0,9.32,96.88,4.88,56.72,31.96,44.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35,48.65,0.07,50.0,0.07,0.0,0.04,0.0,3.6,63.64,97.37,5.53,23,0.84,80,2.91,6,71.25,19.52,0.71,-3.48,-0.127,0.0,0.98,0.36,,,,0.0,0,0
Ahmed Al Jaeidi,Ahmed Muhannad Talib Al Jaeidi,-104222,Shabab Al Ordon,Shabab Al Ordon,https://cdn5.wyscout.com/photos/team/public/3116_120x120.png,Pro League,GK,GK,100,,0,,0,25.0,2001-04-09,0,,25,2430,0,0.0,0,0.31,1.33,80.56,Jordan,['Jordan'],right,181,78,False,1.44,0.15,75.0,0.89,87.5,0.0,0.0,0.0,1.33,1.49,0.0,2,0.07,0,0.0,0.04,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,0.26,57.14,0.0,0.0,0.0,7.63,0.44,0.33,14.78,72.93,9.96,66.17,0.0,0.0,6.59,95.51,8.15,55.0,38.25,49.28,0.01,0.04,0.04,0.0,0.0,0.0,0.07,2.3,43.55,0.15,50.0,0.19,40.0,0.07,0.0,5.0,68.15,88.0,4.63,35,1.3,127,4.7,8,72.44,37.04,1.37,2.04,0.076,0.0,2.19,0.89,,,,0.0,0,0
M. Shalabayh,Malik Samih Yousef Shalabayh,81130,Al Ramtha,Al Ramtha,https://cdn5.wyscout.com/photos/team/public/3105_120x120.png,Pro League,GK,GK,100,,0,,0,38.0,1988-02-20,0,,25,2425,0,0.0,0,0.0,0.74,85.0,Jordan,['Jordan'],,180,0,False,1.34,0.04,100.0,0.59,81.25,0.0,0.0,0.0,1.3,1.72,0.0,1,0.04,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,100.0,0.0,0.0,0.0,6.49,0.19,0.22,13.14,81.64,7.76,70.33,0.0,0.0,8.61,97.41,4.53,51.64,32.23,49.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11,43.33,0.07,0.0,0.04,0.0,0.0,0.0,3.6,70.1,98.54,5.08,24,0.89,112,4.16,9,78.57,27.42,1.02,3.42,0.127,0.0,1.48,0.59,,,,0.0,0,0
Moamen Al-Saket,Moamen Ali Ahmed Alsaakat,-536443,Al Ramtha,Al Ramtha,https://cdn5.wyscout.com/photos/team/public/3105_120x120.png,Pro League,"LAMF, LW, CF",LAMF,21,LW,21,CF,19,20.0,2005-07-08,0,,25,2345,6,5.77,3,4.4,28.98,43.71,Jordan,['Jordan'],unknown,0,0,False,8.06,6.79,69.49,3.15,21.95,0.23,0.30000000000000004,0.12,3.11,4.09,0.81,1,0.04,0,0.0,4.68,0.23,6,0.23,0.22,0,0.0,56,2.15,41.07,10.714,0.12,2.5300000000000002,24.24,1.96,25.49,0.54,21.43,0.42,6.41,49.1,16.5,38.6,2.61,2.34,0.19,21.53,1.96,1.6099999999999999,32.85,73.71,9.67,61.9,7.25,93.12,26.67,82.73,3.7199999999999998,41.24,17.96,38.17,0.17,1.38,0.04,0.0,0.08,50.0,0.38,4.87,58.27,3.22,42.86,0.88,26.09,1.0,0.58,4.53,78.81,71.86,8.87,0,,0,,0,0.0,0.0,0.0,,,0.08,,3.15,0.73,0.12,33.33,1.27,1,0
A. Abd Rabou,Ahmed Mohamed Said Abd Rabou,-536632,Sama Al Sarhan,Sama Al Sarhan,https://cdn5.wyscout.com/photos/team/public/g25401_120x120.png,Pro League,"RCB, CB, RCB3",RCB,61,CB,19,RCB3,11,23.0,2002-10-20,0,,25,2343,2,2.07,0,0.0,13.9,63.98,Jordan,['Jordan'],unknown,0,0,False,10.82,5.77,70.14,4.45,65.77,0.52,0.66,0.64,6.25,7.96,0.84,3,0.12,0,0.0,0.48,0.08,1,0.04,0.08,0,0.0,19,0.76,26.32,10.526,0.0,0.08,100.0,0.0,0.0,0.08,100.0,0.0,0.52,38.46,1.8,44.44,0.28,0.72,0.0,20.0,0.4,0.52,35.98,75.39,20.44,69.8,2.32,82.76,28.25,82.84,7.69,47.92,22.21,41.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.57,53.96,0.6000000000000001,20.0,0.4,0.0,0.04,0.08,9.02,58.22,86.31,9.66,0,,0,,0,0.0,0.0,0.0,,,1.52,,4.45,0.12,0.08,0.0,0.0,1,100
M. Moawad Ahmed,Mostafa Mahmoud Moawad Ahmed,-681030,Al Wehdat,Al Wehdat,https://cdn5.wyscout.com/photos/team/public/2983_120x120.png,Pro League,"CB, RCB, LCB",CB,45,RCB,23,LCB,17,29.0,1997-04-07,0,,25,2342,1,1.43,0,0.77,15.99,61.78,Egypt,['Egypt'],right,183,0,False,7.84,4.57,68.07,8.07,65.71,0.31,0.43,0.58,4.42,6.14,0.88,6,0.23,0,0.0,0.35000000000000003,0.04,1,0.04,0.05,1,0.04,12,0.46,41.67,8.333,0.0,0.08,50.0,0.0,0.0,0.08,50.0,0.0,0.15,50.0,1.58,41.46,0.77,0.23,0.04,24.21,0.23,0.96,39.27,85.71,18.29,76.05,2.27,93.22,32.86,92.63,6.38,50.0,21.57,37.09,0.03,0.15,0.04,0.0,0.04,100.0,0.15,3.54,57.61,0.5,76.92,0.35000000000000003,77.78,0.5,0.04,7.03,64.48,94.19,15.22,0,,0,,0,0.0,0.0,0.0,,,1.46,,8.07,0.0,0.0,0.0,0.0,0,0
A. Al-Majdoubah,Amer Al-Majdoubah,-536746,Shabab Al Ordon,Shabab Al Ordon,https://cdn5.wyscout.com/photos/team/public/3116_120x120.png,Pro League,"RB, RDMF, RCMF",RB,28,RDMF,17,RCMF,15,22.0,2004-04-11,0,,24,2331,0,1.09,2,0.68,17.22,54.71,Jordan,['Jordan'],unknown,0,0,False,11.66,8.19,66.98,3.7800000000000002,44.9,0.54,0.6000000000000001,0.42,5.64,6.3,0.77,2,0.08,0,0.0,0.58,0.0,0,0.0,0.04,0,0.0,6,0.23,16.67,0.0,0.08,0.6900000000000001,33.33,0.0,0.0,0.6900000000000001,33.33,0.04,0.6900000000000001,44.44,2.9699999999999998,36.36,0.66,0.31,0.0,17.57,0.62,0.73,30.31,76.94,13.82,69.55,3.13,86.42,25.48,82.42,4.13,50.47,16.31,29.74,0.03,0.35000000000000003,0.0,0.0,0.0,0.0,0.15,4.4,65.79,1.16,40.0,0.23,16.67,0.27,0.23,6.91,62.57,78.92,7.14,0,,0,,0,0.0,0.0,0.0,,,0.31,,3.7800000000000002,0.0,0.0,0.0,0.0,1,0
Yazeed Abulaila,Yazeed Moien Hasan Abulaila,329068,Al Hussein,Al Hussein,https://cdn5.wyscout.com/photos/team/public/g3567_120x120.png,Pro League,GK,GK,100,,0,,0,33.0,1993-01-08,325000,,24,2324,0,0.0,0,0.0,0.74,68.42,Jordan,['Jordan'],right,187,88,False,0.93,0.08,0.0,0.58,80.0,0.0,0.0,0.0,0.93,1.48,0.0,1,0.04,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,50.0,0.0,0.0,0.0,9.53,0.35000000000000003,0.19,14.52,82.4,9.1,74.89,0.0,0.0,8.79,97.36,5.69,59.86,32.74,47.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.51,51.28,0.12,66.67,0.08,0.0,0.08,0.0,4.03,68.27,94.96,4.61,15,0.58,71,2.75,12,78.87,19.83,0.77,4.83,0.187,0.0,1.2,0.58,,,,0.0,0,0
H. Alnaeim,Hamza Ayman Fahad Alnaeim,-536739,Al Ahli,Al Ahli,https://cdn5.wyscout.com/photos/team/public/g3563_120x120.png,Pro League,"LW, RW, LAMF",LW,26,RW,14,LAMF,14,25.0,2000-08-07,0,,27,2317,4,3.42,2,2.54,18.45,39.79,Jordan,['Jordan'],unknown,0,0,False,5.55,4.47,57.39,2.76,23.94,0.43,0.54,0.04,2.56,3.25,0.58,2,0.08,0,0.0,2.8,0.16,4,0.16,0.13,0,0.0,26,1.01,30.77,15.385,0.08,1.55,27.5,1.05,33.33,0.47000000000000003,16.67,0.12,3.85,52.53,9.79,38.1,2.52,2.76,0.54,18.57,1.83,1.4,25.25,79.69,6.45,75.3,6.21,93.13,22.26,84.99,1.51,53.85,16.43,23.61,0.1,1.01,0.0,0.0,0.04,100.0,0.39,2.68,72.46,1.2,51.61,0.19,60.0,1.01,0.27,3.65,73.4,72.73,7.26,0,,0,,0,0.0,0.0,0.0,,,0.04,,2.76,0.0,0.0,0.0,0.04,0,0
Mohannad Khairullah,Mohannad Khairullah Ahmed Al Souliman,373477,Al Faisaly,Al Faisaly,https://cdn5.wyscout.com/photos/team/public/3564_120x120.png,Pro League,"RCB, CB",RCB,60,CB,27,,0,32.0,1993-07-25,0,,24,2314,4,2.19,1,0.87,11.16,60.63,Jordan,['Jordan'],,0,0,False,9.57,4.2,73.15,3.77,51.55,0.78,1.21,0.78,5.72,8.91,0.54,4,0.16,0,0.0,0.58,0.16,4,0.16,0.09,2,0.08,14,0.54,64.29,28.571,0.04,0.12,33.33,0.0,0.0,0.12,33.33,0.0,0.27,57.14,1.56,55.0,0.86,0.7000000000000001,0.0,34.03,0.23,0.54,51.53,84.91,23.65,74.01,2.5700000000000003,93.94,42.71,91.53,8.71,53.13,21.35,36.03,0.03,0.31,0.0,0.04,0.08,50.0,0.12,6.92,64.61,0.86,31.82,0.8200000000000001,33.33,0.39,0.08,10.42,70.15,95.73,20.96,0,,0,,0,0.0,0.0,0.0,,,1.52,,3.77,0.0,0.0,0.0,0.0,0,0
