Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
M. Keller,Marvin Keller,-62786,Young Boys,Young Boys,https://cdn5.wyscout.com/photos/team/public/580_120x120.png,Super League,GK,GK,100,,0,,0,23,2002-07-03,2500000,2028-06-30,32,3105,0,0.0,0,0.0,0.41000000000000003,85.71,England,"['England', 'Switzerland']",right,189,87,False,1.42,0.03,100.0,0.2,100.0,0.0,0.0,0.0,1.3900000000000001,2.06,0.0,2,0.06,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,60.0,0.0,0.0,0.0,20.99,0.06,0.12,30.61,89.39,14.12,79.26,0.06,100.0,21.45,98.78,9.16,67.41,28.85,42.22,0.0,0.0,0.0,0.03,0.0,0.0,0.0,2.61,62.22,0.03,0.0,0.12,50.0,0.0,0.0,7.48,81.01,98.15,15.65,59,1.71,158,4.58,7,62.66,56.22,1.63,-2.7800000000000002,-0.081,0.06,0.75,0.2,,,,0.0,0,0.0
S. Kapino,Stefanos Kapino,154019,Winterthur,Winterthur,https://cdn5.wyscout.com/photos/team/public/1148_120x120.png,Super League,GK,GK,100,,0,,0,32,1994-03-18,400000,2027-06-30,32,3095,0,0.26,0,0.17,0.67,86.96,Greece,['Greece'],right,196,85,False,1.57,0.17,83.33,0.35000000000000003,100.0,0.0,0.0,0.0,1.42,1.6800000000000002,0.0,2,0.06,0,0.0,0.0,0.0,0,0.0,0.01,0,0.0,1,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,50.0,0.06,0.0,0.0,12.62,0.17,0.09,19.86,89.02,11.63,83.25,0.0,0.0,12.24,97.62,7.62,75.19,32.72,47.67,0.0,0.03,0.0,0.0,0.0,0.0,0.0,1.77,59.02,0.15,0.0,0.17,33.33,0.0,0.0,6.19,85.45,97.4,7.82,84,2.44,228,6.63,0,63.16,75.52,2.2,-8.48,-0.247,0.0,1.22,0.35000000000000003,,,,0.0,0,0.0
K. Letica,Karlo Letica,334071,Lausanne Sport,Lausanne Sport,https://cdn5.wyscout.com/photos/team/public/1146_120x120.png,Super League,GK,GK,100,,0,,0,29,1997-02-11,1000000,2026-06-30,31,3032,0,0.16,0,0.0,0.98,78.79,Croatia,['Croatia'],right,201,90,False,1.48,0.12,50.0,0.53,88.89,0.0,0.0,0.0,1.42,1.97,0.03,4,0.12,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,1,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,83.33,0.03,0.0,0.0,7.8100000000000005,0.09,0.27,13.24,81.39,8.7,73.38,0.0,0.0,7.8100000000000005,97.34,5.4,58.79,35.78,48.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,50.0,0.15,20.0,0.18,33.33,0.0,0.0,4.27,77.08,97.26,4.33,54,1.6,148,4.39,4,63.51,57.31,1.7000000000000002,3.31,0.098,0.0,1.13,0.53,,,,0.0,0,0.0
J. Hammel,Justin Hammel,-75386,Grasshopper,Grasshopper,https://cdn5.wyscout.com/photos/team/public/582_120x120.png,Super League,GK,GK,100,,0,,0,25,2000-12-02,1200000,2027-06-30,31,3024,0,0.0,0,0.0,0.9500000000000001,81.25,Switzerland,['Switzerland'],right,187,85,False,2.5,0.27,44.44,0.30000000000000004,100.0,0.15,0.2,0.0,2.23,2.98,0.03,1,0.03,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,88.89,0.0,0.0,0.0,14.11,0.15,0.42,21.82,79.4,15.39,70.79,0.0,0.0,9.11,97.06,12.71,66.74,38.62,47.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.51,58.38,0.15,0.0,0.24,25.0,0.0,0.0,9.7,86.2,100.0,6.07,61,1.82,159,4.73,4,61.64,51.8,1.54,-9.2,-0.274,0.0,0.9500000000000001,0.30000000000000004,,,,0.0,0,0.0
A. Racioppi,Anthony Racioppi,420758,Sion,Sion,https://cdn5.wyscout.com/photos/team/public/585_120x120.png,Super League,GK,GK,100,,0,,0,27,1998-12-31,1500000,2029-06-30,31,3018,0,0.0,1,0.02,0.89,90.0,Switzerland,"['Switzerland', 'France']",right,189,81,False,1.43,0.15,60.0,0.45,100.0,0.0,0.0,0.0,1.34,1.8,0.0,1,0.03,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,100.0,0.0,0.0,0.0,18.94,0.12,0.36,28.69,85.76,17.42,78.25,0.0,0.0,16.46,98.19,12.17,69.36,33.07,48.87,0.0,0.03,0.0,0.03,0.0,0.0,0.03,3.7,58.87,0.27,0.0,0.42,28.57,0.0,0.0,9.54,81.56,97.99,10.38,35,1.04,148,4.41,10,76.35,43.24,1.29,8.24,0.246,0.0,1.19,0.45,,,,0.0,0,0.0
P. Loretz,Pascal Loretz,-246247,Luzern,Luzern,https://cdn5.wyscout.com/photos/team/public/584_120x120.png,Super League,GK,GK,100,,0,,0,22,2003-06-01,0,2026-06-30,31,3017,0,0.0,0,0.0,0.5700000000000001,89.47,Switzerland,['Switzerland'],right,191,81,False,1.6400000000000001,0.12,75.0,0.33,90.91,0.0,0.0,0.0,1.55,2.13,0.0,3,0.09,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.52,0.27,0.09,31.44,91.75,12.74,82.9,0.03,100.0,23.75,98.62,7.64,71.09,28.12,45.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.85,59.68,0.09,0.0,0.21,57.14,0.0,0.0,5.91,76.26,98.31,17.6,56,1.67,149,4.44,5,62.42,47.72,1.42,-8.28,-0.247,0.0,1.55,0.33,,,,0.0,0,0.0
N. Steffen,Niklas Steffen,506084,Thun,Thun,https://cdn5.wyscout.com/photos/team/public/588_120x120.png,Super League,GK,GK,100,,0,,0,25,2001-01-19,200000,2028-06-30,31,3016,0,0.0,1,0.37,0.39,100.0,Switzerland,['Switzerland'],,187,0,False,1.28,0.06,100.0,0.18,100.0,0.03,0.04,0.0,1.19,1.7000000000000002,0.0,2,0.06,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,100.0,0.0,0.03,0.03,12.03,0.12,0.15,20.5,88.94,9.7,77.85,0.0,0.0,14.11,98.52,6.39,67.76,29.41,48.68,0.01,0.03,0.0,0.0,0.0,0.0,0.03,1.67,60.71,0.09,33.33,0.12,50.0,0.03,0.0,5.1,80.7,99.41,10.06,35,1.04,134,4.0,6,73.88,43.02,1.28,8.02,0.23900000000000002,0.0,1.25,0.18,,,,0.0,0,0.0
N. Hefti,Nias Hefti,521419,Sion,Sion,https://cdn5.wyscout.com/photos/team/public/585_120x120.png,Super League,LB,LB,94,,0,,0,26,1999-09-18,400000,2027-06-30,31,3008,0,0.5,6,6.54,13.91,55.48,Switzerland,['Switzerland'],left,177,70,False,8.26,6.76,62.39,1.83,40.98,0.09,0.12,0.15,3.95,5.3,0.6900000000000001,3,0.09,0,0.0,3.17,0.0,0,0.0,0.01,0,0.0,14,0.42,14.29,0.0,0.18,5.15,38.37,5.12,38.01,0.03,100.0,0.6900000000000001,1.71,64.91,4.13,50.0,1.05,1.6800000000000002,0.24,30.64,1.62,0.9,41.83,71.96,16.34,66.67,7.27,91.36,31.63,80.79,5.3,50.28,19.36,33.08,0.2,1.29,0.0,0.03,0.09,33.33,0.66,4.76,63.52,3.98,53.38,0.15,0.0,0.45,1.94,10.56,67.42,73.59,10.08,0,,0,,0,0.0,0.0,0.0,,,0.51,,1.83,0.18,0.03,0.0,0.18,0,0.0
N. Lavanchy,Numa Lavanchy,126514,Sion,Sion,https://cdn5.wyscout.com/photos/team/public/585_120x120.png,Super League,RB,RB,97,,0,,0,32,1993-08-25,300000,2027-06-30,30,2923,1,0.88,1,3.37,13.86,53.56,Switzerland,['Switzerland'],right,174,73,False,10.13,7.94,63.57,1.57,35.29,0.28,0.37,0.25,4.8,6.46,1.08,5,0.15,0,0.0,1.97,0.03,1,0.03,0.03,0,0.0,13,0.4,23.08,7.692,0.03,3.66,35.29,0.0,0.0,3.66,35.29,0.46,0.8300000000000001,66.67,2.65,44.19,1.17,0.74,0.12,27.46,2.46,0.62,40.12,76.44,16.87,70.8,7.36,95.4,31.47,85.23,5.23,50.59,18.79,33.76,0.1,0.52,0.03,0.0,0.03,100.0,0.4,4.86,70.89,2.96,48.96,0.25,62.5,0.43,1.2,9.88,65.73,75.58,9.33,0,,0,,0,0.0,0.0,0.0,,,1.26,,1.57,0.0,0.0,0.0,0.03,0,0.0
M. Hitz,Marwin Hitz,124251,Basel,Basel,https://cdn5.wyscout.com/photos/team/public/475_120x120.png,Super League,GK,GK,100,,0,,0,38,1987-09-18,200000,2026-06-30,30,2923,0,0.0,0,0.0,0.34,90.91,Switzerland,['Switzerland'],right,194,91,False,0.62,0.03,0.0,0.18,100.0,0.0,0.0,0.0,0.62,0.9,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,100.0,0.0,0.0,0.03,14.38,0.06,0.18,21.89,93.53,9.18,86.24,0.0,0.0,16.78,98.35,5.11,77.71,28.76,38.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,60.0,0.03,0.0,0.03,0.0,0.0,0.0,4.1,83.46,99.01,12.41,36,1.11,147,4.53,9,75.51,43.26,1.33,7.26,0.224,0.0,0.74,0.18,,,,0.0,0,0.0
