Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
E. Caprile,Elia Caprile,-73038,Cagliari,Cagliari,https://cdn5.wyscout.com/photos/team/public/75_120x120.png,Serie A,GK,GK,100,,0,,0,24.0,2001-08-25,6000000,2029-06-30,28,2743,0,0.0,0,0.0,0.85,80.77,Italy,['Italy'],right,191,74,False,1.25,0.03,0.0,0.75,86.96,0.0,0.0,0.0,1.25,1.51,0.0,2,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.91,0.16,0.23,19.16,86.82,10.63,76.85,0.0,0.0,12.07,98.1,7.05,67.91,32.18,52.03,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.8399999999999999,60.71,0.1,33.33,0.2,66.67,0.03,0.0,5.87,76.54,99.6,8.14,38,1.25,139,4.5600000000000005,6,72.66,39.08,1.28,1.08,0.035,0.0,1.94,0.75,,,,0.0,0,0.0
W. Falcone,Wladimiro Falcone,261393,Lecce,Lecce,https://cdn5.wyscout.com/photos/team/public/187_120x120.png,Serie A,GK,GK,100,,0,,0,30.0,1995-04-12,5000000,2028-06-30,28,2742,0,0.0,0,0.14,0.92,89.29,Italy,['Italy'],right,195,85,False,1.4100000000000001,0.16,80.0,0.59,94.44,0.0,0.0,0.0,1.28,1.6099999999999999,0.0,2,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,100.0,0.03,0.0,0.0,11.09,0.07,0.2,20.22,79.71,15.66,76.1,0.03,100.0,7.22,96.36,12.93,70.81,40.16,50.09,0.0,0.03,0.0,0.0,0.0,0.0,0.0,3.68,64.29,0.36,18.18,0.49,20.0,0.03,0.0,10.83,82.12,92.25,4.23,37,1.21,122,4.0,8,69.67,42.58,1.4,5.58,0.183,0.03,1.21,0.59,,,,0.0,0,0.0
J. Butez,Jean Butez,263155,Como,Como,https://cdn5.wyscout.com/photos/team/public/1236_120x120.png,Serie A,GK,GK,100,,0,,0,30.0,1995-06-08,8000000,2028-06-30,28,2740,0,0.0,0,0.0,0.72,81.82,France,['France'],right,189,75,False,2.2,0.03,100.0,0.59,83.33,0.0,0.0,0.0,2.17,3.59,0.0,3,0.1,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,50.0,0.0,0.0,0.0,20.63,0.1,0.23,31.8,91.12,17.05,85.55,0.0,0.0,22.57,98.54,9.13,73.74,28.77,47.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.76,59.52,0.16,40.0,0.46,71.43,0.07,0.0,6.14,78.07,98.35,13.93,21,0.6900000000000001,95,3.12,13,77.89,25.51,0.84,4.51,0.148,0.0,1.6800000000000002,0.59,,,,0.0,0,0.0
J. Vásquez,Johan Felipe Vásquez Ibarra,490114,Genoa,Genoa,https://cdn5.wyscout.com/photos/team/public/92_120x120.png,Serie A,"LCB3, LCB",LCB3,67,LCB,31,,0,27.0,1998-10-22,10000000,2028-06-30,28,2737,0,1.9100000000000001,0,0.11,12.13,57.99,Mexico,['Mexico'],left,184,72,False,7.5600000000000005,4.14,68.25,4.93,47.33,0.33,0.45,0.79,4.41,6.04,0.66,2,0.07,0,0.0,0.46,0.0,0,0.0,0.06,0,0.0,18,0.59,22.22,0.0,0.0,0.33,30.0,0.26,37.5,0.07,0.0,0.03,0.30000000000000004,66.67,1.6400000000000001,62.0,0.89,1.48,0.03,33.15,0.43,1.05,46.63,85.83,16.67,69.82,4.11,95.2,39.92,92.59,6.45,45.92,20.61,35.08,0.0,0.16,0.0,0.0,0.03,100.0,0.1,5.5600000000000005,68.05,0.56,35.29,0.39,25.0,0.16,0.1,7.96,61.98,97.04,20.03,0,,0,,0,0.0,0.0,0.0,,,1.87,,4.93,0.0,0.0,0.0,0.0,0,0.0
M. Svilar,Mile Svilar,372247,Roma,Roma,https://cdn5.wyscout.com/photos/team/public/87_120x120.png,Serie A,GK,GK,100,,0,,0,26.0,1999-08-27,0,2030-06-30,28,2737,0,0.0,0,0.0,0.66,75.0,Belgium,"['Belgium', 'Serbia']",right,189,77,False,1.25,0.07,100.0,0.33,60.0,0.0,0.0,0.0,1.18,1.74,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.0,0.03,0.0,17.23,0.16,0.2,23.71,89.04,8.81,74.63,0.03,100.0,17.36,98.48,6.28,63.87,29.38,49.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,50.0,0.03,0.0,0.03,0.0,0.0,0.0,4.93,71.33,98.14,14.11,21,0.6900000000000001,101,3.32,12,79.21,24.81,0.8200000000000001,3.81,0.125,0.03,1.05,0.33,,,,0.0,0,0.0
M. Carnesecchi,Marco Carnesecchi,467654,Atalanta,Atalanta,https://cdn5.wyscout.com/photos/team/public/74_120x120.png,Serie A,GK,GK,100,,0,,0,25.0,2000-07-01,16000000,2028-06-30,28,2723,0,0.0,1,0.0,0.66,95.0,Italy,['Italy'],right,191,83,False,1.52,0.07,50.0,0.5,100.0,0.0,0.0,0.0,1.49,2.04,0.03,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,100.0,0.0,0.0,0.0,17.91,0.2,0.17,23.24,88.05,11.83,77.93,0.0,0.0,14.64,99.1,8.56,69.5,32.3,49.02,0.0,0.0,0.0,0.0,0.0,0.0,0.03,2.02,62.3,0.07,0.0,0.07,0.0,0.0,0.0,6.61,77.5,98.77,10.71,26,0.86,112,3.7,10,76.79,33.93,1.12,7.93,0.262,0.0,1.06,0.5,,,,0.0,0,0.0
J. Karlström,Jesper Karlström,228893,Udinese,Udinese,https://cdn5.wyscout.com/photos/team/public/91_120x120.png,Serie A,"DMF, RCMF, LCMF",DMF,69,RCMF,15,LCMF,13,30.0,1995-06-21,1800000,2026-06-30,28,2667,1,1.2,0,0.38,11.41,53.85,Sweden,['Sweden'],right,182,81,False,7.73,4.18,70.16,2.09,43.55,0.34,0.42,0.24,4.45,5.61,0.91,4,0.13,0,0.0,0.61,0.03,1,0.03,0.04,0,0.0,13,0.44,15.38,7.692,0.0,0.4,41.67,0.1,33.33,0.27,50.0,0.03,0.64,57.89,2.8,37.35,0.54,0.78,0.2,21.23,0.17,0.81,34.39,82.14,12.01,67.42,4.35,95.35,29.8,88.22,4.18,42.74,18.59,36.71,0.01,0.30000000000000004,0.0,0.0,0.03,0.0,0.13,5.23,64.52,0.78,43.48,0.30000000000000004,22.22,0.24,0.2,5.23,63.23,92.56,12.25,0,,0,,0,0.0,0.0,0.0,,,0.67,,2.09,0.03,0.0,0.0,0.0,0,0.0
I. Provedel,Ivan Provedel,282888,Lazio,Lazio,https://cdn5.wyscout.com/photos/team/public/81_120x120.png,Serie A,GK,GK,100,,0,,0,31.0,1994-03-17,14000000,2027-06-30,27,2651,0,0.0,0,0.0,0.48,85.71,Italy,['Italy'],right,192,84,False,0.75,0.03,0.0,0.37,90.91,0.0,0.0,0.0,0.75,0.91,0.0,1,0.03,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.85,0.37,0.07,23.36,85.47,11.98,75.07,0.03,0.0,16.19,98.74,7.13,55.71,30.74,45.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.83,53.7,0.2,0.0,0.24,28.57,0.0,0.0,5.13,64.9,96.83,10.69,27,0.92,113,3.84,12,76.11,30.87,1.05,3.87,0.131,0.0,1.19,0.37,,,,0.0,0,0.0
A. Murić,Arijanet Murić,453110,Sassuolo,Sassuolo,https://cdn5.wyscout.com/photos/team/public/196_120x120.png,Serie A,GK,GK,100,,0,,0,27.0,1998-11-07,7000000,2028-06-30,27,2650,0,0.0,0,0.11,0.98,82.76,Switzerland,"['Switzerland', 'Kosovo']",right,197,81,True,1.8,0.03,0.0,0.75,90.91,0.0,0.0,0.0,1.8,2.11,0.03,4,0.14,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,50.0,0.0,0.03,0.0,12.84,0.1,0.1,20.72,86.89,11.0,76.23,0.0,0.0,13.14,97.67,7.57,68.16,31.86,49.06,0.0,0.03,0.0,0.0,0.0,0.0,0.0,2.21,66.15,0.2,0.0,0.31,33.33,0.0,0.0,6.11,81.11,98.8,8.49,36,1.22,142,4.82,6,74.65,38.53,1.31,2.5300000000000002,0.08600000000000001,0.0,3.09,0.75,,,,0.0,0,0.0
J. Idzes,Jay Idzes,-81518,Sassuolo,Sassuolo,https://cdn5.wyscout.com/photos/team/public/196_120x120.png,Serie A,RCB,RCB,91,,0,,0,25.0,2000-06-02,2500000,2029-06-30,27,2646,0,0.01,0,0.0,10.99,60.06,Netherlands,['Netherlands'],right,190,83,False,8.23,4.9,71.53,3.2,43.62,0.07,0.08,0.61,4.66,5.46,0.88,2,0.07,0,0.0,0.34,0.0,0,0.0,0.0,0,0.0,3,0.1,0.0,0.0,0.0,0.1,66.67,0.03,100.0,0.07,50.0,0.0,0.34,70.0,0.9500000000000001,50.0,0.2,0.51,0.0,25.78,0.2,0.41000000000000003,38.98,90.14,13.71,80.15,2.7199999999999998,95.0,35.48,93.67,3.44,53.47,19.5,37.74,0.0,0.0,0.0,0.0,0.03,100.0,0.03,2.86,73.81,0.31,33.33,0.24,42.86,0.07,0.07,5.17,67.76,96.55,17.72,0,,0,,0,0.0,0.0,0.0,,,1.8,,3.2,0.0,0.0,0.0,0.0,0,0.0
