Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
K. Briceño,Kevin Andres Briceño Toruño,167593,Cartaginés,Cartaginés,https://cdn5.wyscout.com/photos/team/public/675_120x120.png,Primera División,GK,GK,100,,0,,0,34.0,1991-10-21,225000,2026-06-30,31,3225,0,0.0,0,0.0,1.0,86.11,Costa Rica,['Costa Rica'],right,186,81,False,1.34,0.14,80.0,0.67,83.33,0.0,0.0,0.0,1.23,1.76,0.0,6,0.17,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,100.0,0.0,0.0,0.03,7.17,0.2,0.42,13.7,83.71,8.96,76.95,0.0,0.0,8.9,96.55,4.8,59.88,36.14,55.24,0.0,0.0,0.0,0.0,0.0,0.0,0.03,2.29,58.54,0.11,0.0,0.2,28.57,0.0,0.0,4.1,73.47,96.25,4.47,26,0.73,121,3.38,13,78.51,31.76,0.89,5.76,0.161,0.0,2.09,0.67,,,,0.0,0,0
A. Monreal,Antonny Adrián Monreal de la Cruz,408485,Municipal Liberia,Municipal Liberia,https://cdn5.wyscout.com/photos/team/public/g5042_120x120.png,Primera División,GK,GK,100,,0,,0,31.0,1994-10-14,175000,2026-12-31,30,3030,0,0.0,0,0.0,0.9500000000000001,90.63,Mexico,['Mexico'],right,187,84,False,1.51,0.06,0.0,0.59,95.0,0.0,0.0,0.0,1.51,1.98,0.03,6,0.18,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,100.0,0.0,0.0,0.0,4.84,0.12,0.42,12.48,79.52,7.8100000000000005,68.82,0.0,0.0,7.66,94.57,4.75,56.25,36.34,52.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.08,44.29,0.15,20.0,0.18,16.67,0.0,0.0,3.68,69.35,97.93,4.31,39,1.16,120,3.56,10,67.5,33.57,1.0,-5.43,-0.161,0.0,1.63,0.59,,,,0.0,0,0
K. Waston,Kendall Jamaal Waston Manley,74941,Deportivo Saprissa,Deportivo Saprissa,https://cdn5.wyscout.com/photos/team/public/671_120x120.png,Primera División,"LCB, CB, RCB",LCB,65,CB,17,RCB,15,38.0,1988-01-01,100000,2027-06-30,29,3000,4,4.71,2,0.52,12.99,63.51,Costa Rica,['Costa Rica'],right,196,89,False,7.92,3.21,76.64,6.42,65.42,0.21,0.33,0.81,5.25,8.28,0.87,7,0.21,0,0.0,0.48,0.12,4,0.12,0.14,3,0.09,31,0.93,45.16,12.903,0.06,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.12,50.0,0.6900000000000001,47.83,1.32,0.21,0.0,23.73,0.45,0.75,37.5,85.2,18.3,75.25,1.4100000000000001,100.0,31.11,91.32,6.36,55.66,22.29,38.73,0.02,0.21,0.06,0.03,0.0,0.0,0.06,4.35,62.07,0.42,35.71,0.36,50.0,0.21,0.03,7.2,75.42,95.61,15.03,0,,0,,0,0.0,0.0,0.0,,,0.96,,6.42,0.0,0.0,0.0,0.0,0,0
L. Flores,Luis Alejandro Flores Cordero,281623,Cartaginés,Cartaginés,https://cdn5.wyscout.com/photos/team/public/675_120x120.png,Primera División,"RCMF, LCMF, DMF",RCMF,34,LCMF,26,DMF,20,32.0,1994-01-23,200000,2026-12-31,30,2940,1,0.19,0,1.22,9.37,52.61,Costa Rica,['Costa Rica'],right,0,0,False,7.07,4.99,60.74,2.23,32.88,0.49,0.6900000000000001,0.43,3.55,4.99,0.9500000000000001,7,0.21,0,0.0,0.4,0.03,1,0.03,0.01,0,0.0,16,0.49,12.5,6.25,0.0,0.67,36.36,0.15,40.0,0.34,18.18,0.09,0.09,66.67,0.8300000000000001,55.56,0.06,0.4,0.12,26.63,0.31,0.46,42.03,84.63,17.3,74.51,4.22,96.38,34.71,91.09,6.73,56.36,22.17,36.59,0.04,0.49,0.0,0.0,0.06,50.0,0.15,9.21,77.41,2.08,42.65,1.13,37.84,0.58,0.21,10.22,81.14,91.7,15.86,0,,0,,0,0.0,0.0,0.0,,,0.8,,2.23,0.28,0.0,0.0,0.15,0,0
L. Moreira,Leonel Moreira Ledezma,104803,Sporting FC,Sporting FC,https://cdn5.wyscout.com/photos/team/public/g37126_120x120.png,Primera División,GK,GK,100,,0,,0,35.0,1990-04-02,200000,2026-12-31,27,2753,0,0.0,0,0.0,0.62,78.95,Costa Rica,['Costa Rica'],right,179,74,False,1.01,0.0,0.0,0.26,87.5,0.0,0.0,0.0,1.01,1.45,0.03,1,0.03,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,77.78,0.0,0.0,0.0,9.15,0.33,0.29,17.59,85.32,11.08,77.29,0.0,0.0,11.18,98.25,6.41,62.76,34.41,52.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.22,61.76,0.03,0.0,0.0,0.0,0.03,0.0,5.13,75.8,98.95,6.24,31,1.01,91,2.9699999999999998,8,65.93,29.43,0.96,-1.57,-0.051000000000000004,0.0,1.6,0.26,,,,0.0,0,0
E. Pastrana,Eduardo Pastrana Reyes,-88431,Pérez Zeledón,Pérez Zeledón,https://cdn5.wyscout.com/photos/team/public/673_120x120.png,Primera División,LCB,LCB,77,,0,,0,26.0,2000-02-09,0,2027-06-30,26,2689,4,1.92,1,1.01,14.22,56.47,Mexico,['Mexico'],left,178,68,False,9.81,4.92,70.75,4.79,50.35,0.27,0.37,0.84,6.06,8.34,0.6000000000000001,11,0.37,0,0.0,0.74,0.13,4,0.13,0.06,3,0.1,15,0.5,66.67,26.667,0.03,0.2,50.0,0.17,40.0,0.03,100.0,0.07,0.5,53.33,2.14,40.63,0.5,0.7000000000000001,0.03,17.5,0.30000000000000004,0.5,33.74,76.79,19.38,68.57,1.67,94.0,24.57,85.56,9.0,53.53,24.64,40.49,0.03,0.23,0.0,0.1,0.03,100.0,0.13,6.53,57.44,1.04,38.71,0.6000000000000001,38.89,0.44,0.1,9.77,68.84,88.24,10.24,0,,0,,0,0.0,0.0,0.0,,,1.1400000000000001,,4.79,0.0,0.0,0.0,0.0,0,0
R. Matarrita,Ronald Alberto Matarrita Ulate,162261,Alajuelense,Alajuelense,https://cdn5.wyscout.com/photos/team/public/665_120x120.png,Primera División,"LB, LB5",LB,78,LB5,10,,0,31.0,1994-07-09,500000,2026-06-30,29,2643,0,0.4,5,3.7800000000000002,12.63,55.8,Costa Rica,['Costa Rica'],left,175,70,False,7.97,6.13,68.89,1.67,48.98,0.44,0.64,0.24,3.3,4.79,0.8200000000000001,5,0.17,0,0.0,2.45,0.0,0,0.0,0.01,0,0.0,8,0.27,37.5,0.0,0.17,3.54,38.46,3.41,38.0,0.0,0.0,0.41000000000000003,1.29,71.05,3.03,42.7,0.48,0.72,0.14,23.29,1.63,0.37,33.54,73.5,13.14,64.51,4.6,95.56,25.16,83.49,4.9,47.92,21.45,36.38,0.13,0.9500000000000001,0.07,0.03,0.07,100.0,0.44,5.48,62.73,4.26,52.8,0.72,52.38,0.9500000000000001,1.29,9.57,77.58,77.2,11.2,0,,0,,0,0.0,0.0,0.0,,,0.24,,1.67,0.58,0.03,0.0,1.06,0,0
Manuel Moran,Manuel  Moran Velásquez,487069,Pérez Zeledón,Pérez Zeledón,https://cdn5.wyscout.com/photos/team/public/673_120x120.png,Primera División,"RW, CF",RW,52,CF,21,,0,28.0,1997-11-20,75000,,26,2633,3,5.28,3,3.02,25.77,43.63,Panama,['Panama'],right,187,0,False,5.23,3.69,52.78,8.27,42.15,0.0,0.0,0.17,3.2800000000000002,4.5,1.06,10,0.34,0,0.0,4.07,0.1,0,0.0,0.18,0,0.0,47,1.6099999999999999,44.68,6.383,0.1,2.77,30.86,0.68,25.0,2.09,32.79,0.38,4.07,60.5,10.66,44.87,2.39,2.36,0.44,15.66,2.5,2.19,23.04,68.55,7.52,61.82,3.69,85.19,19.0,75.54,1.47,41.86,18.42,33.54,0.1,0.79,0.03,0.0,0.03,100.0,0.41000000000000003,3.79,58.56,2.29,37.31,0.14,25.0,0.55,0.79,3.9699999999999998,77.59,67.42,7.55,0,,0,,0,0.0,0.0,0.0,,,0.07,,8.27,0.03,0.0,0.0,0.0,4,75
W. Fernández,William Alban Fernández González,162295,Pérez Zeledón,Pérez Zeledón,https://cdn5.wyscout.com/photos/team/public/673_120x120.png,Primera División,"RCB, LCB",RCB,75,LCB,10,,0,31.0,1994-05-15,200000,2026-12-31,27,2628,1,0.9500000000000001,0,0.0,10.41,56.58,Costa Rica,['Costa Rica'],right,183,75,False,6.85,3.84,65.18,3.8,49.55,0.03,0.05,0.51,4.32,6.02,0.51,3,0.1,0,0.0,0.21,0.03,1,0.03,0.03,0,0.0,6,0.21,66.67,16.667,0.0,0.03,0.0,0.0,0.0,0.03,0.0,0.0,0.07,100.0,0.72,42.86,0.31,0.24,0.0,19.21,0.31,0.45,32.43,82.05,16.16,72.03,2.33,91.18,24.04,91.31,8.36,55.74,25.69,39.71,0.0,0.03,0.0,0.0,0.0,0.0,0.0,4.9,55.94,0.72,28.57,0.58,29.41,0.27,0.0,8.36,68.85,93.42,12.5,0,,0,,0,0.0,0.0,0.0,,,1.6800000000000002,,3.8,0.07,0.0,0.0,0.0,0,0
P. Arboine,Pablo César Arboine Carmona,425791,Deportivo Saprissa,Deportivo Saprissa,https://cdn5.wyscout.com/photos/team/public/671_120x120.png,Primera División,"RCB, RCB3",RCB,79,RCB3,12,,0,27.0,1998-04-03,325000,2027-06-30,26,2609,0,0.61,0,0.15,11.11,62.42,Costa Rica,['Costa Rica'],right,178,71,False,7.93,5.04,74.66,3.38,62.24,0.45,0.72,0.34,3.73,5.97,0.8300000000000001,1,0.03,0,0.0,0.21,0.0,0,0.0,0.02,0,0.0,4,0.14,25.0,0.0,0.0,0.34,20.0,0.0,0.0,0.34,20.0,0.03,0.14,75.0,0.76,27.27,0.31,0.17,0.0,21.49,0.41000000000000003,0.14,32.67,87.12,13.35,79.33,2.1,93.44,28.22,92.54,4.14,55.0,21.41,39.08,0.01,0.07,0.0,0.03,0.0,0.0,0.0,2.83,64.63,0.66,15.79,0.34,20.0,0.14,0.1,5.76,67.07,94.44,14.28,0,,0,,0,0.0,0.0,0.0,,,1.28,,3.38,0.0,0.0,0.0,0.0,0,0
