Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
D. Sant,Daniel Sant,396911,Mgarr United FC,Mgarr United FC,https://cdn5.wyscout.com/photos/team/public/g12312_120x120.png,Challenge League,"RCB, CB",RCB,63,CB,31,,0,31.0,1994-10-14,0,,22,2128,1,0.32,0,0.0,10.36,59.18,Malta,['Malta'],,0,0,False,8.2,5.58,68.94,2.75,50.77,0.21,0.28,0.85,4.14,5.57,0.76,2,0.08,0,0.0,0.13,0.04,1,0.04,0.01,0,0.0,4,0.17,25.0,25.0,0.0,0.17,25.0,0.08,50.0,0.08,0.0,0.0,0.17,25.0,0.85,45.0,0.25,0.63,0.0,22.71,0.13,0.34,39.21,89.75,17.47,82.08,2.62,98.39,32.06,94.85,6.98,67.88,22.84,34.48,0.0,0.0,0.04,0.04,0.04,0.0,0.0,3.51,80.72,0.38,33.33,0.25,83.33,0.34,0.04,7.74,72.13,97.19,16.54,0,,0,,0,0.0,0.0,0.0,,,2.07,,2.75,0.0,0.0,0.0,0.04,0,0.0
D. Ciappara,Dylan Ciappara,-104924,Balzan,Balzan,https://cdn5.wyscout.com/photos/team/public/g1452_120x120.png,Challenge League,GK,GK,100,,0,,0,23.0,2002-07-12,0,,22,2084,0,0.0,0,0.12,0.65,93.33,Malta,['Malta'],right,181,76,False,0.86,0.04,100.0,0.48,100.0,0.0,0.0,0.0,0.8200000000000001,1.4100000000000001,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,0.0,0.0,0.0,9.11,0.43,0.26,16.32,83.86,8.03,70.43,0.04,100.0,10.67,99.19,5.61,55.38,30.35,46.39,0.01,0.04,0.0,0.0,0.0,0.0,0.0,1.6400000000000001,52.63,0.13,0.0,0.13,66.67,0.0,0.0,3.93,73.63,96.95,7.08,21,0.91,50,2.16,7,58.0,13.94,0.6000000000000001,-7.06,-0.305,0.04,2.2,0.48,,,,0.0,0,0.0
G. Mizzi,Gosef Mizzi,-367597,Melita,Melita,https://cdn5.wyscout.com/photos/team/public/g12311_120x120.png,Challenge League,GK,GK,100,,0,,0,25.0,2001-03-12,0,2027-06-30,21,2037,0,0.0,0,0.0,0.84,78.95,Malta,['Malta'],unknown,0,0,False,1.5,0.13,0.0,0.49,100.0,0.04,0.07,0.0,1.46,2.26,0.04,2,0.09,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04,0.0,0.04,0.0,0.0,0.18,100.0,0.0,0.04,0.0,7.95,0.18,0.27,15.82,88.55,7.69,79.89,0.0,0.0,11.35,97.67,4.42,66.0,29.53,47.05,0.0,0.0,0.0,0.04,0.0,0.0,0.0,1.06,50.0,0.13,33.33,0.09,50.0,0.13,0.0,3.31,73.33,97.06,7.51,29,1.28,99,4.37,5,70.71,29.4,1.3,0.4,0.018000000000000002,0.0,1.1,0.49,,,,0.0,0,0.0
L. Okeke,Lukas Okeke,-386492,Swieqi United,Swieqi United,https://cdn5.wyscout.com/photos/team/public/g22641_120x120.png,Challenge League,"RCB3, RCB",RCB3,31,RCB,15,,0,19.0,2006-07-01,0,,22,2029,0,0.84,0,0.43,11.84,52.81,Malta,"['Malta', 'Nigeria']",right,0,0,False,6.48,5.46,62.6,1.8599999999999999,52.38,0.31,0.47000000000000003,0.31,2.75,4.12,0.75,2,0.09,0,0.0,0.22,0.0,0,0.0,0.04,0,0.0,6,0.27,16.67,0.0,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.49,36.36,2.88,40.0,0.27,1.02,0.13,23.11,0.09,0.53,33.4,89.91,12.07,85.29,2.4,94.44,30.69,92.92,2.62,57.63,17.21,29.5,0.02,0.4,0.0,0.0,0.0,0.0,0.04,3.68,77.11,0.35000000000000003,37.5,0.18,75.0,0.31,0.0,4.7,80.19,94.81,12.82,0,,0,,0,0.0,0.0,0.0,,,0.53,,1.8599999999999999,0.0,0.0,0.0,0.0,0,0.0
A. Dimeji,Awosanya Oluwatobilola  Dimeji,-395063,Balzan,Balzan,https://cdn5.wyscout.com/photos/team/public/g1452_120x120.png,Challenge League,"CF, LAMF",CF,36,LAMF,30,,0,23.0,2003-01-15,0,2026-06-30,22,2025,17,14.75,2,4.51,22.76,48.83,Nigeria,['Nigeria'],right,0,0,False,3.42,2.98,65.67,2.22,40.0,0.0,0.0,0.27,1.47,2.55,1.2,3,0.13,0,0.0,7.64,0.76,11,0.49,0.66,1,0.04,106,4.71,48.11,16.038,0.09,2.89,29.23,1.42,40.63,1.42,18.75,0.27,7.24,61.35,14.58,48.78,5.42,4.4,0.44,19.42,2.71,2.5300000000000002,24.62,77.8,3.96,66.29,6.22,93.57,20.76,85.65,0.98,54.55,17.24,20.68,0.2,1.51,0.04,0.09,0.13,66.67,0.71,1.47,84.85,2.67,43.33,0.09,100.0,1.11,0.93,3.02,77.94,75.24,9.16,0,,0,,0,0.0,0.0,0.0,,,0.0,,2.22,0.44,0.36,37.5,1.07,7,85.714
J. Azzopardi,Julian Azzopardi,306902,Birzebbuga,Birzebbuga,https://cdn5.wyscout.com/photos/team/public/g12310_120x120.png,Challenge League,GK,GK,100,,0,,0,38.0,1987-10-09,0,2026-06-30,20,2019,0,0.0,0,0.0,0.71,68.75,Malta,['Malta'],,0,0,False,1.69,0.13,0.0,0.31,85.71,0.04,0.07,0.0,1.65,2.55,0.09,3,0.13,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,100.0,0.0,0.0,0.0,6.02,0.13,0.27,13.55,83.55,7.93,74.16,0.0,0.0,8.16,97.27,5.35,63.33,35.08,52.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,53.19,0.22,0.0,0.04,100.0,0.0,0.0,4.15,80.65,99.09,4.9,24,1.07,79,3.52,5,69.62,21.94,0.98,-2.06,-0.092,0.0,1.29,0.31,,,,0.0,0,0.0
M. Gambin,Matteo Gambin,-119193,Fgura United ,Fgura United ,https://cdn5.wyscout.com/photos/team/public/g20199_120x120.png,Challenge League,LB,LB,98,,0,,0,22.0,2004-05-04,0,2026-06-30,21,2012,1,0.07,2,2.09,14.72,59.88,Malta,['Malta'],left,182,74,False,8.54,6.31,70.21,2.91,49.23,0.13,0.21,0.18,3.98,6.12,0.58,1,0.04,0,0.0,2.86,0.04,1,0.04,0.0,0,0.0,4,0.18,50.0,25.0,0.09,3.31,27.03,3.27,27.4,0.04,0.0,0.22,2.06,91.3,3.94,57.95,0.31,3.04,0.67,22.86,1.43,0.31,36.28,72.5,17.85,65.91,5.99,91.04,24.96,84.05,8.01,55.31,21.89,31.84,0.09,0.72,0.04,0.04,0.0,0.0,0.27,6.13,69.34,3.04,39.71,0.27,83.33,0.36,0.89,11.59,75.29,75.86,9.08,0,,0,,0,0.0,0.0,0.0,,,0.22,,2.91,0.0,0.0,0.0,0.18,0,0.0
P. Fenech,Paul Fenech,41000,Swieqi United,Swieqi United,https://cdn5.wyscout.com/photos/team/public/g22641_120x120.png,Challenge League,"LCMF, DMF, RCMF",LCMF,39,DMF,24,RCMF,18,39.0,1986-12-20,10000,,21,1997,0,0.12,1,0.55,11.31,60.56,Malta,['Malta'],right,165,67,False,8.74,6.44,71.33,1.44,31.25,0.41000000000000003,0.6000000000000001,0.18,3.74,5.5,0.9,6,0.27,0,0.0,0.41000000000000003,0.0,0,0.0,0.01,0,0.0,4,0.18,25.0,0.0,0.05,0.45,30.0,0.18,25.0,0.27,33.33,0.09,0.23,100.0,1.8,57.5,0.05,0.54,0.0,33.85,0.27,0.9,50.21,84.29,20.28,72.89,7.03,95.51,42.81,89.58,6.99,54.84,19.15,34.07,0.02,0.63,0.05,0.0,0.0,0.0,0.09,9.78,71.89,1.62,36.11,0.9,40.0,0.23,0.18,9.28,74.76,93.1,16.99,0,,0,,0,0.0,0.0,0.0,,,0.9500000000000001,,1.44,0.18,0.0,0.0,0.59,0,0.0
G. Aquilina,Gabriel Aquilina,239598,Zurrieq,Zurrieq,https://cdn5.wyscout.com/photos/team/public/g3768_120x120.png,Challenge League,"AMF, LCMF, DMF",AMF,29,LCMF,19,DMF,12,30.0,1995-12-07,0,2026-06-30,21,1931,6,3.5300000000000002,1,1.78,12.3,46.97,Malta,['Malta'],,0,0,False,5.69,5.08,62.39,0.89,36.84,0.19,0.27,0.23,2.33,3.39,0.89,2,0.09,0,0.0,1.21,0.28,5,0.23,0.16,1,0.05,21,0.98,33.33,28.571,0.05,0.75,43.75,0.42,55.56,0.33,28.57,0.23,0.98,47.62,4.43,32.63,1.35,0.56,0.0,26.33,0.61,0.65,37.75,83.58,12.44,73.03,7.04,92.72,32.3,88.17,4.71,58.42,17.66,32.72,0.08,0.98,0.0,0.0,0.19,50.0,0.37,6.62,71.83,2.19,53.19,0.65,35.71,1.12,0.28,6.06,77.69,89.85,12.4,0,,0,,0,0.0,0.0,0.0,,,0.37,,0.89,0.0,0.0,0.0,0.28,1,100.0
I. Davey,Isaac Thomas Jake Davey,-616524,Swieqi United,Swieqi United,https://cdn5.wyscout.com/photos/team/public/g22641_120x120.png,Challenge League,"RB5, RWB, RAMF",RB5,27,RWB,25,RAMF,20,23.0,2002-09-19,0,,22,1909,4,4.21,4,3.66,20.23,54.55,Malta,['Malta'],,0,0,False,9.15,7.45,66.46,2.45,59.62,0.09,0.14,0.0,4.1,6.14,1.32,1,0.05,0,0.0,3.11,0.19,4,0.19,0.2,0,0.0,42,1.98,33.33,9.524000000000001,0.19,1.51,37.5,0.05,0.0,1.46,38.71,0.61,3.25,56.52,8.34,40.68,2.31,2.17,0.14,19.57,1.79,0.75,29.28,79.71,8.3,69.32,6.03,93.75,26.02,83.7,1.79,57.89,16.35,38.32,0.17,1.37,0.09,0.0,0.09,50.0,0.75,3.16,68.66,1.79,50.0,0.33,28.57,0.99,0.61,5.04,74.77,80.95,7.92,0,,0,,0,0.0,0.0,0.0,,,0.05,,2.45,0.05,0.05,0.0,0.19,0,0.0
