Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
A. Maksimenko,Aleksandr Maksimenko,400904,Spartak Moskva,Spartak Moskva,https://cdn5.wyscout.com/photos/team/public/1011_120x120.png,Premier League,GK,GK,100,,0,,0,28.0,1998-03-19,0,2027-06-30,30,2994,0,0.0,0,0.0,0.48,87.5,Russia,['Russia'],left,187,82,False,0.5700000000000001,0.09,66.67,0.27,100.0,0.0,0.0,0.0,0.51,0.96,0.03,1,0.03,0,0.0,0.03,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.06,100.0,0.0,0.0,0.0,14.16,0.33,0.12,19.93,87.63,9.68,77.33,0.0,0.0,13.71,98.68,6.16,63.41,30.15,47.27,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.4100000000000001,57.45,0.12,25.0,0.18,66.67,0.06,0.0,4.45,69.59,97.5,9.62,39,1.17,102,3.07,7,61.76,35.04,1.05,-3.96,-0.11900000000000001,0.0,0.9,0.27,,,,0.0,0,0.0
S. Varatynov,Sergey Varatynov,-153473,Baltika,Baltika,https://cdn5.wyscout.com/photos/team/public/1653_120x120.png,Premier League,RCB3,RCB3,89,,0,,0,22.0,2003-06-27,800000,2027-06-30,30,2981,1,2.9,0,0.28,13.68,53.2,Russia,['Russia'],right,187,79,False,7.94,5.01,66.87,5.13,49.41,0.15,0.23,0.51,4.44,6.64,0.5700000000000001,2,0.06,0,0.0,0.30000000000000004,0.03,1,0.03,0.09,1,0.03,21,0.63,14.29,4.7620000000000005,0.0,0.30000000000000004,30.0,0.03,0.0,0.24,37.5,0.0,0.18,66.67,1.33,34.09,1.0,0.45,0.06,16.06,0.42,0.30000000000000004,30.01,77.26,14.46,69.52,3.32,92.73,21.1,84.26,8.6,61.75,24.04,40.29,0.01,0.06,0.0,0.03,0.0,0.0,0.06,6.25,63.77,0.8200000000000001,44.44,0.42,71.43,0.42,0.06,9.06,70.0,86.82,9.39,0,,0,,0,0.0,0.0,0.0,,,1.96,,5.13,0.03,0.03,0.0,0.0,0,0.0
S. Agkatsev,Stanislav Agkatsev,-92435,Krasnodar,Krasnodar,https://cdn5.wyscout.com/photos/team/public/1741_120x120.png,Premier League,GK,GK,100,,0,,0,24.0,2002-01-09,0,2029-06-30,30,2957,0,0.0,0,0.0,0.5,81.25,Russia,['Russia'],right,189,82,False,1.2,0.03,0.0,0.35000000000000003,90.91,0.0,0.0,0.0,1.2,2.25,0.0,2,0.06,0,0.0,0.06,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,100.0,0.06,100.0,0.0,0.0,0.0,13.31,0.25,0.06,18.78,83.42,11.14,73.45,0.0,0.0,10.26,97.24,8.52,66.79,33.34,49.12,0.0,0.0,0.03,0.0,0.0,0.0,0.0,2.14,55.88,0.16,0.0,0.03,0.0,0.0,0.0,6.45,73.17,97.74,6.95,22,0.6900000000000001,81,2.55,13,72.84,24.99,0.79,2.99,0.094,0.0,1.23,0.35000000000000003,,,,0.0,0,0.0
S. Pesjakov,Sergey Pesjakov,26116,Krylya Sovetov,Krylya Sovetov,https://cdn5.wyscout.com/photos/team/public/1016_120x120.png,Premier League,GK,GK,100,,0,,0,37.0,1988-12-16,500000,2026-06-30,30,2920,0,0.0,0,0.0,1.05,91.18,Russia,['Russia'],right,199,96,False,1.82,0.09,33.33,0.71,95.65,0.03,0.04,0.0,1.76,2.2800000000000002,0.06,1,0.03,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,100.0,0.0,0.03,0.0,15.01,0.31,0.25,22.96,74.63,15.2,64.3,0.0,0.0,11.84,95.57,11.13,52.35,36.32,49.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.14,47.06,0.25,12.5,0.37,8.33,0.0,0.0,7.55,62.86,95.74,7.24,49,1.51,159,4.9,6,69.18,49.84,1.54,0.84,0.026000000000000002,0.0,2.0,0.71,,,,0.0,0,0.0
M. Bogosavac,Miroslav Bogosavac,310375,Akhmat Grozny,Akhmat Grozny,https://cdn5.wyscout.com/photos/team/public/1017_120x120.png,Premier League,LB,LB,87,,0,,0,29.0,1996-10-14,2300000,2027-06-30,30,2900,0,0.63,0,1.23,14.15,56.8,Serbia,['Serbia'],left,176,69,False,9.09,5.77,74.19,1.71,36.36,0.84,1.13,0.25,3.9699999999999998,5.38,0.16,1,0.03,0,0.0,1.27,0.0,0,0.0,0.02,0,0.0,7,0.22,28.57,0.0,0.0,1.52,26.53,1.52,26.53,0.0,0.0,0.03,1.33,58.14,5.43,44.57,0.43,2.48,0.43,23.96,1.52,1.46,35.1,77.28,16.79,69.69,5.28,93.53,29.45,84.4,4.19,44.44,17.37,30.08,0.04,0.5,0.0,0.0,0.03,100.0,0.12,5.93,70.16,1.96,44.44,0.34,36.36,0.65,0.37,8.13,70.61,79.34,6.61,0,,0,,0,0.0,0.0,0.0,,,0.62,,1.71,0.0,0.0,0.0,0.0,0,0.0
N. Glushkov,Nikita Glushkov,-50464,Dynamo Makhachkala,Dynamo Makhachkala,https://cdn5.wyscout.com/photos/team/public/g-15228_120x120.png,Premier League,"RCMF, RAMF, DMF",RCMF,18,RAMF,14,DMF,12,27.0,1999-03-19,700000,2027-06-30,30,2884,0,1.18,1,1.22,14.29,46.94,Russia,['Russia'],right,176,56,False,7.9,4.5600000000000005,67.81,3.46,32.43,0.41000000000000003,0.5700000000000001,0.19,4.4,6.18,0.59,3,0.09,0,0.0,0.66,0.0,0,0.0,0.04,0,0.0,12,0.37,25.0,0.0,0.03,0.62,35.0,0.22,57.14,0.41000000000000003,23.08,0.06,0.53,64.71,3.59,44.35,1.09,0.37,0.0,15.14,0.37,1.56,26.96,75.12,9.89,62.78,4.24,89.71,24.0,77.5,2.37,61.84,15.44,25.63,0.04,0.34,0.0,0.0,0.03,0.0,0.09,4.52,62.07,1.28,51.22,0.31,80.0,0.56,0.22,4.49,65.28,83.56,6.83,0,,0,,0,0.0,0.0,0.0,,,0.34,,3.46,0.03,0.0,0.0,0.0,0,0.0
B. Ovsyannikov,Bogdan Ovsyannikov,493921,Orenburg,Orenburg,https://cdn5.wyscout.com/photos/team/public/3621_120x120.png,Premier League,GK,GK,100,,0,,0,27.0,1999-01-05,600000,2028-06-09,29,2881,0,0.26,0,0.0,0.9400000000000001,86.67,Russia,['Russia'],left,189,81,False,1.37,0.06,50.0,0.5,93.75,0.03,0.05,0.0,1.31,1.9100000000000001,0.03,4,0.12,0,0.0,0.0,0.0,0,0.0,0.01,0,0.0,1,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,100.0,0.03,0.0,0.0,10.93,0.25,0.34,17.31,85.56,10.96,78.35,0.06,0.0,9.62,95.13,7.68,73.58,36.43,50.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.22,69.9,0.03,100.0,0.03,100.0,0.03,0.0,6.97,84.75,98.95,5.94,44,1.37,139,4.34,5,68.35,40.11,1.25,-3.89,-0.122,0.0,1.5,0.5,,,,0.0,0,0.0
N. Umyarov,Nail Umyarov,461870,Spartak Moskva,Spartak Moskva,https://cdn5.wyscout.com/photos/team/public/1011_120x120.png,Premier League,"DMF, RDMF, LDMF",DMF,47,RDMF,20,LDMF,20,25.0,2000-06-27,2500000,2029-06-30,29,2875,0,0.84,3,1.62,13.21,52.61,Russia,['Russia'],right,182,73,False,8.7,5.48,60.0,3.8200000000000003,55.74,0.41000000000000003,0.76,0.47000000000000003,5.01,9.36,1.47,6,0.19,0,0.0,0.78,0.0,0,0.0,0.03,0,0.0,19,0.59,15.79,0.0,0.09,0.41000000000000003,53.85,0.19,66.67,0.19,33.33,0.03,0.56,83.33,1.72,45.45,0.5,0.41000000000000003,0.03,30.24,0.16,0.72,45.33,83.43,15.37,70.26,4.98,94.34,38.57,87.26,6.35,62.07,20.24,37.11,0.05,0.47000000000000003,0.06,0.0,0.0,0.0,0.22,8.36,71.54,1.47,48.94,0.41000000000000003,23.08,0.56,0.22,7.92,71.54,89.86,19.44,0,,0,,0,0.0,0.0,0.0,,,0.78,,3.8200000000000003,0.0,0.0,0.0,0.09,0,0.0
A. Mitryushkin,Anton Mitryushkin,269936,Lokomotiv Moskva,Lokomotiv Moskva,https://cdn5.wyscout.com/photos/team/public/1012_120x120.png,Premier League,GK,GK,100,,0,,0,30.0,1996-02-08,0,2030-06-30,29,2867,0,0.0,0,0.0,0.66,76.19,Russia,['Russia'],right,189,79,False,1.13,0.13,75.0,0.38,83.33,0.03,0.05,0.0,1.0,1.45,0.03,1,0.03,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,100.0,0.0,0.0,0.0,8.48,0.16,0.09,13.44,83.18,7.41,71.61,0.0,0.0,7.63,98.35,5.78,63.59,34.09,49.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.88,53.33,0.09,0.0,0.13,0.0,0.0,0.0,4.71,76.67,98.3,5.52,37,1.16,132,4.14,7,71.97,45.57,1.43,8.57,0.269,0.0,1.32,0.38,,,,0.0,0,0.0
E. Staver,Evgeniy Staver,439169,Rubin Kazan',Rubin Kazan',https://cdn5.wyscout.com/photos/team/public/1009_120x120.png,Premier League,GK,GK,100,,0,,0,28.0,1998-02-16,500000,2027-06-30,29,2839,0,0.0,0,0.0,0.8200000000000001,84.62,Russia,['Russia'],right,187,73,False,2.09,0.06,100.0,0.63,80.0,0.0,0.0,0.0,2.03,2.5700000000000003,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,100.0,0.0,0.0,0.0,7.64,0.22,0.19,13.66,79.81,8.53,71.75,0.0,0.0,7.1,93.3,6.53,65.05,37.99,47.77,0.0,0.0,0.0,0.03,0.0,0.0,0.0,2.19,65.22,0.13,0.0,0.06,50.0,0.0,0.0,5.9,74.73,93.46,4.85,28,0.89,103,3.27,14,72.82,28.99,0.92,0.99,0.031,0.0,2.25,0.63,,,,0.0,0,0.0
