Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
H. Hernández,Humberto Gabriel Hernández López,44160,Irapuato,Irapuato,https://cdn5.wyscout.com/photos/team/public/3290_120x120.png,Liga de Expansión MX,GK,GK,100,,0,,0,40.0,1985-07-20,100000,,28,2775,0,0.0,0,0.11,0.75,52.17,Mexico,['Mexico'],right,179,89,False,1.9100000000000001,0.36,45.45,0.16,80.0,0.1,0.13,0.0,1.65,2.29,0.06,7,0.23,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,66.67,0.0,0.0,0.0,26.11,0.42,0.1,36.23,87.91,18.1,77.6,0.03,100.0,24.32,97.73,11.84,68.22,31.99,48.0,0.0,0.03,0.0,0.0,0.0,0.0,0.03,3.63,48.21,0.29,11.11,0.32,10.0,0.06,0.0,8.27,77.25,98.69,17.38,39,1.26,120,3.89,9,67.5,33.36,1.08,-5.64,-0.183,0.03,1.17,0.16,,,,0.0,0,0.0
E. Torres,Edson Enrique Torres Ulloa,450220,Jaiba Brava,Jaiba Brava,https://cdn5.wyscout.com/photos/team/public/g5109_120x120.png,Liga de Expansión MX,"LCMF, AMF, RCMF",LCMF,41,AMF,15,RCMF,15,27.0,1998-06-30,700000,,27,2735,2,1.74,5,4.06,9.51,54.33,Mexico,['Mexico'],left,167,62,False,5.03,2.86,70.11,0.6900000000000001,42.86,0.36,0.47000000000000003,0.23,2.67,3.5,0.33,2,0.07,0,0.0,0.99,0.07,2,0.07,0.06,1,0.03,24,0.79,16.67,8.333,0.16,0.66,30.0,0.39,33.33,0.26,25.0,0.07,1.02,58.06,5.07,48.7,0.89,1.55,0.16,37.51,0.89,1.32,50.48,88.46,14.61,77.25,9.15,94.96,46.23,91.39,3.62,60.91,17.06,32.18,0.13,1.45,0.0,0.0,0.23,28.57,0.39,7.7,80.77,2.04,51.61,0.92,39.29,1.12,0.23,6.78,78.16,93.96,17.97,0,,0,,0,0.0,0.0,0.0,,,0.33,,0.6900000000000001,0.86,0.13,0.0,1.28,0,0.0
J. Ruiz Flores,Jassiel Trinidad Ruiz Flores,-478040,Irapuato,Irapuato,https://cdn5.wyscout.com/photos/team/public/3290_120x120.png,Liga de Expansión MX,"RCMF, LCMF, DMF",RCMF,51,LCMF,13,DMF,12,27.0,1999-01-01,0,,28,2719,3,1.21,1,2.14,10.13,49.67,Mexico,['Mexico'],unknown,0,0,False,5.83,4.47,60.74,1.22,37.84,0.23,0.32,0.1,2.88,4.01,0.89,1,0.03,0,0.0,1.3900000000000001,0.1,3,0.1,0.04,0,0.0,28,0.93,28.57,10.714,0.03,1.09,57.58,0.26,25.0,0.8300000000000001,68.0,0.13,0.73,59.09,3.61,44.04,0.86,1.16,0.07,30.39,1.49,0.76,41.47,84.36,13.27,72.32,6.59,95.48,36.64,87.9,3.77,57.89,17.39,31.79,0.07,0.79,0.03,0.0,0.13,50.0,0.33,6.59,72.36,2.12,64.06,0.89,48.15,1.03,0.53,6.79,78.54,91.46,14.73,0,,0,,0,0.0,0.0,0.0,,,0.89,,1.22,0.5,0.17,40.0,1.06,0,0.0
B. Vázquez,Brayton Josué Vázquez Vélez,417771,Atlético Morelia,Atlético Morelia,https://cdn5.wyscout.com/photos/team/public/913_120x120.png,Liga de Expansión MX,"RCB, RCB3, CB",RCB,41,RCB3,39,CB,13,28.0,1998-03-05,500000,,26,2668,4,3.22,2,0.78,11.17,58.01,Mexico,['Mexico'],right,180,78,False,7.52,5.09,65.56,2.77,60.98,0.81,1.06,0.44,3.37,4.42,0.78,6,0.2,0,0.0,0.47000000000000003,0.13,2,0.07,0.11,2,0.07,20,0.67,35.0,20.0,0.07,0.1,66.67,0.0,0.0,0.1,66.67,0.03,0.27,62.5,1.38,39.02,0.61,0.9400000000000001,0.2,25.67,0.61,0.61,37.31,89.24,15.58,79.22,3.17,98.94,32.22,93.93,4.99,59.46,21.76,38.28,0.03,0.24,0.0,0.0,0.0,0.0,0.17,4.42,76.34,0.34,60.0,0.4,66.67,0.2,0.07,7.02,74.04,96.51,15.48,0,,0,,0,0.0,0.0,0.0,,,2.33,,2.77,0.0,0.0,0.0,0.0,2,100.0
G. Gutiérrez,Gustavo Guadalupe Gutiérrez Muñoz,-190210,Tepatitlán de Morelos,Tepatitlán de Morelos,https://cdn5.wyscout.com/photos/team/public/g34012_120x120.png,Liga de Expansión MX,GK,GK,100,,0,,0,29.0,1996-11-01,500000,,26,2649,0,0.0,0,0.0,0.61,77.78,Mexico,['Mexico'],right,183,67,False,1.56,0.1,66.67,0.27,87.5,0.0,0.0,0.0,1.49,1.9300000000000002,0.0,4,0.14,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,100.0,0.0,0.0,0.0,16.21,0.34,0.17,25.65,82.12,15.15,72.65,0.0,0.0,15.25,98.89,10.36,57.7,36.72,53.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.76,50.71,0.37,27.27,0.27,37.5,0.1,0.0,7.07,78.37,96.23,9.92,21,0.71,121,4.11,9,82.64,32.19,1.09,11.19,0.38,0.0,1.09,0.27,,,,0.0,0,0.0
Elbis,Elbis Sousa Nascimento,235139,Irapuato,Irapuato,https://cdn5.wyscout.com/photos/team/public/3290_120x120.png,Liga de Expansión MX,LCB,LCB,94,,0,,0,33.0,1992-12-26,500000,,26,2606,0,1.7000000000000002,1,0.42,14.5,55.71,Brazil,['Brazil'],left,176,75,False,8.08,6.08,67.61,4.11,48.74,0.14,0.19,0.59,3.83,5.36,0.6900000000000001,7,0.24,0,0.0,0.38,0.0,0,0.0,0.06,0,0.0,17,0.59,11.76,0.0,0.03,0.38,54.55,0.35000000000000003,60.0,0.03,0.0,0.0,0.24,42.86,2.73,48.1,0.62,1.8599999999999999,0.1,31.98,0.79,1.11,45.66,84.72,21.55,76.76,2.94,96.47,37.37,92.24,7.91,50.66,22.08,38.25,0.01,0.28,0.03,0.0,0.0,0.0,0.14,8.53,69.23,0.97,57.14,0.62,61.11,0.35000000000000003,0.21,10.46,80.86,90.53,16.4,0,,0,,0,0.0,0.0,0.0,,,2.14,,4.11,0.0,0.0,0.0,0.0,0,0.0
G. Ruíz,Gerardo Daniel Ruíz Barragán,14466,Jaiba Brava,Jaiba Brava,https://cdn5.wyscout.com/photos/team/public/g5109_120x120.png,Liga de Expansión MX,GK,GK,100,,0,,0,40.0,1985-09-05,75000,,25,2539,0,0.0,0,0.0,0.6000000000000001,76.47,Mexico,['Mexico'],right,189,79,False,1.1,0.25,85.71,0.14,75.0,0.04,0.05,0.0,0.85,1.11,0.0,3,0.11,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,100.0,0.0,0.0,0.0,13.9,0.39,0.11,22.15,85.92,11.98,76.33,0.04,0.0,15.1,97.65,7.02,61.11,32.29,51.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,43.08,0.21,0.0,0.14,0.0,0.0,0.0,5.32,72.67,98.11,9.36,22,0.78,101,3.58,9,78.22,27.08,0.96,5.08,0.18,0.0,1.45,0.14,,,,0.0,0,0.0
J. Venegas,Jesús Alejandro Venegas Vergara,331512,Tepatitlán de Morelos,Tepatitlán de Morelos,https://cdn5.wyscout.com/photos/team/public/g34012_120x120.png,Liga de Expansión MX,"RCMF, RDMF, DMF",RCMF,69,RDMF,11,DMF,10,30.0,1995-03-30,700000,,26,2480,0,0.6900000000000001,1,0.37,10.6,58.22,Mexico,['Mexico'],right,176,68,False,8.89,5.84,65.22,2.5,47.83,0.54,0.73,0.51,4.54,6.08,0.9400000000000001,8,0.29,2,0.07,0.4,0.0,0,0.0,0.03,0,0.0,14,0.51,28.57,0.0,0.04,0.44,25.0,0.04,0.0,0.4,27.27,0.0,0.18,60.0,1.09,40.0,0.33,0.54,0.07,23.26,0.22,0.22,37.71,82.68,15.46,72.54,3.7,91.18,31.54,89.3,5.8100000000000005,50.63,21.42,39.15,0.01,0.44,0.04,0.0,0.04,100.0,0.04,7.29,68.66,1.23,41.18,0.47000000000000003,30.77,0.47000000000000003,0.04,7.77,77.1,92.21,14.44,0,,0,,0,0.0,0.0,0.0,,,0.98,,2.5,0.0,0.0,0.0,0.07,0,0.0
C. Andrade,Christopher Josué Andrade Martín,-87314,Cancún,Cancún,https://cdn5.wyscout.com/photos/team/public/g-12734_120x120.png,Liga de Expansión MX,GK,GK,100,,0,,0,24.0,2001-07-02,0,,24,2468,0,0.0,0,0.0,0.73,100.0,Mexico,['Mexico'],right,192,90,False,1.28,0.04,100.0,0.55,100.0,0.0,0.0,0.0,1.24,1.47,0.0,2,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,0.07,0.0,0.0,7.99,0.04,0.11,15.53,74.18,9.08,59.44,0.04,100.0,9.12,94.4,6.2,46.47,35.56,51.82,0.0,0.0,0.0,0.04,0.0,0.0,0.0,2.66,34.25,0.51,7.14,0.26,42.86,0.07,0.0,4.41,61.16,95.24,5.36,20,0.73,111,4.05,10,81.98,24.7,0.9,4.7,0.171,0.04,1.79,0.55,,,,0.0,0,0.0
R. Sandoval,Raúl Martín Sandoval Zavala,479903,Irapuato,Irapuato,https://cdn5.wyscout.com/photos/team/public/3290_120x120.png,Liga de Expansión MX,LB,LB,96,,0,,0,26.0,2000-01-18,1500000,,26,2458,2,1.73,7,3.73,17.06,53.22,Mexico,['Mexico'],left,173,72,False,8.31,6.92,64.55,2.12,51.72,0.26,0.36,0.29,3.59,4.97,0.48,1,0.04,0,0.0,4.17,0.07,2,0.07,0.06,0,0.0,19,0.7000000000000001,52.63,10.526,0.26,4.87,35.34,4.83,34.85,0.04,100.0,0.26,3.3,63.33,6.74,44.57,1.03,2.42,0.4,24.64,2.09,0.73,35.08,76.93,11.46,70.93,7.07,96.37,26.14,88.8,4.43,49.59,21.48,34.22,0.14,1.17,0.04,0.04,0.0,0.0,0.55,3.73,71.57,3.88,40.57,0.26,0.0,0.04,1.65,7.47,72.06,72.67,10.98,0,,0,,0,0.0,0.0,0.0,,,0.99,,2.12,0.77,0.04,100.0,1.87,0,0.0
S. Flores,Sergio Adrián Flores Reyes,393432,Jaiba Brava,Jaiba Brava,https://cdn5.wyscout.com/photos/team/public/g5109_120x120.png,Liga de Expansión MX,"RCMF, DMF, LCMF",RCMF,39,DMF,22,LCMF,18,31.0,1995-02-12,1500000,,26,2361,1,0.8300000000000001,1,0.30000000000000004,15.9,59.23,Mexico,['Mexico'],right,185,82,False,11.7,9.03,63.29,2.9,59.21,0.23,0.30000000000000004,0.53,5.76,7.6,2.13,10,0.38,0,0.0,0.27,0.04,1,0.04,0.03,0,0.0,14,0.53,21.43,7.143,0.04,0.11,0.0,0.08,0.0,0.04,0.0,0.0,0.38,40.0,2.29,45.0,0.46,0.27,0.0,31.6,0.19,0.5700000000000001,48.91,85.11,19.02,77.76,3.85,96.04,43.61,87.59,5.18,66.18,19.52,32.68,0.01,0.42,0.04,0.04,0.0,0.0,0.08,9.64,79.05,0.88,39.13,0.30000000000000004,12.5,0.38,0.0,9.95,79.31,90.82,19.94,0,,0,,0,0.0,0.0,0.0,,,0.5,,2.9,0.0,0.0,0.0,0.0,0,0.0
J. Clemente,José Guadalupe Hernández Clemente,-87022,Jaiba Brava,Jaiba Brava,https://cdn5.wyscout.com/photos/team/public/g5109_120x120.png,Liga de Expansión MX,"LB, LB5",LB,85,LB5,11,,0,26.0,1999-04-21,700000,,25,2353,1,1.78,2,1.27,10.79,48.58,Mexico,['Mexico'],left,173,68,False,6.23,5.7,55.03,1.34,48.57,0.08,0.1,0.08,3.02,3.9,1.03,5,0.19,1,0.04,1.57,0.04,1,0.04,0.07,0,0.0,40,1.53,20.0,2.5,0.08,2.1,36.36,2.1,36.36,0.0,0.0,0.11,0.76,60.0,2.79,39.73,0.8,1.57,0.15,36.45,2.14,0.42,47.24,82.91,20.08,78.1,7.99,95.22,39.24,88.3,5.97,63.46,18.58,35.77,0.05,0.5,0.04,0.04,0.04,100.0,0.23,7.38,77.2,2.64,50.72,0.42,45.45,0.84,0.73,10.29,73.98,85.51,13.46,0,,0,,0,0.0,0.0,0.0,,,0.8,,1.34,0.11,0.08,50.0,0.04,0,0.0
U. Cardona,Ulises Israel Cardona Carrillo,506221,Tepatitlán de Morelos,Tepatitlán de Morelos,https://cdn5.wyscout.com/photos/team/public/g34012_120x120.png,Liga de Expansión MX,"LB, LB5",LB,81,LB5,14,,0,27.0,1998-11-13,400000,,26,2287,0,0.37,0,1.6600000000000001,16.76,54.93,Mexico,['Mexico'],left,176,74,False,8.74,8.54,61.75,1.6099999999999999,46.34,0.24,0.30000000000000004,0.12,3.23,4.13,1.34,7,0.28,0,0.0,1.9300000000000002,0.0,0,0.0,0.01,0,0.0,12,0.47000000000000003,25.0,0.0,0.0,2.13,25.93,2.05,25.0,0.08,50.0,0.24,2.01,60.78,5.16,48.09,0.75,2.16,0.12,26.13,0.75,1.22,39.16,76.28,19.44,71.66,4.37,93.69,30.85,84.31,6.3,52.5,20.05,34.95,0.07,0.75,0.04,0.0,0.04,100.0,0.28,9.37,68.49,2.64,40.3,0.31,37.5,0.8300000000000001,0.59,11.18,82.04,75.88,10.11,0,,0,,0,0.0,0.0,0.0,,,0.79,,1.6099999999999999,0.08,0.0,0.0,0.31,0,0.0
A. Mendoza,Andrés Gerardo Mendoza Rivera,455622,Mineros de Zacatecas,Mineros de Zacatecas,https://cdn5.wyscout.com/photos/team/public/g28451_120x120.png,Liga de Expansión MX,"DMF, RCMF, RDMF",DMF,25,RCMF,25,RDMF,18,30.0,1995-12-26,0,,23,2279,1,0.4,2,0.77,15.52,58.27,Mexico,['Mexico'],right,176,74,False,10.62,7.42,68.62,1.54,51.28,0.24,0.33,0.2,5.29,7.42,1.11,8,0.32,0,0.0,0.9500000000000001,0.04,1,0.04,0.02,0,0.0,14,0.55,35.71,7.143,0.08,0.2,80.0,0.04,100.0,0.16,75.0,0.0,0.75,73.68,4.38,44.14,0.2,0.79,0.0,30.41,0.24,1.11,47.15,85.85,18.76,77.68,6.24,91.77,42.14,88.47,4.82,63.11,18.55,31.5,0.03,0.59,0.04,0.0,0.16,25.0,0.2,7.78,77.66,0.99,60.0,0.43,36.36,0.43,0.16,8.49,72.09,92.67,16.7,0,,0,,0,0.0,0.0,0.0,,,1.3,,1.54,0.04,0.0,0.0,0.0,0,0.0
