Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
K. Stratilatis,Kyriakos Stratilatis,18839,ASIL Lysi,ASIL Lysi,https://cdn5.wyscout.com/photos/team/public/g7555_120x120.png,2. Division,GK,GK,100,,0,,0,38.0,1988-01-05,0,2026-05-31,23,2218,0,0.0,0,0.0,0.85,71.43,Greece,['Greece'],right,186,86,False,1.42,0.2,60.0,0.49,91.67,0.04,0.06,0.04,1.26,1.74,0.04,2,0.08,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,13.35,0.12,0.16,21.34,85.55,11.69,74.65,0.0,0.0,12.94,98.12,8.36,66.5,32.54,47.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7000000000000002,50.0,0.08,0.0,0.12,66.67,0.04,0.0,5.6,76.81,98.7,9.37,31,1.26,97,3.94,6,68.04,29.18,1.18,-1.82,-0.074,0.0,2.15,0.49,,,,0.0,0,0.0
K. Kyriakou,Kyriakos Kyriakou,71103,ASIL Lysi,ASIL Lysi,https://cdn5.wyscout.com/photos/team/public/g7555_120x120.png,2. Division,LB,LB,96,,0,,0,36.0,1989-06-20,0,2026-05-31,23,2180,0,0.18,3,1.42,12.59,57.05,Cyprus,['Cyprus'],left,175,0,False,9.41,6.48,64.33,2.11,54.9,0.58,0.81,0.17,4.67,6.53,1.03,7,0.29,0,0.0,0.78,0.0,0,0.0,0.01,0,0.0,7,0.29,42.86,0.0,0.12,1.49,30.56,1.3599999999999999,30.3,0.12,33.33,0.37,0.29,71.43,1.9,45.65,0.25,0.37,0.0,25.89,0.99,0.54,37.61,78.49,17.55,71.06,5.2,93.65,30.63,85.98,5.66,48.91,19.11,30.91,0.06,0.5,0.04,0.0,0.0,0.0,0.21,6.15,71.81,1.8599999999999999,40.0,0.21,20.0,0.37,0.58,9.33,72.57,80.95,9.54,0,,0,,0,0.0,0.0,0.0,,,0.33,,2.11,0.74,0.08,50.0,1.53,0,0.0
Carlos Peixoto,Carlos Miguel Mendes Peixoto,475322,Doxa,Doxa,https://cdn5.wyscout.com/photos/team/public/1280_120x120.png,2. Division,GK,GK,100,,0,,0,25.0,2000-06-29,0,2026-05-31,22,2150,0,0.0,0,0.0,0.8,94.74,Portugal,"['Portugal', 'Angola']",right,190,77,False,1.34,0.0,0.0,0.59,100.0,0.0,0.0,0.0,1.34,1.96,0.0,1,0.04,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,100.0,0.0,0.0,0.0,4.94,0.04,0.25,11.68,85.66,5.19,70.97,0.0,0.0,8.75,99.04,2.93,45.71,27.49,46.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.33,0.04,0.0,0.17,25.0,0.04,0.0,1.8,60.47,97.79,5.69,26,1.09,98,4.1,5,73.47,26.96,1.13,0.96,0.04,0.0,1.67,0.59,,,,0.0,0,0.0
C. Erotokritou,Charalambos Erotokritou,-391391,Doxa,Doxa,https://cdn5.wyscout.com/photos/team/public/1280_120x120.png,2. Division,LCB,LCB,95,,0,,0,20.0,2005-09-01,0,,22,2118,2,0.71,0,0.04,11.6,60.07,Cyprus,['Cyprus'],unknown,0,0,False,9.82,5.01,76.27,3.65,43.02,0.34,0.5,0.55,5.65,8.3,0.21,2,0.08,0,0.0,0.47000000000000003,0.08,2,0.08,0.03,1,0.04,4,0.17,75.0,50.0,0.0,0.08,0.0,0.08,0.0,0.0,0.0,0.0,0.42,80.0,1.1,50.0,0.42,0.42,0.0,24.05,0.08,0.21,38.8,82.48,17.04,67.58,1.1,88.46,31.87,91.2,6.84,42.86,22.78,40.35,0.0,0.04,0.0,0.0,0.0,0.0,0.08,4.8,48.67,0.25,33.33,0.47000000000000003,27.27,0.13,0.0,7.9,58.6,96.21,17.93,0,,0,,0,0.0,0.0,0.0,,,0.89,,3.65,0.0,0.0,0.0,0.0,0,0.0
D. Katsimitros,Dimitrios Katsimitros,314404,PAEEK,PAEEK,https://cdn5.wyscout.com/photos/team/public/g12350_120x120.png,2. Division,GK,GK,100,,0,,0,28.0,1997-06-12,250000,2026-05-31,22,2092,0,0.0,0,0.0,0.99,78.26,Greece,['Greece'],right,187,0,False,1.6800000000000002,0.0,0.0,0.56,84.62,0.04,0.07,0.0,1.63,2.68,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,50.0,0.0,0.0,0.0,14.63,0.17,0.34,23.58,88.14,10.84,78.97,0.04,0.0,17.12,97.24,6.45,64.0,29.43,46.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.42,45.45,0.13,0.0,0.04,0.0,0.0,0.0,4.5600000000000005,66.04,97.12,11.96,21,0.9,80,3.44,10,73.75,21.01,0.9,0.01,0.0,0.0,1.6800000000000002,0.56,,,,0.0,0,0.0
A. Agapiou,Agapios Agapiou,360915,Ethnikos Latsion,Ethnikos Latsion,https://cdn5.wyscout.com/photos/team/public/g22622_120x120.png,2. Division,"LCMF, DMF, RCMF",LCMF,53,DMF,30,RCMF,10,29.0,1996-04-18,0,2026-05-31,22,2076,1,1.37,1,1.3900000000000001,24.93,54.09,Cyprus,['Cyprus'],right,174,0,False,12.53,9.19,68.87,5.29,52.46,0.48,0.5700000000000001,0.52,5.72,6.83,1.34,3,0.13,0,0.0,0.9500000000000001,0.04,1,0.04,0.06,0,0.0,17,0.74,23.53,5.882,0.04,0.39,55.56,0.04,0.0,0.35000000000000003,62.5,0.04,1.08,48.0,6.42,41.22,0.6900000000000001,0.65,0.04,15.74,0.39,1.82,32.69,70.69,14.05,58.64,3.77,91.95,27.27,75.83,5.03,43.97,18.76,35.12,0.06,0.43,0.0,0.0,0.09,50.0,0.22,6.11,56.74,1.26,34.48,0.74,23.53,0.74,0.22,7.28,57.74,79.19,9.58,0,,0,,0,0.0,0.0,0.0,,,0.13,,5.29,0.04,0.04,0.0,0.0,0,0.0
S. Finiris,Sotiris Finiris,211966,Doxa,Doxa,https://cdn5.wyscout.com/photos/team/public/1280_120x120.png,2. Division,"RDMF, RCMF, DMF",RDMF,42,RCMF,18,DMF,16,34.0,1991-09-07,0,2026-05-31,21,2052,0,0.16,1,0.52,16.05,51.91,Cyprus,['Cyprus'],right,181,79,False,11.36,7.02,63.75,3.46,46.84,1.62,2.38,0.44,5.26,7.73,1.54,8,0.35000000000000003,0,0.0,0.48,0.0,0,0.0,0.01,0,0.0,7,0.31,28.57,0.0,0.04,0.7000000000000001,25.0,0.18,25.0,0.48,18.18,0.18,0.35000000000000003,50.0,2.7199999999999998,35.48,0.61,0.5700000000000001,0.0,29.78,0.13,0.79,47.54,83.95,15.44,71.59,6.23,95.77,43.2,87.51,3.68,52.38,17.71,33.1,0.02,0.35000000000000003,0.04,0.09,0.13,33.33,0.18,6.45,72.11,1.32,33.33,0.5700000000000001,30.77,0.26,0.22,7.37,70.24,90.71,17.94,0,,0,,0,0.0,0.0,0.0,,,0.22,,3.46,0.0,0.0,0.0,0.13,0,0.0
M. Christofi,Martinos Christofi,128490,Karmiotissa,Karmiotissa,https://cdn5.wyscout.com/photos/team/public/g22623_120x120.png,2. Division,LCB,LCB,98,,0,,0,32.0,1993-07-26,0,2026-05-31,22,2050,0,0.02,1,0.42,5.31,66.94,Cyprus,"['Cyprus', 'Finland']",left,187,82,False,5.71,2.46,71.43,1.58,72.22,0.13,0.2,0.48,3.8200000000000003,5.7,0.31,0,0.0,0,0.0,0.13,0.0,0,0.0,0.0,0,0.0,1,0.04,0.0,0.0,0.04,0.22,60.0,0.13,66.67,0.04,100.0,0.09,0.04,0.0,0.22,40.0,0.13,0.22,0.0,27.88,0.26,0.13,42.98,85.8,19.89,74.83,1.19,92.59,34.6,92.64,8.17,57.53,24.12,42.42,0.02,0.18,0.0,0.09,0.0,0.0,0.09,6.32,61.11,0.92,23.81,0.4,44.44,0.09,0.13,9.35,81.69,97.67,18.88,0,,0,,0,0.0,0.0,0.0,,,0.97,,1.58,0.0,0.0,0.0,0.0,0,0.0
L. Chatzikonstanti,Lefteris Chatzikonstanti,499807,ASIL Lysi,ASIL Lysi,https://cdn5.wyscout.com/photos/team/public/g7555_120x120.png,2. Division,LCB,LCB,89,,0,,0,24.0,2001-05-24,0,2026-05-31,22,2040,2,0.6000000000000001,0,0.05,10.24,53.88,Cyprus,['Cyprus'],right,180,0,False,6.79,4.01,69.23,3.04,43.48,0.0,0.0,0.31,4.01,5.7,0.5700000000000001,3,0.13,0,0.0,0.31,0.09,2,0.09,0.03,2,0.09,4,0.18,75.0,50.0,0.0,0.09,0.0,0.09,0.0,0.0,0.0,0.0,0.26,66.67,1.4100000000000001,37.5,0.35000000000000003,0.35000000000000003,0.0,30.22,0.31,0.35000000000000003,46.15,87.67,19.59,76.58,2.65,96.67,40.63,92.73,5.43,51.22,20.18,35.8,0.0,0.09,0.0,0.04,0.0,0.0,0.0,3.79,59.3,0.18,25.0,0.09,0.0,0.22,0.0,8.56,70.62,96.46,19.94,0,,0,,0,0.0,0.0,0.0,,,1.5,,3.04,0.0,0.0,0.0,0.0,0,0.0
T. Pavlou,Timotheos Pavlou,284333,Karmiotissa,Karmiotissa,https://cdn5.wyscout.com/photos/team/public/g22623_120x120.png,2. Division,RB,RB,96,,0,,0,31.0,1994-09-08,125000,2026-05-31,23,2025,3,2.42,4,3.45,17.16,50.78,Cyprus,['Cyprus'],right,178,72,False,8.13,6.44,65.52,1.82,51.22,0.13,0.2,0.09,3.7800000000000002,5.62,0.89,2,0.09,0,0.0,2.89,0.13,2,0.09,0.11,0,0.0,22,0.98,36.36,13.636,0.18,3.7800000000000002,25.88,0.18,50.0,3.51,25.32,0.53,2.58,60.34,6.8,39.22,1.33,1.87,0.22,21.91,1.33,0.98,32.36,67.45,14.49,61.96,4.84,89.91,23.24,81.26,5.69,37.5,22.46,36.91,0.15,1.16,0.0,0.09,0.0,0.0,0.4,5.07,55.26,3.11,30.0,0.31,0.0,0.44,0.93,7.73,64.94,65.45,8.49,0,,0,,0,0.0,0.0,0.0,,,0.31,,1.82,1.2,0.22,20.0,2.13,1,100.0
