Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
N. Agbre,Noel Agbre,-306816,Melaka,Melaka,https://cdn5.wyscout.com/photos/team/public/g-18105_120x120.png,Super League,"LCB, RCB, CB",LCB,32,RCB,25,CB,18,25.0,2000-12-23,0,2026-05-31,25,2473,1,0.84,0,0.1,8.88,61.89,Côte d'Ivoire,"[""Côte d'Ivoire""]",right,188,0,False,7.86,4.4,67.77,2.66,56.16,0.07,0.1,0.62,4.8,6.55,0.47000000000000003,3,0.11,0,0.0,0.29,0.04,0,0.0,0.03,0,0.0,3,0.11,33.33,33.333,0.0,0.11,66.67,0.04,0.0,0.07,100.0,0.0,0.22,83.33,0.91,52.0,0.22,0.25,0.0,21.84,0.11,0.22,35.59,84.15,17.4,76.36,2.07,96.49,30.68,89.68,4.8,49.24,21.42,41.35,0.0,0.15,0.04,0.0,0.0,0.0,0.04,4.59,63.49,0.29,37.5,0.07,50.0,0.04,0.07,7.21,67.68,93.3,13.03,0,,0,,0,0.0,0.0,0.0,,,1.49,,2.66,0.04,0.0,0.0,0.0,1,100.0
Azri Ghani,Muhammad Azri Bin Ab Ghani,-104250,Negeri Sembilan,Negeri Sembilan,https://cdn5.wyscout.com/photos/team/public/g3276_120x120.png,Super League,GK,GK,100,,0,,0,27.0,1999-04-30,150000,2026-05-31,24,2411,0,0.0,0,0.0,0.9,75.0,Malaysia,['Malaysia'],right,176,81,False,1.49,0.07,50.0,0.45,66.67,0.0,0.0,0.04,1.46,2.46,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,100.0,0.0,0.0,0.0,6.42,0.19,0.22,13.51,83.43,7.95,74.18,0.04,100.0,9.33,97.2,4.14,53.15,30.93,41.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08,34.48,0.11,0.0,0.07,50.0,0.0,0.0,3.47,64.52,97.06,5.08,35,1.31,109,4.07,4,67.89,34.0,1.27,-1.0,-0.037,0.0,1.49,0.45,,,,0.0,0,0.0
Q. Kammeraad,Quincy Julian Kammeraad,-262400,Kuala Lumpur City,Kuala Lumpur City,https://cdn5.wyscout.com/photos/team/public/g3273_120x120.png,Super League,GK,GK,100,,0,,0,25.0,2001-02-01,0,2027-06-30,24,2378,0,0.0,0,0.0,0.72,73.68,Philippines,['Philippines'],right,185,0,False,0.87,0.19,60.0,0.42,90.91,0.0,0.0,0.0,0.76,1.18,0.04,1,0.04,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.11,33.33,0.0,0.0,0.0,14.19,0.26,0.08,20.13,89.47,8.78,81.47,0.04,100.0,14.68,98.97,5.41,64.34,29.8,45.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9500000000000001,48.0,0.04,0.0,0.04,0.0,0.0,0.0,3.67,73.2,95.82,10.86,29,1.1,90,3.41,8,67.78,29.37,1.11,0.37,0.014,0.0,1.3599999999999999,0.42,,,,0.0,0,0.0
P. Shitembi,Petrus Shitembi,217134,Kuching City,Kuching City,https://cdn5.wyscout.com/photos/team/public/g38280_120x120.png,Super League,"RCMF, RCMF3, AMF",RCMF,33,RCMF3,30,AMF,11,34.0,1992-05-11,200000,2026-05-31,24,2341,3,3.69,2,4.62,14.8,51.69,Namibia,['Namibia'],left,179,70,False,4.84,4.77,68.55,0.54,42.86,0.04,0.06,0.08,1.54,2.48,0.6900000000000001,0,0.0,0,0.0,3.61,0.12,3,0.12,0.14,0,0.0,38,1.46,39.47,7.895,0.08,3.81,44.44,1.73,35.56,2.04,50.94,0.54,2.15,55.36,8.38,44.95,2.11,2.23,0.54,36.14,1.08,1.38,45.63,80.45,15.92,71.01,7.57,93.4,37.25,87.31,4.69,53.28,18.34,32.49,0.18,1.6099999999999999,0.12,0.04,0.38,40.0,0.81,7.84,71.57,5.84,47.37,0.85,45.45,1.65,1.73,10.03,86.59,82.14,15.07,0,,0,,0,0.0,0.0,0.0,,,0.42,,0.54,0.85,0.04,0.0,2.42,0,0.0
Kamal Azizi,Mohamad Kamal Azizi bin Mohamad Zabri,435157,Kuala Lumpur City,Kuala Lumpur City,https://cdn5.wyscout.com/photos/team/public/g3273_120x120.png,Super League,RB,RB,96,,0,,0,32.0,1993-08-28,225000,2026-05-31,24,2311,2,1.13,2,1.27,10.94,53.38,Malaysia,['Malaysia'],,172,56,False,6.0,4.91,61.11,1.99,43.14,0.19,0.30000000000000004,0.04,2.8,4.35,0.51,2,0.08,0,0.0,1.56,0.08,2,0.08,0.04,0,0.0,20,0.78,25.0,10.0,0.08,3.23,25.3,0.04,0.0,3.19,25.61,0.47000000000000003,0.97,56.0,2.73,45.71,1.25,1.32,0.08,26.48,3.43,1.09,33.88,79.77,9.97,70.31,8.22,96.21,28.86,88.39,1.99,39.22,17.58,34.92,0.05,0.47000000000000003,0.0,0.04,0.0,0.0,0.27,2.77,76.06,2.5300000000000002,40.0,0.08,50.0,0.43,0.8200000000000001,5.45,65.0,76.42,9.58,0,,0,,0,0.0,0.0,0.0,,,0.31,,1.99,0.0,0.0,0.0,0.0,0,0.0
Irfan Zakaria,Irfan Zakaria,331303,Melaka,Melaka,https://cdn5.wyscout.com/photos/team/public/g-18105_120x120.png,Super League,"LCB, LCB3, LB",LCB,54,LCB3,20,LB,11,30.0,1995-06-04,200000,2026-05-31,24,2287,1,1.38,0,0.05,7.63,56.7,Malaysia,['Malaysia'],right,183,67,False,7.67,3.9699999999999998,67.33,1.97,46.0,0.16,0.21,0.71,4.84,6.35,0.39,1,0.04,0,0.0,0.28,0.04,1,0.04,0.05,0,0.0,8,0.31,37.5,12.5,0.0,0.2,40.0,0.2,40.0,0.0,0.0,0.04,0.12,66.67,0.8300000000000001,38.1,0.28,0.28,0.0,18.65,0.16,0.39,28.92,84.22,12.36,73.57,1.65,90.48,24.2,90.41,4.5600000000000005,52.59,21.87,39.55,0.0,0.16,0.0,0.08,0.04,0.0,0.04,4.41,65.18,0.35000000000000003,22.22,0.28,0.0,0.0,0.08,6.18,70.7,93.79,12.04,0,,0,,0,0.0,0.0,0.0,,,1.02,,1.97,0.24,0.04,0.0,0.0,0,0.0
Dane Ingham,Dane James Ingham,472613,Sabah,Sabah,https://cdn5.wyscout.com/photos/team/public/g3262_120x120.png,Super League,"RB, RWB, RB5",RB,40,RWB,17,RB5,15,26.0,1999-06-08,400000,2026-05-31,23,2234,0,0.39,1,2.18,12.53,58.2,Australia,"['Australia', 'New Zealand']",right,186,73,False,7.53,5.24,66.15,1.77,54.55,0.36,0.54,0.81,3.71,5.5600000000000005,0.81,5,0.2,0,0.0,2.3,0.0,0,0.0,0.02,0,0.0,9,0.36,33.33,0.0,0.04,2.42,30.0,0.04,0.0,2.38,30.51,0.36,2.14,66.04,4.43,50.91,0.81,1.01,0.08,23.08,1.69,0.64,32.39,80.85,12.61,74.76,5.04,94.4,27.19,87.11,2.98,62.16,19.25,39.21,0.09,0.73,0.08,0.0,0.08,50.0,0.36,5.48,77.94,3.26,38.27,0.56,42.86,0.85,0.6000000000000001,8.3,83.5,83.4,9.47,0,,0,,0,0.0,0.0,0.0,,,0.52,,1.77,0.28,0.04,100.0,0.64,0,0.0
Safawi Rasid,Muhammad Safawi bin Rasid,435566,Kuala Lumpur City,Kuala Lumpur City,https://cdn5.wyscout.com/photos/team/public/g3273_120x120.png,Super League,"RW, RAMF, RWF",RW,46,RAMF,22,RWF,22,29.0,1997-03-05,200000,2026-05-31,23,2221,13,9.82,3,3.86,9.24,52.63,Malaysia,['Malaysia'],left,173,74,True,1.54,1.26,58.06,1.26,54.84,0.0,0.0,0.0,0.81,1.28,0.24,3,0.12,0,0.0,3.12,0.53,13,0.53,0.4,3,0.12,74,3.0,37.84,17.568,0.12,1.01,44.0,0.08,0.0,0.93,47.83,0.2,1.82,80.0,5.67,50.71,3.44,1.5,0.04,20.5,2.88,1.5,23.5,82.41,6.08,69.33,5.67,92.86,20.79,86.55,1.7000000000000002,54.76,16.33,27.26,0.16,1.13,0.04,0.04,0.24,33.33,0.61,2.19,66.67,2.35,55.17,0.41000000000000003,20.0,1.26,0.49,3.65,88.89,82.63,6.77,0,,0,,0,0.0,0.0,0.0,,,0.04,,1.26,0.41000000000000003,0.24,0.0,0.65,0,0.0
J. Okwuosa,James Okwuosa,255206,Kuching City,Kuching City,https://cdn5.wyscout.com/photos/team/public/g38280_120x120.png,Super League,"RCB, CB, LCB",RCB,54,CB,30,LCB,13,35.0,1990-09-14,100000,2026-05-31,23,2220,1,1.9100000000000001,2,0.66,8.64,59.62,Nigeria,['Nigeria'],left,0,0,False,6.41,3.24,62.5,2.7199999999999998,62.69,0.0,0.0,0.85,4.38,6.94,1.09,3,0.12,0,0.0,0.28,0.04,1,0.04,0.08,1,0.04,9,0.36,55.56,11.111,0.08,0.16,50.0,0.08,50.0,0.08,50.0,0.04,0.0,0.0,1.01,52.0,0.73,0.81,0.0,23.76,0.36,0.49,34.58,89.92,14.03,84.1,1.62,97.5,31.05,93.21,3.41,60.71,20.59,38.73,0.03,0.16,0.0,0.0,0.0,0.0,0.08,4.46,78.18,0.53,38.46,0.36,44.44,0.24,0.08,5.88,74.48,95.93,14.96,0,,0,,0,0.0,0.0,0.0,,,1.26,,2.7199999999999998,0.0,0.0,0.0,0.0,0,0.0
R. Lambert,Ryan Lambert,-70989,Kuala Lumpur City,Kuala Lumpur City,https://cdn5.wyscout.com/photos/team/public/g3273_120x120.png,Super League,"RCMF, RCMF3, LDMF",RCMF,21,RCMF3,19,LDMF,17,27.0,1998-09-21,225000,2026-05-31,24,2189,1,1.3,2,1.43,13.07,59.75,Australia,"['Australia', 'England']",right,178,0,False,6.25,4.19,70.59,1.27,58.06,0.29,0.44,0.16,3.0,4.61,0.8200000000000001,0,0.0,0,0.0,1.73,0.04,1,0.04,0.05,0,0.0,27,1.11,29.63,3.7039999999999997,0.08,1.27,25.81,0.45,18.18,0.7000000000000001,35.29,0.16,1.44,74.29,5.84,55.63,1.07,1.6,0.16,35.65,0.45,1.69,49.58,86.65,16.24,80.51,5.84,95.07,44.28,90.44,4.07,63.64,17.75,35.39,0.06,1.07,0.04,0.08,0.04,0.0,0.53,8.51,76.33,2.34,57.89,0.58,35.71,0.9500000000000001,0.41000000000000003,8.14,78.79,90.14,20.02,0,,0,,0,0.0,0.0,0.0,,,0.58,,1.27,0.0,0.0,0.0,0.08,0,0.0
