Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Gu Sung-Yun,Sung-Yun Gu,286938,Seoul,Seoul,https://cdn5.wyscout.com/photos/team/public/2428_120x120.png,K League 1,GK,GK,100,,0,,0,31.0,1994-06-27,600000,,15,1548,0,0.0,0,0.18,0.52,88.89,Korea Republic,['Korea Republic'],right,195,82,False,0.64,0.0,0.0,0.41000000000000003,100.0,0.0,0.0,0.0,0.64,1.0,0.0,1,0.06,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,100.0,0.0,0.0,0.0,11.69,0.12,0.12,17.27,89.23,7.33,78.57,0.06,0.0,12.79,98.64,4.48,62.34,26.69,50.36,0.01,0.06,0.0,0.0,0.0,0.0,0.0,1.34,73.91,0.06,0.0,0.06,0.0,0.0,0.0,3.08,75.47,97.42,9.01,12,0.7000000000000001,52,3.02,6,76.92,13.6,0.79,1.6,0.093,0.0,1.92,0.41000000000000003,,,,0.0,0,0.0
Seo Jae-Min,Jae-Min Seo,-142896,Incheon United,Incheon United,https://cdn5.wyscout.com/photos/team/public/2544_120x120.png,K League 1,"LCMF, LCMF3",LCMF,79,LCMF3,12,,0,22.0,2003-09-16,0,,15,1547,1,0.49,0,1.4,10.94,49.47,Korea Republic,['Korea Republic'],right,178,73,False,5.99,3.9,64.18,0.76,15.38,0.23,0.31,0.12,3.26,4.29,0.58,0,0.0,0,0.0,1.22,0.06,1,0.06,0.03,0,0.0,6,0.35000000000000003,33.33,16.667,0.0,0.58,40.0,0.58,40.0,0.0,0.0,0.06,1.57,55.56,4.83,43.37,0.64,1.57,0.23,31.88,0.58,1.11,42.7,86.24,11.69,72.14,11.34,93.85,38.98,89.4,3.14,55.56,17.51,30.98,0.08,0.58,0.06,0.06,0.12,0.0,0.35000000000000003,5.7,74.49,1.4,75.0,0.64,27.27,0.87,0.23,6.34,65.14,94.52,12.74,0,,0,,0,0.0,0.0,0.0,,,1.51,,0.76,0.0,0.0,0.0,0.0,0,0.0
Chang-Geun Lee,Chang-Geun Lee,232023,Daejeon Citizen,Daejeon Citizen,https://cdn5.wyscout.com/photos/team/public/2546_120x120.png,K League 1,GK,GK,100,,0,,0,32.0,1993-08-30,600000,,15,1545,0,0.0,0,0.0,0.52,88.89,Korea Republic,['Korea Republic'],right,186,80,False,0.58,0.0,0.0,0.29,80.0,0.0,0.0,0.0,0.58,0.84,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,100.0,0.0,0.0,0.0,16.83,0.41000000000000003,0.35000000000000003,22.89,89.57,12.35,81.6,0.0,0.0,12.52,99.53,10.31,77.97,34.03,48.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.15,75.93,0.12,0.0,0.17,0.0,0.0,0.0,8.39,86.11,99.41,9.9,16,0.93,63,3.67,3,74.6,20.37,1.19,4.37,0.255,0.0,0.87,0.29,,,,0.0,0,0.0
Choi Jun,Jun Choi,-83427,Seoul,Seoul,https://cdn5.wyscout.com/photos/team/public/2428_120x120.png,K League 1,RB,RB,99,,0,,0,27.0,1999-04-17,650000,,15,1542,0,0.05,0,0.68,15.7,54.65,Korea Republic,['Korea Republic'],right,174,67,False,8.93,6.89,64.41,1.69,65.52,0.23,0.36,0.29,4.26,6.66,1.4,4,0.23,0,0.0,1.75,0.0,0,0.0,0.0,0,0.0,6,0.35000000000000003,0.0,0.0,0.0,1.4,54.17,0.0,0.0,1.4,54.17,0.18,1.46,68.0,5.08,44.83,0.29,0.99,0.47000000000000003,33.33,0.8200000000000001,1.63,43.54,84.72,17.63,74.83,7.06,95.04,36.13,90.63,6.07,56.73,18.55,33.95,0.04,0.58,0.12,0.0,0.0,0.0,0.47000000000000003,7.0,76.67,1.9300000000000002,57.58,0.76,53.85,0.53,0.7000000000000001,8.81,72.85,88.46,12.14,0,,0,,0,0.0,0.0,0.0,,,0.47000000000000003,,1.69,0.0,0.0,0.0,0.0,0,0.0
Song Bum-Keun,Bum-Keun Song,465554,Jeonbuk Motors,Jeonbuk Motors,https://cdn5.wyscout.com/photos/team/public/2550_120x120.png,K League 1,GK,GK,100,,0,,0,28.0,1997-10-15,1000000,,15,1542,0,0.0,0,0.04,0.47000000000000003,100.0,Korea Republic,['Korea Republic'],right,196,93,False,0.7000000000000001,0.0,0.0,0.29,100.0,0.0,0.0,0.0,0.7000000000000001,1.06,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,100.0,0.0,0.06,0.0,15.53,0.18,0.12,20.84,88.24,9.57,75.0,0.0,0.0,14.24,99.59,6.42,65.45,31.68,49.24,0.0,0.06,0.0,0.0,0.0,0.0,0.06,2.8,58.33,0.47000000000000003,25.0,0.23,25.0,0.12,0.0,4.96,80.0,100.0,10.56,12,0.7000000000000001,55,3.21,7,78.18,17.39,1.02,5.39,0.315,0.0,0.88,0.29,,,,0.0,0,0.0
Dong-Jun Kim,Dong-Jun Kim,298077,Jeju SK,Jeju SK,https://cdn5.wyscout.com/photos/team/public/2551_120x120.png,K League 1,GK,GK,100,,0,,0,31.0,1994-12-19,600000,,15,1526,0,0.0,0,0.0,0.88,93.33,Korea Republic,['Korea Republic'],right,189,85,False,1.3,0.0,0.0,0.53,100.0,0.0,0.0,0.0,1.3,1.52,0.0,1,0.06,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.18,66.67,0.0,0.0,0.0,8.32,0.41000000000000003,0.41000000000000003,13.68,86.21,7.08,75.83,0.0,0.0,8.73,99.32,4.95,63.1,32.04,48.73,0.0,0.0,0.06,0.0,0.0,0.0,0.0,1.5899999999999999,59.26,0.0,0.0,0.06,100.0,0.0,0.0,3.6,72.13,97.2,6.31,16,0.9400000000000001,55,3.24,5,70.91,17.22,1.02,1.22,0.07200000000000001,0.0,2.42,0.53,,,,0.0,0,0.0
Jo Hyeon-Woo,Hyeon-Woo Jo,286390,Ulsan Hyundai,Ulsan Hyundai,https://cdn5.wyscout.com/photos/team/public/2403_120x120.png,K League 1,GK,GK,100,,0,,0,34.0,1991-09-25,900000,,15,1524,0,0.0,0,0.0,0.65,90.91,Korea Republic,['Korea Republic'],right,189,75,False,0.35000000000000003,0.06,0.0,0.59,100.0,0.0,0.0,0.0,0.35000000000000003,0.42,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,12.52,0.30000000000000004,0.24,17.07,88.58,8.27,77.86,0.0,0.0,12.17,98.54,4.9,63.86,28.8,47.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,45.45,0.0,0.0,0.0,0.0,0.0,0.0,3.54,65.0,98.51,7.91,20,1.18,62,3.66,3,67.74,21.32,1.26,1.32,0.078,0.0,1.71,0.59,,,,0.0,0,0.0
Hwang In-Jae,In-Jae Hwang,438421,Pohang Steelers,Pohang Steelers,https://cdn5.wyscout.com/photos/team/public/2178_120x120.png,K League 1,GK,GK,100,,0,,0,32.0,1994-04-22,550000,,15,1517,0,0.0,0,0.0,0.71,91.67,Korea Republic,['Korea Republic'],right,187,73,False,1.3599999999999999,0.12,100.0,0.47000000000000003,87.5,0.0,0.0,0.0,1.25,1.8,0.0,1,0.06,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,100.0,0.0,0.0,0.06,12.76,0.18,0.06,19.1,83.23,11.87,75.5,0.0,0.0,9.67,96.93,9.43,69.18,35.18,49.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.38,59.65,0.0,0.0,0.12,50.0,0.0,0.0,7.12,81.67,95.28,6.29,12,0.71,47,2.79,7,74.47,12.95,0.77,0.9500000000000001,0.056,0.0,1.72,0.47000000000000003,,,,0.0,0,0.0
Park Cheong-Hyo,Cheong-Hyo Park,286609,Gangwon,Gangwon,https://cdn5.wyscout.com/photos/team/public/2543_120x120.png,K League 1,GK,GK,100,,0,,0,36.0,1990-02-13,200000,,15,1515,0,0.0,0,0.0,0.59,80.0,Korea Republic,['Korea Republic'],right,190,77,False,0.89,0.12,100.0,0.36,83.33,0.0,0.0,0.0,0.77,1.19,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.44,0.18,0.06,20.32,80.41,16.22,76.92,0.0,0.0,6.36,95.33,13.96,73.62,43.85,53.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,76.92,0.36,50.0,0.65,63.64,0.24,0.0,11.05,86.02,96.77,3.68,10,0.59,51,3.03,8,80.39,14.07,0.84,4.07,0.242,0.0,1.37,0.36,,,,0.0,0,0.0
Juan Antonio,Juan Antonio Ros Martínez,317048,Seoul,Seoul,https://cdn5.wyscout.com/photos/team/public/2428_120x120.png,K League 1,"LCB, RCB",LCB,79,RCB,19,,0,30.0,1996-03-15,300000,2026-12-31,15,1501,2,1.35,0,0.0,12.29,55.61,Spain,['Spain'],right,188,82,False,7.73,4.62,67.53,4.5600000000000005,48.68,0.24,0.38,0.66,4.38,6.89,0.84,3,0.18,0,0.0,0.18,0.12,2,0.12,0.08,1,0.06,6,0.36,50.0,33.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,37.5,0.6000000000000001,0.24,0.0,38.79,0.42,0.36,53.3,93.14,18.83,85.35,2.94,97.96,48.99,95.84,4.32,62.5,19.76,34.65,0.0,0.0,0.06,0.06,0.0,0.0,0.0,4.44,74.32,0.06,0.0,0.12,50.0,0.0,0.0,6.96,75.0,97.27,26.32,0,,0,,0,0.0,0.0,0.0,,,1.5,,4.5600000000000005,0.0,0.0,0.0,0.0,0,0.0
