Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
B. Mrozek,Bartosz Mrozek,468239,Lech Poznań,Lech Poznań,https://cdn5.wyscout.com/photos/team/public/447_120x120.png,Ekstraklasa,GK,GK,100,,0,,0,26.0,2000-02-23,0,2028-06-30,27,2679,0,0.0,0,0.0,0.64,94.74,Poland,['Poland'],right,191,79,False,1.24,0.03,0.0,0.4,100.0,0.0,0.0,0.0,1.24,1.8599999999999999,0.07,1,0.03,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.17,100.0,0.0,0.0,0.0,13.87,0.34,0.2,21.67,89.15,9.2,76.64,0.0,0.0,16.93,98.21,4.7,57.14,25.69,46.99,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.84,28.0,0.1,0.0,0.03,100.0,0.0,0.0,3.76,59.82,98.47,10.95,37,1.24,115,3.86,8,67.83,32.05,1.08,-4.95,-0.166,0.0,1.4100000000000001,0.4,,,,0.0,0,0.0
R. Leszczyński,Rafał Leszczyński,137179,Wisła Płock,Wisła Płock,https://cdn5.wyscout.com/photos/team/public/3828_120x120.png,Ekstraklasa,GK,GK,100,,0,,0,33.0,1992-04-26,700000,2027-06-30,27,2655,0,0.0,0,0.0,0.61,83.33,Poland,['Poland'],right,187,82,False,1.3900000000000001,0.14,75.0,0.34,90.0,0.0,0.0,0.0,1.29,1.42,0.0,3,0.1,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,66.67,0.0,0.03,0.0,18.37,0.17,0.17,27.32,82.01,16.37,71.01,0.03,0.0,15.32,98.01,12.0,61.58,34.79,50.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.93,51.72,0.51,13.33,0.2,33.33,0.03,0.0,8.51,76.49,98.71,10.47,26,0.88,118,4.0,6,77.97,32.81,1.11,6.8100000000000005,0.231,0.0,1.76,0.34,,,,0.0,0,0.0
M. Haglind-Sangré,Marcus Haglind-Sangré,209819,Wisła Płock,Wisła Płock,https://cdn5.wyscout.com/photos/team/public/3828_120x120.png,Ekstraklasa,RCB3,RCB3,99,,0,,0,31.0,1995-02-04,300000,2027-06-30,27,2655,0,0.96,2,0.87,12.68,54.81,Sweden,['Sweden'],right,190,90,False,8.75,6.1,66.11,2.71,41.25,0.14,0.15,0.58,4.58,5.04,0.88,3,0.1,0,0.0,0.85,0.0,0,0.0,0.03,0,0.0,12,0.41000000000000003,8.33,0.0,0.07,1.15,47.06,0.07,100.0,1.08,43.75,0.27,0.41000000000000003,66.67,2.1,35.48,0.85,0.81,0.0,27.66,0.81,0.68,37.63,84.68,15.46,74.56,4.68,94.2,32.03,91.22,4.54,47.01,20.32,38.55,0.03,0.47000000000000003,0.07,0.0,0.0,0.0,0.17,4.71,69.06,1.12,51.52,0.14,25.0,0.24,0.61,7.15,63.03,91.52,13.59,0,,0,,0,0.0,0.0,0.0,,,1.69,,2.71,0.0,0.0,0.0,0.0,0,0.0
M. Kamiński,Marcin Kamiński,101016,Wisła Płock,Wisła Płock,https://cdn5.wyscout.com/photos/team/public/3828_120x120.png,Ekstraklasa,CB,CB,99,,0,,0,34.0,1992-01-15,500000,2027-06-30,27,2642,2,2.2800000000000002,0,0.27,8.11,59.66,Poland,['Poland'],left,192,84,False,6.51,2.52,79.73,3.85,44.25,0.0,0.0,0.51,4.5,4.94,0.2,1,0.03,0,0.0,0.41000000000000003,0.07,2,0.07,0.08,2,0.07,15,0.51,40.0,13.333,0.0,0.17,60.0,0.03,100.0,0.14,50.0,0.03,0.1,100.0,0.31,77.78,0.51,1.09,0.03,29.43,0.24,0.07,44.22,91.37,16.18,82.11,2.59,97.37,39.72,95.54,4.33,54.33,20.74,38.15,0.01,0.14,0.0,0.0,0.03,0.0,0.03,4.22,68.55,0.44,53.85,0.34,30.0,0.1,0.1,6.44,73.02,97.38,22.07,0,,0,,0,0.0,0.0,0.0,,,1.77,,3.85,0.03,0.03,0.0,0.0,0,0.0
B. Nowak,Bartosz Nowak,288292,Katowice,Katowice,https://cdn5.wyscout.com/photos/team/public/2768_120x120.png,Ekstraklasa,"LWF, AMF",LWF,79,AMF,11,,0,32.0,1993-08-25,600000,2029-06-30,27,2585,7,6.93,11,8.65,10.13,38.14,Poland,['Poland'],right,180,73,False,3.38,2.33,52.24,0.56,43.75,0.17,0.24,0.14,1.98,2.71,0.35000000000000003,1,0.03,0,0.0,2.85,0.24,7,0.24,0.24,0,0.0,61,2.12,50.82,11.475,0.38,1.6,32.61,0.91,34.62,0.63,27.78,0.31,2.3,46.97,5.99,31.98,2.61,1.74,0.24,20.96,1.32,0.56,26.5,73.98,8.91,66.02,4.42,88.98,22.04,78.83,2.92,59.52,17.87,38.93,0.30000000000000004,2.16,0.07,0.07,0.31,55.56,0.63,3.86,68.47,3.17,53.85,1.04,53.33,1.78,0.56,5.8100000000000005,73.05,79.28,7.73,0,,0,,0,0.0,0.0,0.0,,,0.1,,0.56,2.92,0.42,50.0,4.25,0,0.0
A. Jędrych,Arkadiusz  Jędrych,190708,Katowice,Katowice,https://cdn5.wyscout.com/photos/team/public/2768_120x120.png,Ekstraklasa,CB,CB,100,,0,,0,33.0,1992-05-27,300000,2027-06-30,26,2583,5,3.79,0,0.11,10.59,64.14,Poland,['Poland'],right,193,90,False,6.83,3.31,75.79,4.7,61.48,0.1,0.14,0.98,4.22,5.82,0.49,4,0.14,0,0.0,0.42,0.17,4,0.14,0.13,2,0.07,20,0.7000000000000001,50.0,25.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.07,100.0,0.56,50.0,1.25,0.31,0.07,26.9,0.24,0.31,44.08,84.58,17.11,68.23,1.15,84.85,36.38,91.48,7.6,52.75,23.35,41.04,0.0,0.07,0.0,0.0,0.0,0.0,0.03,5.23,63.33,0.31,22.22,0.42,41.67,0.21,0.0,8.26,65.82,97.05,22.4,0,,0,,0,0.0,0.0,0.0,,,0.66,,4.7,0.0,0.0,0.0,0.0,1,100.0
X. Dziekoński,Xavier Dziekoński,-189414,Korona Kielce,Korona Kielce,https://cdn5.wyscout.com/photos/team/public/449_120x120.png,Ekstraklasa,GK,GK,100,,0,,0,22.0,2003-10-06,800000,2027-06-30,26,2551,0,0.0,0,0.0,1.02,89.66,Poland,['Poland'],right,188,77,False,1.27,0.07,50.0,0.64,88.89,0.0,0.0,0.0,1.23,1.6,0.04,0,0.0,0,0.0,0.04,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,0.14,100.0,0.0,0.0,0.0,14.46,0.28,0.32,24.63,80.09,15.7,70.56,0.0,0.0,13.27,97.07,11.32,60.44,34.63,49.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.95,54.46,0.39,18.18,0.28,0.0,0.07,0.0,8.04,76.75,97.47,8.36,29,1.02,125,4.41,8,76.8,34.34,1.21,5.34,0.188,0.0,1.76,0.64,,,,0.0,0,0.0
M. Wasielewski,Marcin Wasielewski,462498,Katowice,Katowice,https://cdn5.wyscout.com/photos/team/public/2768_120x120.png,Ekstraklasa,"RWB, LWB",RWB,65,LWB,24,,0,31.0,1994-08-23,300000,2027-06-30,26,2527,2,0.8300000000000001,2,3.16,16.67,53.85,Poland,['Poland'],right,172,73,False,9.58,7.05,64.14,1.75,40.82,0.32,0.45,0.32,4.74,6.61,1.42,5,0.18,0,0.0,2.67,0.07,2,0.07,0.03,0,0.0,23,0.8200000000000001,26.09,8.696,0.07,3.03,25.88,0.96,22.22,2.07,27.59,0.21,2.46,66.67,5.41,53.29,1.46,1.53,0.32,22.19,1.92,1.42,31.95,77.48,8.48,65.13,8.3,91.85,26.25,87.11,2.81,39.24,20.09,31.49,0.11,0.64,0.04,0.0,0.07,50.0,0.21,3.17,66.29,2.81,41.77,0.21,33.33,0.61,0.75,5.73,66.46,79.68,11.04,0,,0,,0,0.0,0.0,0.0,,,0.28,,1.75,0.0,0.0,0.0,0.0,0,0.0
D. Węglarz,Damian Węglarz,302991,Arka Gdynia,Arka Gdynia,https://cdn5.wyscout.com/photos/team/public/1138_120x120.png,Ekstraklasa,GK,GK,100,,0,,0,30.0,1996-03-21,150000,2026-06-30,26,2525,0,0.0,0,0.0,0.71,80.0,Poland,['Poland'],right,189,81,False,1.03,0.0,0.0,0.5,85.71,0.0,0.0,0.0,1.03,1.45,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,75.0,0.0,0.0,0.0,13.83,0.04,0.18,20.28,81.37,10.41,66.1,0.0,0.0,11.9,97.31,8.38,58.72,32.22,49.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.14,50.0,0.21,0.0,0.5,14.29,0.0,0.0,6.13,75.58,97.61,8.95,44,1.57,122,4.35,6,63.93,45.28,1.6099999999999999,1.28,0.046,0.0,1.35,0.5,,,,0.0,0,0.0
M. Lubik,Marcel Lubik,-117884,Górnik Zabrze,Górnik Zabrze,https://cdn5.wyscout.com/photos/team/public/451_120x120.png,Ekstraklasa,GK,GK,100,,0,,0,21.0,2004-05-19,300000,2028-06-30,26,2523,0,0.0,0,0.03,0.71,75.0,Poland,"['Poland', 'Germany']",left,190,85,True,0.68,0.04,0.0,0.54,80.0,0.0,0.0,0.0,0.68,0.86,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,50.0,0.0,0.0,0.0,15.73,0.29,0.18,21.58,75.04,12.98,60.16,0.0,0.0,10.63,99.66,10.95,51.14,38.01,52.46,0.0,0.04,0.04,0.0,0.0,0.0,0.0,3.39,37.89,0.46,7.69,0.68,15.79,0.04,0.0,7.49,70.48,97.31,7.95,27,0.96,73,2.6,7,63.01,29.86,1.07,2.86,0.10200000000000001,0.0,1.43,0.54,,,,0.0,0,0.0
