Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
J. Lemanowicz,Jakub Lemanowicz,-87746,Pogoń Siedlce,Pogoń Siedlce,https://cdn5.wyscout.com/photos/team/public/g13545_120x120.png,I Liga,GK,GK,100,,0,,0,27.0,1999-03-27,150000,2027-06-30,33,3203,0,0.0,0,0.0,0.67,100.0,Poland,['Poland'],right,190,0,False,0.96,0.03,100.0,0.53,100.0,0.0,0.0,0.0,0.93,1.18,0.0,2,0.06,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,100.0,0.0,0.0,0.0,6.66,0.2,0.11,12.34,83.83,6.46,71.3,0.08,100.0,7.7,95.62,4.61,64.63,31.38,44.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,51.52,0.03,0.0,0.0,0.0,0.0,0.0,3.93,68.57,98.96,5.42,41,1.15,154,4.33,9,73.38,38.45,1.08,-2.55,-0.07200000000000001,0.06,2.3,0.53,,,,0.0,0,0.0
A. Mikułko,Antoni Mikułko,-243425,Wieczysta Kraków,Wieczysta Kraków,https://cdn5.wyscout.com/photos/team/public/g-14767_120x120.png,I Liga,GK,GK,100,,0,,0,21.0,2005-02-11,0,2026-06-30,33,3185,0,0.0,0,0.36,0.65,78.26,Poland,['Poland'],left,189,77,False,1.24,0.06,50.0,0.37,84.62,0.03,0.04,0.0,1.19,1.8,0.03,2,0.06,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,50.0,0.0,0.03,0.0,11.42,0.23,0.17,17.24,85.41,8.7,72.4,0.0,0.0,10.79,97.91,6.44,64.47,30.75,47.33,0.01,0.03,0.03,0.0,0.0,0.0,0.03,2.23,48.1,0.08,0.0,0.17,50.0,0.03,0.0,4.69,80.72,98.87,7.52,46,1.3,152,4.3,9,69.74,46.21,1.31,0.21,0.006,0.0,1.19,0.37,,,,0.0,0,0.0
M. Mazur,Myroslav Mazur,420545,Chrobry Głogów,Chrobry Głogów,https://cdn5.wyscout.com/photos/team/public/g8962_120x120.png,I Liga,LCB,LCB,99,,0,,0,27.0,1998-08-11,200000,2026-06-30,32,3142,8,7.11,1,1.3900000000000001,13.06,57.02,Ukraine,['Ukraine'],left,194,88,False,8.11,3.61,65.08,5.41,58.73,0.23,0.33,0.92,5.53,8.03,0.66,5,0.14,0,0.0,0.97,0.23,5,0.14,0.2,2,0.06,35,1.0,37.14,22.857,0.03,0.77,51.85,0.63,50.0,0.11,50.0,0.03,0.32,63.64,1.8900000000000001,42.42,1.2,1.06,0.06,36.78,0.43,0.86,51.36,83.49,24.92,75.4,2.46,96.51,38.61,91.69,12.0,58.95,24.38,41.61,0.04,0.26,0.0,0.0,0.0,0.0,0.17,9.85,66.86,2.52,54.55,1.29,51.11,0.97,0.4,13.41,76.5,92.22,19.88,0,,0,,0,0.0,0.0,0.0,,,1.35,,5.41,0.2,0.14,60.0,0.0,5,60.0
P. Kieszek,Paweł Kieszek,16597,Pogoń Grod. Mazowiecki,Pogoń Grod. Mazowiecki,https://cdn5.wyscout.com/photos/team/public/g22324_120x120.png,I Liga,GK,GK,100,,0,,0,42.0,1984-04-16,50000,2026-06-30,32,3096,0,0.0,0,0.0,0.64,68.18,Poland,['Poland'],right,187,83,False,1.54,0.06,50.0,0.44,86.67,0.03,0.04,0.0,1.48,1.9300000000000002,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,10.9,0.2,0.2,18.43,85.96,8.75,72.76,0.0,0.0,13.87,96.65,4.5600000000000005,53.5,27.0,44.91,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.05,27.78,0.06,0.0,0.0,0.0,0.0,0.0,3.52,59.5,98.68,8.81,54,1.57,168,4.88,3,67.86,47.19,1.37,-6.8100000000000005,-0.198,0.0,1.19,0.44,,,,0.0,0,0.0
M. Kuchta,Mateusz Kuchta,289869,Polonia Warszawa,Polonia Warszawa,https://cdn5.wyscout.com/photos/team/public/446_120x120.png,I Liga,GK,GK,100,,0,,0,30.0,1996-02-05,150000,2027-06-30,32,3080,0,0.0,1,0.63,0.8200000000000001,92.86,Poland,['Poland'],right,190,86,False,1.49,0.09,100.0,0.5,88.24,0.03,0.04,0.0,1.37,2.06,0.03,1,0.03,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,100.0,0.0,0.0,0.03,13.79,0.32,0.29,21.56,88.48,11.34,80.67,0.0,0.0,13.68,98.93,7.86,70.63,30.43,45.97,0.02,0.06,0.0,0.0,0.0,0.0,0.06,2.13,65.75,0.09,0.0,0.18,50.0,0.0,0.0,6.63,80.18,97.55,9.56,48,1.4,149,4.35,5,67.79,45.9,1.34,-2.1,-0.061,0.0,1.58,0.5,,,,0.0,0,0.0
K. Los,Kacper  Los,-268998,Pogoń Grod. Mazowiecki,Pogoń Grod. Mazowiecki,https://cdn5.wyscout.com/photos/team/public/g22324_120x120.png,I Liga,"RCMF, RCB3, DMF",RCMF,64,RCB3,12,DMF,10,26.0,2000-03-29,0,,32,3072,2,2.84,2,3.23,11.07,60.85,Poland,['Poland'],both,184,80,False,8.64,4.8,70.12,2.55,59.77,0.38,0.5,0.64,4.89,6.47,0.38,7,0.21,0,0.0,0.67,0.06,2,0.06,0.08,0,0.0,27,0.79,33.33,7.407,0.06,0.7000000000000001,37.5,0.32,54.55,0.35000000000000003,25.0,0.15,0.26,55.56,1.67,56.14,0.67,0.29,0.06,24.32,0.32,0.8200000000000001,36.3,81.84,12.42,67.45,5.3,95.58,31.41,86.57,4.19,53.85,18.95,33.79,0.09,0.7000000000000001,0.03,0.0,0.06,0.0,0.03,5.07,65.32,1.29,40.91,0.35000000000000003,16.67,0.38,0.29,6.45,61.36,88.72,13.77,0,,0,,0,0.0,0.0,0.0,,,0.7000000000000001,,2.55,0.85,0.15,60.0,0.64,0,0.0
K. Noiszewski,Karol Noiszewski,-108268,Pogoń Grod. Mazowiecki,Pogoń Grod. Mazowiecki,https://cdn5.wyscout.com/photos/team/public/g22324_120x120.png,I Liga,RCB3,RCB3,81,,0,,0,26.0,1999-11-13,0,2026-06-30,32,3066,8,8.57,3,2.52,11.77,53.12,Poland,['Poland'],right,193,0,False,7.28,3.99,57.35,3.02,57.28,0.06,0.08,0.47000000000000003,4.93,6.45,0.91,7,0.21,0,0.0,1.67,0.23,4,0.12,0.25,2,0.06,32,0.9400000000000001,50.0,25.0,0.09,0.79,44.44,0.12,75.0,0.65,40.91,0.15,1.17,57.5,3.41,48.28,1.1400000000000001,1.2,0.06,32.82,0.59,0.56,46.64,82.19,22.25,71.64,3.14,92.52,38.66,88.69,7.22,51.63,21.93,40.22,0.07,0.47000000000000003,0.03,0.03,0.23,75.0,0.32,9.51,68.21,2.35,41.25,1.5,41.18,0.76,0.32,11.33,73.32,94.56,17.26,0,,0,,0,0.0,0.0,0.0,,,0.68,,3.02,0.03,0.0,0.0,0.03,5,80.0
S. Szymański,Szymon Szymański,477533,Ruch Chorzów,Ruch Chorzów,https://cdn5.wyscout.com/photos/team/public/454_120x120.png,I Liga,"DMF, LDMF, LCMF",DMF,38,LDMF,29,LCMF,14,30.0,1996-04-13,300000,2027-06-30,32,3058,3,6.02,1,0.66,12.57,53.86,Poland,['Poland'],right,185,80,False,7.62,4.0,56.62,3.47,53.39,0.47000000000000003,0.68,0.53,4.89,7.01,1.06,5,0.15,1,0.03,1.0,0.09,1,0.03,0.18,0,0.0,59,1.74,23.73,5.085,0.03,0.74,28.0,0.41000000000000003,14.29,0.29,50.0,0.06,0.97,39.39,2.91,47.47,1.18,0.91,0.03,27.28,0.41000000000000003,1.27,41.41,81.17,13.33,61.37,5.44,96.22,35.46,87.14,5.24,48.31,19.36,36.03,0.02,0.26,0.03,0.06,0.0,0.0,0.15,6.03,64.39,2.18,50.0,0.41000000000000003,35.71,0.88,0.21,6.0,69.61,91.54,17.75,0,,0,,0,0.0,0.0,0.0,,,0.32,,3.47,0.03,0.03,0.0,0.0,3,66.667
A. Crăciun,Artur Crăciun,423820,Łódzki KS,Łódzki KS,https://cdn5.wyscout.com/photos/team/public/457_120x120.png,I Liga,"CB, LCB",CB,60,LCB,16,,0,27.0,1998-06-29,650000,2027-06-30,32,3054,6,5.7,1,0.89,12.5,58.73,Moldova,"['Moldova', 'Romania']",right,193,80,False,7.25,3.6,75.41,5.92,55.22,0.06,0.08,0.97,4.48,6.46,1.0,5,0.15,0,0.0,0.41000000000000003,0.18,4,0.12,0.17,4,0.12,29,0.85,34.48,20.69,0.03,0.24,25.0,0.03,0.0,0.18,16.67,0.0,0.06,100.0,0.59,40.0,1.62,0.24,0.0,27.2,0.41000000000000003,0.09,39.96,84.66,14.12,70.15,1.83,93.55,34.8,90.77,4.95,44.64,21.44,41.94,0.03,0.24,0.06,0.0,0.03,0.0,0.06,4.6,64.74,0.77,38.46,0.27,11.11,0.41000000000000003,0.03,5.83,58.59,93.83,20.54,0,,0,,0,0.0,0.0,0.0,,,1.0,,5.92,0.0,0.0,0.0,0.0,3,66.667
D. Arndt,Dawid Arndt,-118369,Chrobry Głogów,Chrobry Głogów,https://cdn5.wyscout.com/photos/team/public/g8962_120x120.png,I Liga,GK,GK,100,,0,,0,24.0,2001-09-22,200000,2026-06-30,31,3041,0,0.0,0,0.0,0.65,86.36,Poland,['Poland'],right,187,80,False,0.89,0.0,0.0,0.36,91.67,0.0,0.0,0.0,0.89,1.28,0.0,2,0.06,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,80.0,0.0,0.0,0.03,13.35,0.12,0.24,21.37,85.6,10.42,71.88,0.0,0.0,13.76,98.49,7.61,62.26,31.26,48.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.31,57.69,0.06,0.0,0.12,25.0,0.0,0.0,6.04,74.02,98.58,10.39,32,0.9500000000000001,128,3.79,9,75.0,38.27,1.13,6.27,0.186,0.0,1.78,0.36,,,,0.0,0,0.0
J. Grič,Jakub Grič,295746,Chrobry Głogów,Chrobry Głogów,https://cdn5.wyscout.com/photos/team/public/g8962_120x120.png,I Liga,RCB,RCB,96,,0,,0,29.0,1996-07-05,250000,2027-06-30,31,3040,3,2.08,1,0.42,10.66,61.39,Slovakia,['Slovakia'],right,181,78,False,7.79,4.71,67.92,2.31,56.41,0.12,0.17,0.9500000000000001,4.47,6.39,1.04,10,0.30000000000000004,0,0.0,0.71,0.09,3,0.09,0.06,1,0.03,22,0.65,36.36,13.636,0.03,0.53,44.44,0.09,66.67,0.44,40.0,0.03,0.33,72.73,1.1,48.65,0.77,1.54,0.06,29.99,0.36,0.74,45.12,88.65,14.27,75.31,3.32,97.32,39.64,93.95,4.97,51.19,21.5,37.14,0.01,0.21,0.03,0.06,0.0,0.0,0.06,4.65,70.06,1.01,52.94,0.47000000000000003,37.5,0.44,0.27,6.54,62.44,95.67,24.63,0,,0,,0,0.0,0.0,0.0,,,2.46,,2.31,0.0,0.0,0.0,0.0,0,0.0
A. Gajgier,Aleksander Gajgier,-384272,Pogoń Grod. Mazowiecki,Pogoń Grod. Mazowiecki,https://cdn5.wyscout.com/photos/team/public/g22324_120x120.png,I Liga,"CB, RCB",CB,89,RCB,10,,0,22.0,2003-08-10,0,2026-06-30,32,3035,2,2.39,0,0.5,12.25,65.13,Poland,['Poland'],right,193,78,False,9.25,4.74,73.13,5.37,60.22,0.06,0.08,0.86,5.72,7.51,0.74,1,0.03,0,0.0,0.36,0.06,2,0.06,0.07,2,0.06,16,0.47000000000000003,43.75,12.5,0.0,0.12,25.0,0.06,50.0,0.06,0.0,0.06,0.12,100.0,0.39,61.54,0.65,0.21,0.0,36.21,0.12,0.30000000000000004,52.67,89.7,15.42,73.08,2.14,88.89,46.14,94.28,6.41,57.87,22.13,40.2,0.01,0.03,0.0,0.03,0.0,0.0,0.03,3.47,64.96,0.21,14.29,0.33,27.27,0.06,0.03,8.07,62.5,97.74,31.52,0,,0,,0,0.0,0.0,0.0,,,1.6600000000000001,,5.37,0.0,0.0,0.0,0.0,0,0.0
M. Szromnik,Michał Szromnik,159590,Śląsk Wrocław,Śląsk Wrocław,https://cdn5.wyscout.com/photos/team/public/1137_120x120.png,I Liga,GK,GK,100,,0,,0,33.0,1993-03-04,150000,2027-06-30,31,3027,0,0.0,0,0.0,0.59,95.0,Poland,['Poland'],right,190,80,False,1.72,0.09,66.67,0.39,100.0,0.0,0.0,0.0,1.67,2.52,0.0,3,0.09,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,100.0,0.0,0.0,0.06,8.21,0.09,0.18,14.72,86.26,7.31,76.02,0.06,100.0,9.81,97.88,4.88,63.41,31.8,45.55,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.89,50.0,0.06,0.0,0.06,50.0,0.0,0.0,3.98,70.9,96.61,7.02,46,1.37,121,3.6,5,61.98,41.59,1.24,-4.41,-0.131,0.03,0.98,0.39,,,,0.0,0,0.0
