Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Jan Jurčec,Jan Jurčec,-125021,Kryvbas KR,Kryvbas KR,https://cdn5.wyscout.com/photos/team/public/g9055_120x120.png,VBET League,RB,RB,100,,0,,0,25.0,2000-11-27,0,2027-06-30,22,2137,0,0.24,3,1.04,12.89,51.63,Croatia,"['Croatia', 'Poland']",right,177,66,False,8.59,5.85,61.15,1.47,28.57,0.34,0.46,0.08,4.67,6.42,0.72,2,0.08,0,0.0,1.35,0.0,0,0.0,0.01,0,0.0,5,0.21,0.0,0.0,0.13,1.31,48.39,0.04,100.0,1.26,46.67,0.04,0.88,80.95,3.45,51.22,0.17,1.05,0.38,18.7,1.01,1.05,32.55,78.78,14.02,68.17,4.25,94.06,26.74,85.83,4.59,45.87,19.88,39.03,0.04,0.59,0.0,0.04,0.0,0.0,0.34,4.55,60.19,1.56,59.46,0.21,0.0,0.29,0.55,7.71,63.93,86.02,9.94,0,,0,,0,0.0,0.0,0.0,,,0.59,,1.47,0.0,0.0,0.0,0.21,0,0
Y. Gereta,Yuriy-Volodymyr Gereta,-147697,Rukh Lviv,Rukh Lviv,https://cdn5.wyscout.com/photos/team/public/g36815_120x120.png,VBET League,GK,GK,100,,0,,0,22.0,2004-01-30,200000,2026-12-31,22,2123,0,0.0,0,0.0,0.98,82.61,Ukraine,['Ukraine'],right,189,79,False,1.4,0.08,50.0,0.55,92.31,0.0,0.0,0.0,1.3599999999999999,1.78,0.04,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.13,66.67,0.0,0.0,0.0,19.42,0.42,0.21,29.72,85.02,16.36,75.39,0.04,0.0,19.71,96.56,9.96,62.55,30.34,46.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,49.15,0.30000000000000004,14.29,0.17,0.0,0.0,0.0,7.29,69.77,98.25,12.12,35,1.48,92,3.9,4,61.96,31.59,1.34,-3.41,-0.145,0.0,1.4,0.55,,,,0.0,0,0
M. Zaderaka,Maksym Zaderaka,335268,Kryvbas KR,Kryvbas KR,https://cdn5.wyscout.com/photos/team/public/g9055_120x120.png,VBET League,"RCMF, RCMF3, AMF",RCMF,53,RCMF3,22,AMF,16,31.0,1994-09-07,900000,2026-06-30,22,2107,6,3.88,0,2.06,13.2,43.69,Ukraine,['Ukraine'],right,171,72,False,5.21,4.23,55.56,2.22,38.46,0.43,0.58,0.13,2.43,3.33,0.85,2,0.09,0,0.0,2.26,0.26,6,0.26,0.17,1,0.04,23,0.98,52.17,26.087,0.0,2.48,24.14,0.13,33.33,2.31,24.07,0.38,1.62,65.79,5.04,36.44,1.88,1.2,0.21,17.68,0.81,0.81,26.27,64.88,10.04,53.62,5.0,87.18,19.39,75.11,4.44,43.27,21.4,36.13,0.09,0.56,0.0,0.0,0.21,40.0,0.21,5.34,55.2,2.56,33.33,0.9,28.57,0.43,0.64,5.17,68.6,66.27,7.22,0,,0,,0,0.0,0.0,0.0,,,0.43,,2.22,0.0,0.0,0.0,0.04,0,0
B. Mykhailichenko,Bogdan Mykhailichenko,319815,Polissya,Polissya,https://cdn5.wyscout.com/photos/team/public/g3698_120x120.png,VBET League,"LB, RB",LB,50,RB,43,,0,29.0,1997-03-21,2500000,2028-06-30,22,2075,0,0.31,1,0.96,11.8,54.78,Ukraine,['Ukraine'],left,178,73,False,7.85,5.2,64.17,1.6,56.76,0.74,0.97,0.22,3.77,4.96,0.8200000000000001,2,0.09,0,0.0,1.47,0.0,0,0.0,0.01,0,0.0,14,0.61,14.29,0.0,0.04,2.04,34.04,1.34,29.03,0.65,46.67,0.17,1.56,44.44,3.51,43.21,0.8200000000000001,2.47,0.39,39.56,2.08,0.8200000000000001,51.74,82.73,19.87,75.55,6.85,94.3,43.94,88.65,5.94,54.01,20.02,37.38,0.04,0.74,0.0,0.04,0.0,0.0,0.30000000000000004,7.98,75.54,2.52,50.0,0.61,42.86,0.52,0.65,11.15,75.88,88.17,18.69,0,,0,,0,0.0,0.0,0.0,,,1.0,,1.6,0.0,0.0,0.0,0.0,0,0
B. Faal,Baboucarr Faal,-414978,Karpaty,Karpaty,https://cdn5.wyscout.com/photos/team/public/1051_120x120.png,VBET League,CF,CF,100,,0,,0,23.0,2003-04-03,0,2028-06-30,22,2060,9,10.14,4,2.11,20.84,36.9,Gambia,['Gambia'],,187,0,False,3.58,2.62,53.33,7.34,43.45,0.0,0.0,0.26,2.18,2.92,1.09,1,0.04,0,0.0,1.6600000000000001,0.39,9,0.39,0.44,3,0.13,51,2.23,41.18,17.647,0.17,0.26,33.33,0.22,40.0,0.04,0.0,0.04,1.31,43.33,7.34,29.17,3.84,0.61,0.17,9.87,2.27,1.31,13.33,72.46,2.71,58.06,3.54,80.25,12.76,73.97,0.31,42.86,14.04,5.8100000000000005,0.09,0.5700000000000001,0.0,0.0,0.09,100.0,0.31,1.49,70.59,1.1400000000000001,53.85,0.13,100.0,1.05,0.04,1.1400000000000001,76.92,74.73,3.98,0,,0,,0,0.0,0.0,0.0,,,0.04,,7.34,0.0,0.0,0.0,0.0,1,0
D. Kuzyk,Denys Kuzyk,-65510,LNZ Cherkasy,LNZ Cherkasy,https://cdn5.wyscout.com/photos/team/public/g-14332_120x120.png,VBET League,"LB5, LB, LWF",LB5,42,LB,28,LWF,11,23.0,2002-09-18,0,2028-06-30,21,2049,2,1.06,2,3.81,10.94,53.82,Ukraine,['Ukraine'],left,180,74,False,7.51,4.88,61.26,1.8399999999999999,50.0,0.13,0.16,0.18,4.39,5.4,1.01,2,0.09,0,0.0,2.5,0.09,2,0.09,0.05,0,0.0,21,0.92,14.29,9.524000000000001,0.09,3.16,44.44,2.7199999999999998,43.55,0.44,50.0,0.31,1.54,60.0,3.29,48.0,0.8300000000000001,0.92,0.26,15.94,1.05,0.66,26.35,67.33,11.38,57.14,3.43,92.31,17.17,78.52,6.11,48.2,22.7,34.33,0.17,1.45,0.04,0.04,0.04,100.0,0.75,5.1,54.31,3.91,48.31,0.79,50.0,0.79,1.27,8.35,71.58,70.9,8.3,0,,0,,0,0.0,0.0,0.0,,,0.61,,1.8399999999999999,0.79,0.09,0.0,2.86,0,0
E. Sarapiy,Eduard Sarapiy,-38360,Polissya,Polissya,https://cdn5.wyscout.com/photos/team/public/g3698_120x120.png,VBET League,LCB,LCB,94,,0,,0,26.0,1999-05-12,1500000,2030-06-30,22,2039,2,3.3,0,0.49,11.03,70.8,Ukraine,['Ukraine'],right,186,66,False,6.93,3.71,73.81,4.99,69.91,0.31,0.4,0.62,3.88,5.09,0.75,3,0.13,0,0.0,0.79,0.09,1,0.04,0.15,1,0.04,30,1.32,43.33,6.667,0.0,0.22,60.0,0.18,75.0,0.0,0.0,0.0,0.13,66.67,0.84,78.95,0.62,1.46,0.0,49.3,0.49,0.4,64.4,89.79,22.03,78.76,3.27,93.24,53.28,94.53,10.9,67.21,22.8,38.71,0.02,0.18,0.04,0.0,0.04,0.0,0.09,9.53,75.46,1.02,30.43,0.66,26.67,0.22,0.13,10.81,80.0,96.55,34.56,0,,0,,0,0.0,0.0,0.0,,,2.25,,4.99,0.26,0.26,50.0,0.0,1,100
I. Pakholyuk,Ivan Pakholyuk,-194645,Kolos Kovalivka,Kolos Kovalivka,https://cdn5.wyscout.com/photos/team/public/g33977_120x120.png,VBET League,GK,GK,100,,0,,0,21.0,2004-04-27,0,2027-12-31,21,2026,0,0.0,0,0.0,0.62,78.57,Ukraine,['Ukraine'],right,182,73,False,1.15,0.04,0.0,0.31,85.71,0.0,0.0,0.0,1.15,1.57,0.04,1,0.04,0,0.0,0.04,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,0.09,100.0,0.0,0.0,0.0,15.86,0.4,0.18,22.48,83.4,11.86,71.54,0.0,0.0,12.97,98.97,9.46,62.44,33.68,51.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.07,55.07,0.04,0.0,0.22,40.0,0.04,0.0,6.53,73.47,96.41,9.91,20,0.89,94,4.18,7,78.72,28.84,1.28,8.84,0.393,0.0,1.51,0.31,,,,0.0,0,0
S. Chobotenko,Sergiy Chobotenko,319812,Polissya,Polissya,https://cdn5.wyscout.com/photos/team/public/g3698_120x120.png,VBET League,RCB,RCB,94,,0,,0,29.0,1997-01-16,0,2029-06-30,21,2015,1,1.88,1,0.62,9.96,61.43,Ukraine,['Ukraine'],right,193,81,False,7.15,3.5700000000000003,67.5,4.6,61.17,0.13,0.18,0.45,4.6,6.13,0.85,3,0.13,1,0.04,0.22,0.04,1,0.04,0.08,1,0.04,12,0.54,25.0,8.333,0.04,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.09,100.0,0.4,55.56,0.63,1.34,0.0,46.81,0.49,0.36,63.83,89.22,21.04,78.98,2.9,96.92,56.32,93.1,7.41,60.84,21.38,42.78,0.03,0.36,0.0,0.09,0.0,0.0,0.13,7.95,69.1,0.98,36.36,0.54,41.67,0.49,0.0,9.2,67.48,95.12,34.75,0,,0,,0,0.0,0.0,0.0,,,2.37,,4.6,0.0,0.0,0.0,0.0,0,0
H. Pasich,Hennadii Pasich,335336,LNZ Cherkasy,LNZ Cherkasy,https://cdn5.wyscout.com/photos/team/public/g-14332_120x120.png,VBET League,"RB, RB5",RB,52,RB5,42,,0,32.0,1993-07-13,500000,2026-06-30,21,1966,1,1.2,0,1.01,15.7,56.85,Ukraine,['Ukraine'],right,176,71,False,9.66,8.15,62.36,2.15,46.81,0.41000000000000003,0.51,0.27,4.17,5.16,1.1,3,0.14,0,0.0,2.01,0.05,1,0.05,0.05,0,0.0,24,1.1,20.83,4.167,0.0,2.24,30.61,0.27,50.0,1.92,28.57,0.14,1.74,60.53,3.11,50.0,0.6900000000000001,1.51,0.18,23.35,1.1,0.5,35.34,67.88,19.0,60.96,4.53,93.94,26.23,77.84,7.32,41.88,21.7,36.95,0.05,0.55,0.09,0.05,0.14,33.33,0.14,8.74,62.3,3.39,36.49,0.37,25.0,0.5,0.73,10.94,69.04,69.05,7.69,0,,0,,0,0.0,0.0,0.0,,,0.8200000000000001,,2.15,0.32,0.0,0.0,0.78,0,0
