Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
G. Selmani,Gentian Selmani,382357,Teuta Durrës,Teuta Durrës,https://cdn5.wyscout.com/photos/team/public/2211_120x120.png,Abissnet Superiore,GK,GK,100,,0,,0,28.0,1998-03-09,225000,,36,3586,0,0.0,0,0.0,0.75,80.0,Albania,['Albania'],right,186,78,False,1.53,0.08,66.67,0.43,82.35,0.0,0.0,0.0,1.48,2.27,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,85.71,0.0,0.0,0.0,13.05,0.1,0.30000000000000004,19.05,89.2,8.11,77.4,0.0,0.0,13.13,98.47,5.92,68.64,29.15,43.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08,51.16,0.13,40.0,0.1,50.0,0.05,0.0,4.32,72.67,98.28,10.19,37,0.93,97,2.43,12,61.86,29.3,0.74,-7.7,-0.193,0.0,1.38,0.43,,,,0.0,0,0.0
B. Balaj,Bekim Balaj,83012,Vllaznia Shkodër,Vllaznia Shkodër,https://cdn5.wyscout.com/photos/team/public/1274_120x120.png,Abissnet Superiore,CF,CF,99,,0,,0,35.0,1991-01-11,200000,2027-06-30,36,3514,13,13.32,1,1.08,20.85,43.86,Albania,['Albania'],right,188,78,False,2.43,2.31,51.11,9.63,50.53,0.0,0.0,0.03,1.25,1.92,1.97,4,0.1,0,0.0,0.8200000000000001,0.33,5,0.13,0.34,1,0.03,64,1.6400000000000001,39.06,20.313,0.03,0.18,42.86,0.13,60.0,0.05,0.0,0.03,0.41000000000000003,25.0,3.87,39.07,2.25,0.23,0.08,9.48,1.87,1.79,14.21,73.51,3.12,59.02,3.87,88.74,13.75,74.49,0.28,45.45,13.64,7.55,0.03,0.59,0.0,0.0,0.03,0.0,0.2,1.49,51.72,0.77,40.0,0.05,50.0,0.51,0.08,1.18,65.22,67.67,3.41,0,,0,,0,0.0,0.0,0.0,,,0.0,,9.63,0.1,0.1,25.0,0.0,10,80.0
A. Teqja,Aldo Teqja,155951,Dinamo City,Dinamo City,https://cdn5.wyscout.com/photos/team/public/1526_120x120.png,Abissnet Superiore,GK,GK,100,,0,,0,31.0,1995-05-04,100000,2026-06-30,35,3448,0,0.0,0,0.0,0.76,86.21,Albania,['Albania'],right,196,87,False,1.15,0.1,100.0,0.42,100.0,0.03,0.04,0.0,1.02,1.69,0.0,2,0.05,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.18,57.14,0.0,0.0,0.0,8.82,0.26,0.18,15.11,91.88,6.5,83.13,0.0,0.0,11.04,98.58,4.07,73.72,26.82,39.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,63.16,0.0,0.0,0.0,0.0,0.0,0.0,2.77,67.92,98.4,8.14,31,0.81,110,2.87,12,71.82,38.01,0.99,7.01,0.183,0.0,1.54,0.42,,,,0.0,0,0.0
I. Aleksovski,Igor Aleksovski,272868,Flamurtari Vlorë,Flamurtari Vlorë,https://cdn5.wyscout.com/photos/team/public/2641_120x120.png,Abissnet Superiore,GK,GK,100,,0,,0,31.0,1995-02-24,300000,,35,3440,0,0.0,0,0.0,0.55,90.48,North Macedonia,['North Macedonia'],left,186,74,False,1.23,0.05,50.0,0.29,100.0,0.0,0.0,0.0,1.2,1.82,0.0,3,0.08,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.18,85.71,0.0,0.0,0.0,11.07,0.26,0.26,17.61,86.92,8.84,76.92,0.0,0.0,11.8,97.12,5.8100000000000005,66.22,30.47,42.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.15,38.64,0.08,0.0,0.08,33.33,0.0,0.0,4.29,76.83,96.82,8.22,42,1.1,148,3.87,7,71.62,43.69,1.1400000000000001,1.69,0.044,0.0,1.05,0.29,,,,0.0,0,0.0
A. Marku,Aurel Marku,-360710,Bylis Ballsh,Bylis Ballsh,https://cdn5.wyscout.com/photos/team/public/2640_120x120.png,Abissnet Superiore,"RCB, RCB3",RCB,83,RCB3,15,,0,21.0,2005-01-13,0,,35,3437,3,1.52,0,0.51,13.15,61.55,Albania,['Albania'],unknown,0,0,False,9.79,5.08,71.65,3.93,56.0,0.29,0.36,0.42,5.87,7.28,0.97,1,0.03,0,0.0,0.63,0.08,3,0.08,0.04,2,0.05,11,0.29,45.45,27.273,0.0,0.21,25.0,0.0,0.0,0.18,14.29,0.0,0.58,77.27,2.46,59.57,0.58,0.73,0.03,18.91,0.26,0.84,34.91,77.34,20.19,70.04,1.7000000000000002,89.23,24.85,85.77,9.85,57.18,24.87,39.69,0.01,0.16,0.0,0.0,0.0,0.0,0.05,7.1,60.15,0.79,26.67,0.42,31.25,0.31,0.05,10.47,69.75,89.86,10.84,0,,0,,0,0.0,0.0,0.0,,,1.05,,3.93,0.03,0.0,0.0,0.0,0,0.0
F. Përgjoni,Florjan Përgjoni,463905,Teuta Durrës,Teuta Durrës,https://cdn5.wyscout.com/photos/team/public/2211_120x120.png,Abissnet Superiore,LB,LB,93,,0,,0,28.0,1997-06-22,300000,,35,3418,0,0.76,0,1.78,15.25,60.62,Albania,['Albania'],left,185,0,False,8.22,6.4,65.84,3.77,69.93,0.53,0.8,0.24,3.48,5.29,1.42,7,0.18,0,0.0,1.08,0.0,0,0.0,0.02,0,0.0,13,0.34,23.08,0.0,0.0,1.8399999999999999,25.71,1.8399999999999999,25.71,0.0,0.0,0.13,0.76,65.52,3.71,51.06,0.66,1.21,0.16,23.99,1.4,1.13,36.28,79.83,16.01,74.84,5.77,93.61,30.44,87.2,4.08,48.39,18.87,37.58,0.05,0.34,0.03,0.0,0.03,100.0,0.11,5.9,64.73,2.03,33.77,0.37,28.57,0.42,0.45,7.82,74.75,78.48,8.32,0,,0,,0,0.0,0.0,0.0,,,0.5,,3.77,0.34,0.13,40.0,0.03,0,0.0
L. Pöhls,Léon-Maurice Pöhls,-116295,Vllaznia Shkodër,Vllaznia Shkodër,https://cdn5.wyscout.com/photos/team/public/1274_120x120.png,Abissnet Superiore,GK,GK,100,,0,,0,29.0,1997-05-01,100000,2026-06-30,34,3382,0,0.0,0,0.0,0.45,82.35,Germany,"['Germany', 'Bosnia and Herzegovina']",right,193,87,False,1.6800000000000002,0.11,75.0,0.24,88.89,0.0,0.0,0.0,1.6,2.43,0.03,4,0.11,0,0.0,0.03,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.08,66.67,0.0,0.0,0.0,11.92,0.27,0.13,17.3,80.62,11.95,73.05,0.03,100.0,7.93,95.64,9.34,68.09,38.77,52.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.89,58.22,0.21,12.5,0.19,57.14,0.05,0.0,6.92,83.85,97.74,4.71,24,0.64,111,2.95,16,78.38,27.98,0.74,3.98,0.106,0.03,0.72,0.24,,,,0.0,0,0.0
X. Maçolli,Xhoeli Maçolli,-213904,Teuta Durrës,Teuta Durrës,https://cdn5.wyscout.com/photos/team/public/2211_120x120.png,Abissnet Superiore,"RCMF, RDMF, LCMF",RCMF,34,RDMF,15,LCMF,15,24.0,2001-07-23,150000,,35,3375,4,3.76,1,1.45,14.37,53.62,Albania,['Albania'],right,0,0,False,7.57,6.13,63.04,1.57,40.68,0.85,1.32,0.16,2.85,4.4,1.3900000000000001,4,0.11,1,0.03,0.88,0.11,1,0.03,0.1,0,0.0,33,0.88,27.27,12.121,0.03,0.32,33.33,0.16,16.67,0.16,50.0,0.03,0.85,56.25,4.91,46.74,0.29,0.99,0.21,29.04,0.4,1.65,41.12,84.82,13.25,69.42,5.71,96.26,36.05,89.87,4.77,49.72,19.2,35.61,0.04,0.59,0.0,0.0,0.08,66.67,0.16,6.61,68.15,1.17,36.36,0.59,31.82,0.43,0.13,6.03,71.68,92.34,17.41,0,,0,,0,0.0,0.0,0.0,,,1.12,,1.57,0.13,0.0,0.0,0.0,3,100.0
I. Kasalla,Irgi Kasalla,-556200,Vora,Vora,https://cdn5.wyscout.com/photos/team/public/g22735_120x120.png,Abissnet Superiore,"AMF, LAMF, CF",AMF,22,LAMF,22,CF,13,23.0,2002-08-03,0,2027-06-01,35,3333,13,10.56,3,2.5,21.93,42.73,Albania,['Albania'],unknown,0,0,False,5.27,4.59,54.71,3.19,44.92,0.22,0.31,0.03,2.54,3.66,1.38,7,0.19,0,0.0,2.7,0.35000000000000003,8,0.22,0.29,2,0.05,52,1.4,51.92,25.0,0.08,1.24,26.09,0.97,27.78,0.24,11.11,0.14,2.94,54.13,12.02,39.1,2.05,1.76,0.27,12.56,1.13,2.62,20.06,76.18,5.83,70.83,4.1,89.47,17.2,80.85,1.65,63.93,19.27,33.61,0.07,0.59,0.03,0.05,0.14,40.0,0.27,2.81,75.96,1.46,48.15,0.22,50.0,0.59,0.24,3.56,65.15,76.29,6.26,0,,0,,0,0.0,0.0,0.0,,,0.11,,3.19,0.0,0.0,0.0,0.0,5,100.0
L. Vera,Luciano Fabian Vera,-64313,Tirana,Tirana,https://cdn5.wyscout.com/photos/team/public/1573_120x120.png,Abissnet Superiore,"RB, RB5, LB",RB,50,RB5,23,LB,16,24.0,2002-02-09,0,,35,3248,0,0.67,0,0.5,14.41,54.81,Argentina,['Argentina'],right,169,59,False,10.25,6.62,61.92,2.83,38.24,0.55,0.71,0.44,5.6,7.19,1.05,6,0.17,0,0.0,1.0,0.0,0,0.0,0.02,0,0.0,8,0.22,25.0,0.0,0.0,1.4100000000000001,25.49,0.17,0.0,1.25,28.89,0.14,0.9400000000000001,61.76,3.05,54.55,0.55,0.9400000000000001,0.19,20.26,1.22,1.44,31.56,74.45,14.38,66.47,5.38,93.3,24.66,83.37,5.63,46.31,19.75,33.36,0.01,0.22,0.0,0.0,0.03,0.0,0.19,4.68,62.72,1.47,32.08,0.17,0.0,0.17,0.33,7.18,62.55,79.49,7.5600000000000005,0,,0,,0,0.0,0.0,0.0,,,0.42,,2.83,0.0,0.0,0.0,0.0,0,0.0
