Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
N. Guzmán,Nahuel Ignacio Guzmán,48239,Tigres UANL,Tigres UANL,https://cdn5.wyscout.com/photos/team/public/925_120x120.png,Liga MX,GK,GK,100,,0,,0,40.0,1986-02-10,600000,,42,4325,0,0.0,0,0.0,0.71,91.18,Argentina,['Argentina'],right,191,93,False,1.42,0.08,75.0,0.4,100.0,0.0,0.0,0.0,1.35,1.94,0.0,4,0.08,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,88.89,0.0,0.0,0.0,15.0,0.29,0.12,24.7,83.4,13.21,71.34,0.0,0.0,16.34,95.92,8.26,59.7,31.22,48.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.56,33.33,0.37,0.0,0.23,0.0,0.02,0.0,5.39,70.66,98.65,10.78,44,0.92,168,3.5,14,73.81,39.94,0.8300000000000001,-4.06,-0.084,0.0,1.6,0.4,,,,0.0,0,0.0
W. Ditta,Willer Emilio Ditta Pérez,474263,Cruz Azul,Cruz Azul,https://cdn5.wyscout.com/photos/team/public/590_120x120.png,Liga MX,"RCB3, RCB",RCB3,72,RCB,17,,0,28.0,1998-01-23,0,2028-06-30,41,4110,0,1.92,2,0.47000000000000003,11.91,59.56,Colombia,['Colombia'],right,180,80,False,7.77,5.06,65.37,3.2800000000000002,60.0,0.48,0.75,0.55,3.99,6.22,1.1400000000000001,11,0.24,0,0.0,0.5,0.0,0,0.0,0.04,0,0.0,21,0.46,28.57,0.0,0.04,0.35000000000000003,37.5,0.0,0.0,0.33,40.0,0.04,0.39,55.56,1.73,44.3,0.37,1.6600000000000001,0.11,31.01,0.81,0.8300000000000001,45.28,88.78,16.86,78.96,3.64,96.39,39.92,93.47,5.04,55.22,20.24,38.83,0.01,0.24,0.04,0.04,0.04,50.0,0.09,5.58,74.9,1.03,34.04,0.39,11.11,0.18,0.11,6.99,71.16,96.34,19.73,0,,0,,0,0.0,0.0,0.0,,,2.19,,3.2800000000000002,0.0,0.0,0.0,0.0,0,0.0
C. Moreno,Carlos Agustín Moreno Luna,-84869,Pachuca,Pachuca,https://cdn5.wyscout.com/photos/team/public/463_120x120.png,Liga MX,GK,GK,100,,0,,0,28.0,1998-01-29,2500000,2026-06-30,39,3964,0,0.0,0,0.0,0.8200000000000001,77.78,Mexico,['Mexico'],right,190,88,False,1.98,0.14,33.33,0.52,86.96,0.02,0.03,0.0,1.9100000000000001,2.49,0.0,8,0.18,1,0.02,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,100.0,0.0,0.0,0.0,11.67,0.39,0.09,19.84,81.24,13.4,74.58,0.0,0.0,11.1,94.68,8.74,64.16,34.73,46.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9300000000000002,52.94,0.18,0.0,0.07,33.33,0.0,0.0,6.72,68.92,96.0,6.24,44,1.0,153,3.47,9,71.24,41.5,0.9400000000000001,-2.5,-0.057,0.0,1.43,0.52,,,,0.0,0,0.0
Á. Correa,Ángel Martín Correa Martínez,286684,Tigres UANL,Tigres UANL,https://cdn5.wyscout.com/photos/team/public/925_120x120.png,Liga MX,"CF, AMF, LAMF",CF,48,AMF,20,LAMF,14,31.0,1995-03-09,0,2030-06-30,41,3942,16,16.94,10,6.89,18.81,39.81,Argentina,"['Argentina', 'Spain']",right,171,70,False,3.88,4.22,58.38,0.91,30.0,0.07,0.1,0.07,1.35,1.92,1.03,6,0.14,0,0.0,4.18,0.37,15,0.34,0.39,1,0.02,123,2.81,48.78,13.008,0.23,1.85,38.27,0.75,42.42,1.03,37.78,0.34,4.36,47.12,12.08,35.35,5.3,2.17,0.37,21.28,1.6,1.58,26.26,76.87,6.26,65.33,6.28,90.55,22.85,81.72,1.6400000000000001,52.78,17.06,27.51,0.16,1.44,0.09,0.02,0.18,25.0,0.5,2.9699999999999998,66.92,2.47,52.78,0.30000000000000004,23.08,1.3,0.66,2.76,75.21,78.63,8.33,0,,0,,0,0.0,0.0,0.0,,,0.30000000000000004,,0.91,0.27,0.07,33.33,1.21,2,50.0
S. Jurado,Sebastián Jurado Roca,449816,Juárez,Juárez,https://cdn5.wyscout.com/photos/team/public/g33716_120x120.png,Liga MX,GK,GK,100,,0,,0,28.0,1997-09-28,1000000,2027-12-31,38,3910,0,0.0,0,0.0,0.39,76.47,Mexico,['Mexico'],right,188,83,False,0.9400000000000001,0.12,40.0,0.23,100.0,0.02,0.03,0.0,0.87,1.24,0.07,2,0.05,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.05,50.0,0.0,0.0,0.0,12.25,0.25,0.07,19.1,87.59,9.21,77.25,0.0,0.0,13.3,98.44,5.75,63.2,29.52,48.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.05,55.06,0.21,11.11,0.09,25.0,0.02,0.0,4.05,76.14,97.88,8.68,66,1.52,176,4.05,3,62.5,52.14,1.2,-13.86,-0.319,0.0,0.6900000000000001,0.23,,,,0.0,0,0.0
B. González,Bryan Alonso González Olivan,-88559,Guadalajara,Guadalajara,https://cdn5.wyscout.com/photos/team/public/464_120x120.png,Liga MX,"LWB, LB5, LB",LWB,49,LB5,18,LB,17,23.0,2003-04-10,0,2027-06-30,40,3858,6,6.46,4,3.99,15.35,48.78,Mexico,['Mexico'],left,181,76,False,6.7,4.76,64.71,3.71,46.54,0.4,0.5700000000000001,0.14,3.22,4.64,0.65,3,0.07,0,0.0,2.66,0.14,6,0.14,0.15,1,0.02,58,1.35,32.76,10.345,0.09,2.31,40.4,2.24,40.63,0.05,50.0,0.21,2.31,54.55,5.58,39.33,2.54,1.87,0.21,26.06,2.7800000000000002,0.89,32.4,85.39,8.4,75.28,8.47,97.25,28.11,91.78,2.15,47.83,17.85,39.36,0.09,0.7000000000000001,0.12,0.07,0.07,33.33,0.35000000000000003,2.8,77.5,1.77,47.37,0.26,9.09,0.44,0.72,4.55,72.31,83.0,9.33,0,,0,,0,0.0,0.0,0.0,,,0.14,,3.71,0.0,0.0,0.0,0.02,0,0.0
Nathan Silva,Nathanael Ananias da Silva,446563,Pumas UNAM,Pumas UNAM,https://cdn5.wyscout.com/photos/team/public/873_120x120.png,Liga MX,"RCB, CB",RCB,65,CB,26,,0,29.0,1997-05-06,5000000,2027-06-30,38,3807,1,3.52,1,0.42,9.08,55.73,Brazil,['Brazil'],right,182,84,False,7.16,3.48,73.47,2.93,38.71,0.05,0.06,0.5,4.5600000000000005,6.21,0.73,9,0.21,1,0.02,0.17,0.02,1,0.02,0.08,1,0.02,15,0.35000000000000003,20.0,6.667,0.02,0.14,33.33,0.07,66.67,0.07,0.0,0.0,0.05,100.0,0.8,38.24,0.4,1.02,0.0,34.47,0.31,0.26,47.87,91.56,18.06,83.38,2.06,94.25,43.57,95.55,4.16,51.7,21.65,43.77,0.01,0.12,0.02,0.02,0.07,0.0,0.07,6.12,76.45,0.4,17.65,0.31,23.08,0.05,0.05,7.59,76.32,97.74,24.09,0,,0,,0,0.0,0.0,0.0,,,1.47,,2.93,0.0,0.0,0.0,0.0,1,0.0
A. Rodríguez,José Antonio Rodríguez Romero,102608,Club Tijuana,Club Tijuana,https://cdn5.wyscout.com/photos/team/public/3288_120x120.png,Liga MX,GK,GK,100,,0,,0,33.0,1992-07-04,1500000,,37,3759,0,0.0,0,0.0,0.6900000000000001,93.1,Mexico,['Mexico'],right,186,80,False,1.22,0.12,100.0,0.5,90.48,0.0,0.0,0.0,1.1,1.42,0.0,3,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,100.0,0.0,0.0,0.0,18.6,0.41000000000000003,0.1,25.38,90.94,10.99,81.05,0.02,100.0,17.81,98.66,7.57,72.78,29.4,45.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3599999999999999,47.37,0.07,0.0,0.17,14.29,0.0,0.0,5.32,77.93,98.78,13.77,46,1.1,175,4.19,13,73.71,49.7,1.19,3.7,0.089,0.02,1.25,0.5,,,,0.0,0,0.0
Eduardo Bauermann,Eduardo Gabriel dos Santos Bauermann,288076,Pachuca,Pachuca,https://cdn5.wyscout.com/photos/team/public/463_120x120.png,Liga MX,RCB,RCB,94,,0,,0,30.0,1996-02-13,1000000,,37,3731,0,1.44,0,0.05,10.3,66.04,Brazil,['Brazil'],right,187,85,False,7.98,4.5600000000000005,79.89,2.94,52.46,0.17,0.22,0.43,4.17,5.42,0.68,8,0.19,2,0.05,0.05,0.0,0,0.0,0.03,0,0.0,9,0.22,11.11,0.0,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.02,100.0,0.9400000000000001,64.1,0.51,0.24,0.0,23.52,0.72,0.53,34.76,89.04,13.19,79.16,3.06,97.64,31.7,93.15,3.02,47.2,20.78,37.0,0.0,0.02,0.0,0.02,0.0,0.0,0.0,3.5,72.41,0.29,25.0,0.22,44.44,0.05,0.0,6.08,70.24,95.25,14.74,0,,0,,0,0.0,0.0,0.0,,,2.32,,2.94,0.0,0.0,0.0,0.02,0,0.0
S. Barreto,Sergio Damián Barreto,-66844,Pachuca,Pachuca,https://cdn5.wyscout.com/photos/team/public/463_120x120.png,Liga MX,LCB,LCB,92,,0,,0,27.0,1999-04-20,3000000,2027-06-30,37,3712,1,1.48,0,0.23,11.49,67.93,Argentina,"['Argentina', 'Paraguay']",right,183,86,False,7.59,5.29,72.94,3.98,65.85,0.1,0.12,0.39,3.64,4.68,0.92,9,0.22,1,0.02,0.19,0.02,1,0.02,0.04,1,0.02,17,0.41000000000000003,17.65,5.882,0.0,0.05,100.0,0.05,100.0,0.0,0.0,0.02,0.12,60.0,0.65,62.96,0.48,0.48,0.05,25.14,0.36,0.56,37.58,89.29,14.21,77.65,1.8900000000000001,94.87,33.9,93.42,3.64,50.67,20.93,38.23,0.01,0.05,0.02,0.0,0.0,0.0,0.0,3.9,76.4,0.22,22.22,0.07,0.0,0.1,0.05,5.16,66.2,97.15,17.84,0,,0,,0,0.0,0.0,0.0,,,1.38,,3.98,0.0,0.0,0.0,0.0,0,0.0
