Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
R. Lipinski,Raphaël Lipinski,-166860,Rodez ,Rodez ,https://cdn5.wyscout.com/photos/team/public/3092_120x120.png,Ligue 2,LCB3,LCB3,96,,0,,0,23.0,2002-07-30,400000,2028-06-30,36,3540,2,1.25,0,1.13,11.26,56.21,France,"['France', 'Poland']",left,180,77,False,9.43,5.29,63.46,2.77,45.87,0.13,0.15,0.41000000000000003,5.95,6.95,0.56,2,0.05,0,0.0,0.9400000000000001,0.05,2,0.05,0.03,1,0.03,14,0.36,35.71,14.286,0.0,1.12,36.36,1.12,36.36,0.0,0.0,0.13,0.53,76.19,2.11,56.63,0.36,1.88,0.08,22.98,0.74,0.99,38.49,75.63,19.65,63.39,2.9,93.86,28.96,87.8,8.47,38.74,23.23,42.06,0.03,0.25,0.03,0.03,0.0,0.0,0.23,8.31,57.49,2.24,36.36,0.53,38.1,0.33,0.41000000000000003,8.62,64.01,89.26,13.02,0,,0,,0,0.0,0.0,0.0,,,1.37,,2.77,0.03,0.03,100.0,0.0,0,0.0
Q. Braat,Quentin Braat,404765,Rodez ,Rodez ,https://cdn5.wyscout.com/photos/team/public/3092_120x120.png,Ligue 2,GK,GK,100,,0,,0,28.0,1997-07-06,600000,2028-06-30,36,3540,0,0.0,0,0.0,0.6900000000000001,88.89,France,['France'],right,194,90,False,1.35,0.05,100.0,0.46,88.89,0.03,0.03,0.0,1.27,1.49,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,100.0,0.0,0.0,0.0,11.57,0.18,0.23,21.74,79.18,13.42,70.27,0.03,0.0,12.71,96.4,8.95,55.4,34.88,50.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.25,42.19,0.25,10.0,0.18,14.29,0.0,0.0,6.51,67.97,94.5,7.86,41,1.04,171,4.35,8,76.02,49.42,1.26,8.42,0.214,0.0,2.19,0.46,,,,0.0,0,0.0
M. Magnin,Mathis Magnin,-198643,Rodez ,Rodez ,https://cdn5.wyscout.com/photos/team/public/3092_120x120.png,Ligue 2,CB,CB,99,,0,,0,24.0,2001-09-24,200000,2028-06-30,35,3442,2,1.78,0,0.0,11.56,59.28,Switzerland,"['Switzerland', 'France']",,190,0,False,9.65,4.94,62.43,4.26,53.99,0.31,0.36,0.71,6.25,7.24,0.99,6,0.16,0,0.0,0.18,0.05,2,0.05,0.05,0,0.0,12,0.31,25.0,16.667,0.0,0.1,0.0,0.03,0.0,0.05,0.0,0.05,0.1,100.0,0.97,62.16,0.42,0.65,0.03,20.11,0.16,0.65,34.2,82.65,13.23,68.77,1.67,96.88,28.42,89.6,5.67,49.31,23.24,41.44,0.0,0.0,0.0,0.03,0.05,0.0,0.0,5.57,57.28,0.55,14.29,0.26,30.0,0.08,0.03,6.8,67.31,93.23,17.0,0,,0,,0,0.0,0.0,0.0,,,1.26,,4.26,0.0,0.0,0.0,0.0,0,0.0
D. Durivaux,Dylan Durivaux,-97622,Red Star,Red Star,https://cdn5.wyscout.com/photos/team/public/4250_120x120.png,Ligue 2,RCB3,RCB3,75,,0,,0,24.0,2001-06-18,400000,2027-06-30,34,3366,1,0.68,2,0.97,13.66,59.88,France,['France'],right,177,80,False,7.54,5.64,63.98,2.01,61.33,0.05,0.08,0.67,3.88,5.51,0.53,2,0.05,0,0.0,1.15,0.03,1,0.03,0.02,0,0.0,15,0.4,46.67,6.667,0.05,1.34,30.0,0.35000000000000003,15.38,0.99,35.14,0.08,0.78,65.52,4.68,54.86,0.24,1.15,0.08,42.78,1.3900000000000001,1.87,56.93,86.24,24.36,76.51,7.19,96.28,48.82,92.99,6.79,48.43,20.07,40.75,0.03,0.21,0.05,0.0,0.08,66.67,0.11,7.83,70.65,2.03,40.79,0.45,23.53,0.37,0.45,9.73,73.08,93.64,19.33,0,,0,,0,0.0,0.0,0.0,,,3.16,,2.01,0.0,0.0,0.0,0.0,0,0.0
E. Jaouen,Ewen Jaouen,-282131,Reims,Reims,https://cdn5.wyscout.com/photos/team/public/568_120x120.png,Ligue 2,GK,GK,100,,0,,0,20.0,2005-12-29,0,2029-06-30,34,3362,0,0.0,0,0.0,0.4,86.67,France,['France'],right,197,82,False,1.15,0.05,50.0,0.13,100.0,0.03,0.04,0.0,1.1,1.67,0.0,1,0.03,0,0.0,0.05,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,66.67,0.21,87.5,0.0,0.0,0.03,17.05,0.24,0.11,26.31,86.78,12.96,75.0,0.03,100.0,18.98,98.45,7.31,56.78,29.45,51.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.86,47.66,0.16,0.0,0.4,33.33,0.03,0.0,5.59,73.68,98.64,11.78,35,0.9400000000000001,116,3.11,15,69.83,37.77,1.01,2.77,0.074,0.0,0.75,0.13,,,,0.0,0,0.0
Sergio Akieme,Sergio Akieme Rodríguez,407751,Reims,Reims,https://cdn5.wyscout.com/photos/team/public/568_120x120.png,Ligue 2,LB,LB,81,,0,,0,28.0,1997-12-16,0,2028-06-30,34,3335,1,3.15,2,2.71,14.28,46.88,Spain,"['Spain', 'Equatorial Guinea']",left,175,74,False,5.99,4.59,65.29,2.4,34.83,0.05,0.08,0.19,2.94,4.47,1.11,8,0.22,0,0.0,1.97,0.03,1,0.03,0.08,0,0.0,32,0.86,34.38,3.125,0.05,2.7800000000000002,33.01,2.7800000000000002,33.01,0.0,0.0,0.22,1.05,61.54,5.37,39.2,1.48,1.7000000000000002,0.22,36.84,1.38,0.59,47.33,86.32,14.63,78.41,7.93,96.6,41.88,92.4,2.73,47.52,17.3,36.08,0.07,0.5700000000000001,0.03,0.03,0.13,80.0,0.46,4.94,73.22,2.81,45.19,0.4,40.0,0.65,0.86,6.5,74.69,88.0,14.84,0,,0,,0,0.0,0.0,0.0,,,0.62,,2.4,0.03,0.0,0.0,0.0,0,0.0
A. Kashi,Ahmed Kashi,65806,Annecy,Annecy,https://cdn5.wyscout.com/photos/team/public/g20322_120x120.png,Ligue 2,"LCMF, LDMF",LCMF,79,LDMF,14,,0,37.0,1988-11-18,200000,2027-06-30,34,3284,1,0.58,2,0.77,10.17,53.91,France,"['France', 'Algeria']",right,178,76,False,6.41,4.17,58.55,3.07,56.25,0.30000000000000004,0.38,0.22,3.67,4.65,1.12,5,0.14,0,0.0,0.25,0.03,1,0.03,0.02,0,0.0,18,0.49,16.67,5.556,0.05,0.11,25.0,0.05,50.0,0.05,0.0,0.0,0.27,50.0,1.81,39.39,0.11,0.19,0.03,26.04,0.16,0.38,38.34,86.13,12.47,71.21,4.08,95.97,34.17,89.41,4.08,59.73,19.03,40.58,0.02,0.19,0.03,0.03,0.03,0.0,0.08,5.62,66.83,0.66,33.33,0.08,33.33,0.25,0.03,4.71,77.33,94.17,15.98,0,,0,,0,0.0,0.0,0.0,,,0.88,,3.07,0.0,0.0,0.0,0.0,0,0.0
T. Guivarch,Théo Guivarch,263429,Clermont,Clermont,https://cdn5.wyscout.com/photos/team/public/561_120x120.png,Ligue 2,GK,GK,100,,0,,0,30.0,1995-11-17,300000,2028-06-30,33,3250,0,0.0,0,0.16,0.47000000000000003,88.24,France,['France'],right,195,87,False,1.08,0.03,0.0,0.19,85.71,0.0,0.0,0.0,1.08,1.42,0.03,3,0.08,0,0.0,0.03,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.22,100.0,0.0,0.0,0.0,15.42,0.17,0.22,24.7,87.22,12.41,78.35,0.06,50.0,17.94,98.61,6.7,57.44,28.66,46.14,0.0,0.03,0.0,0.0,0.0,0.0,0.03,1.6099999999999999,39.66,0.14,20.0,0.25,11.11,0.03,0.0,5.12,65.95,97.14,10.63,43,1.19,134,3.71,6,67.91,40.69,1.13,-2.31,-0.064,0.03,1.83,0.19,,,,0.0,0,0.0
M. Samassa,Mamadou Samassa,65326,Laval,Laval,https://cdn5.wyscout.com/photos/team/public/1799_120x120.png,Ligue 2,GK,GK,100,,0,,0,36.0,1990-02-16,250000,2026-06-30,33,3234,0,0.0,0,0.0,0.67,58.33,France,"['France', 'Mali']",right,198,85,False,1.22,0.11,0.0,0.36,69.23,0.03,0.03,0.0,1.2,1.45,0.06,3,0.08,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,100.0,0.0,0.0,0.0,7.79,0.11,0.28,14.53,81.23,9.29,72.46,0.0,0.0,7.74,97.84,6.73,62.4,32.29,44.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9500000000000001,44.12,0.06,0.0,0.08,0.0,0.0,0.0,5.04,70.72,97.02,4.68,44,1.22,147,4.09,8,70.07,43.53,1.21,-0.47000000000000003,-0.013000000000000001,0.0,1.7000000000000002,0.36,,,,0.0,0,0.0
Mickaël Nadé,Mickaël Nadé,465056,Saint-Étienne,Saint-Étienne,https://cdn5.wyscout.com/photos/team/public/17_120x120.png,Ligue 2,LCB,LCB,93,,0,,0,27.0,1999-03-04,1500000,2028-06-30,35,3193,2,2.95,0,0.18,11.05,64.54,France,"['France', ""Côte d'Ivoire""]",left,186,81,False,7.27,4.23,72.0,3.07,66.97,0.06,0.09,0.54,4.17,6.36,0.85,2,0.06,0,0.0,0.34,0.06,2,0.06,0.08,1,0.03,10,0.28,30.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,81.82,1.58,51.79,0.42,0.73,0.08,43.83,0.25,0.99,56.37,91.6,20.66,83.08,2.99,98.11,52.12,95.29,4.26,46.36,19.93,40.7,0.01,0.08,0.0,0.03,0.0,0.0,0.03,5.44,67.88,0.42,26.67,0.51,27.78,0.17,0.0,5.86,68.75,97.51,27.17,0,,0,,0,0.0,0.0,0.0,,,2.4,,3.07,0.0,0.0,0.0,0.0,0,0.0
