Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Xu Jizu,Jizu Xu,-53141,Yanbian Longding,Yanbian Longding,https://cdn5.wyscout.com/photos/team/public/g-14027_120x120.png,China League One,CB,CB,81,,0,,0,27.0,1997-11-15,100000,,30,3038,2,1.17,1,0.26,10.81,61.64,China PR,['China PR'],right,188,53,False,7.88,3.55,67.5,4.68,56.96,0.30000000000000004,0.44,0.53,5.18,7.71,0.8300000000000001,3,0.09,0,0.0,0.24,0.06,2,0.06,0.03,1,0.03,13,0.39,38.46,15.385,0.03,0.06,100.0,0.0,0.0,0.03,100.0,0.0,0.03,100.0,0.59,75.0,0.41000000000000003,0.12,0.03,24.32,0.12,0.92,39.34,88.63,11.85,76.5,1.1,97.3,35.55,92.08,3.73,55.56,21.53,33.17,0.01,0.15,0.06,0.0,0.0,0.0,0.03,1.98,65.67,0.21,14.29,0.12,25.0,0.06,0.03,5.57,53.19,95.04,24.47,0,,0,,0,0.0,0.0,0.0,,,0.71,,4.68,0.15,0.06,50.0,0.0,0,0.0
Li Guanxi,Guanxi Li,437486,Nantong Zhiyun,Nantong Zhiyun,https://cdn5.wyscout.com/photos/team/public/g33018_120x120.png,China League One,GK,GK,100,,0,,0,27.0,1998-09-25,75000,2027-07-31,30,3034,0,0.07,0,0.0,0.89,93.33,China PR,['China PR'],,189,75,False,1.07,0.12,100.0,0.53,94.44,0.0,0.0,0.0,0.9500000000000001,1.42,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,1,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,83.33,0.03,0.0,0.0,6.29,0.09,0.27,12.19,80.05,7.89,73.68,0.0,0.0,7.45,96.81,4.69,54.43,33.61,46.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3599999999999999,34.78,0.15,20.0,0.06,0.0,0.03,0.0,3.59,72.73,93.02,3.83,31,0.92,117,3.47,11,73.5,32.67,0.97,1.67,0.05,0.0,1.96,0.53,,,,0.0,0,0.0
Chao Yang,Yang Chao,-54651,Foshan Nanshi,Foshan Nanshi,https://cdn5.wyscout.com/photos/team/public/g-14384_120x120.png,China League One,GK,GK,100,,0,,0,32.0,1993-08-03,50000,,30,3015,0,0.0,0,0.0,0.93,77.42,China PR,['China PR'],,188,0,False,1.73,0.21,42.86,0.54,88.89,0.03,0.04,0.0,1.6099999999999999,2.17,0.0,4,0.12,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,100.0,0.0,0.0,0.0,5.82,0.03,0.21,10.96,76.02,8.3,71.22,0.0,0.0,4.96,98.19,6.0,57.71,36.6,49.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6099999999999999,40.74,0.06,0.0,0.03,0.0,0.0,0.0,4.18,67.14,89.87,2.36,45,1.34,120,3.58,6,62.5,39.77,1.19,-5.23,-0.156,0.0,1.46,0.54,,,,0.0,0,0.0
Estrela,Valdomiro Tualungo Paulo Lameiras,314070,Suzhou Dongwu,Suzhou Dongwu,https://cdn5.wyscout.com/photos/team/public/g35842_120x120.png,China League One,"DMF, RCMF, LCMF",DMF,32,RCMF,25,LCMF,23,30.0,1995-09-22,375000,2026-06-30,30,3001,2,2.75,2,0.42,17.09,57.19,Angola,"['Angola', 'Portugal']",right,173,70,False,9.03,6.12,66.67,3.3,50.91,0.18,0.26,0.42,4.77,6.84,1.35,3,0.09,0,0.0,0.81,0.06,2,0.06,0.08,1,0.03,35,1.05,25.71,5.714,0.06,0.36,33.33,0.15,0.0,0.18,50.0,0.09,0.63,61.9,5.19,54.34,0.72,0.78,0.18,21.95,0.24,2.25,37.25,85.27,13.2,73.86,5.43,96.69,34.28,88.01,2.61,56.32,18.58,32.32,0.01,0.30000000000000004,0.03,0.0,0.06,50.0,0.09,5.52,78.26,0.99,33.33,0.30000000000000004,30.0,0.33,0.15,5.58,72.58,92.34,13.32,0,,0,,0,0.0,0.0,0.0,,,0.30000000000000004,,3.3,0.03,0.0,0.0,0.0,0,0.0
R. Sadauskas,Rimvydas Sadauskas,275166,Chongqing Tongliang Long,Chongqing Tongliang Long,https://cdn5.wyscout.com/photos/team/public/g-18398_120x120.png,China League One,"CB, RCB",CB,63,RCB,27,,0,29.0,1996-07-21,300000,,29,2964,1,3.36,0,0.48,12.69,64.11,Lithuania,['Lithuania'],right,193,85,False,6.32,2.76,63.74,6.62,69.72,0.24,0.48,0.46,4.31,8.57,0.9400000000000001,7,0.21,0,0.0,0.52,0.03,1,0.03,0.1,1,0.03,25,0.76,24.0,4.0,0.0,0.36,58.33,0.09,33.33,0.27,66.67,0.03,0.12,100.0,0.85,57.14,0.85,0.58,0.0,25.72,0.12,1.03,42.81,85.67,17.16,73.81,2.46,96.3,36.13,91.85,6.35,52.15,23.64,39.37,0.01,0.15,0.06,0.0,0.0,0.0,0.09,6.92,65.79,0.97,34.38,0.36,25.0,0.30000000000000004,0.15,8.5,78.93,94.94,20.4,0,,0,,0,0.0,0.0,0.0,,,1.73,,6.62,0.03,0.03,0.0,0.0,0,0.0
Yang Yun,Yun Yang,28542,Shijiazhuang Gongfu,Shijiazhuang Gongfu,https://cdn5.wyscout.com/photos/team/public/g-14018_120x120.png,China League One,"RCB, RCB3",RCB,53,RCB3,29,,0,37.0,1988-10-06,25000,,29,2892,1,0.8200000000000001,0,0.84,10.8,58.79,China PR,['China PR'],right,184,76,False,8.56,5.2,67.66,3.05,40.82,0.34,0.47000000000000003,0.19,4.7,6.45,0.68,5,0.16,0,0.0,0.47000000000000003,0.03,1,0.03,0.03,0,0.0,8,0.25,37.5,12.5,0.0,0.56,55.56,0.19,33.33,0.37,66.67,0.06,0.09,66.67,0.9,62.07,0.59,0.34,0.0,24.3,0.28,0.84,37.72,89.27,16.46,83.55,2.15,95.65,32.99,92.45,4.17,68.66,21.23,33.6,0.03,0.28,0.03,0.0,0.0,0.0,0.12,4.26,74.45,0.65,57.14,0.12,50.0,0.22,0.34,7.69,78.54,95.75,16.12,0,,0,,0,0.0,0.0,0.0,,,1.37,,3.05,0.0,0.0,0.0,0.0,0,0.0
Shang Yin,Shang Yin,-54766,Guangdong GZ-Power,Guangdong GZ-Power,https://cdn5.wyscout.com/photos/team/public/g-21226_120x120.png,China League One,"LWB, RB5, RWB",LWB,21,RB5,20,RWB,19,36.0,1989-01-23,25000,,30,2868,3,1.65,2,1.73,17.48,49.01,China PR,['China PR'],right,177,70,False,7.37,7.09,58.41,1.44,36.96,0.0,0.0,0.13,3.23,5.23,1.47,2,0.06,0,0.0,2.76,0.09,3,0.09,0.05,1,0.03,17,0.53,29.41,17.647,0.06,3.14,31.0,1.13,27.78,1.98,33.33,0.25,2.42,67.53,6.9,48.64,1.54,2.04,0.63,23.06,2.32,1.44,33.08,77.42,10.29,69.51,6.34,92.57,26.83,84.91,3.2,58.82,18.54,32.96,0.05,0.56,0.0,0.16,0.09,0.0,0.31,4.3,70.07,3.2,49.02,0.22,28.57,0.85,0.97,7.15,78.07,76.7,10.64,0,,0,,0,0.0,0.0,0.0,,,0.44,,1.44,0.0,0.0,0.0,0.0,0,0.0
A. Andrejević,Aleksandar Andrejević,182174,Suzhou Dongwu,Suzhou Dongwu,https://cdn5.wyscout.com/photos/team/public/g35842_120x120.png,China League One,"RCB, CB",RCB,45,CB,44,,0,33.0,1992-03-28,200000,,28,2850,1,1.07,1,0.65,8.62,57.14,Serbia,['Serbia'],right,189,78,False,6.82,3.13,63.64,2.43,63.64,0.28,0.41000000000000003,0.54,4.55,6.54,0.92,7,0.22,0,0.0,0.38,0.03,1,0.03,0.03,1,0.03,18,0.5700000000000001,22.22,5.556,0.03,0.32,50.0,0.0,0.0,0.32,50.0,0.03,0.19,50.0,1.23,35.9,0.6000000000000001,0.38,0.0,24.54,0.16,0.54,40.26,82.12,21.57,73.5,1.04,100.0,28.36,91.54,11.68,59.73,27.82,42.35,0.02,0.16,0.0,0.03,0.0,0.0,0.09,8.02,63.39,0.9500000000000001,40.0,0.5700000000000001,27.78,0.32,0.16,12.73,79.16,93.06,15.47,0,,0,,0,0.0,0.0,0.0,,,0.79,,2.43,0.09,0.06,0.0,0.0,0,0.0
Liu Weiguo,Weiguo Liu,184899,Liaoning Tieren,Liaoning Tieren,https://cdn5.wyscout.com/photos/team/public/g35844_120x120.png,China League One,GK,GK,100,,0,,0,33.0,1992-05-03,75000,,29,2826,0,0.0,0,0.0,0.61,100.0,China PR,['China PR'],right,197,90,False,0.86,0.03,100.0,0.38,100.0,0.0,0.0,0.0,0.8300000000000001,1.23,0.0,2,0.06,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,100.0,0.0,0.0,0.0,4.46,0.29,0.25,8.25,83.4,4.75,72.48,0.0,0.0,5.61,97.16,2.64,54.22,31.6,41.58,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.61,15.79,0.06,0.0,0.0,0.0,0.0,0.0,2.01,68.25,98.02,3.22,26,0.8300000000000001,125,3.98,11,79.2,31.15,0.99,5.15,0.164,0.0,1.11,0.38,,,,0.0,0,0.0
Xiang Yuwang,Yuwang Xiang,-445145,Chongqing Tongliang Long,Chongqing Tongliang Long,https://cdn5.wyscout.com/photos/team/public/g-18398_120x120.png,China League One,"CF, LWF",CF,67,LWF,12,,0,21.0,2003-12-18,0,2026-12-31,29,2814,18,15.59,2,1.6800000000000002,14.52,29.52,China PR,['China PR'],unknown,0,0,False,2.14,2.46,53.25,3.49,21.1,0.0,0.0,0.06,0.8300000000000001,1.6400000000000001,1.22,2,0.06,0,0.0,2.11,0.58,16,0.51,0.5,3,0.1,103,3.29,40.78,17.476,0.06,0.7000000000000001,13.64,0.54,11.76,0.16,20.0,0.0,1.54,41.67,6.49,27.09,4.48,0.58,0.13,12.86,1.9500000000000002,0.86,18.13,84.3,2.11,65.15,6.88,93.02,16.98,87.76,0.45,64.29,15.74,15.23,0.05,0.77,0.03,0.06,0.06,50.0,0.19,0.96,76.67,1.18,54.05,0.06,50.0,0.74,0.1,0.99,54.84,84.52,4.96,0,,0,,0,0.0,0.0,0.0,,,0.8,,3.49,0.26,0.1,33.33,0.06,3,66.667
