Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
G. Maidanos,Georgios Maidanos,-153669,Ilioupoli,Ilioupoli,https://cdn5.wyscout.com/photos/team/public/2348_120x120.png,Super League 2,LB,LB,98,,0,,0,27.0,1998-04-12,200000,2026-06-30,25,2388,0,0.08,1,2.32,13.08,54.18,Greece,['Greece'],left,170,0,False,7.54,4.79,72.44,1.58,42.86,0.19,0.24,0.04,3.88,5.03,0.23,2,0.08,0,0.0,1.85,0.0,0,0.0,0.0,0,0.0,4,0.15,0.0,0.0,0.04,2.75,32.88,2.75,32.88,0.0,0.0,0.38,1.77,53.19,5.24,41.73,0.75,2.64,0.5700000000000001,25.59,1.88,1.3599999999999999,35.58,75.42,15.72,69.78,5.35,92.25,28.38,82.6,4.48,56.3,17.35,29.9,0.09,0.5700000000000001,0.0,0.04,0.04,0.0,0.11,4.86,63.57,2.34,41.94,0.15,75.0,0.41000000000000003,0.87,7.27,67.88,72.56,8.1,0,,0,,0,0.0,0.0,0.0,,,0.34,,1.58,0.0,0.0,0.0,0.0,0,0.0
P. Ginis,Panagiotis Ginis,-86097,APO Ellas Syros,APO Ellas Syros,https://cdn5.wyscout.com/photos/team/public/g-24677_120x120.png,Super League 2,GK,GK,100,,0,,0,27.0,1999-01-23,0,2026-06-30,24,2328,0,0.0,0,0.02,0.7000000000000001,88.89,Greece,['Greece'],right,190,81,False,1.12,0.04,0.0,0.58,100.0,0.0,0.0,0.0,1.12,1.57,0.04,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.97,0.19,0.23,16.31,82.46,7.69,65.83,0.0,0.0,10.67,97.83,5.61,53.79,32.49,49.48,0.0,0.04,0.0,0.0,0.0,0.0,0.0,1.6600000000000001,34.88,0.15,25.0,0.12,66.67,0.0,0.0,3.52,64.84,98.48,7.65,23,0.89,99,3.83,7,76.77,28.12,1.09,5.12,0.198,0.0,1.62,0.58,,,,0.0,0,0.0
A. Zioulis,Angelos Zioulis,415684,AO Egaleo,AO Egaleo,https://cdn5.wyscout.com/photos/team/public/g1043_120x120.png,Super League 2,"RCB, CB",RCB,81,CB,12,,0,31.0,1995-02-01,175000,2026-06-30,24,2306,0,0.31,0,0.0,10.73,65.09,Greece,['Greece'],right,188,80,False,7.45,3.59,77.17,4.37,60.71,0.31,0.43,0.62,4.37,5.99,0.7000000000000001,5,0.2,0,0.0,0.08,0.0,0,0.0,0.01,0,0.0,1,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.12,66.67,1.09,50.0,0.2,0.55,0.04,20.06,0.2,0.8200000000000001,34.38,79.0,15.42,61.27,2.9699999999999998,100.0,27.01,87.43,7.34,48.4,23.31,38.02,0.0,0.0,0.0,0.04,0.0,0.0,0.0,3.55,53.85,0.27,14.29,0.31,12.5,0.04,0.0,7.42,52.63,93.82,13.89,0,,0,,0,0.0,0.0,0.0,,,2.46,,4.37,0.0,0.0,0.0,0.0,0,0.0
S. Kostopoulos,Spyros Kostopoulos,-256660,AO Egaleo,AO Egaleo,https://cdn5.wyscout.com/photos/team/public/g1043_120x120.png,Super League 2,RB,RB,81,,0,,0,25.0,2000-07-27,0,2026-06-30,24,2247,0,0.04,0,1.24,15.14,58.99,Greece,['Greece'],,175,0,False,8.93,6.85,66.67,2.6,61.54,0.16,0.22,0.36,4.21,5.67,1.08,7,0.28,0,0.0,1.48,0.0,0,0.0,0.0,0,0.0,2,0.08,0.0,0.0,0.0,2.04,33.33,0.04,0.0,2.0,34.0,0.12,1.0,80.0,4.01,50.0,0.28,1.6400000000000001,0.44,16.74,1.08,1.24,28.48,71.73,13.14,62.2,3.7199999999999998,95.7,21.27,80.98,5.29,47.73,20.57,36.04,0.05,0.52,0.0,0.0,0.0,0.0,0.16,3.4,50.59,2.08,40.38,0.24,16.67,0.28,0.64,7.21,60.56,76.63,7.37,0,,0,,0,0.0,0.0,0.0,,,0.68,,2.6,0.0,0.0,0.0,0.0,0,0.0
N. Vafeas,Nikolaos Vafeas,418878,Kalamata,Kalamata,https://cdn5.wyscout.com/photos/team/public/1557_120x120.png,Super League 2,LCB,LCB,96,,0,,0,29.0,1997-02-21,400000,2027-06-30,23,2198,3,3.4,0,0.13,8.52,63.46,Greece,['Greece'],right,187,79,False,6.84,2.87,70.0,3.56,62.07,0.25,0.37,0.33,4.59,6.89,0.45,3,0.12,0,0.0,0.61,0.12,3,0.12,0.14,2,0.08,28,1.15,53.57,10.714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.7000000000000001,52.94,1.06,0.66,0.16,26.0,0.04,0.74,37.88,87.78,16.09,75.83,1.8,95.45,32.18,94.15,5.69,51.8,22.11,37.15,0.01,0.08,0.0,0.0,0.0,0.0,0.04,4.91,61.67,0.33,25.0,0.25,33.33,0.12,0.0,6.51,79.25,98.15,17.73,0,,0,,0,0.0,0.0,0.0,,,1.6400000000000001,,3.56,0.0,0.0,0.0,0.0,0,0.0
P. Doumanis,Paraskevas Doumanis,-144573,Kampaniakos Chalastra,Kampaniakos Chalastra,https://cdn5.wyscout.com/photos/team/public/g23154_120x120.png,Super League 2,"RB, RWB, RB5",RB,38,RWB,22,RB5,19,25.0,2000-10-30,0,,23,2189,2,1.03,0,0.9400000000000001,13.03,52.37,Greece,['Greece'],both,174,0,False,7.44,4.36,65.09,1.27,38.71,0.0,0.0,0.08,4.6,6.77,0.41000000000000003,2,0.08,0,0.0,2.84,0.08,2,0.08,0.04,0,0.0,18,0.74,27.78,11.111,0.0,3.7800000000000002,28.26,0.04,100.0,3.74,27.47,0.58,2.63,59.38,6.54,48.43,1.4,2.06,0.66,25.29,2.26,1.19,36.14,70.99,12.7,60.19,7.4,93.89,28.41,80.17,4.03,45.92,18.31,33.4,0.04,0.25,0.0,0.0,0.0,0.0,0.21,4.44,64.81,3.37,40.24,0.21,60.0,0.62,0.99,7.89,65.1,64.9,8.55,0,,0,,0,0.0,0.0,0.0,,,0.41000000000000003,,1.27,0.04,0.0,0.0,0.0,0,0.0
M. Giannikoglou,Makis Giannikoglou,208624,Kavala,Kavala,https://cdn5.wyscout.com/photos/team/public/1550_120x120.png,Super League 2,GK,GK,100,,0,,0,33.0,1993-03-25,175000,2026-06-30,22,2140,0,0.0,0,0.0,0.35000000000000003,87.5,Greece,['Greece'],right,189,85,False,1.37,0.0,0.0,0.22,80.0,0.0,0.0,0.0,1.37,1.8,0.0,3,0.13,1,0.04,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,100.0,0.0,0.0,0.0,9.83,0.13,0.04,16.35,80.86,10.93,73.39,0.0,0.0,6.35,99.31,9.96,69.47,39.79,50.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.61,68.29,0.18,0.0,0.13,66.67,0.04,0.0,7.76,78.98,96.58,5.16,25,1.1,58,2.56,9,56.9,16.59,0.73,-8.41,-0.371,0.0,1.01,0.22,,,,0.0,0,0.0
M. Sifneos,Mark Sifneos,401970,Kavala,Kavala,https://cdn5.wyscout.com/photos/team/public/1550_120x120.png,Super League 2,CF,CF,100,,0,,0,29.0,1996-11-24,0,2026-06-30,22,2140,9,6.7,0,0.81,30.59,37.75,Netherlands,"['Netherlands', 'Greece']",right,192,83,False,3.7,2.95,55.22,11.99,42.28,0.31,0.41000000000000003,0.22,1.76,2.32,1.85,3,0.13,0,0.0,1.5,0.38,5,0.22,0.30000000000000004,1,0.04,39,1.72,46.15,20.513,0.0,0.53,33.33,0.22,20.0,0.31,42.86,0.09,1.01,52.17,11.06,28.29,2.38,0.18,0.0,8.42,2.12,2.8200000000000003,16.04,69.23,2.95,56.72,4.85,83.64,15.07,71.35,0.48,45.45,13.92,16.78,0.04,0.4,0.0,0.0,0.0,0.0,0.13,1.67,42.11,0.71,37.5,0.18,50.0,0.53,0.04,1.28,68.97,63.04,4.05,0,,0,,0,0.0,0.0,0.0,,,0.0,,11.99,0.09,0.09,0.0,0.0,3,100.0
M. Aliatidis,Manolis Aliatidis,467453,Kavala,Kavala,https://cdn5.wyscout.com/photos/team/public/1550_120x120.png,Super League 2,LCB,LCB,94,,0,,0,31.0,1995-02-05,125000,2026-06-30,22,2135,2,0.9500000000000001,0,0.05,12.19,67.39,Greece,['Greece'],left,185,0,False,6.67,3.71,77.38,4.46,63.37,0.44,0.59,0.27,3.36,4.49,0.93,3,0.13,1,0.04,0.09,0.08,1,0.04,0.04,0,0.0,11,0.49,9.09,9.091,0.0,0.04,0.0,0.04,0.0,0.0,0.0,0.0,0.13,33.33,1.8599999999999999,59.52,0.4,0.88,0.0,17.67,0.13,1.24,29.96,78.17,14.09,65.2,2.08,82.98,21.43,86.19,8.53,58.03,26.07,42.19,0.0,0.09,0.0,0.0,0.0,0.0,0.0,5.43,57.72,0.62,14.29,0.4,11.11,0.09,0.0,8.22,66.13,92.25,11.97,0,,0,,0,0.0,0.0,0.0,,,1.5,,4.46,0.09,0.09,0.0,0.0,0,0.0
N. Giannakopoulos,Nikolaos Giannakopoulos,262032,Panionios,Panionios,https://cdn5.wyscout.com/photos/team/public/434_120x120.png,Super League 2,GK,GK,100,,0,,0,33.0,1993-02-19,200000,2027-06-30,22,2131,0,0.0,0,0.18,0.76,88.89,Greece,['Greece'],right,193,81,False,0.89,0.13,33.33,0.17,100.0,0.0,0.0,0.0,0.84,1.34,0.04,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,100.0,0.0,0.0,0.0,12.63,0.04,0.38,19.51,86.36,10.14,77.92,0.04,100.0,12.67,97.0,6.76,67.5,30.12,47.51,0.01,0.04,0.0,0.0,0.0,0.0,0.04,1.8599999999999999,45.45,0.08,0.0,0.34,62.5,0.0,0.0,5.28,76.0,96.0,8.45,11,0.46,54,2.2800000000000002,13,79.63,14.97,0.63,3.9699999999999998,0.168,0.04,0.8,0.17,,,,0.0,0,0.0
