Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
J. Renson,Jordan Renson,411269,Patro Eisden,Patro Eisden,https://cdn5.wyscout.com/photos/team/public/g239_120x120.png,Challenger Pro League,RCB,RCB,89,,0,,0,29.0,1996-05-14,500000,2028-06-30,28,2739,1,2.8,0,0.02,7.23,58.18,Belgium,['Belgium'],right,185,74,False,5.82,2.04,64.52,3.38,55.34,0.1,0.11,0.39,4.4,5.11,0.30000000000000004,4,0.13,0,0.0,0.26,0.03,1,0.03,0.09,0,0.0,17,0.56,35.29,5.882,0.0,0.03,0.0,0.0,0.0,0.03,0.0,0.0,0.1,66.67,0.53,43.75,1.02,0.1,0.03,14.06,0.2,0.26,25.99,80.66,11.76,67.32,2.37,98.61,18.63,90.12,7.33,56.95,26.07,42.33,0.0,0.13,0.0,0.0,0.0,0.0,0.03,5.52,60.71,0.43,15.38,0.33,20.0,0.13,0.0,6.67,70.44,92.26,10.19,0,,0,,0,0.0,0.0,0.0,,,1.97,,3.38,0.03,0.0,0.0,0.0,0,0.0
J. Devriendt,Julien Devriendt,456854,Patro Eisden,Patro Eisden,https://cdn5.wyscout.com/photos/team/public/g239_120x120.png,Challenger Pro League,GK,GK,100,,0,,0,27.0,1998-11-25,25000,2026-06-30,28,2739,0,0.0,0,0.0,0.92,89.29,Belgium,['Belgium'],right,189,81,False,2.27,0.13,100.0,0.66,90.0,0.03,0.04,0.0,2.1,2.44,0.0,2,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.1,66.67,0.0,0.0,0.0,7.66,0.2,0.16,14.49,79.59,9.59,71.58,0.0,0.0,6.28,96.86,8.21,66.4,38.46,48.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.63,61.25,0.16,0.0,0.26,50.0,0.03,0.0,6.14,80.75,96.5,4.7,33,1.08,90,2.96,9,63.33,23.34,0.77,-9.66,-0.317,0.0,1.94,0.66,,,,0.0,0,0.0
N. Shinton,Nick Shinton,466443,Beerschot VA,Beerschot VA,https://cdn5.wyscout.com/photos/team/public/g11723_120x120.png,Challenger Pro League,GK,GK,100,,0,,0,24.0,2001-05-10,400000,,27,2638,0,0.0,0,0.14,0.51,86.67,Belgium,['Belgium'],left,194,93,False,0.99,0.0,0.0,0.41000000000000003,91.67,0.0,0.0,0.0,0.99,1.3599999999999999,0.0,1,0.03,0,0.0,0.03,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.03,100.0,0.0,0.0,0.0,17.64,0.38,0.03,27.46,84.97,15.01,74.09,0.03,100.0,17.33,98.23,10.06,62.71,29.54,48.1,0.0,0.03,0.0,0.0,0.0,0.0,0.0,3.34,47.96,0.27,0.0,0.17,0.0,0.0,0.0,6.86,78.11,98.48,11.22,25,0.85,101,3.45,10,75.25,24.97,0.85,-0.03,-0.001,0.03,1.43,0.41000000000000003,,,,0.0,0,0.0
D. Wouters,Dries Wouters,334699,Lommel SK,Lommel SK,https://cdn5.wyscout.com/photos/team/public/2644_120x120.png,Challenger Pro League,"LCB, RCB",LCB,82,RCB,15,,0,29.0,1997-01-28,700000,2027-06-30,27,2570,2,0.6900000000000001,0,0.06,9.46,57.78,Belgium,['Belgium'],left,191,80,False,6.62,3.26,64.52,3.01,52.33,0.11,0.14,0.98,4.41,5.89,0.56,2,0.07,0,0.0,0.32,0.07,2,0.07,0.02,0,0.0,7,0.25,28.57,28.571,0.0,0.14,50.0,0.07,100.0,0.07,0.0,0.0,0.21,83.33,1.65,48.94,0.6000000000000001,0.74,0.04,41.04,0.21,0.77,55.37,90.7,22.59,83.41,2.45,97.14,48.64,95.32,6.58,57.45,21.07,37.44,0.0,0.07,0.0,0.0,0.0,0.0,0.0,5.67,75.31,0.32,66.67,0.32,44.44,0.25,0.07,9.49,73.8,96.87,25.74,0,,0,,0,0.0,0.0,0.0,,,1.96,,3.01,0.0,0.0,0.0,0.0,0,0.0
L. Rousseau,Léandro Rousseau,-167800,Patro Eisden,Patro Eisden,https://cdn5.wyscout.com/photos/team/public/g239_120x120.png,Challenger Pro League,CF,CF,97,,0,,0,22.0,2003-07-07,0,2027-06-30,27,2555,14,14.8,1,2.36,17.89,36.61,Belgium,['Belgium'],right,185,0,False,3.8,3.21,54.95,4.79,33.09,0.25,0.29,0.07,1.8,2.09,0.81,2,0.07,0,0.0,2.5700000000000003,0.49,11,0.39,0.52,1,0.04,72,2.54,45.83,19.444,0.04,1.02,17.24,0.32,0.0,0.7000000000000001,25.0,0.18,2.54,48.61,7.19,34.8,3.45,0.63,0.07,9.79,1.48,0.74,15.92,73.01,3.91,65.77,3.49,84.85,13.42,80.58,1.55,45.45,18.29,32.84,0.08,0.6000000000000001,0.04,0.0,0.0,0.0,0.25,1.87,69.81,0.81,47.83,0.0,0.0,0.6000000000000001,0.14,1.76,66.0,72.79,5.18,0,,0,,0,0.0,0.0,0.0,,,0.04,,4.79,0.0,0.0,0.0,0.0,4,75.0
D. Dessoleil,Dorian Dessoleil,182637,Francs Borains,Francs Borains,https://cdn5.wyscout.com/photos/team/public/2645_120x120.png,Challenger Pro League,"LCB, CB",LCB,66,CB,29,,0,33.0,1992-08-07,300000,2026-06-30,26,2521,2,2.4,2,0.9400000000000001,10.35,60.34,Belgium,['Belgium'],left,188,80,False,8.1,3.7800000000000002,69.81,4.11,53.04,0.46,0.55,1.11,5.0,5.92,0.61,3,0.11,0,0.0,0.32,0.07,2,0.07,0.09,0,0.0,17,0.61,35.29,11.765,0.07,0.11,66.67,0.11,66.67,0.0,0.0,0.0,0.07,50.0,0.75,57.14,0.86,0.43,0.0,27.17,0.64,0.79,41.23,83.46,19.14,71.46,1.3900000000000001,92.31,34.09,90.37,7.07,50.51,22.53,39.55,0.03,0.14,0.0,0.04,0.0,0.0,0.14,6.57,52.72,0.71,15.0,0.89,24.0,0.5,0.04,7.96,73.54,95.2,17.85,0,,0,,0,0.0,0.0,0.0,,,1.04,,4.11,0.18,0.18,20.0,0.0,0,0.0
S. Gomez van Hoogen,Samuel Gomez van Hoogen,-300930,Club Brugge II,Club Brugge II,https://cdn5.wyscout.com/photos/team/public/g-12741_120x120.png,Challenger Pro League,"LCB, LB",LCB,85,LB,11,,0,20.0,2006-01-24,0,2028-06-30,26,2513,0,0.93,0,0.25,14.36,57.36,Belgium,"['Belgium', 'Netherlands']",left,181,68,False,9.85,6.09,69.41,3.4,47.37,0.39,0.55,0.93,5.23,7.3,1.25,7,0.25,0,0.0,0.54,0.0,0,0.0,0.03,0,0.0,7,0.25,42.86,0.0,0.0,0.25,42.86,0.21,33.33,0.0,0.0,0.0,0.43,75.0,2.7199999999999998,48.68,0.61,1.75,0.0,50.78,0.5,0.75,65.61,91.32,26.04,83.08,4.12,98.26,60.74,94.46,4.62,52.71,19.29,37.81,0.01,0.25,0.0,0.0,0.07,0.0,0.11,6.7,75.4,0.75,38.1,0.32,22.22,0.11,0.11,10.49,74.4,97.83,28.04,0,,0,,0,0.0,0.0,0.0,,,2.04,,3.4,0.0,0.0,0.0,0.0,0,0.0
R. Paeshuyse,Rune Paeshuyse,-157934,Eupen,Eupen,https://cdn5.wyscout.com/photos/team/public/1079_120x120.png,Challenger Pro League,"RCB, RCB3, RB",RCB,65,RCB3,13,RB,13,23.0,2002-03-28,0,2028-06-30,26,2504,0,0.62,1,0.19,11.29,62.42,Belgium,['Belgium'],right,187,74,False,9.63,5.82,66.67,2.62,63.01,0.4,0.52,0.68,5.36,6.98,0.68,2,0.07,0,0.0,0.14,0.0,0,0.0,0.02,0,0.0,5,0.18,0.0,0.0,0.04,0.18,20.0,0.0,0.0,0.18,20.0,0.0,0.18,60.0,1.15,46.88,0.54,1.83,0.18,38.24,0.54,0.58,51.11,88.12,19.91,78.52,3.92,95.41,45.61,92.04,5.32,56.76,20.0,40.21,0.01,0.11,0.0,0.04,0.0,0.0,0.04,5.28,76.87,0.4,36.36,0.25,14.29,0.11,0.04,9.56,68.8,96.05,21.82,0,,0,,0,0.0,0.0,0.0,,,2.12,,2.62,0.0,0.0,0.0,0.0,0,0.0
L. Van Eenoo,Lukas Van Eenoo,67268,Beerschot VA,Beerschot VA,https://cdn5.wyscout.com/photos/team/public/g11723_120x120.png,Challenger Pro League,"LCMF, LDMF, RCMF",LCMF,32,LDMF,25,RCMF,15,35.0,1991-02-06,300000,2026-06-30,27,2502,2,3.6,4,6.08,14.53,53.96,Belgium,['Belgium'],left,175,67,False,8.78,6.33,61.93,3.13,48.28,0.4,0.55,0.4,4.46,6.18,1.04,4,0.14,0,0.0,1.65,0.07,1,0.04,0.13,0,0.0,33,1.19,39.39,6.061,0.14,2.48,33.33,1.65,39.13,0.68,21.05,0.36,0.61,58.82,2.63,42.47,1.12,0.76,0.14,35.72,0.29,0.8300000000000001,52.55,85.15,15.58,73.67,9.71,98.52,44.89,91.91,5.36,50.34,18.55,36.63,0.22,1.76,0.07,0.07,0.04,0.0,0.43,7.77,70.37,2.91,55.56,0.5,42.86,0.76,0.9,7.7,75.7,88.37,17.01,0,,0,,0,0.0,0.0,0.0,,,1.19,,3.13,1.8,0.25,42.86,3.31,2,50.0
S. Peeters,Stef Peeters,138277,Patro Eisden,Patro Eisden,https://cdn5.wyscout.com/photos/team/public/g239_120x120.png,Challenger Pro League,LCMF,LCMF,66,,0,,0,34.0,1992-02-09,400000,2027-06-30,26,2472,1,2.9,7,8.9,11.94,53.96,Belgium,['Belgium'],left,188,75,False,7.03,5.53,61.18,1.46,57.5,0.22,0.25,0.15,3.42,3.96,1.38,7,0.25,0,0.0,2.26,0.04,0,0.0,0.11,0,0.0,32,1.17,34.38,3.125,0.25,2.22,42.62,1.71,29.79,0.47000000000000003,92.31,0.36,1.09,70.0,3.8200000000000003,44.76,0.6900000000000001,1.13,0.18,23.08,0.58,0.87,36.92,71.79,15.44,67.45,4.19,87.83,23.92,82.8,10.78,53.38,24.19,40.61,0.32,2.22,0.0,0.04,0.18,80.0,0.55,10.81,59.26,3.8200000000000003,51.43,1.17,50.0,1.24,0.9500000000000001,9.76,82.46,71.16,13.51,0,,0,,0,0.0,0.0,0.0,,,0.18,,1.46,3.86,0.33,22.22,3.39,1,100.0
