Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
V. Jónsson,Virgar Jónsson,-357876,EB / Streymur,EB / Streymur,https://cdn5.wyscout.com/photos/team/public/3791_120x120.png,Meistaradeildin,"LB, LCMF, LW",LB,53,LCMF,19,LW,14,19.0,2006-06-13,0,,10,986,1,1.12,0,0.1,18.71,41.46,Faroe Islands,['Faroe Islands'],left,0,0,False,9.22,6.57,48.61,4.2,41.3,0.8200000000000001,0.75,0.37,5.2,4.78,1.73,3,0.27,0,0.0,1.37,0.09,1,0.09,0.1,0,0.0,10,0.91,40.0,10.0,0.0,1.0,54.55,0.8200000000000001,66.67,0.18,0.0,0.27,1.19,38.46,5.02,34.55,1.0,0.8200000000000001,0.27,11.32,1.1,1.37,19.35,62.74,8.58,50.0,4.11,86.67,14.51,69.81,3.92,39.53,21.19,37.16,0.01,0.18,0.0,0.0,0.0,0.0,0.0,3.65,42.5,1.37,53.33,0.09,0.0,0.27,0.46,5.29,51.72,69.77,3.92,0,,0,,0,0.0,0.0,0.0,,,0.18,,4.2,0.09,0.0,0.0,0.0,0,0.0
J. Davidsen,Joannes Eyðfinnson Davidsen,-330249,EB / Streymur,EB / Streymur,https://cdn5.wyscout.com/photos/team/public/3791_120x120.png,Meistaradeildin,GK,GK,100,,0,,0,23.0,2002-09-19,0,,10,986,0,0.0,0,0.0,1.83,85.0,Faroe Islands,['Faroe Islands'],right,0,0,False,2.1,0.18,0.0,1.19,100.0,0.0,0.0,0.0,2.1,1.9300000000000002,0.09,1,0.09,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,6.02,0.0,0.46,15.88,73.56,9.95,62.39,0.0,0.0,6.66,93.15,9.22,59.41,37.06,45.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.74,50.0,0.0,0.0,0.09,100.0,0.0,0.0,6.57,73.61,91.67,5.48,16,1.46,69,6.3,1,76.81,17.35,1.58,1.35,0.123,0.0,3.01,1.19,,,,0.0,0,0.0
L. Nørby,Laurits Nørby,-279280,EB / Streymur,EB / Streymur,https://cdn5.wyscout.com/photos/team/public/3791_120x120.png,Meistaradeildin,"LCB, CB",LCB,67,CB,32,,0,21.0,2004-06-29,0,,10,986,1,0.30000000000000004,1,0.0,10.95,61.67,Denmark,['Denmark'],unknown,0,0,False,7.03,2.92,78.13,4.93,59.26,0.0,0.0,0.46,4.75,4.36,0.73,1,0.09,0,0.0,0.27,0.09,1,0.09,0.03,0,0.0,5,0.46,40.0,20.0,0.09,0.27,33.33,0.18,0.0,0.09,100.0,0.18,0.09,0.0,0.64,42.86,0.55,0.18,0.09,12.32,0.09,0.37,22.09,77.69,10.68,64.1,0.91,90.0,17.98,87.31,3.83,35.71,22.35,34.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.74,46.34,0.46,20.0,0.09,0.0,0.0,0.09,4.5600000000000005,66.0,94.06,9.22,0,,0,,0,0.0,0.0,0.0,,,0.64,,4.93,0.0,0.0,0.0,0.0,0,0.0
M. Hellisá,Mikkjal Hellisá,-104637,EB / Streymur,EB / Streymur,https://cdn5.wyscout.com/photos/team/public/3791_120x120.png,Meistaradeildin,"RCB, RCB3",RCB,67,RCB3,32,,0,24.0,2002-02-18,0,,10,986,1,0.13,0,0.0,12.05,63.64,Faroe Islands,['Faroe Islands'],right,0,0,False,8.31,4.2,82.61,5.02,56.36,0.18,0.17,0.91,4.66,4.27,0.8200000000000001,1,0.09,0,0.0,0.18,0.09,1,0.09,0.01,1,0.09,2,0.18,50.0,50.0,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.09,100.0,0.8200000000000001,44.44,1.0,0.64,0.09,15.33,0.09,0.18,26.47,81.03,11.68,67.97,2.19,95.83,20.99,88.7,5.39,52.54,25.28,45.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.66,62.75,0.64,14.29,0.18,0.0,0.46,0.09,5.66,74.19,92.79,10.13,0,,0,,0,0.0,0.0,0.0,,,1.37,,5.02,0.46,0.09,0.0,0.0,0,0.0
S. Jørgensen,Simon Jørgensen,-140165,Skála,Skála,https://cdn5.wyscout.com/photos/team/public/g797_120x120.png,Meistaradeildin,"LW, LWF, CF",LW,47,LWF,22,CF,13,20.0,2005-08-10,0,,10,980,4,3.5300000000000002,1,2.19,25.71,42.14,Denmark,['Denmark'],,180,0,False,5.51,5.05,54.55,1.19,30.77,0.0,0.0,0.18,2.76,3.13,0.8300000000000001,1,0.09,0,0.0,4.78,0.37,2,0.18,0.32,0,0.0,23,2.11,21.74,17.391,0.09,1.74,31.58,1.1,41.67,0.55,16.67,0.28,7.62,45.78,18.0,39.29,2.39,2.5700000000000003,0.64,12.95,1.01,2.85,19.01,70.05,6.24,55.88,3.31,77.78,15.24,75.3,2.11,65.22,21.59,28.87,0.2,1.65,0.09,0.0,0.55,50.0,0.55,2.85,67.74,2.85,54.84,0.8300000000000001,33.33,1.47,0.55,3.77,63.41,78.57,6.43,0,,0,,0,0.0,0.0,0.0,,,0.0,,1.19,1.19,0.09,0.0,3.58,2,100.0
J. Jacobsen,Jákup Jacobsen,184391,Skála,Skála,https://cdn5.wyscout.com/photos/team/public/g797_120x120.png,Meistaradeildin,"RCB3, RCB",RCB3,84,RCB,15,,0,33.0,1992-11-22,0,,10,980,0,0.04,0,0.04,12.03,64.12,Faroe Islands,['Faroe Islands'],,0,0,False,9.55,4.59,74.0,3.03,51.52,0.37,0.42,0.92,5.79,6.5600000000000005,0.37,3,0.28,0,0.0,0.37,0.0,0,0.0,0.0,0,0.0,1,0.09,100.0,0.0,0.0,0.18,0.0,0.0,0.0,0.18,0.0,0.0,0.55,50.0,2.48,44.44,0.18,1.65,0.0,29.66,0.55,1.19,46.84,83.53,22.04,74.58,3.86,97.62,38.3,91.61,8.36,48.35,23.44,38.67,0.0,0.18,0.0,0.0,0.0,0.0,0.0,11.11,66.94,1.01,45.45,0.37,25.0,0.28,0.0,11.2,75.41,91.75,17.82,0,,0,,0,0.0,0.0,0.0,,,2.76,,3.03,0.18,0.0,0.0,0.0,0,0.0
B. Mørk,Bjarti Vitalis Mørk,466753,HB,HB,https://cdn5.wyscout.com/photos/team/public/2631_120x120.png,Meistaradeildin,GK,GK,100,,0,,0,24.0,2001-06-07,0,,10,976,0,0.0,0,0.0,1.11,91.67,Faroe Islands,['Faroe Islands'],right,190,82,False,2.03,0.0,0.0,0.55,100.0,0.0,0.0,0.0,2.03,2.99,0.09,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,100.0,0.0,0.0,0.09,19.83,0.28,0.55,33.2,88.89,17.43,81.48,0.09,100.0,21.67,96.6,11.53,74.4,27.53,40.92,0.0,0.0,0.09,0.0,0.0,0.0,0.0,1.29,50.0,0.18,0.0,0.18,0.0,0.0,0.0,8.11,68.18,97.45,14.48,18,1.6600000000000001,41,3.7800000000000002,1,56.1,15.76,1.45,-2.24,-0.20700000000000002,0.09,0.92,0.55,,,,0.0,0,0.0
A. Hansen,Aron Reinert Hansen,-419140,B68,B68,https://cdn5.wyscout.com/photos/team/public/g804_120x120.png,Meistaradeildin,"LCB, LCB3",LCB,71,LCB3,26,,0,21.0,2004-10-04,0,,10,973,1,0.67,0,0.36,6.75,52.05,Faroe Islands,['Faroe Islands'],left,0,0,False,8.32,2.77,60.0,1.94,61.9,0.18,0.21,1.02,6.47,7.27,0.09,1,0.09,0,0.0,0.28,0.09,1,0.09,0.06,0,0.0,3,0.28,66.67,33.333,0.0,0.09,100.0,0.09,100.0,0.0,0.0,0.0,0.09,0.0,1.02,36.36,0.55,0.74,0.0,31.63,0.46,0.46,46.71,75.64,26.18,64.31,3.14,94.12,34.87,87.27,11.75,40.94,25.0,41.11,0.03,0.37,0.0,0.0,0.0,0.0,0.28,8.88,54.17,1.2,15.38,1.3900000000000001,6.67,0.18,0.09,13.32,66.67,90.51,14.61,0,,0,,0,0.0,0.0,0.0,,,1.94,,1.94,0.0,0.0,0.0,0.0,0,0.0
T. Holm,Torkil Úlvur Jespersen Holm,-357857,B68,B68,https://cdn5.wyscout.com/photos/team/public/g804_120x120.png,Meistaradeildin,"RB, RCB3, LB",RB,52,RCB3,17,LB,15,19.0,2006-11-27,0,,10,973,0,0.29,1,0.01,15.91,54.07,Faroe Islands,['Faroe Islands'],right,0,0,False,7.95,7.12,61.04,2.77,46.67,0.09,0.1,0.55,3.51,3.94,0.92,2,0.18,0,0.0,1.02,0.0,0,0.0,0.03,0,0.0,2,0.18,100.0,0.0,0.09,1.11,33.33,0.28,66.67,0.8300000000000001,22.22,0.18,0.74,62.5,3.88,52.38,0.65,1.85,0.46,24.51,1.57,1.02,36.17,78.77,14.8,65.0,6.01,98.46,31.54,84.75,3.51,39.47,17.35,32.45,0.0,0.09,0.0,0.0,0.09,0.0,0.0,3.79,48.78,1.6600000000000001,27.78,0.37,0.0,0.18,0.37,7.03,59.21,81.82,8.14,0,,0,,0,0.0,0.0,0.0,,,1.11,,2.77,0.0,0.0,0.0,0.0,0,0.0
T. Thomsen,Tórður Thomsen,28419,B68,B68,https://cdn5.wyscout.com/photos/team/public/g804_120x120.png,Meistaradeildin,GK,GK,100,,0,,0,39.0,1986-06-11,10000,,10,973,0,0.0,0,0.0,1.11,83.33,Faroe Islands,['Faroe Islands'],right,192,0,False,1.85,0.09,100.0,0.28,100.0,0.0,0.0,0.0,1.76,1.97,0.0,2,0.18,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,66.67,0.0,0.0,0.0,10.27,0.09,0.28,19.24,82.21,9.06,66.33,0.0,0.0,13.87,97.33,5.36,43.1,30.77,43.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11,25.0,0.09,0.0,0.09,0.0,0.0,0.0,3.51,52.63,97.2,9.9,25,2.31,59,5.46,1,57.63,18.93,1.75,-6.07,-0.561,0.0,1.2,0.28,,,,0.0,0,0.0
