Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
M. Reule,Maximilian Reule,242845,Sonnenhof Großaspach,Sonnenhof Großaspach,https://cdn5.wyscout.com/photos/team/public/g5882_120x120.png,Regionalliga Südwest,GK,GK,100,,0,,0,32.0,1994-02-01,0,2027-06-30,34,3320,0,0.0,0,0.0,0.76,85.71,Germany,['Germany'],right,188,84,False,1.22,0.05,0.0,0.41000000000000003,100.0,0.0,0.0,0.0,1.22,1.72,0.0,3,0.08,0,0.0,0.03,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.19,100.0,0.0,0.03,0.0,17.67,0.35000000000000003,0.24,27.05,88.98,14.67,81.15,0.0,0.0,18.16,98.51,8.84,69.94,27.66,44.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.22,55.56,0.05,0.0,0.08,0.0,0.03,0.0,6.29,74.14,98.72,10.63,43,1.17,142,3.85,7,69.72,42.62,1.16,-0.38,-0.01,0.0,1.03,0.41000000000000003,,,,0.0,0,0.0
J. Weyand,Jonas Weyand,468041,Hessen Kassel,Hessen Kassel,https://cdn5.wyscout.com/photos/team/public/g5863_120x120.png,Regionalliga Südwest,GK,GK,100,,0,,0,25.0,2000-12-03,25000,2026-06-30,34,3304,0,0.0,0,0.0,1.12,82.93,Germany,['Germany'],right,191,84,False,1.83,0.27,60.0,0.54,95.0,0.03,0.04,0.0,1.63,2.27,0.0,3,0.08,0,0.0,0.08,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,100.0,0.19,71.43,0.0,0.0,0.0,15.58,0.19,0.35000000000000003,26.69,88.98,13.1,79.21,0.0,0.0,17.95,98.79,8.69,69.28,29.74,45.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,38.89,0.11,0.0,0.08,66.67,0.0,0.0,7.52,75.36,99.35,12.53,51,1.3900000000000001,160,4.36,6,68.13,56.09,1.53,5.09,0.139,0.0,1.9300000000000002,0.54,,,,0.0,0,0.0
K. Schulz,Kwabe Schulz,483452,Sandhausen,Sandhausen,https://cdn5.wyscout.com/photos/team/public/1130_120x120.png,Regionalliga Südwest,"LCB, CB, LCB3",LCB,52,CB,31,LCB3,12,27.0,1998-10-06,75000,2027-06-30,33,3226,1,0.6000000000000001,1,0.34,14.95,57.65,Germany,"['Germany', 'Ghana']",left,189,80,False,9.23,6.7,65.0,3.46,60.48,0.22,0.28,0.64,4.66,5.85,1.2,7,0.2,0,0.0,0.42,0.03,1,0.03,0.02,0,0.0,6,0.17,33.33,16.667,0.03,0.31,54.55,0.17,50.0,0.11,50.0,0.0,0.39,50.0,2.2,30.38,0.31,0.73,0.03,35.96,0.14,0.22,49.91,86.98,20.92,77.07,2.37,98.82,42.96,93.05,6.64,49.16,20.77,42.34,0.01,0.2,0.0,0.03,0.03,0.0,0.08,5.94,58.22,1.03,40.54,0.53,31.58,0.33,0.17,8.03,71.18,94.29,20.53,0,,0,,0,0.0,0.0,0.0,,,1.76,,3.46,0.03,0.0,0.0,0.0,0,0.0
A. Sanchez,Adrian Bravo-Sanchez,452584,Hessen Kassel,Hessen Kassel,https://cdn5.wyscout.com/photos/team/public/g5863_120x120.png,Regionalliga Südwest,"CF, RCMF, AMF",CF,29,RCMF,20,AMF,19,32.0,1993-10-28,125000,2027-06-30,33,3208,4,4.18,14,11.65,8.5,39.93,Germany,['Germany'],left,178,0,False,2.86,2.75,59.18,1.09,25.64,0.11,0.16,0.03,1.12,1.57,0.59,7,0.2,0,0.0,1.8,0.11,4,0.11,0.12,0,0.0,33,0.93,39.39,12.121,0.39,2.13,39.47,0.65,21.74,1.46,46.15,0.48,0.9,34.38,3.31,29.66,1.77,1.32,0.08,37.65,1.18,0.5,48.98,82.59,16.41,73.33,10.16,94.75,41.89,88.01,5.16,54.89,18.27,33.05,0.33,2.89,0.11,0.06,0.45,62.5,0.73,8.3,68.92,4.57,55.83,1.07,52.63,1.96,0.76,8.56,82.3,84.59,15.29,0,,0,,0,0.0,0.0,0.0,,,0.34,,1.09,1.35,0.14,40.0,5.39,0,0.0
M. Gelt,Michael Gelt,-76405,Homburg,Homburg,https://cdn5.wyscout.com/photos/team/public/g2374_120x120.png,Regionalliga Südwest,GK,GK,100,,0,,0,24.0,2002-02-05,75000,2027-06-30,33,3189,0,0.0,0,0.05,0.4,71.43,Germany,['Germany'],right,182,77,False,1.6099999999999999,0.14,40.0,0.17,83.33,0.0,0.0,0.0,1.55,2.16,0.0,3,0.08,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.0,0.0,0.0,24.95,0.28,0.06,36.15,83.22,17.84,69.3,0.03,100.0,22.04,98.21,14.08,59.92,31.97,46.62,0.0,0.03,0.03,0.0,0.0,0.0,0.03,2.85,45.54,0.28,20.0,0.45,31.25,0.03,0.0,9.17,66.77,96.72,17.19,41,1.16,130,3.67,6,68.46,40.6,1.15,-0.4,-0.011,0.0,0.85,0.17,,,,0.0,0,0.0
R. Novakovic,Radomir Novakovic,468572,Eintracht Trier,Eintracht Trier,https://cdn5.wyscout.com/photos/team/public/2687_120x120.png,Regionalliga Südwest,GK,GK,100,,0,,0,26.0,2000-01-24,0,2027-06-30,33,3161,0,0.45,0,0.01,0.68,66.67,Germany,"['Germany', 'Serbia']",right,192,80,False,1.62,0.23,25.0,0.37,92.31,0.0,0.0,0.0,1.57,1.9300000000000002,0.03,3,0.09,0,0.0,0.0,0.0,0,0.0,0.01,0,0.0,1,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,100.0,0.03,0.0,0.0,19.87,0.28,0.09,29.33,88.64,11.56,73.4,0.0,0.0,21.15,98.79,8.17,62.37,28.68,44.69,0.0,0.03,0.0,0.0,0.0,0.0,0.03,2.14,49.33,0.26,22.22,0.23,25.0,0.06,0.0,6.24,75.34,98.58,16.09,49,1.4,132,3.76,7,62.88,40.48,1.15,-8.52,-0.243,0.0,1.2,0.37,,,,0.0,0,0.0
T. Steinmetz,Tim Steinmetz,-34213,Homburg,Homburg,https://cdn5.wyscout.com/photos/team/public/g2374_120x120.png,Regionalliga Südwest,RB,RB,100,,0,,0,26.0,1999-09-15,100000,2027-06-30,34,3128,1,0.88,4,4.19,12.92,59.47,Germany,['Germany'],left,170,59,False,8.03,6.5,71.24,1.76,45.9,0.06,0.08,0.37,3.34,4.62,0.32,1,0.03,0,0.0,2.22,0.03,1,0.03,0.03,0,0.0,14,0.4,28.57,7.143,0.12,2.85,36.36,0.0,0.0,2.79,37.11,0.32,1.7000000000000002,57.63,3.34,48.28,0.81,1.87,0.2,34.96,2.22,0.2,48.86,81.45,21.23,73.85,8.09,98.93,39.3,88.8,6.79,57.63,19.87,34.42,0.12,0.81,0.03,0.06,0.14,60.0,0.32,6.96,74.38,3.4,50.0,0.46,31.25,0.78,1.01,11.62,75.74,82.58,12.72,0,,0,,0,0.0,0.0,0.0,,,1.4100000000000001,,1.76,0.0,0.0,0.0,0.0,0,0.0
L. Pomnitz,Leon Pomnitz,260569,Barockstadt Fulda-Lehnerz,Barockstadt Fulda-Lehnerz,https://cdn5.wyscout.com/photos/team/public/g24682_120x120.png,Regionalliga Südwest,"LCMF, AMF, LCMF3",LCMF,32,AMF,19,LCMF3,11,30.0,1995-05-27,75000,2027-06-30,33,3114,2,1.34,5,6.58,12.83,49.77,Germany,['Germany'],,0,0,False,6.71,4.86,57.14,1.99,37.68,0.55,0.75,0.03,3.38,4.59,1.13,9,0.26,0,0.0,1.97,0.06,2,0.06,0.04,0,0.0,34,0.98,26.47,5.882,0.14,1.73,53.33,0.98,47.06,0.75,61.54,0.35000000000000003,1.16,67.5,4.6,50.94,0.9,1.24,0.23,29.08,0.66,1.18,43.99,85.61,12.08,74.16,8.21,96.13,38.47,89.41,3.87,62.69,17.33,35.97,0.19,1.47,0.09,0.09,0.06,0.0,0.29,4.94,75.44,2.6,58.89,0.38,30.77,1.07,0.78,6.62,73.8,88.1,15.06,0,,0,,0,0.0,0.0,0.0,,,0.29,,1.99,1.24,0.14,20.0,3.76,0,0.0
J. Brinkies,Johannes Brinkies,164775,Kickers Offenbach,Kickers Offenbach,https://cdn5.wyscout.com/photos/team/public/345_120x120.png,Regionalliga Südwest,GK,GK,100,,0,,0,32.0,1993-06-20,175000,2026-06-30,32,3114,0,0.0,0,0.0,0.66,78.26,Germany,['Germany'],both,188,87,False,1.13,0.2,57.14,0.38,84.62,0.03,0.04,0.0,0.98,1.22,0.0,1,0.03,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.06,0.0,0.0,11.21,0.17,0.12,19.39,87.18,10.38,77.72,0.03,100.0,11.18,98.97,8.21,71.13,31.58,45.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18,53.66,0.0,0.0,0.03,0.0,0.0,0.0,6.36,82.73,98.18,7.92,55,1.5899999999999999,177,5.12,6,68.93,58.46,1.69,3.46,0.1,0.0,1.3900000000000001,0.38,,,,0.0,0,0.0
L. Kolbe,Louis Kolbe,-150101,Sandhausen,Sandhausen,https://cdn5.wyscout.com/photos/team/public/1130_120x120.png,Regionalliga Südwest,"RB, RWB, RB5",RB,53,RWB,25,RB5,14,22.0,2004-03-11,100000,2027-06-30,33,3079,4,3.03,6,6.08,18.77,52.8,Germany,['Germany'],right,174,67,False,8.36,6.61,59.29,1.81,45.16,0.23,0.29,0.15,4.21,5.23,0.88,6,0.18,0,0.0,5.03,0.12,4,0.12,0.09,0,0.0,32,0.9400000000000001,25.0,12.5,0.18,5.0,43.86,0.09,66.67,4.85,42.77,0.47000000000000003,4.03,64.49,8.65,52.03,1.7000000000000002,2.92,0.58,16.84,1.52,1.7000000000000002,27.04,70.38,7.75,56.6,5.23,92.18,19.85,81.44,2.43,33.73,20.1,33.57,0.18,1.2,0.09,0.0,0.03,0.0,0.7000000000000001,2.25,53.25,3.95,49.63,0.18,33.33,0.44,2.13,6.37,62.39,68.79,9.18,0,,0,,0,0.0,0.0,0.0,,,0.7000000000000001,,1.81,0.0,0.0,0.0,0.0,0,0.0
