Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
S. Aske Granheim,Sander Aske Granheim,-583211,Sogndal,Sogndal,https://cdn5.wyscout.com/photos/team/public/1611_120x120.png,Obos Ligaen,"LCB, RCB, RCB3",LCB,75,RCB,12,RCB3,12,18,2007-08-15,0,2029-12-31,8,799,0,0.75,0,0.5700000000000001,12.84,60.53,Norway,['Norway'],,0,0,False,11.15,5.52,61.22,4.51,60.0,0.11,0.12,1.58,7.66,8.33,0.68,1,0.11,0,0.0,0.34,0.0,0,0.0,0.08,0,0.0,5,0.56,40.0,0.0,0.0,0.11,0.0,0.0,0.0,0.11,0.0,0.0,0.11,100.0,2.03,61.11,0.79,0.34,0.0,24.56,0.34,0.79,38.52,88.6,16.78,81.21,3.15,100.0,34.81,92.56,3.6,53.13,19.64,32.27,0.06,0.23,0.0,0.0,0.0,0.0,0.11,3.04,74.07,0.56,60.0,0.23,50.0,0.34,0.0,5.52,57.14,93.71,16.11,0,,0,,0,0.0,0.0,0.0,,,2.48,,4.51,0.0,0.0,0.0,0.0,0,0
S. Fosnæss Hanssen,Sondre  Fosnæss Hanssen,-125891,Hødd,Hødd,https://cdn5.wyscout.com/photos/team/public/1623_120x120.png,Obos Ligaen,LCB,LCB,95,,0,,0,24,2001-05-25,150000,2026-12-31,8,799,0,0.0,0,0.36,11.6,50.49,Norway,['Norway'],right,186,76,False,8.0,4.73,54.76,5.52,46.94,0.0,0.0,1.58,5.41,7.31,1.58,1,0.11,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.23,0.11,0.0,38.52,0.23,0.23,49.67,91.38,13.4,76.47,2.93,92.31,47.08,94.5,2.59,34.78,19.89,41.7,0.04,0.11,0.11,0.0,0.0,0.0,0.11,3.38,70.0,0.0,0.0,0.0,0.0,0.23,0.0,4.39,48.72,97.64,28.61,0,,0,,0,0.0,0.0,0.0,,,2.14,,5.52,0.0,0.0,0.0,0.0,0,0
T. Kinn,Thomas Kinn,337847,Hødd,Hødd,https://cdn5.wyscout.com/photos/team/public/1623_120x120.png,Obos Ligaen,GK,GK,100,,0,,0,27,1999-02-07,250000,2026-12-31,8,799,0,0.0,0,0.0,1.24,100.0,Norway,['Norway'],right,189,0,False,0.79,0.11,100.0,1.01,100.0,0.11,0.15,0.0,0.56,0.76,0.0,1,0.11,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.97,0.45,0.34,22.08,82.65,10.36,66.3,0.11,100.0,14.42,97.66,7.66,54.41,31.38,48.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,37.5,0.34,0.0,0.11,0.0,0.0,0.0,4.73,61.9,96.81,10.59,11,1.24,35,3.94,1,68.57,10.97,1.24,-0.03,-0.003,0.0,2.03,1.01,,,,0.0,0,0
T. Kallevåg,Torbjørn  Kallevåg,240375,Hødd,Hødd,https://cdn5.wyscout.com/photos/team/public/1623_120x120.png,Obos Ligaen,"DMF, RDMF, LDMF",DMF,19,RDMF,19,LDMF,14,32,1993-08-21,0,2028-12-31,8,795,0,0.09,0,0.32,11.89,53.33,Norway,['Norway'],right,178,65,False,6.45,5.77,56.86,2.15,47.37,0.23,0.31,0.23,2.94,3.98,1.25,2,0.23,0,0.0,0.34,0.0,0,0.0,0.01,0,0.0,3,0.34,66.67,0.0,0.0,0.34,0.0,0.23,0.0,0.11,0.0,0.0,0.23,50.0,1.7000000000000002,60.0,0.34,2.15,0.0,40.08,0.0,1.13,53.77,86.11,17.77,71.34,8.94,93.67,47.55,90.48,5.89,55.77,18.15,36.57,0.04,0.68,0.11,0.11,0.0,0.0,0.11,8.6,72.37,1.58,57.14,0.34,66.67,0.68,0.0,7.47,71.21,93.71,19.81,0,,0,,0,0.0,0.0,0.0,,,0.5700000000000001,,2.15,0.0,0.0,0.0,0.34,0,0
N. Strunck Jakobsen,Nicklas Strunck Jakobsen,421641,Bryne,Bryne,https://cdn5.wyscout.com/photos/team/public/1618_120x120.png,Obos Ligaen,"DMF, LCMF3",DMF,57,LCMF3,40,,0,26,1999-08-17,250000,2026-12-31,8,794,4,3.34,1,1.8,11.34,47.0,Denmark,['Denmark'],right,182,72,False,6.91,3.63,56.25,1.81,50.0,0.23,0.32,0.0,4.65,6.47,0.68,2,0.23,0,0.0,1.81,0.45,3,0.34,0.38,0,0.0,16,1.81,43.75,25.0,0.11,1.5899999999999999,50.0,0.68,50.0,0.91,50.0,0.23,0.45,50.0,4.19,37.84,1.5899999999999999,1.02,0.23,19.27,0.23,1.25,33.44,84.75,10.99,78.35,7.03,93.55,28.79,88.98,3.06,62.96,18.22,34.77,0.2,1.7000000000000002,0.0,0.0,0.0,0.0,0.23,4.76,78.57,2.49,59.09,0.23,100.0,0.68,1.02,6.46,71.93,86.42,9.18,0,,0,,0,0.0,0.0,0.0,,,1.02,,1.81,2.61,0.11,0.0,2.95,1,100
K. Skaanes,Kasper Holmboe Skaanes,232572,Sogndal,Sogndal,https://cdn5.wyscout.com/photos/team/public/1611_120x120.png,Obos Ligaen,"AMF, RAMF, RCMF",AMF,27,RAMF,12,RCMF,12,31,1995-03-19,150000,2027-12-31,8,790,3,1.62,2,1.76,13.22,50.86,Norway,['Norway'],right,175,61,False,3.08,3.5300000000000002,48.39,2.62,47.83,0.0,0.0,0.11,1.37,1.49,0.8,2,0.23,0,0.0,4.5600000000000005,0.34,3,0.34,0.18,0,0.0,12,1.37,58.33,25.0,0.23,4.9,37.21,2.62,21.74,2.2800000000000002,55.0,1.03,2.51,72.73,6.15,57.41,3.87,2.2800000000000002,0.46,21.76,1.25,1.1400000000000001,30.19,76.98,9.91,77.01,6.15,98.15,24.38,86.92,1.03,22.22,16.33,32.05,0.2,1.5899999999999999,0.11,0.0,0.11,100.0,1.1400000000000001,2.16,78.95,4.33,34.21,0.23,50.0,1.1400000000000001,1.94,5.01,77.27,66.25,9.11,0,,0,,0,0.0,0.0,0.0,,,0.11,,2.62,0.0,0.0,0.0,0.23,0,0
K. Ekornes,Karsten Arman Ekornes,-409677,Stabæk,Stabæk,https://cdn5.wyscout.com/photos/team/public/610_120x120.png,Obos Ligaen,LB,LB,100,,0,,0,19,2006-07-07,0,2028-12-31,8,786,0,0.27,3,2.01,15.0,52.67,Norway,['Norway'],,0,0,False,6.87,5.95,53.85,3.7800000000000002,51.52,0.23,0.33,0.0,3.44,4.95,1.15,2,0.23,0,0.0,2.52,0.0,0,0.0,0.03,0,0.0,4,0.46,25.0,0.0,0.34,2.63,78.26,2.63,78.26,0.0,0.0,0.34,0.46,50.0,2.63,47.83,1.26,1.15,0.46,49.01,2.4,0.5700000000000001,62.29,87.32,24.73,80.09,12.14,96.23,54.39,90.74,5.5,58.33,17.92,37.84,0.23,1.26,0.0,0.23,0.11,100.0,0.8,7.5600000000000005,78.79,3.66,71.88,0.5700000000000001,40.0,1.15,1.72,12.37,73.15,91.73,15.23,0,,0,,0,0.0,0.0,0.0,,,0.8,,3.7800000000000002,0.0,0.0,0.0,0.11,0,0
F. Christensen,Frederik Juul Christensen,-45025,Kongsvinger,Kongsvinger,https://cdn5.wyscout.com/photos/team/public/1620_120x120.png,Obos Ligaen,"DMF, RDMF",DMF,73,RDMF,24,,0,26,2000-01-19,300000,2027-12-31,8,785,1,0.84,0,0.54,13.64,52.94,Denmark,['Denmark'],right,176,70,False,9.52,7.68,61.19,1.6099999999999999,28.57,0.34,0.49,0.23,4.47,6.36,1.6099999999999999,1,0.11,0,0.0,0.46,0.11,0,0.0,0.1,0,0.0,5,0.5700000000000001,40.0,20.0,0.0,0.6900000000000001,0.0,0.23,0.0,0.46,0.0,0.34,0.34,33.33,2.41,42.86,0.46,2.75,0.0,55.03,0.23,0.46,70.17,87.58,23.85,77.88,11.35,95.96,64.66,92.02,4.82,40.48,18.98,40.86,0.06,0.34,0.11,0.0,0.23,50.0,0.23,15.02,74.81,2.18,52.63,0.46,50.0,1.49,0.0,10.2,85.39,93.51,26.48,0,,0,,0,0.0,0.0,0.0,,,1.38,,1.6099999999999999,0.0,0.0,0.0,0.11,1,100
A. Dybevik,Andreas Dybevik,406826,Kongsvinger,Kongsvinger,https://cdn5.wyscout.com/photos/team/public/1620_120x120.png,Obos Ligaen,"LCMF3, LDMF, AMF",LCMF3,61,LDMF,24,AMF,12,28,1998-02-05,275000,2027-12-31,8,785,2,1.72,2,1.63,15.94,45.32,Norway,['Norway'],left,182,72,False,10.55,8.94,53.85,1.83,25.0,0.11,0.16,0.23,5.62,7.99,1.6099999999999999,2,0.23,0,0.0,1.38,0.23,2,0.23,0.2,1,0.11,16,1.83,31.25,12.5,0.23,0.6900000000000001,16.67,0.46,0.0,0.23,50.0,0.11,0.5700000000000001,80.0,3.55,38.71,3.1,1.03,0.0,33.36,0.6900000000000001,0.6900000000000001,43.45,78.36,17.2,66.67,5.5,91.67,39.67,81.5,3.1,51.85,15.87,30.21,0.19,1.49,0.23,0.0,0.5700000000000001,40.0,1.38,6.76,72.88,2.64,56.52,0.8,28.57,2.18,0.11,7.45,70.77,86.96,10.55,0,,0,,0,0.0,0.0,0.0,,,0.23,,1.83,0.11,0.0,0.0,2.29,0,0
S. Skjeldal,Samuel Skree Skjeldal,-192162,Odds,Odds,https://cdn5.wyscout.com/photos/team/public/1569_120x120.png,Obos Ligaen,LB,LB,94,,0,,0,22,2003-09-06,0,2027-07-31,8,785,1,0.65,4,1.48,15.48,59.26,Norway,['Norway'],left,183,76,False,7.91,5.73,70.0,2.06,38.89,0.46,0.73,0.0,3.44,5.49,0.92,1,0.11,0,0.0,3.32,0.11,1,0.11,0.07,0,0.0,9,1.03,44.44,11.111,0.46,3.9,23.53,3.7800000000000002,21.21,0.11,100.0,0.34,2.52,77.27,5.96,63.46,2.06,2.06,0.11,37.03,2.18,1.6099999999999999,46.43,76.3,12.96,55.75,14.79,95.35,37.49,88.99,5.27,23.91,19.9,38.2,0.17,1.26,0.34,0.11,0.0,0.0,0.46,5.73,58.0,3.55,25.81,0.34,33.33,1.03,0.92,7.22,61.9,79.09,12.61,0,,0,,0,0.0,0.0,0.0,,,0.5700000000000001,,2.06,0.46,0.11,100.0,1.49,0,0
