Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
L. Corbatto,Luca Corbatto,-309617,San Luigi Calcio,San Luigi Calcio,https://cdn5.wyscout.com/photos/team/public/g-5610_120x120.png,Serie D - Girone C,GK,GK,100,,0,,0,18.0,2007-04-11,0,,23,2224,0,0.0,0,0.0,0.89,86.36,Italy,['Italy'],,0,0,False,2.31,0.08,0.0,0.5700000000000001,92.86,0.04,0.05,0.0,2.27,2.9699999999999998,0.08,3,0.12,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,100.0,0.0,0.0,0.0,6.35,0.32,0.4,16.31,81.89,8.82,66.97,0.08,100.0,9.75,97.51,6.5600000000000005,58.64,33.95,46.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.58,46.15,0.12,33.33,0.0,0.0,0.04,0.0,4.86,70.83,99.42,6.96,31,1.25,118,4.78,7,73.73,37.7,1.53,6.7,0.271,0.04,1.98,0.5700000000000001,,,,0.0,0,0.0
M. Businarolo,Marco Businarolo,-259066,Legnago Salus,Legnago Salus,https://cdn5.wyscout.com/photos/team/public/2808_120x120.png,Serie D - Girone C,GK,GK,100,,0,,0,20.0,2005-08-12,0,2026-06-30,21,2056,0,0.0,0,0.0,0.78,75.0,Italy,['Italy'],,0,0,False,1.8599999999999999,0.1,50.0,0.49,80.0,0.05,0.08,0.05,1.76,2.93,0.05,2,0.09,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,100.0,0.0,0.0,0.0,14.58,0.39,0.29,24.71,79.41,14.73,68.44,0.0,0.0,12.68,97.3,11.94,61.07,39.0,50.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,50.0,0.49,0.0,0.44,11.11,0.0,0.0,8.61,77.27,95.79,9.3,23,1.13,74,3.62,5,68.92,21.0,1.03,-2.0,-0.098,0.0,1.6600000000000001,0.49,,,,0.0,0,0.0
A. Munaretto,Andrea Munaretto,-49589,Treviso,Treviso,https://cdn5.wyscout.com/photos/team/public/178_120x120.png,Serie D - Girone C,"RCB, CB",RCB,76,CB,18,,0,34.0,1992-03-04,150000,2026-06-30,21,2020,0,0.22,1,0.65,10.38,59.46,Italy,['Italy'],right,185,0,False,5.85,3.41,65.75,3.27,60.0,0.14,0.22,0.05,3.46,5.41,1.03,1,0.04,0,0.0,0.37,0.0,0,0.0,0.01,0,0.0,6,0.28,16.67,0.0,0.05,0.47000000000000003,70.0,0.05,100.0,0.37,62.5,0.05,0.05,0.0,1.22,46.15,0.84,0.42,0.05,28.16,0.9400000000000001,0.89,45.7,85.88,17.64,70.29,1.5899999999999999,94.12,37.84,93.08,7.39,50.0,24.78,42.92,0.03,0.37,0.0,0.0,0.0,0.0,0.19,6.08,60.77,0.75,56.25,0.51,36.36,0.33,0.33,9.59,70.73,97.31,24.37,0,,0,,0,0.0,0.0,0.0,,,1.17,,3.27,0.0,0.0,0.0,0.05,0,0.0
M. Cuomo,Marco Cuomo,173680,Campodarsego,Campodarsego,https://cdn5.wyscout.com/photos/team/public/g34866_120x120.png,Serie D - Girone C,"RCB, LCB, CB",RCB,49,LCB,25,CB,14,35.0,1991-03-03,75000,2026-06-30,21,2016,3,1.8900000000000001,0,0.24,13.27,62.54,Italy,['Italy'],right,180,80,False,7.46,3.8,74.07,5.16,54.55,0.14,0.21,0.42,4.5,6.76,0.84,1,0.04,0,0.0,0.66,0.13,3,0.14,0.09,2,0.09,13,0.61,46.15,23.077,0.0,0.52,27.27,0.05,0.0,0.47000000000000003,30.0,0.05,0.28,83.33,1.31,53.57,0.61,0.75,0.0,35.22,0.7000000000000001,1.3599999999999999,53.93,87.57,20.82,77.03,2.44,96.15,46.06,92.67,7.36,59.87,21.3,35.69,0.01,0.19,0.05,0.0,0.05,0.0,0.05,6.24,69.17,1.31,46.43,0.61,23.08,0.42,0.14,9.0,69.79,94.92,25.84,0,,0,,0,0.0,0.0,0.0,,,1.17,,5.16,0.05,0.0,0.0,0.0,0,0.0
A. Filiciotto,Alberto Filiciotto,172156,Legnago Salus,Legnago Salus,https://cdn5.wyscout.com/photos/team/public/2808_120x120.png,Serie D - Girone C,"LCMF, RCMF, RDMF",LCMF,44,RCMF,30,RDMF,10,33.0,1992-10-10,125000,2026-06-30,21,1995,5,3.87,6,4.5,12.35,58.61,Italy,['Italy'],both,179,67,False,9.36,5.77,72.81,1.57,45.16,0.2,0.34,0.25,4.96,8.26,1.16,0,0.0,0,0.0,1.72,0.23,2,0.1,0.2,0,0.0,42,2.13,26.19,11.905,0.30000000000000004,1.42,46.43,0.71,64.29,0.51,30.0,0.2,0.86,58.82,3.29,47.69,0.61,1.16,0.1,31.48,0.51,0.86,47.83,75.56,19.03,60.37,5.52,90.83,32.85,85.05,13.77,55.51,25.26,39.86,0.23,2.13,0.1,0.15,0.1,0.0,0.61,13.11,58.69,4.5600000000000005,38.89,2.23,29.55,1.32,0.66,11.34,79.91,85.19,19.13,0,,0,,0,0.0,0.0,0.0,,,1.72,,1.57,1.21,0.30000000000000004,50.0,5.06,3,100.0
R. Pinzi,Riccardo Pinzi,-158329,San Luigi Calcio,San Luigi Calcio,https://cdn5.wyscout.com/photos/team/public/g-5610_120x120.png,Serie D - Girone C,"RCMF3, LCMF, LW",RCMF3,30,LCMF,21,LW,16,22.0,2003-08-17,0,2026-06-30,21,1961,0,0.9400000000000001,0,0.41000000000000003,21.85,52.31,Italy,['Italy'],right,175,67,False,9.59,7.39,64.6,1.65,33.33,0.6900000000000001,0.87,0.09,4.13,5.24,1.42,4,0.18,1,0.05,1.65,0.0,0,0.0,0.04,0,0.0,9,0.41000000000000003,22.22,0.0,0.0,0.6000000000000001,30.77,0.37,37.5,0.23,20.0,0.09,2.34,58.82,9.87,46.98,0.78,1.47,0.37,12.62,0.73,2.89,26.25,82.52,7.39,67.08,5.92,94.57,24.19,86.15,1.47,43.75,15.46,24.14,0.02,0.23,0.0,0.0,0.0,0.0,0.09,2.52,67.27,0.96,52.38,0.14,33.33,0.37,0.18,2.8,55.74,84.85,7.57,0,,0,,0,0.0,0.0,0.0,,,0.23,,1.65,0.0,0.0,0.0,0.14,0,0.0
A. Conti,Alessandro Conti,-545173,Campodarsego,Campodarsego,https://cdn5.wyscout.com/photos/team/public/g34866_120x120.png,Serie D - Girone C,GK,GK,100,,0,,0,18.0,2007-09-21,0,,20,1921,0,0.0,0,0.0,0.9400000000000001,73.68,Italy,['Italy'],,0,0,False,1.92,0.15,33.33,0.39,87.5,0.0,0.0,0.0,1.88,2.8,0.0,1,0.05,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,50.0,0.0,0.0,0.0,9.92,0.1,0.30000000000000004,18.85,85.08,10.76,76.61,0.0,0.0,12.09,100.0,6.76,58.39,29.99,50.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.52,56.86,0.2,25.0,0.15,66.67,0.1,0.0,4.64,76.6,96.58,7.2,20,0.99,71,3.5,7,71.83,21.85,1.08,1.85,0.091,0.0,1.43,0.39,,,,0.0,0,0.0
L. Legal,Ludovic Charles Legal,-174590,Legnago Salus,Legnago Salus,https://cdn5.wyscout.com/photos/team/public/2808_120x120.png,Serie D - Girone C,"LCB3, LCB",LCB3,61,LCB,27,,0,27.0,1998-04-12,75000,2026-06-30,20,1825,0,0.59,1,0.14,18.97,60.47,France,['France'],left,180,0,False,9.12,7.28,68.46,4.8100000000000005,61.63,0.45,0.75,0.06,3.69,6.23,1.6800000000000002,10,0.49,0,0.0,0.56,0.0,0,0.0,0.03,0,0.0,6,0.34,33.33,0.0,0.06,0.39,42.86,0.17,66.67,0.22,25.0,0.06,0.5,55.56,2.69,41.67,0.56,1.9,0.11,19.14,0.9,0.9,37.0,80.48,14.94,69.29,3.02,96.3,30.84,86.75,5.76,49.51,21.39,39.82,0.01,0.11,0.0,0.0,0.0,0.0,0.11,5.6,59.0,1.06,42.11,0.0,0.0,0.28,0.22,7.0,63.2,88.64,14.78,0,,0,,0,0.0,0.0,0.0,,,1.96,,4.8100000000000005,0.0,0.0,0.0,0.06,0,0.0
M. Crosara,Manuel Crosara,-147914,San Luigi Calcio,San Luigi Calcio,https://cdn5.wyscout.com/photos/team/public/g-5610_120x120.png,Serie D - Girone C,"LCB, RCB3, RCB",LCB,31,RCB3,30,RCB,21,21.0,2005-01-10,0,2026-06-30,20,1800,0,1.5899999999999999,0,0.23,12.5,60.4,Italy,['Italy'],,0,0,False,9.25,4.85,67.01,4.25,55.29,0.1,0.13,0.9,5.9,7.8,1.15,4,0.2,1,0.05,0.25,0.0,0,0.0,0.08,0,0.0,12,0.6000000000000001,25.0,0.0,0.0,0.1,0.0,0.05,0.0,0.05,0.0,0.0,0.05,100.0,1.05,61.9,0.8,0.25,0.05,16.55,0.2,0.9,33.1,74.47,17.2,65.12,1.9500000000000002,87.18,23.95,84.13,9.05,49.72,24.94,39.18,0.01,0.15,0.0,0.0,0.05,100.0,0.15,5.1,49.02,0.65,38.46,0.4,50.0,0.30000000000000004,0.0,8.85,55.93,86.21,11.6,0,,0,,0,0.0,0.0,0.0,,,1.2,,4.25,0.05,0.0,0.0,0.0,0,0.0
D. Perin,Daniel Perin,-295804,Treviso,Treviso,https://cdn5.wyscout.com/photos/team/public/178_120x120.png,Serie D - Girone C,"LCMF3, LCMF, LDMF",LCMF3,48,LCMF,16,LDMF,14,18.0,2007-10-22,0,,20,1743,3,2.08,1,0.09,10.53,43.52,Italy,['Italy'],unknown,189,0,True,6.05,4.47,59.76,1.75,21.88,0.22,0.34,0.05,3.16,4.93,0.93,2,0.1,0,0.0,0.71,0.15,2,0.11,0.11,0,0.0,15,0.8200000000000001,26.67,13.333,0.05,0.76,21.43,0.76,21.43,0.0,0.0,0.22,0.38,85.71,2.45,28.89,1.15,0.27,0.0,14.4,0.22,0.55,25.2,79.65,7.75,64.08,6.33,94.83,22.64,84.34,1.8,45.45,17.4,25.36,0.0,0.27,0.05,0.05,0.0,0.0,0.22,3.55,66.15,0.93,17.65,0.05,0.0,0.11,0.16,3.6,65.15,83.46,7.25,0,,0,,0,0.0,0.0,0.0,,,0.22,,1.75,0.0,0.0,0.0,0.0,0,0.0
