Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Miguel Silva,Miguel Silva,328383,Beitar Jerusalem,Beitar Jerusalem,https://cdn5.wyscout.com/photos/team/public/906_120x120.png,Ligat ha'Al,GK,GK,100,,0,,0,31.0,1995-04-07,250000,2026-06-30,32,3237,0,0.0,0,0.34,0.8300000000000001,80.0,Portugal,['Portugal'],right,189,78,False,1.6400000000000001,0.03,0.0,0.5,94.44,0.06,0.1,0.0,1.58,2.85,0.03,1,0.03,0,0.0,0.06,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.03,100.0,0.03,100.0,0.0,0.0,0.0,0.03,100.0,0.11,75.0,0.0,0.0,0.0,15.46,0.36,0.17,21.88,83.48,12.87,76.67,0.03,100.0,14.62,97.15,7.17,56.2,29.19,45.96,0.01,0.06,0.0,0.0,0.0,0.0,0.06,1.67,26.67,0.22,12.5,0.25,11.11,0.03,0.03,4.75,57.89,94.78,7.45,36,1.0,118,3.2800000000000002,9,69.49,42.25,1.17,6.25,0.17400000000000002,0.0,1.25,0.5,,,,0.0,0,0.0
B. Carabalí,Brayan Stiven Carabali Bonilla,-84002,Beitar Jerusalem,Beitar Jerusalem,https://cdn5.wyscout.com/photos/team/public/906_120x120.png,Ligat ha'Al,"RCB, CB",RCB,82,CB,10,,0,27.0,1999-02-25,250000,2028-06-30,32,3232,2,3.18,0,0.25,12.5,67.26,Colombia,['Colombia'],right,188,90,False,7.38,4.01,69.44,4.48,70.81,0.17,0.30000000000000004,0.53,4.43,8.02,0.78,8,0.22,0,0.0,0.39,0.06,2,0.06,0.09,2,0.06,24,0.67,33.33,8.333,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.19,71.43,2.45,57.95,0.84,0.47000000000000003,0.0,39.85,0.14,1.28,55.89,89.49,21.19,77.66,4.2,94.7,51.63,94.07,4.23,34.21,19.66,37.49,0.01,0.08,0.06,0.0,0.03,100.0,0.03,6.35,67.11,0.47000000000000003,11.76,0.19,14.29,0.11,0.0,7.71,71.12,96.68,24.31,0,,0,,0,0.0,0.0,0.0,,,3.12,,4.48,0.0,0.0,0.0,0.0,0,0.0
A. Tzur,Assaf Tsur,445397,Hapoel Tel Aviv,Hapoel Tel Aviv,https://cdn5.wyscout.com/photos/team/public/681_120x120.png,Ligat ha'Al,GK,GK,100,,0,,0,27.0,1998-08-28,250000,2027-06-30,31,3126,0,0.0,0,0.0,0.63,90.91,Israel,['Israel'],right,189,80,False,1.01,0.03,100.0,0.35000000000000003,83.33,0.0,0.0,0.0,0.98,1.38,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,100.0,0.0,0.0,0.0,13.96,0.26,0.26,21.05,86.18,10.97,75.33,0.0,0.0,14.54,98.42,6.51,58.85,28.57,43.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.87,58.46,0.14,0.0,0.14,20.0,0.0,0.0,5.27,69.95,98.42,9.1,28,0.81,116,3.34,13,75.86,32.84,0.9500000000000001,4.84,0.139,0.0,1.35,0.35000000000000003,,,,0.0,0,0.0
O. Blorian,Or Blorian,468318,Hapoel Be'er Sheva,Hapoel Be'er Sheva,https://cdn5.wyscout.com/photos/team/public/2230_120x120.png,Ligat ha'Al,"LCB, RCB",LCB,60,RCB,26,,0,26.0,2000-03-07,0,2026-06-30,33,3110,2,1.22,2,0.8,11.95,66.83,Israel,"['Israel', 'Portugal']",right,188,82,False,7.06,3.99,66.67,4.57,73.42,0.23,0.43,0.64,4.17,7.77,0.9,9,0.26,1,0.03,0.38,0.06,2,0.06,0.04,2,0.06,9,0.26,44.44,22.222,0.06,0.14,20.0,0.06,0.0,0.09,33.33,0.03,0.41000000000000003,57.14,1.3,44.44,0.52,2.32,0.06,43.32,0.2,0.49,61.12,90.72,23.61,81.99,3.3,99.12,55.82,93.93,5.15,57.87,18.84,36.02,0.02,0.26,0.0,0.12,0.0,0.0,0.09,8.91,82.79,0.52,50.0,0.06,0.0,0.14,0.03,8.97,74.52,96.23,26.88,0,,0,,0,0.0,0.0,0.0,,,2.34,,4.57,0.0,0.0,0.0,0.0,0,0.0
Lucas Ventura,Lucas de Souza Ventura,472697,Hapoel Be'er Sheva,Hapoel Be'er Sheva,https://cdn5.wyscout.com/photos/team/public/2230_120x120.png,Ligat ha'Al,DMF,DMF,92,,0,,0,28.0,1998-05-19,500000,2028-06-30,32,3068,0,2.51,0,0.71,16.84,59.06,Brazil,['Brazil'],right,180,75,False,7.25,5.75,68.37,1.06,61.11,0.23,0.44,0.38,3.08,5.76,1.23,7,0.21,0,0.0,1.5,0.0,0,0.0,0.07,0,0.0,43,1.26,18.6,0.0,0.0,0.32,18.18,0.09,0.0,0.23,25.0,0.0,1.85,63.49,7.77,55.09,0.76,1.0,0.09,25.7,0.03,2.67,35.96,89.56,9.94,78.76,5.31,95.58,34.15,91.92,1.55,49.06,16.28,30.37,0.02,0.26,0.03,0.0,0.09,33.33,0.06,5.43,78.38,0.7000000000000001,50.0,0.12,25.0,0.29,0.06,3.75,82.03,94.1,13.44,0,,0,,0,0.0,0.0,0.0,,,0.5,,1.06,0.0,0.0,0.0,0.0,0,0.0
O. Katz,Omer Katz,442305,Hapoel Petah Tikva,Hapoel Petah Tikva,https://cdn5.wyscout.com/photos/team/public/1640_120x120.png,Ligat ha'Al,GK,GK,100,,0,,0,28.0,1998-04-21,150000,2026-06-30,31,3059,0,0.0,0,0.0,0.85,82.76,Israel,['Israel'],right,196,83,False,1.53,0.0,0.0,0.71,87.5,0.0,0.0,0.0,1.53,2.06,0.0,1,0.03,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,33.33,0.0,0.0,0.0,20.45,0.35000000000000003,0.15,27.8,84.13,14.03,71.28,0.09,100.0,17.8,98.02,10.0,59.41,28.11,43.46,0.0,0.0,0.03,0.0,0.0,0.0,0.0,1.9100000000000001,36.92,0.12,0.0,0.06,0.0,0.0,0.0,6.5,62.44,96.68,11.5,49,1.44,153,4.5,8,67.97,42.9,1.26,-6.1,-0.179,0.06,1.65,0.71,,,,0.0,0,0.0
K. Niemczycki,Karol Niemczycki,491202,Ashdod,Ashdod,https://cdn5.wyscout.com/photos/team/public/1605_120x120.png,Ligat ha'Al,GK,GK,100,,0,,0,26.0,1999-07-05,600000,2028-06-30,31,3047,0,0.0,0,0.0,0.74,88.0,Poland,['Poland'],left,190,84,False,1.06,0.09,0.0,0.41000000000000003,100.0,0.0,0.0,0.0,1.06,1.38,0.03,1,0.03,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,100.0,0.0,0.0,0.0,11.87,0.15,0.21,17.87,84.3,10.19,73.91,0.0,0.0,11.08,98.67,6.76,61.14,33.87,49.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.51,41.18,0.12,0.0,0.15,20.0,0.0,0.0,4.58,72.26,98.35,7.15,59,1.74,160,4.73,5,63.13,55.66,1.6400000000000001,-3.34,-0.099,0.0,1.54,0.41000000000000003,,,,0.0,0,0.0
I. Rotman,Itay Rotman,-161717,Hapoel Petah Tikva,Hapoel Petah Tikva,https://cdn5.wyscout.com/photos/team/public/1640_120x120.png,Ligat ha'Al,LCB,LCB,93,,0,,0,23.0,2002-08-16,125000,2026-06-30,31,3010,2,2.32,2,0.52,8.79,62.24,Israel,['Israel'],,0,0,False,7.12,3.65,67.21,3.38,61.06,0.06,0.08,1.05,4.6,6.17,0.9,5,0.15,0,0.0,0.24,0.06,2,0.06,0.07,1,0.03,15,0.45,40.0,13.333,0.06,0.15,20.0,0.15,20.0,0.0,0.0,0.03,0.03,0.0,0.5700000000000001,42.11,0.51,0.78,0.0,37.44,0.18,0.39,52.53,87.36,20.51,75.07,3.59,95.83,43.65,93.36,8.73,58.56,23.04,40.27,0.02,0.15,0.0,0.0,0.09,33.33,0.06,7.95,71.05,0.87,27.59,0.72,37.5,0.33,0.03,10.44,74.21,95.65,24.76,0,,0,,0,0.0,0.0,0.0,,,2.84,,3.38,0.03,0.03,0.0,0.03,0,0.0
I.  Diakite,Ibrahim  Diakite,-670754,Ashdod,Ashdod,https://cdn5.wyscout.com/photos/team/public/1605_120x120.png,Ligat ha'Al,"LCB, RCB, RCB3",LCB,37,RCB,34,RCB3,12,22.0,2004-04-23,0,,30,2962,3,1.54,0,0.07,9.18,63.58,Côte d'Ivoire,"[""Côte d'Ivoire""]",,185,76,False,7.23,3.74,74.8,2.2800000000000002,56.0,0.27,0.35000000000000003,0.55,4.16,5.32,0.61,5,0.15,1,0.03,0.33,0.09,3,0.09,0.05,3,0.09,15,0.46,40.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,62.5,2.01,54.55,0.55,0.79,0.06,30.14,0.18,0.55,42.54,87.29,16.01,76.47,2.58,91.76,38.13,92.35,4.41,43.45,20.81,36.86,0.0,0.12,0.0,0.0,0.0,0.0,0.0,4.5,62.84,0.43,14.29,0.36,16.67,0.03,0.0,6.47,61.97,95.1,19.84,0,,0,,0,0.0,0.0,0.0,,,1.58,,2.2800000000000002,0.0,0.0,0.0,0.0,0,0.0
Chico,Francisco Alves da Silva Neto,479869,Hapoel Tel Aviv,Hapoel Tel Aviv,https://cdn5.wyscout.com/photos/team/public/681_120x120.png,Ligat ha'Al,LCB,LCB,94,,0,,0,27.0,1998-09-14,500000,2029-06-30,30,2952,2,2.03,1,0.59,8.9,63.36,Brazil,['Brazil'],left,188,80,True,5.58,3.51,63.48,2.47,66.67,0.09,0.13,0.34,3.26,4.59,0.79,7,0.21,0,0.0,0.58,0.06,2,0.06,0.06,1,0.03,12,0.37,33.33,16.667,0.03,0.30000000000000004,60.0,0.27,55.56,0.03,100.0,0.03,0.34,63.64,1.34,56.82,0.46,1.4,0.03,31.49,0.8200000000000001,0.46,47.35,85.71,23.6,78.17,2.5300000000000002,95.18,40.37,90.56,6.71,57.73,21.13,38.69,0.02,0.30000000000000004,0.0,0.03,0.15,40.0,0.06,7.44,71.72,1.22,37.5,0.61,30.0,0.30000000000000004,0.15,10.34,72.27,93.89,16.46,0,,0,,0,0.0,0.0,0.0,,,1.5899999999999999,,2.47,0.0,0.0,0.0,0.0,0,0.0
