Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Rafael,Rafael Pires Monteiro,97650,São Paulo,São Paulo,https://cdn5.wyscout.com/photos/team/public/243_120x120.png,Serie A,GK,GK,100,,0,,0,36,1989-06-23,800000,2027-12-31,16,1663,0,0.0,0,0.0,0.54,80.0,Brazil,['Brazil'],left,192,81,False,1.52,0.11,50.0,0.32,100.0,0.0,0.0,0.0,1.46,2.14,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,100.0,0.0,0.0,0.0,9.36,0.22,0.05,14.13,85.06,6.93,71.88,0.0,0.0,8.88,98.17,5.25,62.89,31.97,49.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,62.5,0.11,50.0,0.11,0.0,0.05,0.0,4.06,70.67,99.15,6.33,18,0.97,60,3.25,4,70.0,16.23,0.88,-1.77,-0.096,0.0,1.03,0.32,,,,0.0,0,0.0
Fábio,Fábio Deivson Lopes Maciel,8961,Fluminense,Fluminense,https://cdn5.wyscout.com/photos/team/public/245_120x120.png,Carioca 1,GK,GK,100,,0,,0,45,1980-09-30,200000,2027-12-31,16,1660,0,0.0,0,0.0,0.38,85.71,Brazil,"['Brazil', 'Italy']",right,190,93,False,0.81,0.11,50.0,0.11,100.0,0.0,0.0,0.0,0.76,1.25,0.05,1,0.05,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,100.0,0.0,0.0,0.0,9.27,0.0,0.22,12.74,88.09,6.61,78.69,0.0,0.0,8.78,98.77,3.96,64.38,26.95,40.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,66.67,0.0,0.0,0.0,0.0,0.0,0.0,2.87,60.38,98.1,5.69,21,1.1400000000000001,77,4.17,3,72.73,22.48,1.22,1.48,0.08,0.0,0.87,0.11,,,,0.0,0,0.0
Santos,Aderbar Melo dos Santos Neto,115496,Athletico Paranaense,Athletico Paranaense,https://cdn5.wyscout.com/photos/team/public/254_120x120.png,Serie A,GK,GK,100,,0,,0,36,1990-03-17,1000000,2026-12-31,16,1650,0,0.0,0,0.0,0.22,100.0,Brazil,['Brazil'],right,188,78,False,1.09,0.05,100.0,0.11,100.0,0.0,0.0,0.0,1.04,1.42,0.0,2,0.11,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,100.0,0.0,0.0,0.0,6.05,0.11,0.05,11.73,78.6,6.49,64.71,0.0,0.0,7.25,96.24,4.47,50.0,35.72,52.44,0.0,0.0,0.0,0.05,0.0,0.0,0.05,1.8,51.52,0.05,0.0,0.22,0.0,0.0,0.0,3.0,65.45,95.51,4.85,17,0.93,54,2.95,4,68.52,14.86,0.81,-2.14,-0.117,0.0,1.15,0.11,,,,0.0,0,0.0
Weverton,Weverton Pereira da Silva,32538,Grêmio,Grêmio,https://cdn5.wyscout.com/photos/team/public/247_120x120.png,Serie A,GK,GK,100,,0,,0,38,1987-12-13,2000000,2028-12-31,16,1647,0,0.0,1,0.0,0.8200000000000001,80.0,Brazil,['Brazil'],right,189,85,False,1.04,0.16,66.67,0.27,80.0,0.0,0.0,0.0,0.93,1.3,0.05,1,0.05,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,100.0,0.0,0.0,0.0,10.33,0.27,0.27,17.6,82.92,9.62,69.89,0.0,0.0,11.2,98.05,6.39,56.41,33.95,53.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.46,37.78,0.11,0.0,0.05,100.0,0.0,0.0,4.26,75.64,98.52,7.38,18,0.98,69,3.77,5,73.91,24.61,1.34,6.61,0.361,0.0,1.53,0.27,,,,0.0,0,0.0
Carlos Miguel,Carlos Miguel dos Santos Pereira,-67602,Palmeiras,Palmeiras,https://cdn5.wyscout.com/photos/team/public/250_120x120.png,Serie A,GK,GK,100,,0,,0,27,1998-10-09,0,2026-06-30,16,1636,0,0.0,0,0.0,0.99,100.0,Brazil,['Brazil'],left,204,90,False,0.9400000000000001,0.0,0.0,0.66,100.0,0.0,0.0,0.0,0.9400000000000001,1.26,0.0,2,0.11,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,100.0,0.0,0.0,0.0,8.8,0.17,0.39,15.4,81.79,7.65,64.75,0.06,100.0,10.29,98.93,5.06,46.74,32.34,46.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.26,34.15,0.22,0.0,0.17,66.67,0.0,0.0,3.41,66.13,99.23,7.15,13,0.72,62,3.41,5,79.03,11.49,0.63,-1.51,-0.083,0.0,2.09,0.66,,,,0.0,0,0.0
Robert Renan,Robert Renan Alves Barbosa,-176274,Vasco da Gama,Vasco da Gama,https://cdn5.wyscout.com/photos/team/public/253_120x120.png,Carioca 1,LCB,LCB,97,,0,,0,22,2003-10-11,0,2028-06-30,16,1636,1,0.52,0,0.21,9.85,63.13,Brazil,['Brazil'],left,186,78,True,7.48,5.23,69.47,2.2,67.5,0.17,0.24,0.33,3.69,5.26,0.77,1,0.06,0,0.0,0.28,0.06,1,0.06,0.03,1,0.06,6,0.33,33.33,16.667,0.0,0.33,33.33,0.33,33.33,0.0,0.0,0.0,0.17,33.33,1.1,25.0,0.28,1.87,0.06,34.93,0.22,0.22,49.95,86.67,24.87,80.31,2.15,89.74,44.06,92.51,5.61,44.12,19.74,36.66,0.01,0.28,0.06,0.0,0.06,0.0,0.06,10.34,73.94,0.9400000000000001,35.29,0.39,14.29,0.17,0.06,9.19,76.65,93.56,16.23,0,,0,,0,0.0,0.0,0.0,,,0.61,,2.2,0.0,0.0,0.0,0.0,0,0.0
Léo Jardim,Léonardo César Jardim,328222,Vasco da Gama,Vasco da Gama,https://cdn5.wyscout.com/photos/team/public/253_120x120.png,Carioca 1,GK,GK,100,,0,,0,31,1995-03-20,5500000,2030-12-31,16,1636,0,0.0,0,0.0,0.33,83.33,Brazil,"['Brazil', 'Italy']",right,188,82,False,1.27,0.0,0.0,0.28,100.0,0.0,0.0,0.0,1.27,1.81,0.06,1,0.06,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,9.35,0.06,0.06,15.35,83.87,7.54,70.07,0.0,0.0,10.23,96.77,5.12,58.06,30.6,47.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,65.0,0.0,0.0,0.0,0.0,0.0,0.0,4.07,64.86,97.67,7.1,25,1.38,68,3.74,1,63.24,20.35,1.12,-4.65,-0.256,0.0,1.1,0.28,,,,0.0,0,0.0
Marcelo Rangel,Marcelo Rangel Rosa,125297,Remo,Remo,https://cdn5.wyscout.com/photos/team/public/1642_120x120.png,Paraense,GK,GK,100,,0,,0,38,1988-05-17,0,2026-12-31,16,1632,0,0.0,0,0.0,0.5,88.89,Brazil,['Brazil'],right,186,81,False,1.32,0.0,0.0,0.28,80.0,0.0,0.0,0.0,1.32,1.62,0.0,1,0.06,0,0.0,0.06,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,100.0,0.17,100.0,0.0,0.0,0.0,6.07,0.06,0.17,12.35,80.8,7.44,69.63,0.06,100.0,6.5600000000000005,96.64,5.74,63.46,35.23,49.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.99,41.67,0.06,0.0,0.06,0.0,0.0,0.0,3.92,77.46,98.77,4.47,27,1.49,85,4.69,1,68.24,28.02,1.55,1.02,0.056,0.06,1.65,0.28,,,,0.0,0,0.0
Marllon,Marllon Gonçalves Jerônimo Borges,158622,Remo,Remo,https://cdn5.wyscout.com/photos/team/public/1642_120x120.png,Paraense,RCB,RCB,93,,0,,0,34,1992-04-16,500000,2026-12-31,16,1632,1,0.16,0,0.01,8.93,56.17,Brazil,['Brazil'],right,186,75,False,6.84,4.63,64.29,2.1,55.26,0.0,0.0,0.39,3.86,4.72,0.5,2,0.11,0,0.0,0.11,0.06,1,0.06,0.01,1,0.06,2,0.11,100.0,50.0,0.0,0.06,0.0,0.0,0.0,0.06,0.0,0.06,0.0,0.0,0.77,35.71,0.22,0.17,0.0,15.0,0.11,0.55,26.64,86.34,10.59,75.52,1.6,93.1,23.44,91.76,3.14,47.37,20.56,32.52,0.0,0.06,0.0,0.0,0.0,0.0,0.0,2.21,67.5,0.22,25.0,0.06,0.0,0.0,0.0,3.86,70.0,94.55,12.13,0,,0,,0,0.0,0.0,0.0,,,1.21,,2.1,0.0,0.0,0.0,0.0,0,0.0
Éverson,Éverson Felipe Marques Pires,112043,Atlético Mineiro,Atlético Mineiro,https://cdn5.wyscout.com/photos/team/public/252_120x120.png,Serie A,GK,GK,100,,0,,0,35,1990-07-22,1800000,2027-12-31,16,1613,0,0.0,1,0.52,0.67,83.33,Brazil,['Brazil'],right,192,86,False,1.3900000000000001,0.0,0.0,0.45,87.5,0.0,0.0,0.0,1.3900000000000001,1.9100000000000001,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,100.0,0.0,0.0,0.0,15.12,0.22,0.28,26.89,79.05,17.63,70.89,0.0,0.0,12.28,98.64,14.51,63.08,35.52,47.81,0.03,0.06,0.0,0.0,0.0,0.0,0.06,3.18,38.6,0.39,14.29,0.39,28.57,0.06,0.0,9.76,72.0,96.03,8.43,22,1.23,71,3.96,3,69.01,16.55,0.92,-5.45,-0.304,0.0,1.45,0.45,,,,0.0,0,0.0
