Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
W. Lejeune,Willem Lejeune,-175988,Tigers,Tigers,https://cdn5.wyscout.com/photos/team/public/g14898_120x120.png,Capital Territory NPL,GK,GK,100,,0,,0,26.0,1999-09-20,0,,22,2142,0,0.0,0,0.0,0.84,90.0,Australia,['Australia'],right,195,0,False,1.6400000000000001,0.04,0.0,0.55,100.0,0.0,0.0,0.0,1.6400000000000001,2.2,0.0,1,0.04,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,100.0,0.0,0.0,0.0,19.2,0.17,0.29,29.12,84.99,14.5,74.2,0.04,100.0,20.88,97.59,8.19,53.33,29.65,49.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.27,40.74,0.08,0.0,0.08,0.0,0.0,0.0,5.5,55.73,95.54,13.19,34,1.43,119,5.0,4,71.43,33.62,1.4100000000000001,-0.38,-0.016,0.04,1.81,0.55,,,,0.0,0,0.0
R. Straub,Ryan Straub,-439838,Monaro Panthers,Monaro Panthers,https://cdn5.wyscout.com/photos/team/public/g14899_120x120.png,Capital Territory NPL,"DMF, RCMF, RCMF3",DMF,39,RCMF,19,RCMF3,12,22.0,2003-04-05,0,,24,2111,2,2.94,2,1.5899999999999999,20.42,50.94,Australia,['Australia'],,0,0,False,10.74,7.38,71.68,3.58,50.0,0.21,0.31,0.21,5.24,7.5600000000000005,0.72,0,0.0,0,0.0,1.15,0.09,2,0.09,0.13,0,0.0,37,1.58,24.32,5.405,0.09,0.51,41.67,0.17,50.0,0.34,37.5,0.04,1.4100000000000001,39.39,6.31,33.78,0.72,0.77,0.09,27.67,0.13,0.55,44.64,85.77,12.79,71.0,9.42,96.83,41.01,90.12,3.11,35.62,16.98,33.43,0.07,0.77,0.13,0.04,0.0,0.0,0.13,5.84,67.88,1.19,53.57,0.30000000000000004,28.57,0.43,0.21,5.33,70.4,92.17,14.15,0,,0,,0,0.0,0.0,0.0,,,0.64,,3.58,0.68,0.04,0.0,1.24,0,0.0
D. Barac,Daniel Barac,-191111,Monaro Panthers,Monaro Panthers,https://cdn5.wyscout.com/photos/team/public/g14899_120x120.png,Capital Territory NPL,CF,CF,88,,0,,0,32.0,1993-04-27,0,,23,2047,19,10.86,4,3.34,23.21,41.67,Australia,['Australia'],,0,0,False,4.75,3.74,61.18,7.08,36.65,0.26,0.37,0.13,2.2,3.11,1.23,7,0.31,0,0.0,4.35,0.84,18,0.79,0.48,3,0.13,62,2.73,54.84,30.645,0.18,3.47,31.65,2.24,31.37,1.1400000000000001,30.77,0.75,2.37,68.52,9.45,41.4,5.5,1.1400000000000001,0.18,21.46,3.61,1.54,30.86,66.24,9.32,57.55,6.33,85.42,25.11,73.73,2.37,37.04,16.71,28.29,0.15,1.3599999999999999,0.13,0.0,0.18,75.0,0.62,4.18,56.84,3.69,38.1,0.4,33.33,1.45,1.01,4.13,79.79,59.79,8.31,0,,0,,0,0.0,0.0,0.0,,,0.0,,7.08,0.0,0.0,0.0,0.0,1,100.0
M. Milutinovic,Marko Milutinovic,-249413,Tigers,Tigers,https://cdn5.wyscout.com/photos/team/public/g14898_120x120.png,Capital Territory NPL,LCB,LCB,97,,0,,0,28.0,1996-10-07,0,,21,2021,2,3.08,0,0.05,12.91,61.38,Australia,['Australia'],,0,0,False,8.24,5.39,60.33,4.36,73.47,0.04,0.06,0.8,4.94,6.66,0.76,3,0.13,0,0.0,0.4,0.09,2,0.09,0.14,0,0.0,10,0.45,40.0,20.0,0.0,0.04,0.0,0.04,0.0,0.0,0.0,0.0,0.4,44.44,1.69,34.21,0.58,0.89,0.0,28.28,0.31,0.62,44.89,84.52,20.4,71.62,3.3,95.95,39.32,90.15,5.52,45.16,21.18,33.81,0.0,0.09,0.0,0.0,0.04,100.0,0.04,4.28,55.21,0.27,16.67,0.49,27.27,0.04,0.0,8.24,61.62,97.24,17.77,0,,0,,0,0.0,0.0,0.0,,,2.49,,4.36,0.0,0.0,0.0,0.0,0,0.0
M. Donadel,Mason Donadel,-575808,Yoogali CT,Yoogali CT,https://cdn5.wyscout.com/photos/team/public/g-20847_120x120.png,Capital Territory NPL,"RCMF, LCMF, CF",RCMF,32,LCMF,18,CF,11,21.0,2004-05-13,0,,21,2014,3,3.0,0,1.15,19.66,43.18,Australia,['Australia'],unknown,0,0,False,8.0,7.02,56.69,2.1,31.91,0.49,0.5700000000000001,0.09,3.5300000000000002,4.13,0.89,3,0.13,0,0.0,2.64,0.13,3,0.13,0.13,0,0.0,49,2.19,28.57,6.122,0.0,1.47,18.18,0.49,27.27,0.98,13.64,0.18,3.04,55.88,8.45,34.39,1.74,1.52,0.36,24.94,0.98,0.36,37.31,78.68,10.01,70.54,7.33,93.29,32.76,83.63,3.13,55.71,18.8,33.54,0.05,0.85,0.09,0.04,0.04,100.0,0.27,5.18,75.86,2.1,44.68,0.27,33.33,0.8,0.4,6.43,69.44,81.9,14.57,0,,0,,0,0.0,0.0,0.0,,,0.04,,2.1,0.31,0.04,100.0,1.47,0,0.0
N. Falco,Nicolás Falco,-381836,Tuggeranong United,Tuggeranong United,https://cdn5.wyscout.com/photos/team/public/g10805_120x120.png,Capital Territory NPL,"LCB, LCB3",LCB,44,LCB3,36,,0,21.0,2004-05-08,0,,21,2014,1,1.5,0,2.34,14.93,60.48,Spain,['Spain'],unknown,0,0,False,12.74,5.99,75.37,3.4,65.79,0.45,0.55,1.25,7.78,9.51,0.67,3,0.13,0,0.0,0.89,0.04,1,0.04,0.07,0,0.0,12,0.54,8.33,8.333,0.0,0.58,23.08,0.36,25.0,0.18,25.0,0.0,1.12,64.0,3.66,37.8,0.9400000000000001,0.98,0.0,26.68,0.58,0.63,47.37,78.02,26.01,69.24,3.49,93.59,39.41,85.94,7.42,40.36,21.43,39.85,0.1,1.16,0.0,0.0,0.04,0.0,0.04,5.99,52.99,1.34,26.67,0.31,28.57,0.22,0.13,10.81,57.02,90.07,13.05,0,,0,,0,0.0,0.0,0.0,,,2.14,,3.4,0.13,0.0,0.0,0.04,0,0.0
C. Cook,Callum Cook,-191257,Tuggeranong United,Tuggeranong United,https://cdn5.wyscout.com/photos/team/public/g10805_120x120.png,Capital Territory NPL,GK,GK,100,,0,,0,22.0,2003-03-14,0,,21,2014,0,0.0,0,0.0,1.56,85.71,Australia,['Australia'],,0,0,False,2.68,0.4,66.67,0.71,93.75,0.0,0.0,0.0,2.41,2.95,0.04,1,0.04,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,100.0,0.0,0.0,0.0,9.07,0.09,0.31,19.71,77.55,12.15,67.65,0.0,0.0,12.07,95.19,7.6,50.0,31.27,46.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.16,34.62,0.09,0.0,0.13,0.0,0.0,0.0,5.63,54.76,94.96,6.21,48,2.14,141,6.3,2,65.96,37.99,1.7000000000000002,-10.01,-0.447,0.0,1.97,0.71,,,,0.0,0,0.0
J. Pedersen,Joshua Pedersen,-342730,Tuggeranong United,Tuggeranong United,https://cdn5.wyscout.com/photos/team/public/g10805_120x120.png,Capital Territory NPL,"LCMF, DMF",LCMF,43,DMF,39,,0,20.0,2005-08-14,0,,21,2011,0,1.88,0,0.31,14.19,57.73,Australia,['Australia'],,0,0,False,10.61,7.92,70.62,1.3,48.28,0.0,0.0,0.49,5.01,6.03,0.63,2,0.09,0,0.0,0.9,0.0,0,0.0,0.08,0,0.0,23,1.03,39.13,0.0,0.0,0.18,25.0,0.09,50.0,0.09,0.0,0.04,0.85,47.37,3.36,40.0,0.81,0.58,0.13,22.42,0.45,0.27,37.32,78.78,14.46,63.47,6.85,93.46,32.54,84.18,4.61,42.72,20.62,42.25,0.01,0.31,0.04,0.0,0.13,33.33,0.04,7.03,57.96,1.3,34.48,0.54,16.67,0.4,0.04,6.67,69.13,90.27,11.5,0,,0,,0,0.0,0.0,0.0,,,0.9400000000000001,,1.3,0.0,0.0,0.0,0.0,0,0.0
R. Rimmer,Robert Rimmer,-575810,Yoogali CT,Yoogali CT,https://cdn5.wyscout.com/photos/team/public/g-20847_120x120.png,Capital Territory NPL,"RCB, CB",RCB,64,CB,23,,0,25.0,2000-01-11,0,,21,2000,1,1.45,0,0.33,10.13,62.22,Australia,['Australia'],unknown,0,0,False,9.41,5.04,66.96,2.66,69.49,0.86,1.0,0.54,5.18,6.07,0.5,2,0.09,0,0.0,0.27,0.05,1,0.05,0.07,1,0.05,6,0.27,16.67,16.667,0.0,0.14,33.33,0.0,0.0,0.14,33.33,0.09,0.36,50.0,1.13,48.0,0.36,0.18,0.0,18.63,0.23,0.14,35.15,74.78,18.09,66.17,1.31,86.21,26.37,84.64,8.64,45.31,24.49,40.07,0.02,0.18,0.0,0.09,0.0,0.0,0.05,4.19,37.63,0.41000000000000003,33.33,0.45,40.0,0.05,0.05,8.73,50.52,88.08,13.59,0,,0,,0,0.0,0.0,0.0,,,0.9500000000000001,,2.66,0.09,0.0,0.0,0.0,0,0.0
J. Leverett,Jack Leverett,-437193,Queanbeyan City,Queanbeyan City,https://cdn5.wyscout.com/photos/team/public/g10807_120x120.png,Capital Territory NPL,RB,RB,91,,0,,0,18.0,2007-01-31,0,,20,1949,2,0.27,2,0.37,19.39,57.86,Australia,['Australia'],unknown,0,0,False,14.13,10.94,70.89,2.03,47.73,0.05,0.06,0.37,6.33,8.58,0.88,4,0.18,0,0.0,1.99,0.09,2,0.09,0.01,0,0.0,7,0.32,42.86,28.571,0.09,1.57,26.47,0.0,0.0,1.57,26.47,0.28,2.31,62.0,4.8,44.23,0.23,1.85,0.05,17.04,1.29,0.55,29.42,67.03,14.36,57.56,4.29,92.47,23.97,74.95,3.93,34.12,19.79,34.91,0.02,0.28,0.0,0.0,0.05,0.0,0.28,4.66,49.5,1.8,33.33,0.28,33.33,0.23,0.42,7.9,55.56,73.1,6.7,0,,0,,0,0.0,0.0,0.0,,,1.25,,2.03,0.0,0.0,0.0,0.0,0,0.0
