Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
A. Beglaryan,Arsen Beglaryan,249483,Alashkert,Alashkert,https://cdn5.wyscout.com/photos/team/public/g21301_120x120.png,IDBank Premier League,GK,GK,100,,0,,0,33.0,1993-02-18,200000,,26,2630,0,0.0,0,0.24,0.44,76.92,Russia,"['Russia', 'Armenia']",right,186,78,False,1.47,0.03,0.0,0.31,88.89,0.03,0.05,0.0,1.44,2.14,0.03,3,0.1,0,0.0,0.03,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.03,100.0,0.0,0.0,0.03,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,16.19,0.44,0.03,25.36,83.81,13.72,72.57,0.0,0.0,15.98,98.72,9.27,58.67,33.43,51.63,0.01,0.07,0.0,0.0,0.0,0.0,0.07,4.28,58.4,0.41000000000000003,41.67,0.21,50.0,0.07,0.03,6.23,84.07,97.83,11.05,23,0.79,66,2.26,9,65.15,17.55,0.6000000000000001,-5.45,-0.187,0.0,1.13,0.31,,,,0.0,0,0.0
Klaidher,Klaidher Vittorio  Bravin Macedo,-69370,Alashkert,Alashkert,https://cdn5.wyscout.com/photos/team/public/g21301_120x120.png,IDBank Premier League,LCB,LCB,92,,0,,0,27.0,1999-01-18,150000,,25,2527,0,0.38,1,0.67,11.18,71.02,Brazil,['Brazil'],left,189,85,False,6.87,4.35,76.23,4.24,73.95,0.07,0.11,0.46,3.49,5.16,0.71,7,0.25,0,0.0,0.14,0.0,0,0.0,0.01,0,0.0,6,0.21,16.67,0.0,0.04,0.07,50.0,0.04,100.0,0.0,0.0,0.0,0.14,50.0,1.0,53.57,0.64,0.71,0.0,37.08,0.61,0.68,52.03,85.49,22.76,73.87,2.88,96.3,43.63,92.08,8.33,51.28,24.17,43.14,0.02,0.11,0.0,0.0,0.0,0.0,0.07,7.51,60.66,0.71,25.0,0.75,28.57,0.25,0.04,10.33,76.55,95.89,22.54,0,,0,,0,0.0,0.0,0.0,,,2.03,,4.24,0.0,0.0,0.0,0.0,0,0.0
A. Vidić,Aleksa Vidić,365743,Shirak,Shirak,https://cdn5.wyscout.com/photos/team/public/3432_120x120.png,IDBank Premier League,"CB, LCB, RCB",CB,52,LCB,31,RCB,12,31.0,1994-09-29,150000,,25,2436,0,1.6600000000000001,0,0.0,10.49,67.25,Serbia,['Serbia'],right,184,77,False,10.97,4.95,71.64,3.07,59.04,1.03,1.12,1.22,6.39,6.92,0.48,4,0.15,0,0.0,0.22,0.0,0,0.0,0.06,0,0.0,10,0.37,30.0,0.0,0.0,0.04,100.0,0.0,0.0,0.04,100.0,0.0,0.11,66.67,1.26,64.71,0.41000000000000003,0.11,0.0,15.48,0.30000000000000004,0.74,28.74,83.68,12.82,74.35,1.77,89.58,24.75,89.85,3.95,44.86,20.59,36.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.07,53.57,0.26,14.29,0.15,0.0,0.04,0.0,4.99,51.11,94.84,11.45,0,,0,,0,0.0,0.0,0.0,,,1.03,,3.07,0.0,0.0,0.0,0.0,0,0.0
O. Farayola,Olawale Samuel Farayola,-295696,Alashkert,Alashkert,https://cdn5.wyscout.com/photos/team/public/g21301_120x120.png,IDBank Premier League,"RAMF, LAMF, LW",RAMF,48,LAMF,27,LW,10,23.0,2002-10-10,0,2027-06-30,26,2406,3,4.43,5,5.41,24.8,39.52,Nigeria,['Nigeria'],,0,0,False,4.75,4.53,62.81,2.84,25.0,0.0,0.0,0.04,1.9100000000000001,2.89,0.64,1,0.04,0,0.0,5.12,0.11,2,0.07,0.17,0,0.0,34,1.27,38.24,8.824,0.19,4.19,23.21,2.02,27.78,2.09,19.64,0.67,7.07,50.79,15.45,36.56,5.01,4.49,0.97,19.08,2.92,1.42,26.26,70.37,6.92,70.81,5.76,87.66,21.55,80.38,0.71,36.84,16.19,17.92,0.2,1.5,0.07,0.04,0.07,100.0,0.75,2.02,75.93,3.48,51.61,0.30000000000000004,50.0,1.98,0.9400000000000001,4.08,78.9,63.43,6.55,0,,0,,0,0.0,0.0,0.0,,,0.0,,2.84,0.0,0.0,0.0,0.11,1,100.0
João Queirós,João Ricardo Pereira Queirós,468838,Ararat-Armenia,Ararat-Armenia,https://cdn5.wyscout.com/photos/team/public/g39594_120x120.png,IDBank Premier League,"LCB, LCB3",LCB,61,LCB3,35,,0,28.0,1998-04-22,175000,,25,2399,2,1.34,0,0.27,10.32,64.0,Portugal,['Portugal'],left,192,81,False,7.09,4.43,67.8,3.5300000000000002,58.51,0.41000000000000003,0.61,0.30000000000000004,3.68,5.4,0.8300000000000001,4,0.15,0,0.0,0.30000000000000004,0.08,2,0.08,0.05,1,0.04,11,0.41000000000000003,36.36,18.182,0.0,0.30000000000000004,37.5,0.11,0.0,0.15,50.0,0.08,0.04,100.0,1.05,46.43,0.56,1.8399999999999999,0.0,33.05,0.45,0.71,46.11,87.47,22.51,81.67,2.96,93.67,40.82,92.65,4.99,48.12,19.98,37.69,0.01,0.19,0.0,0.0,0.0,0.0,0.04,7.39,71.57,0.9,37.5,0.6000000000000001,50.0,0.30000000000000004,0.11,9.72,79.92,94.67,15.49,0,,0,,0,0.0,0.0,0.0,,,1.28,,3.5300000000000002,0.0,0.0,0.0,0.0,0,0.0
H. Avagyan,Henri Avagyan,269545,Pyunik,Pyunik,https://cdn5.wyscout.com/photos/team/public/1366_120x120.png,IDBank Premier League,GK,GK,100,,0,,0,30.0,1996-01-16,125000,2029-06-30,24,2387,0,0.0,0,0.0,0.5700000000000001,86.67,Armenia,['Armenia'],right,189,75,False,1.43,0.11,66.67,0.41000000000000003,90.91,0.0,0.0,0.0,1.3599999999999999,1.8900000000000001,0.04,3,0.11,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,16.02,0.38,0.04,25.11,84.08,13.16,71.92,0.0,0.0,17.12,96.92,7.88,56.94,32.06,48.82,0.0,0.0,0.0,0.04,0.0,0.0,0.0,2.56,44.12,0.30000000000000004,0.0,0.19,20.0,0.0,0.0,5.69,64.24,98.31,11.12,14,0.53,65,2.45,13,78.46,18.83,0.71,4.83,0.182,0.0,1.02,0.41000000000000003,,,,0.0,0,0.0
A. Petrosyan,Argishti Petrosyan,160632,BKMA,BKMA,https://cdn5.wyscout.com/photos/team/public/g-10849_120x120.png,IDBank Premier League,RCB,RCB,91,,0,,0,33.0,1992-10-16,175000,2026-06-30,25,2368,0,0.03,0,0.01,14.44,58.95,Armenia,['Armenia'],right,182,80,False,9.84,7.18,66.67,3.0,45.57,0.27,0.39,1.1400000000000001,4.79,7.04,1.52,7,0.27,0,0.0,0.08,0.0,0,0.0,0.0,0,0.0,1,0.04,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,33.33,1.8599999999999999,51.02,0.15,1.03,0.0,26.03,0.19,1.29,37.63,87.68,17.18,80.97,2.32,88.52,33.33,91.79,4.29,55.75,21.56,39.86,0.0,0.08,0.0,0.0,0.0,0.0,0.0,4.71,79.84,0.08,0.0,0.08,50.0,0.0,0.0,7.87,71.01,95.06,14.63,0,,0,,0,0.0,0.0,0.0,,,1.67,,3.0,0.0,0.0,0.0,0.0,0,0.0
H. Mnatsakanyan,Hamlet Mnatsakanyan,-109351,Shirak,Shirak,https://cdn5.wyscout.com/photos/team/public/3432_120x120.png,IDBank Premier League,"RCB3, RCB, LCB",RCB3,47,RCB,39,LCB,12,23.0,2002-08-21,150000,,25,2365,0,0.5,0,0.08,10.69,56.23,Armenia,['Armenia'],right,0,0,False,9.48,5.14,64.44,2.47,52.31,0.42,0.45,1.1,5.75,6.22,0.9500000000000001,4,0.15,0,0.0,0.34,0.0,0,0.0,0.02,0,0.0,14,0.53,21.43,0.0,0.0,0.42,27.27,0.08,0.0,0.34,33.33,0.0,0.27,42.86,1.83,52.08,0.42,0.30000000000000004,0.0,20.17,0.53,0.8,33.34,72.83,18.76,62.07,2.05,90.74,24.13,82.65,8.83,48.28,24.12,40.09,0.0,0.04,0.0,0.0,0.04,0.0,0.0,5.06,51.88,0.49,23.08,0.53,14.29,0.08,0.04,9.21,53.72,88.12,9.93,0,,0,,0,0.0,0.0,0.0,,,1.45,,2.47,0.08,0.08,0.0,0.0,0,0.0
Z. Margaryan,Zhirayr Margaryan,402063,Urartu,Urartu,https://cdn5.wyscout.com/photos/team/public/2398_120x120.png,IDBank Premier League,"LB, LB5",LB,68,LB5,20,,0,28.0,1997-09-13,300000,2027-06-30,24,2321,0,0.87,7,4.24,11.98,51.13,Armenia,['Armenia'],left,175,78,False,6.59,5.62,60.0,1.5899999999999999,36.59,0.16,0.23,0.27,3.06,4.5,1.12,4,0.16,0,0.0,1.78,0.0,0,0.0,0.03,0,0.0,12,0.47000000000000003,25.0,0.0,0.27,2.68,30.43,2.6,29.85,0.04,0.0,0.5,1.47,52.63,3.5300000000000002,45.05,0.97,1.3599999999999999,0.16,27.1,1.8599999999999999,0.58,35.83,78.03,13.84,73.11,6.55,96.45,29.31,86.64,3.99,44.66,19.64,37.53,0.16,1.16,0.04,0.0,0.19,40.0,0.5,5.12,65.91,2.48,35.94,0.47000000000000003,33.33,0.27,0.89,7.99,70.39,76.77,9.85,0,,0,,0,0.0,0.0,0.0,,,0.54,,1.5899999999999999,1.2,0.16,50.0,1.55,0,0.0
R. Mkrtchyan,Rudik Mkrtchyan,480248,Shirak,Shirak,https://cdn5.wyscout.com/photos/team/public/3432_120x120.png,IDBank Premier League,"LCMF, LDMF, DMF",LCMF,31,LDMF,19,DMF,19,27.0,1998-10-26,150000,,25,2301,0,1.3,1,1.29,13.85,49.44,Armenia,['Armenia'],right,174,73,False,8.21,5.91,58.28,2.19,46.43,0.31,0.33,0.35000000000000003,4.46,4.76,1.21,7,0.27,0,0.0,0.39,0.0,0,0.0,0.05,0,0.0,18,0.7000000000000001,27.78,0.0,0.04,0.31,12.5,0.2,0.0,0.12,33.33,0.04,0.35000000000000003,44.44,4.03,44.66,0.7000000000000001,0.35000000000000003,0.0,10.8,0.23,1.8399999999999999,20.89,76.22,7.63,57.44,4.03,94.17,16.9,83.8,3.7199999999999998,46.32,17.79,32.84,0.05,0.51,0.0,0.0,0.0,0.0,0.16,2.9699999999999998,53.95,0.78,45.0,0.2,40.0,0.31,0.04,3.52,46.67,84.47,6.3,0,,0,,0,0.0,0.0,0.0,,,0.2,,2.19,0.23,0.0,0.0,0.35000000000000003,0,0.0
