Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Elvis Prençi,Elvis Prençi,211780,Prishtina e Re,Prishtina e Re,https://cdn5.wyscout.com/photos/team/public/g-21605_120x120.png,Superliga,"LCB, CB",LCB,76,CB,15,,0,32.0,1993-06-26,150000,2026-06-30,26,2513,2,0.8200000000000001,0,0.03,11.25,65.61,Albania,['Albania'],,0,0,False,8.49,4.01,77.68,4.69,64.12,0.07,0.08,0.79,5.3,6.29,0.54,4,0.14,0,0.0,0.14,0.07,2,0.07,0.03,2,0.07,7,0.25,42.86,28.571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,50.0,0.9,32.0,0.54,0.18,0.0,24.25,0.21,0.36,38.11,84.21,16.15,71.4,2.83,89.87,30.84,91.87,7.27,51.72,23.68,40.57,0.0,0.04,0.04,0.04,0.0,0.0,0.0,5.26,48.98,0.68,31.58,0.79,18.18,0.21,0.0,6.91,67.88,95.21,16.44,0,,0,,0,0.0,0.0,0.0,,,2.11,,4.69,0.04,0.0,0.0,0.0,0,0
A. Thaqi,Armend Thaqi,191474,Gjilani,Gjilani,https://cdn5.wyscout.com/photos/team/public/g34529_120x120.png,Superliga,RB,RB,84,,0,,0,33.0,1992-10-10,0,,25,2472,5,2.95,4,5.74,11.0,50.66,Kosovo,['Kosovo'],right,179,0,False,8.08,5.83,63.13,0.91,36.0,0.15,0.21,0.58,4.26,6.16,0.76,4,0.15,0,0.0,2.04,0.18,4,0.15,0.11,0,0.0,32,1.17,28.13,15.625,0.15,4.55,31.2,0.15,75.0,4.37,29.17,0.73,0.73,40.0,3.13,34.88,1.2,1.02,0.0,23.26,1.67,0.51,34.66,73.11,13.69,68.35,5.9,95.68,24.17,85.09,6.04,56.02,21.05,35.82,0.21,1.71,0.07,0.0,0.04,0.0,0.55,5.21,66.43,4.84,42.11,0.25,57.14,0.8,1.53,9.17,76.98,65.3,9.76,0,,0,,0,0.0,0.0,0.0,,,0.73,,0.91,2.4,0.44,33.33,3.13,1,100
E. Bejtulai,Egzon Bejtulai,199014,Drita,Drita,https://cdn5.wyscout.com/photos/team/public/g24622_120x120.png,Superliga,"RCB, RB",RCB,72,RB,14,,0,32.0,1994-01-07,550000,2026-06-30,24,2275,2,2.15,3,1.8900000000000001,10.6,55.6,North Macedonia,['North Macedonia'],right,182,71,False,5.93,3.76,54.74,4.0,58.42,0.0,0.0,0.63,3.88,5.66,1.23,6,0.24,0,0.0,0.9500000000000001,0.08,2,0.08,0.09,2,0.08,14,0.55,42.86,14.286,0.12,1.82,34.78,0.04,100.0,1.78,33.33,0.24,0.12,66.67,0.9500000000000001,58.33,0.8300000000000001,2.14,0.12,39.48,0.8300000000000001,0.59,55.5,86.17,23.58,77.68,4.11,94.23,45.89,93.02,7.87,57.29,22.09,39.2,0.07,0.44,0.0,0.04,0.0,0.0,0.32,8.07,65.2,2.45,33.87,0.67,35.29,0.47000000000000003,0.67,11.67,78.64,92.77,22.98,0,,0,,0,0.0,0.0,0.0,,,1.98,,4.0,0.08,0.04,0.0,0.0,0,0
F. Smakiqi,Florjan Smakiqi,-78151,Prishtina e Re,Prishtina e Re,https://cdn5.wyscout.com/photos/team/public/g-21605_120x120.png,Superliga,GK,GK,100,,0,,0,27.0,1998-08-10,200000,2026-06-30,23,2219,0,0.0,0,0.0,1.1,88.89,Kosovo,['Kosovo'],right,191,0,False,2.31,0.04,0.0,0.5700000000000001,100.0,0.0,0.0,0.0,2.31,2.7,0.0,4,0.16,0,0.0,0.04,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,100.0,0.0,0.0,0.04,11.4,0.2,0.41000000000000003,19.71,84.36,10.42,73.15,0.04,0.0,12.33,98.36,7.34,61.33,31.33,47.32,0.0,0.0,0.0,0.0,0.04,100.0,0.0,1.58,35.9,0.12,0.0,0.24,16.67,0.0,0.0,5.07,72.8,98.01,8.15,33,1.34,115,4.66,6,71.3,33.29,1.35,0.29,0.012,0.0,2.15,0.5700000000000001,,,,0.0,0,0
E. Basriu,Elton Basriu,154731,Dukagjini,Dukagjini,https://cdn5.wyscout.com/photos/team/public/g-7231_120x120.png,Superliga,"RCB, LCB, CB",RCB,56,LCB,24,CB,16,38.0,1987-08-03,50000,2026-06-30,23,2193,0,1.25,1,0.34,11.45,56.63,Albania,['Albania'],,0,0,False,7.67,4.02,71.43,4.5600000000000005,50.45,0.41000000000000003,0.5700000000000001,0.16,4.39,6.15,1.23,5,0.21,0,0.0,0.12,0.0,0,0.0,0.05,0,0.0,8,0.33,12.5,0.0,0.04,0.12,33.33,0.0,0.0,0.12,33.33,0.0,0.08,50.0,0.86,52.38,0.45,0.45,0.04,15.55,0.29,0.66,29.22,77.11,16.01,65.64,1.15,92.86,22.86,86.0,6.24,45.39,22.67,35.77,0.01,0.21,0.0,0.04,0.0,0.0,0.08,3.9,53.68,0.5700000000000001,50.0,0.21,40.0,0.37,0.04,7.18,60.0,91.77,9.97,0,,0,,0,0.0,0.0,0.0,,,0.53,,4.5600000000000005,0.08,0.0,0.0,0.0,0,0
A. Dabiqaj,Albert Dabiqaj,456165,Drita,Drita,https://cdn5.wyscout.com/photos/team/public/g24622_120x120.png,Superliga,"RDMF, AMF, RCMF",RDMF,36,AMF,19,RCMF,14,29.0,1996-07-10,400000,2028-06-30,24,2164,4,5.79,2,1.42,18.17,55.38,Kosovo,['Kosovo'],right,185,0,False,7.65,6.4,65.58,4.03,53.61,0.21,0.30000000000000004,0.08,3.24,4.63,1.6600000000000001,7,0.29,0,0.0,1.25,0.17,4,0.17,0.24,1,0.04,31,1.29,32.26,12.903,0.08,0.54,30.77,0.12,33.33,0.42,30.0,0.21,0.91,63.64,5.78,48.92,2.62,1.04,0.37,18.76,1.54,1.62,28.78,77.6,10.94,66.54,4.78,92.17,25.66,82.17,2.62,42.86,16.92,29.43,0.06,0.46,0.0,0.04,0.12,66.67,0.21,5.28,63.78,1.29,45.16,0.21,40.0,0.67,0.12,4.33,64.42,85.03,7.78,0,,0,,0,0.0,0.0,0.0,,,0.21,,4.03,0.0,0.0,0.0,0.0,0,0
K. Uka,Kreshnik Uka,328894,Drenica Skënderaj,Drenica Skënderaj,https://cdn5.wyscout.com/photos/team/public/g24623_120x120.png,Superliga,"CF, LAMF, RWF",CF,28,LAMF,17,RWF,12,31.0,1995-01-07,0,,22,2159,9,8.75,3,2.1,16.97,46.93,Kosovo,['Kosovo'],right,180,0,False,5.34,4.29,66.99,3.71,34.83,0.08,0.11,0.08,2.38,3.15,0.8300000000000001,2,0.08,0,0.0,2.92,0.38,8,0.33,0.36,2,0.08,62,2.58,40.32,14.516,0.13,2.04,22.45,1.17,25.0,0.75,16.67,0.04,2.17,63.46,7.3,44.0,4.17,1.54,0.21,19.72,2.88,1.29,28.43,71.26,8.0,61.98,6.75,83.33,24.51,77.38,1.96,42.55,16.37,37.52,0.09,0.92,0.08,0.0,0.13,33.33,0.58,3.0,55.56,2.71,40.0,0.25,16.67,1.21,0.38,4.13,63.64,68.75,6.67,0,,0,,0,0.0,0.0,0.0,,,0.08,,3.71,0.17,0.08,0.0,0.21,1,100
F. Maloku,Faton Maloku,329359,Drita,Drita,https://cdn5.wyscout.com/photos/team/public/g24622_120x120.png,Superliga,GK,GK,100,,0,,0,34.0,1991-06-14,125000,2026-06-30,22,2151,0,0.0,0,0.0,0.46,63.64,Kosovo,['Kosovo'],right,190,78,False,1.3,0.04,100.0,0.29,85.71,0.0,0.0,0.0,1.26,1.82,0.0,2,0.08,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,12.89,0.13,0.0,19.33,91.99,8.2,83.16,0.0,0.0,14.94,99.16,4.35,68.27,24.85,39.9,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.25,50.0,0.04,0.0,0.04,0.0,0.0,0.0,3.14,65.33,99.14,9.71,24,1.0,72,3.01,6,66.67,20.74,0.87,-3.26,-0.136,0.0,1.51,0.29,,,,0.0,0,0
K. Gashi,Kushtrim Gashi,328857,Dukagjini,Dukagjini,https://cdn5.wyscout.com/photos/team/public/g-7231_120x120.png,Superliga,"RDMF, LCMF, RCMF",RDMF,31,LCMF,14,RCMF,13,33.0,1992-11-15,125000,,23,2142,0,0.1,0,0.31,13.91,53.47,Kosovo,['Kosovo'],,0,0,False,8.15,5.92,65.96,2.52,38.33,0.92,1.29,0.21,3.32,4.65,1.43,3,0.13,0,0.0,0.55,0.0,0,0.0,0.0,0,0.0,7,0.29,14.29,0.0,0.0,0.5,41.67,0.0,0.0,0.46,45.45,0.04,0.5,58.33,3.15,44.0,0.17,0.46,0.08,20.55,0.42,0.92,34.54,84.18,10.97,73.18,5.97,94.37,30.84,88.15,3.19,52.63,17.34,26.7,0.01,0.25,0.0,0.0,0.0,0.0,0.08,4.92,70.09,0.88,57.14,0.21,20.0,0.29,0.25,5.17,71.54,90.3,11.26,0,,0,,0,0.0,0.0,0.0,,,0.34,,2.52,0.04,0.0,0.0,0.0,0,0
M. Adili,Mevlan Adili,299153,Gjilani,Gjilani,https://cdn5.wyscout.com/photos/team/public/g34529_120x120.png,Superliga,"RCB, CB",RCB,83,CB,13,,0,32.0,1994-03-30,250000,2027-06-30,24,2137,1,1.57,0,0.45,11.83,58.36,North Macedonia,"['North Macedonia', 'Albania']",right,186,75,False,7.96,4.46,66.98,3.2800000000000002,53.85,0.34,0.51,0.34,4.63,6.99,0.8,7,0.29,0,0.0,1.3900000000000001,0.04,1,0.04,0.07,0,0.0,16,0.67,25.0,6.25,0.0,1.9,35.56,0.21,40.0,1.6400000000000001,35.9,0.21,0.67,81.25,2.19,57.69,0.97,1.98,0.13,35.04,0.84,0.8,53.23,82.99,25.48,73.39,3.16,96.0,39.84,92.81,11.5,56.78,24.03,38.07,0.02,0.17,0.04,0.04,0.0,0.0,0.04,9.27,64.09,2.99,40.85,0.59,42.86,0.63,0.63,12.85,80.0,91.95,19.88,0,,0,,0,0.0,0.0,0.0,,,1.6800000000000002,,3.2800000000000002,0.08,0.0,0.0,0.0,0,0
