Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Bernardo Morgado,Bernardo Gil Coutinho Morgado,494660,Caspiy,Caspiy,https://cdn5.wyscout.com/photos/team/public/g3933_120x120.png,Premier League,"LCB, LCB3",LCB,53,LCB3,37,,0,28,1998-03-24,150000,2026-12-31,11,1084,0,0.6000000000000001,0,0.59,13.12,60.13,Portugal,['Portugal'],right,187,80,False,9.38,4.32,76.92,5.31,54.69,0.33,0.42,1.4100000000000001,5.73,7.16,0.66,4,0.33,0,0.0,0.17,0.0,0,0.0,0.05,0,0.0,5,0.42,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.16,42.86,0.58,0.08,0.0,27.07,0.33,0.42,39.11,87.69,15.11,74.18,2.24,92.59,34.46,92.53,4.65,51.79,22.37,36.27,0.05,0.17,0.0,0.0,0.08,100.0,0.25,3.07,56.76,0.17,50.0,0.33,50.0,0.17,0.0,5.5600000000000005,59.7,97.39,19.1,0,,0,,0,0.0,0.0,0.0,,,1.83,,5.31,0.0,0.0,0.0,0.0,0,0
T. Anarbekov,Temirlan Anarbekov,-157373,Kairat,Kairat,https://cdn5.wyscout.com/photos/team/public/g1358_120x120.png,Premier League,GK,GK,100,,0,,0,22,2003-10-14,150000,2028-12-31,11,1078,0,0.0,0,0.17,0.42,100.0,Kazakhstan,['Kazakhstan'],left,189,78,False,1.5,0.08,100.0,0.17,100.0,0.0,0.0,0.0,1.42,2.25,0.0,2,0.17,0,0.0,0.08,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.08,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.18,0.25,0.0,16.61,87.94,7.43,74.16,0.08,0.0,12.44,98.66,4.09,55.1,29.88,52.2,0.01,0.08,0.0,0.0,0.0,0.0,0.08,1.75,38.1,0.25,33.33,0.25,0.0,0.0,0.08,2.84,76.47,100.0,8.68,6,0.5,29,2.42,6,79.31,5.76,0.48,-0.24,-0.02,0.0,1.25,0.17,,,,0.0,0,0
D. Nepogodov,Dmitriy Nepogodov,39367,Ulytau,Ulytau,https://cdn5.wyscout.com/photos/team/public/g-17974_120x120.png,Premier League,GK,GK,100,,0,,0,38,1988-02-17,150000,2026-12-31,11,1074,0,0.0,0,0.0,0.67,75.0,Ukraine,"['Ukraine', 'Kazakhstan']",left,196,90,False,1.42,0.42,60.0,0.25,100.0,0.0,0.0,0.0,1.17,1.73,0.0,2,0.17,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.54,0.17,0.0,12.99,81.29,7.54,72.22,0.0,0.0,8.63,94.17,4.36,55.77,31.58,47.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,22.22,0.08,0.0,0.0,0.0,0.0,0.0,3.94,68.09,93.1,4.86,11,0.92,42,3.52,4,73.81,11.23,0.9400000000000001,0.23,0.019,0.0,1.5899999999999999,0.25,,,,0.0,0,0
G. Bukhal,Glib Bukhal,410636,Ulytau,Ulytau,https://cdn5.wyscout.com/photos/team/public/g-17974_120x120.png,Premier League,LCB,LCB,97,,0,,0,30,1995-11-12,0,2026-12-31,11,1074,0,0.74,0,0.0,9.55,59.65,Ukraine,['Ukraine'],left,190,75,False,8.13,4.19,68.0,3.02,50.0,0.08,0.12,0.75,5.2,7.65,0.59,0,0.0,0,0.0,0.25,0.0,0,0.0,0.06,0,0.0,4,0.34,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,55.56,0.25,1.51,0.0,32.09,0.42,0.92,51.7,85.9,25.98,80.0,2.51,93.33,42.91,91.41,8.8,59.05,24.2,40.01,0.0,0.08,0.0,0.0,0.08,100.0,0.0,10.39,77.42,0.25,66.67,0.75,44.44,0.0,0.0,14.25,76.47,94.26,20.45,0,,0,,0,0.0,0.0,0.0,,,1.76,,3.02,0.08,0.08,100.0,0.0,0,0
D. Nechaev,Danila Nechaev,-76840,Irtysh,Irtysh,https://cdn5.wyscout.com/photos/team/public/1361_120x120.png,Premier League,RB,RB,100,,0,,0,26,1999-10-30,700000,2026-12-31,11,1063,1,0.35000000000000003,0,0.35000000000000003,13.97,47.88,Belarus,['Belarus'],right,187,79,False,7.7,6.35,54.67,2.62,51.61,0.42,0.64,0.34,3.81,5.79,0.76,1,0.08,0,0.0,1.19,0.08,1,0.08,0.03,1,0.08,2,0.17,50.0,50.0,0.0,1.69,25.0,0.0,0.0,1.69,25.0,0.34,0.93,63.64,3.13,37.84,1.19,1.78,0.42,25.06,1.44,0.59,34.88,80.83,13.38,74.05,6.52,94.81,29.8,87.5,3.56,47.62,17.25,32.31,0.03,0.25,0.0,0.0,0.08,100.0,0.17,3.98,65.96,1.78,47.62,0.17,100.0,0.85,0.51,6.6,66.67,82.65,8.3,0,,0,,0,0.0,0.0,0.0,,,1.19,,2.62,0.0,0.0,0.0,0.0,0,0
S. Keiler,Sergey Keiler,154774,Ulytau,Ulytau,https://cdn5.wyscout.com/photos/team/public/g-17974_120x120.png,Premier League,LB,LB,97,,0,,0,31,1994-11-08,0,2026-12-31,11,1054,1,0.27,1,2.7,11.36,52.63,Kazakhstan,['Kazakhstan'],left,180,77,False,5.72,4.95,51.72,2.05,54.17,0.09,0.13,0.09,3.07,4.5,1.11,1,0.09,0,0.0,2.9,0.09,1,0.09,0.02,0,0.0,12,1.02,25.0,8.333,0.09,5.8100000000000005,33.82,5.29,30.65,0.51,66.67,0.85,1.02,66.67,3.16,54.05,0.09,1.96,0.26,29.2,0.68,1.28,40.99,67.08,16.91,60.61,4.61,94.44,25.79,82.12,9.56,45.54,24.33,41.24,0.23,2.05,0.09,0.0,0.17,0.0,0.51,9.65,54.87,6.4,36.0,2.56,33.33,0.51,2.13,12.13,72.54,67.06,14.52,0,,0,,0,0.0,0.0,0.0,,,0.6000000000000001,,2.05,1.54,0.34,25.0,3.67,0,0
Y. Vorogovskiy,Yan Vorogovskiy,273274,Astana,Astana,https://cdn5.wyscout.com/photos/team/public/2405_120x120.png,Premier League,"LB, LWB, LB5",LB,56,LWB,28,LB5,13,29,1996-08-07,500000,2026-12-31,11,1040,2,1.35,1,1.18,17.48,53.47,Kazakhstan,['Kazakhstan'],left,184,75,False,9.69,7.36,57.65,2.25,61.54,0.09,0.14,0.17,5.37,8.45,1.73,1,0.09,0,0.0,3.12,0.17,2,0.17,0.12,1,0.09,11,0.9500000000000001,36.36,18.182,0.09,4.07,38.3,4.07,38.3,0.0,0.0,0.26,2.08,58.33,6.32,47.95,1.56,3.03,0.26,38.68,3.46,0.61,53.31,79.06,18.43,72.3,8.83,92.16,44.05,86.25,5.28,50.82,19.39,38.81,0.1,1.13,0.09,0.0,0.09,0.0,0.6900000000000001,7.44,73.26,4.41,45.1,0.35000000000000003,25.0,0.6900000000000001,1.6400000000000001,12.12,73.57,79.9,17.65,0,,0,,0,0.0,0.0,0.0,,,0.17,,2.25,0.0,0.0,0.0,0.0,0,0
S. Zharynbetov,Samat Zharynbetov,403926,Irtysh,Irtysh,https://cdn5.wyscout.com/photos/team/public/1361_120x120.png,Premier League,"DMF, RDMF, RCMF",DMF,47,RDMF,24,RCMF,18,32,1994-01-04,225000,2026-12-31,11,1038,0,0.18,0,0.30000000000000004,14.91,49.42,Kazakhstan,['Kazakhstan'],right,174,67,False,8.93,7.63,59.09,1.82,38.1,0.61,0.93,0.43,3.8200000000000003,5.8100000000000005,1.13,2,0.17,0,0.0,0.9500000000000001,0.0,0,0.0,0.02,0,0.0,6,0.52,50.0,0.0,0.0,0.61,57.14,0.0,0.0,0.61,57.14,0.09,0.78,33.33,3.9,37.78,0.17,1.82,0.09,29.39,0.09,1.21,43.18,83.73,15.09,71.26,5.55,98.44,39.19,87.61,3.47,42.5,16.87,28.0,0.03,0.6900000000000001,0.0,0.0,0.17,50.0,0.09,6.07,75.71,1.47,52.94,0.35000000000000003,25.0,0.52,0.43,7.37,69.41,92.35,14.74,0,,0,,0,0.0,0.0,0.0,,,0.52,,1.82,0.61,0.09,0.0,0.09,0,0
A. Dobay,Adilkhan Dobay,-103430,Zhetysu,Zhetysu,https://cdn5.wyscout.com/photos/team/public/g1364_120x120.png,Premier League,"RWB, RB5",RWB,69,RB5,26,,0,23,2002-06-02,175000,2026-12-31,10,998,1,0.36,0,0.32,12.99,50.69,Kazakhstan,['Kazakhstan'],right,183,0,False,5.77,5.59,61.29,2.07,56.52,0.18,0.25,0.0,2.16,3.01,0.99,0,0.0,0,0.0,1.26,0.09,1,0.09,0.03,0,0.0,5,0.45,60.0,20.0,0.0,1.35,46.67,0.09,100.0,1.26,42.86,0.09,0.72,50.0,3.34,32.43,0.27,1.08,0.09,23.63,2.71,0.81,34.09,78.57,11.9,65.91,5.86,98.46,28.95,83.18,3.79,54.76,17.68,33.3,0.03,0.36,0.0,0.18,0.0,0.0,0.18,4.06,55.56,1.98,45.45,0.09,0.0,0.27,0.72,6.94,66.23,79.28,10.01,0,,0,,0,0.0,0.0,0.0,,,0.72,,2.07,0.0,0.0,0.0,0.0,0,0
A. Baltabekov,Askhat Baltabekov,295583,Zhetysu,Zhetysu,https://cdn5.wyscout.com/photos/team/public/g1364_120x120.png,Premier League,"LWB, LB5",LWB,69,LB5,26,,0,32,1993-11-06,225000,2026-12-31,10,998,0,0.42,2,1.09,12.17,49.63,Kazakhstan,['Kazakhstan'],left,171,59,False,6.94,5.95,57.58,1.35,33.33,0.36,0.5,0.36,3.16,4.39,1.08,0,0.0,0,0.0,2.16,0.0,0,0.0,0.04,0,0.0,8,0.72,50.0,0.0,0.18,4.06,28.89,3.88,25.58,0.18,100.0,0.9,1.08,58.33,3.07,44.12,0.81,0.99,0.09,30.75,3.88,0.9,40.4,73.44,14.16,64.33,7.39,92.68,29.67,83.59,6.76,54.67,21.32,34.72,0.1,1.35,0.0,0.0,0.0,0.0,0.45,4.87,48.15,4.33,39.58,0.54,33.33,0.54,1.17,9.38,70.19,75.82,13.8,0,,0,,0,0.0,0.0,0.0,,,0.54,,1.35,1.08,0.09,100.0,1.35,0,0
