Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
K. Nemanič,Klemen Nemanič,268940,DAC,DAC,https://cdn5.wyscout.com/photos/team/public/1224_120x120.png,Niké Liga,LCB,LCB,93,,0,,0,29.0,1996-11-07,400000,2028-06-30,23,2237,1,1.75,0,1.08,10.66,62.26,Slovenia,['Slovenia'],left,194,77,False,6.84,3.62,73.33,4.18,66.35,0.08,0.13,0.48,4.1,6.68,0.72,3,0.12,0,0.0,0.32,0.04,1,0.04,0.07,1,0.04,13,0.52,23.08,7.692,0.0,0.32,25.0,0.32,25.0,0.0,0.0,0.04,0.36,33.33,1.45,41.67,0.68,2.13,0.04,50.13,0.68,0.16,66.5,91.11,25.19,83.87,3.74,93.55,60.71,94.9,5.47,52.94,21.81,43.25,0.04,0.44,0.04,0.12,0.0,0.0,0.16,8.53,75.94,0.89,50.0,0.89,45.45,0.48,0.08,10.46,75.77,97.56,32.95,0,,0,,0,0.0,0.0,0.0,,,2.33,,4.18,0.0,0.0,0.0,0.0,0,0.0
R. Begala,Roman Begala,452966,Tatran Prešov,Tatran Prešov,https://cdn5.wyscout.com/photos/team/public/1294_120x120.png,Niké Liga,"RCMF, DMF, RCMF3",RCMF,38,DMF,17,RCMF3,15,26.0,1999-07-18,150000,2027-06-30,23,2229,2,1.62,1,2.87,16.35,57.04,Slovakia,['Slovakia'],right,175,72,False,9.57,7.71,64.92,1.09,33.33,0.32,0.39,0.52,4.24,5.12,1.13,4,0.16,0,0.0,1.7000000000000002,0.08,2,0.08,0.07,0,0.0,33,1.33,18.18,6.061,0.04,1.05,34.62,0.44,27.27,0.52,46.15,0.16,1.29,78.13,5.13,52.76,1.4100000000000001,0.89,0.16,15.14,0.32,2.06,23.58,76.88,8.56,65.57,3.96,92.86,19.7,82.58,2.91,54.17,20.11,34.6,0.12,1.09,0.0,0.08,0.08,100.0,0.28,3.31,65.85,1.29,62.5,0.44,81.82,0.52,0.4,5.09,64.29,84.82,7.71,0,,0,,0,0.0,0.0,0.0,,,0.4,,1.09,0.85,0.16,50.0,1.37,0,0.0
M. Tuboly,Máté Tuboly,-258953,DAC,DAC,https://cdn5.wyscout.com/photos/team/public/1224_120x120.png,Niké Liga,"RCMF, DMF, RDMF",RCMF,36,DMF,33,RDMF,12,21.0,2004-09-15,0,2028-06-30,23,2190,2,1.99,1,1.56,13.85,48.96,Hungary,['Hungary'],right,182,71,False,7.68,4.6,58.93,3.04,51.35,0.37,0.6000000000000001,0.37,4.6,7.47,1.23,4,0.16,0,0.0,1.15,0.08,1,0.04,0.08,1,0.04,18,0.74,27.78,11.111,0.04,0.49,58.33,0.08,50.0,0.41000000000000003,60.0,0.0,0.74,72.22,4.27,38.46,0.78,0.37,0.16,26.79,0.16,1.03,40.93,85.84,12.0,70.21,6.82,95.18,36.29,90.03,4.15,52.48,18.81,34.48,0.06,0.58,0.12,0.0,0.16,75.0,0.29,5.01,71.31,1.07,69.23,0.29,57.14,0.62,0.25,5.59,65.44,93.41,16.85,0,,0,,0,0.0,0.0,0.0,,,1.11,,3.04,0.21,0.0,0.0,0.25,1,100.0
Ž. Frelih,Žiga Frelih,407988,Spartak Trnava,Spartak Trnava,https://cdn5.wyscout.com/photos/team/public/1291_120x120.png,Niké Liga,GK,GK,100,,0,,0,28.0,1998-02-06,450000,2026-06-30,22,2168,0,0.0,0,0.28,0.66,93.75,Slovenia,['Slovenia'],left,197,90,False,1.45,0.0,0.0,0.5,91.67,0.0,0.0,0.0,1.45,2.33,0.04,2,0.08,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,0.0,0.0,0.0,16.85,0.17,0.21,24.29,77.44,17.06,68.61,0.04,100.0,12.7,96.73,11.54,56.47,34.7,49.35,0.01,0.04,0.0,0.0,0.0,0.0,0.0,4.9,45.76,0.25,33.33,0.62,26.67,0.08,0.0,8.14,75.0,98.74,6.6,28,1.16,83,3.45,8,66.27,22.75,0.9400000000000001,-5.25,-0.218,0.04,1.25,0.5,,,,0.0,0,0.0
M. Šimko,Martin Šimko,387247,Komárno,Komárno,https://cdn5.wyscout.com/photos/team/public/g29815_120x120.png,Niké Liga,"LCB, DMF, CB",LCB,42,DMF,20,CB,12,27.0,1998-05-24,225000,2026-06-30,22,2155,2,2.3,0,1.22,14.07,59.35,Slovakia,['Slovakia'],right,185,0,False,9.65,4.84,66.38,6.97,56.89,0.79,0.97,0.67,5.64,6.9,1.21,2,0.08,0,0.0,0.42,0.08,2,0.08,0.1,2,0.08,15,0.63,46.67,13.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,100.0,0.79,52.63,1.13,0.25,0.08,18.79,0.54,0.54,34.25,83.29,13.74,71.12,2.76,96.97,29.19,88.41,5.05,53.72,20.69,35.0,0.05,0.38,0.0,0.04,0.0,0.0,0.21,5.1,54.92,0.46,36.36,0.42,40.0,0.29,0.0,5.76,70.29,91.22,14.74,0,,0,,0,0.0,0.0,0.0,,,1.17,,6.97,0.0,0.0,0.0,0.0,0,0.0
M. Junas,Martin Junas,295744,Skalica,Skalica,https://cdn5.wyscout.com/photos/team/public/g24757_120x120.png,Niké Liga,GK,GK,100,,0,,0,29.0,1996-03-09,250000,2027-06-30,22,2149,0,0.0,0,0.0,0.92,77.27,Slovakia,['Slovakia'],right,184,83,False,1.34,0.08,100.0,0.46,81.82,0.04,0.05,0.0,1.21,1.48,0.04,4,0.17,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.25,83.33,0.0,0.04,0.0,9.42,0.21,0.29,17.17,75.61,13.32,69.81,0.0,0.0,6.41,97.39,10.72,62.89,40.75,51.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.44,54.72,0.46,18.18,0.21,60.0,0.04,0.0,7.96,82.11,95.29,3.56,34,1.42,120,5.03,4,71.67,35.1,1.47,1.1,0.046,0.0,1.5899999999999999,0.46,,,,0.0,0,0.0
M. Bednár,Martin Bednár,411785,Zemplín Michalovce,Zemplín Michalovce,https://cdn5.wyscout.com/photos/team/public/g3237_120x120.png,Niké Liga,"RCB, LCB",RCB,43,LCB,38,,0,26.0,1999-04-22,175000,2028-05-31,23,2124,1,0.8200000000000001,1,0.26,8.09,59.16,Slovakia,['Slovakia'],right,190,79,False,7.8,3.22,69.74,2.88,54.41,0.21,0.29,0.64,5.34,7.31,0.34,4,0.17,0,0.0,0.34,0.04,1,0.04,0.03,1,0.04,9,0.38,44.44,11.111,0.04,0.17,0.0,0.0,0.0,0.17,0.0,0.0,0.38,44.44,0.89,38.1,0.34,1.02,0.17,32.97,0.25,0.21,49.62,87.36,19.66,76.08,2.92,94.2,41.91,93.63,7.54,54.49,22.69,46.33,0.01,0.17,0.0,0.08,0.04,0.0,0.08,6.78,61.88,0.72,23.53,0.55,38.46,0.17,0.0,8.05,77.37,95.76,22.97,0,,0,,0,0.0,0.0,0.0,,,1.74,,2.88,0.0,0.0,0.0,0.0,0,0.0
M. Sipľak,Michal Sipľak,318999,Tatran Prešov,Tatran Prešov,https://cdn5.wyscout.com/photos/team/public/1294_120x120.png,Niké Liga,"LCB3, LB, LWB",LCB3,46,LB,22,LWB,10,30.0,1996-02-02,300000,2027-06-30,22,2113,1,1.21,4,1.79,11.76,57.25,Slovakia,['Slovakia'],left,184,80,False,7.84,5.84,64.23,2.6,60.66,0.21,0.26,0.30000000000000004,3.88,4.74,0.98,5,0.21,0,0.0,1.02,0.04,0,0.0,0.05,0,0.0,13,0.55,23.08,7.692,0.17,1.58,40.54,1.3599999999999999,40.63,0.21,40.0,0.13,0.34,75.0,1.53,44.44,0.72,0.85,0.0,26.49,0.89,0.51,37.31,78.88,17.63,70.29,4.64,95.41,29.6,88.2,6.18,43.45,20.48,34.3,0.08,0.77,0.0,0.04,0.0,0.0,0.13,6.09,67.83,1.92,53.33,0.47000000000000003,36.36,0.26,0.64,9.67,71.81,87.3,10.39,0,,0,,0,0.0,0.0,0.0,,,0.98,,2.6,0.9400000000000001,0.13,0.0,1.3599999999999999,1,100.0
P. Lukáč,Patrik Lukáč,256394,Zemplín Michalovce,Zemplín Michalovce,https://cdn5.wyscout.com/photos/team/public/g3237_120x120.png,Niké Liga,GK,GK,100,,0,,0,31.0,1994-12-05,100000,2026-06-30,22,2108,0,0.0,0,0.0,0.9,71.43,Slovakia,['Slovakia'],right,191,87,False,1.11,0.09,50.0,0.51,100.0,0.0,0.0,0.0,1.07,1.46,0.04,0,0.0,0,0.0,0.04,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,50.0,0.21,40.0,0.0,0.0,0.0,11.02,0.13,0.21,17.42,88.97,11.57,83.76,0.0,0.0,9.14,99.53,8.28,77.32,32.7,45.77,0.0,0.0,0.04,0.0,0.0,0.0,0.0,1.92,68.89,0.09,0.0,0.13,33.33,0.0,0.0,6.79,86.16,99.2,5.34,36,1.54,87,3.71,4,58.62,25.17,1.07,-10.83,-0.462,0.0,1.15,0.51,,,,0.0,0,0.0
P. Bajza,Pavol Bajza,120129,Tatran Prešov,Tatran Prešov,https://cdn5.wyscout.com/photos/team/public/1294_120x120.png,Niké Liga,GK,GK,100,,0,,0,34.0,1991-09-04,225000,2027-06-30,21,2083,0,0.0,0,0.0,0.86,85.0,Slovakia,['Slovakia'],right,195,91,False,1.21,0.13,66.67,0.43,100.0,0.0,0.0,0.0,1.12,1.3599999999999999,0.0,2,0.09,0,0.0,0.04,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,0.17,75.0,0.0,0.0,0.0,14.52,0.09,0.17,22.47,86.35,14.65,81.12,0.0,0.0,11.75,97.79,10.72,73.79,34.35,46.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.33,68.52,0.04,0.0,0.0,0.0,0.0,0.0,8.43,81.03,96.36,7.13,31,1.34,99,4.28,5,68.69,25.46,1.1,-5.54,-0.23900000000000002,0.0,1.6,0.43,,,,0.0,0,0.0
