Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
M. Jensen,Magnus Riisgaard  Jensen,355363,Sønderjyske,Sønderjyske,https://cdn5.wyscout.com/photos/team/public/796_120x120.png,Superliga,"RCB, CB, LCB",RCB,59,CB,21,LCB,15,29.0,1996-10-27,450000,2029-06-30,25,2461,3,3.61,0,0.64,12.18,64.86,Denmark,['Denmark'],right,196,85,False,9.91,4.46,74.59,4.9,62.69,0.4,0.45,1.02,6.18,6.96,0.48,3,0.11,0,0.0,0.33,0.11,1,0.04,0.13,1,0.04,14,0.51,50.0,21.429,0.0,0.26,14.29,0.04,100.0,0.22,0.0,0.04,0.11,33.33,0.51,42.86,1.13,0.29,0.0,31.34,0.59,0.15,48.31,87.21,18.94,76.83,2.74,89.33,42.57,91.84,5.49,54.67,20.52,37.13,0.02,0.11,0.04,0.0,0.0,0.0,0.0,5.41,68.92,0.62,29.41,0.18,60.0,0.29,0.0,7.42,65.52,95.67,21.98,0,,0,,0,0.0,0.0,0.0,,,1.97,,4.9,0.07,0.0,0.0,0.0,2,100.0
I. Vekič,Igor Vekič,374727,Vejle,Vejle,https://cdn5.wyscout.com/photos/team/public/g623_120x120.png,Superliga,GK,GK,100,,0,,0,27.0,1998-05-06,250000,2027-06-30,24,2358,0,0.0,0,0.0,0.65,82.35,Slovenia,['Slovenia'],right,192,88,False,1.9100000000000001,0.08,50.0,0.42,90.91,0.0,0.0,0.0,1.87,2.14,0.04,1,0.04,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,50.0,0.0,0.0,0.0,12.98,0.31,0.08,21.98,86.46,12.4,76.92,0.04,100.0,13.59,98.88,8.4,66.36,30.07,42.81,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.84,63.64,0.0,0.0,0.0,0.0,0.0,0.0,6.68,70.86,99.13,8.78,47,1.79,127,4.85,2,62.99,41.42,1.58,-5.58,-0.213,0.0,2.1,0.42,,,,0.0,0,0.0
L. Lund,Lucas Lund Pedersen,511606,Viborg,Viborg,https://cdn5.wyscout.com/photos/team/public/2504_120x120.png,Superliga,GK,GK,100,,0,,0,26.0,2000-03-19,1500000,2027-06-30,24,2355,0,0.0,0,0.0,1.07,89.29,Denmark,['Denmark'],right,195,85,False,1.11,0.0,0.0,0.8,95.24,0.0,0.0,0.0,1.11,1.33,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,50.0,0.0,0.0,0.0,15.32,0.19,0.11,24.19,89.73,13.38,84.0,0.08,100.0,17.73,97.41,6.42,69.05,26.87,46.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6800000000000002,59.09,0.11,0.0,0.11,66.67,0.0,0.0,5.58,74.66,96.72,9.32,36,1.38,101,3.86,7,64.36,34.21,1.31,-1.79,-0.068,0.08,1.53,0.8,,,,0.0,0,0.0
F. Rieper,Frederik  Thykær Rieper,-85361,Fredericia,Fredericia,https://cdn5.wyscout.com/photos/team/public/2469_120x120.png,Superliga,LCB,LCB,92,,0,,0,26.0,1999-06-19,0,,24,2346,0,0.73,0,0.43,10.63,58.84,Denmark,['Denmark'],right,196,0,False,10.13,4.41,66.96,3.76,54.08,0.15,0.16,1.5,7.02,7.24,0.65,0,0.0,0,0.0,0.15,0.0,0,0.0,0.03,0,0.0,9,0.35000000000000003,44.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,30.0,1.0,0.42,0.0,38.21,0.23,0.08,53.52,87.17,25.47,79.07,2.15,92.86,45.42,93.33,8.09,52.61,22.54,40.85,0.02,0.23,0.0,0.0,0.0,0.0,0.0,7.79,71.92,0.58,26.67,0.65,17.65,0.38,0.0,11.55,71.1,96.27,21.6,0,,0,,0,0.0,0.0,0.0,,,1.53,,3.76,0.04,0.04,100.0,0.0,0,0.0
J. Gammelby,Jens Martin Gammelby,290884,Silkeborg,Silkeborg,https://cdn5.wyscout.com/photos/team/public/1948_120x120.png,Superliga,RB,RB,83,,0,,0,31.0,1995-02-05,450000,2026-12-31,24,2328,3,2.56,0,1.19,9.24,52.3,Denmark,['Denmark'],both,192,81,False,5.03,3.79,64.29,2.01,46.15,0.04,0.04,0.08,2.55,2.7,0.19,1,0.04,0,0.0,1.5899999999999999,0.12,2,0.08,0.1,0,0.0,27,1.04,40.74,11.111,0.0,1.8900000000000001,36.73,0.08,50.0,1.82,36.17,0.15,0.85,54.55,2.4,38.71,1.8599999999999999,1.16,0.12,36.61,2.8200000000000003,0.39,42.99,83.99,9.82,64.57,11.56,97.66,37.58,90.02,3.52,45.05,17.21,33.71,0.05,0.39,0.04,0.0,0.0,0.0,0.12,2.9,69.33,2.01,46.15,0.12,0.0,0.73,0.58,6.69,59.54,84.38,13.61,0,,0,,0,0.0,0.0,0.0,,,0.5,,2.01,0.0,0.0,0.0,0.0,1,100.0
W. Dammers,Wessel Dammers,322326,Randers,Randers,https://cdn5.wyscout.com/photos/team/public/288_120x120.png,Superliga,"LCB, LCB3",LCB,85,LCB3,11,,0,31.0,1995-03-01,650000,2030-06-30,24,2316,1,1.3,1,0.19,11.54,64.65,Netherlands,['Netherlands'],right,185,81,False,9.17,4.16,73.83,4.31,61.26,0.23,0.27,0.8200000000000001,5.87,6.8100000000000005,0.51,1,0.04,0,0.0,0.19,0.04,1,0.04,0.05,0,0.0,9,0.35000000000000003,33.33,11.111,0.04,0.08,0.0,0.08,0.0,0.0,0.0,0.0,0.19,40.0,1.3599999999999999,48.57,0.54,0.7000000000000001,0.04,49.55,0.19,0.58,65.91,91.04,24.64,82.18,3.65,93.62,56.77,94.52,9.05,69.96,22.13,40.55,0.01,0.04,0.0,0.0,0.0,0.0,0.04,8.47,77.98,0.62,18.75,0.47000000000000003,25.0,0.16,0.0,11.39,74.4,97.54,33.15,0,,0,,0,0.0,0.0,0.0,,,2.5300000000000002,,4.31,0.0,0.0,0.0,0.0,0,0.0
J. Hansen,Jesper Hansen,11766,AGF,AGF,https://cdn5.wyscout.com/photos/team/public/292_120x120.png,Superliga,GK,GK,100,,0,,0,40.0,1985-03-31,100000,2027-06-30,23,2286,0,0.0,0,0.0,0.59,93.33,Denmark,['Denmark'],right,188,78,False,1.34,0.04,100.0,0.43,90.91,0.0,0.0,0.0,1.3,1.8399999999999999,0.0,1,0.04,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,100.0,0.0,0.0,0.0,14.96,0.31,0.08,23.15,88.1,10.63,76.3,0.0,0.0,17.4,96.61,5.75,62.33,27.59,43.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,32.0,0.08,0.0,0.08,50.0,0.0,0.0,4.72,64.17,97.92,11.34,23,0.91,95,3.74,7,75.79,26.92,1.06,3.92,0.154,0.0,1.26,0.43,,,,0.0,0,0.0
F. Beijmo,Felix Beijmo,379259,AGF,AGF,https://cdn5.wyscout.com/photos/team/public/292_120x120.png,Superliga,"RCB3, RWB",RCB3,63,RWB,24,,0,28.0,1998-01-31,1500000,2026-06-30,24,2264,2,2.92,3,3.3,10.38,54.79,Sweden,['Sweden'],right,185,82,False,7.16,5.41,64.71,1.75,40.91,0.16,0.23,0.48,3.5,5.01,0.6000000000000001,3,0.12,0,0.0,1.83,0.08,1,0.04,0.12,0,0.0,22,0.87,22.73,9.091,0.12,3.5,39.77,0.72,50.0,2.7800000000000002,37.14,0.36,0.44,45.45,1.71,44.19,1.07,1.27,0.08,44.6,1.3900000000000001,0.56,57.4,84.76,21.27,78.13,5.72,96.53,49.13,91.34,4.93,50.0,19.47,39.12,0.13,1.51,0.0,0.08,0.12,33.33,0.48,7.63,75.0,3.38,52.94,0.56,35.71,0.8,1.3900000000000001,11.01,76.9,88.56,22.58,0,,0,,0,0.0,0.0,0.0,,,1.27,,1.75,0.32,0.04,100.0,2.62,1,100.0
J. Björkengren,John Björkengren,475248,Randers,Randers,https://cdn5.wyscout.com/photos/team/public/288_120x120.png,Superliga,"LDMF, LCMF",LDMF,42,LCMF,41,,0,27.0,1998-12-09,750000,2027-06-30,23,2259,1,0.6900000000000001,0,0.4,15.26,60.57,Sweden,['Sweden'],left,180,78,False,8.96,6.49,69.94,2.87,65.28,0.16,0.19,0.64,4.26,4.96,0.92,5,0.2,0,0.0,0.56,0.04,1,0.04,0.03,0,0.0,12,0.48,16.67,8.333,0.0,0.4,50.0,0.36,55.56,0.04,0.0,0.0,0.2,100.0,3.03,47.37,0.4,0.84,0.08,31.83,0.2,1.12,45.5,87.39,13.31,71.86,9.68,98.77,41.59,91.28,3.51,45.45,17.12,33.07,0.02,0.2,0.08,0.0,0.08,100.0,0.08,5.9,72.3,0.92,69.57,0.16,50.0,0.36,0.2,6.53,67.68,92.99,15.34,0,,0,,0,0.0,0.0,0.0,,,1.16,,2.87,0.0,0.0,0.0,0.0,0,0.0
M. Soulas,Maxime Soulas,463312,Sønderjyske,Sønderjyske,https://cdn5.wyscout.com/photos/team/public/796_120x120.png,Superliga,"LCB, RCB3, RCB",LCB,56,RCB3,23,RCB,17,26.0,1999-05-19,650000,2028-06-30,24,2254,3,3.15,0,0.03,12.62,62.34,France,['France'],right,185,76,False,9.9,5.79,71.03,4.63,60.34,0.08,0.09,0.8,5.71,6.3,0.6000000000000001,4,0.16,0,0.0,0.44,0.12,3,0.12,0.13,0,0.0,21,0.84,38.1,14.286,0.0,0.08,0.0,0.04,0.0,0.04,0.0,0.0,0.16,75.0,0.68,41.18,1.04,0.76,0.0,30.43,0.48,0.08,45.96,87.49,18.37,78.48,3.27,95.12,40.49,91.03,5.39,62.22,19.97,36.87,0.0,0.12,0.0,0.08,0.04,0.0,0.04,5.43,79.41,0.4,10.0,0.16,50.0,0.08,0.0,8.11,66.5,94.91,19.61,0,,0,,0,0.0,0.0,0.0,,,2.04,,4.63,0.04,0.0,0.0,0.0,0,0.0
