Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
M. Smets,Matte Smets,-310020,Genk,Genk,https://cdn5.wyscout.com/photos/team/public/522_120x120.png,Pro League,"LCB, CB",LCB,73,CB,11,,0,22,2004-01-04,0,2028-06-30,39,3856,0,1.06,1,0.59,12.3,66.6,Belgium,['Belgium'],right,185,79,False,9.2,5.39,77.49,3.73,58.75,0.21,0.31,0.61,4.8100000000000005,7.13,0.44,4,0.09,0,0.0,0.28,0.0,0,0.0,0.02,0,0.0,12,0.28,0.0,0.0,0.02,0.33,42.86,0.16,42.86,0.16,42.86,0.05,0.19,75.0,0.77,57.58,0.58,1.38,0.12,51.54,0.37,0.4,66.94,90.93,20.33,77.61,3.34,95.1,59.66,94.95,6.98,58.86,22.19,40.31,0.01,0.14,0.0,0.05,0.07,0.0,0.07,8.36,74.02,0.91,25.64,0.4,29.41,0.21,0.12,9.99,76.87,97.4,38.56,0,,0,,0,0.0,0.0,0.0,,,2.66,,3.73,0.0,0.0,0.0,0.0,0,0.0
A. Jungdal,Andreas Kristoffer Jungdal,-58845,Westerlo,Westerlo,https://cdn5.wyscout.com/photos/team/public/525_120x120.png,Pro League,GK,GK,100,,0,,0,24,2002-02-22,1500000,2028-06-30,39,3854,0,0.0,0,0.27,0.7000000000000001,90.0,Singapore,"['Singapore', 'Denmark']",right,195,84,False,1.94,0.07,66.67,0.42,100.0,0.02,0.03,0.0,1.87,2.49,0.0,3,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,75.0,0.0,0.0,0.0,14.15,0.19,0.19,23.33,83.58,14.17,74.63,0.02,100.0,14.55,97.43,8.73,60.96,32.62,51.56,0.01,0.02,0.0,0.0,0.0,0.0,0.02,3.2,45.99,0.30000000000000004,23.08,0.44,47.37,0.07,0.0,6.5600000000000005,74.38,98.05,8.38,55,1.28,169,3.95,14,67.46,52.2,1.22,-2.8,-0.065,0.02,1.26,0.42,,,,0.0,0,0.0
D. Roef,Davy Roef,194904,Gent,Gent,https://cdn5.wyscout.com/photos/team/public/517_120x120.png,Pro League,GK,GK,100,,0,,0,32,1994-02-06,1500000,2029-06-30,39,3853,0,0.0,0,0.0,0.86,89.19,Belgium,['Belgium'],right,187,87,False,1.47,0.07,66.67,0.51,95.45,0.02,0.03,0.0,1.4,1.78,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,71.43,0.0,0.0,0.0,16.75,0.26,0.21,25.18,86.09,13.99,76.96,0.02,100.0,15.93,98.09,9.23,65.57,31.16,45.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.45,54.84,0.05,0.0,0.14,0.0,0.0,0.0,7.83,71.34,98.41,10.25,52,1.21,197,4.6,10,73.6,56.39,1.32,4.39,0.10300000000000001,0.02,1.73,0.51,,,,0.0,0,0.0
C. Coosemans,Colin Coosemans,134021,Anderlecht,Anderlecht,https://cdn5.wyscout.com/photos/team/public/481_120x120.png,Pro League,GK,GK,100,,0,,0,33,1992-08-03,300000,2028-06-30,38,3788,0,0.0,0,0.56,0.71,93.33,Belgium,['Belgium'],right,186,84,False,0.88,0.05,100.0,0.43,94.44,0.0,0.0,0.0,0.8300000000000001,1.17,0.05,2,0.05,0,0.0,0.02,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.02,100.0,0.0,0.0,0.02,100.0,0.0,0.0,0.0,0.17,85.71,0.0,0.02,0.0,14.11,0.21,0.21,22.57,83.47,12.73,72.76,0.0,0.0,13.66,97.74,8.86,61.66,33.08,50.57,0.01,0.05,0.0,0.0,0.0,0.0,0.02,3.09,48.46,0.4,17.65,0.33,42.86,0.02,0.02,6.7,75.53,97.91,9.08,56,1.33,160,3.8,10,65.0,52.3,1.24,-3.7,-0.088,0.0,1.6600000000000001,0.43,,,,0.0,0,0.0
E. Pletinckx,Ewoud Pletinckx,477613,OH Leuven,OH Leuven,https://cdn5.wyscout.com/photos/team/public/1069_120x120.png,Pro League,"RCB3, RCB",RCB3,78,RCB,11,,0,25,2000-10-10,2000000,2029-06-30,39,3782,3,4.01,0,0.12,12.59,52.55,Belgium,['Belgium'],right,190,85,False,8.61,5.5,62.77,4.95,47.12,0.02,0.03,0.8300000000000001,5.14,6.65,0.6900000000000001,4,0.1,0,0.0,0.59,0.07,3,0.07,0.1,3,0.07,31,0.74,38.71,9.677,0.0,0.38,43.75,0.02,0.0,0.36,46.67,0.07,0.24,50.0,0.86,33.33,1.07,0.38,0.05,23.06,0.64,0.12,34.6,82.53,15.35,73.33,3.09,92.31,28.75,88.16,5.47,55.65,21.25,40.0,0.0,0.07,0.02,0.02,0.02,100.0,0.05,4.33,59.89,0.79,48.48,0.43,38.89,0.31,0.17,6.71,66.67,90.71,13.06,0,,0,,0,0.0,0.0,0.0,,,2.12,,4.95,0.05,0.0,0.0,0.0,0,0.0
L. Kokubo,Léo Brian Kokubo,-40325,Sint-Truiden,Sint-Truiden,https://cdn5.wyscout.com/photos/team/public/521_120x120.png,Pro League,GK,GK,100,,0,,0,25,2001-01-23,750000,,38,3769,0,0.0,0,0.21,0.74,80.65,Japan,"['Japan', 'Nigeria']",right,193,85,False,1.22,0.1,75.0,0.41000000000000003,76.47,0.05,0.07,0.0,1.1,1.56,0.02,4,0.1,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,100.0,0.0,0.0,0.0,15.9,0.41000000000000003,0.24,23.28,84.41,13.18,75.0,0.0,0.0,15.74,98.03,7.52,56.19,30.95,47.85,0.01,0.05,0.0,0.0,0.0,0.0,0.0,1.72,27.78,0.12,0.0,0.1,25.0,0.0,0.0,5.49,67.39,97.44,9.34,43,1.03,162,3.87,9,73.46,50.87,1.21,7.87,0.188,0.0,1.27,0.41000000000000003,,,,0.0,0,0.0
B. Reynolds,Bryan Reynolds,475976,Westerlo,Westerlo,https://cdn5.wyscout.com/photos/team/public/525_120x120.png,Pro League,"RB, LB",RB,85,LB,11,,0,24,2001-06-28,3000000,2027-06-30,38,3735,2,1.92,3,3.86,13.01,51.48,United States,['United States'],right,185,75,False,7.3,5.9,60.41,1.49,61.29,0.1,0.13,0.19,3.64,4.89,0.8200000000000001,8,0.19,0,0.0,1.83,0.05,2,0.05,0.05,0,0.0,22,0.53,36.36,9.091,0.07,1.83,40.79,0.27,36.36,1.57,41.54,0.12,1.8599999999999999,48.05,4.6,40.31,1.2,2.07,0.46,25.98,2.14,0.55,35.88,78.71,15.33,70.91,5.33,92.76,31.23,83.49,2.96,48.78,17.51,35.66,0.09,0.72,0.0,0.02,0.07,0.0,0.36,5.33,67.42,3.16,49.62,0.63,30.77,1.06,0.72,7.23,75.33,78.49,8.63,0,,0,,0,0.0,0.0,0.0,,,0.58,,1.49,0.0,0.0,0.0,0.0,0,0.0
B. Heynen,Bryan Heynen,410320,Genk,Genk,https://cdn5.wyscout.com/photos/team/public/522_120x120.png,Pro League,"LDMF, RCMF, RDMF",LDMF,50,RCMF,17,RDMF,13,29,1997-02-06,10000000,2029-06-30,38,3696,5,4.87,1,3.01,16.1,53.25,Belgium,['Belgium'],right,183,74,False,9.23,5.7,67.09,3.26,50.75,0.15,0.22,0.49,5.26,7.78,1.05,5,0.12,0,0.0,1.22,0.12,5,0.12,0.12,2,0.05,39,0.9500000000000001,28.21,12.821,0.02,0.73,33.33,0.44,38.89,0.27,27.27,0.15,0.88,72.22,5.02,40.29,1.58,1.07,0.1,42.25,0.63,0.9,57.22,87.19,22.18,78.7,7.79,95.94,51.67,91.23,4.87,52.0,18.47,37.51,0.07,0.75,0.07,0.1,0.15,50.0,0.34,10.98,80.93,2.14,54.55,0.8,39.39,0.93,0.22,10.93,79.29,93.84,19.38,0,,0,,0,0.0,0.0,0.0,,,0.71,,3.26,0.02,0.0,0.0,0.0,0,0.0
B. Mechele,Brandon Mechele,295563,Club Brugge,Club Brugge,https://cdn5.wyscout.com/photos/team/public/510_120x120.png,Pro League,LCB,LCB,92,,0,,0,33,1993-01-28,3000000,2028-06-30,38,3692,5,4.49,2,0.52,14.67,61.79,Belgium,['Belgium'],right,190,79,False,8.39,5.95,70.08,5.05,58.94,0.29,0.46,0.78,3.92,6.16,0.9,4,0.1,0,0.0,0.32,0.12,5,0.12,0.11,4,0.1,28,0.68,42.86,17.857,0.05,0.15,0.0,0.12,0.0,0.02,0.0,0.02,0.05,50.0,0.8,42.42,1.07,1.76,0.1,47.8,0.27,0.49,63.09,93.01,24.04,86.51,3.36,97.1,58.63,95.63,4.31,60.45,19.78,37.1,0.01,0.27,0.05,0.0,0.0,0.0,0.12,7.19,82.71,0.44,16.67,0.22,22.22,0.24,0.0,8.56,78.92,98.33,29.25,0,,0,,0,0.0,0.0,0.0,,,2.34,,5.05,0.0,0.0,0.0,0.0,0,0.0
C. Keita,Cheick Keita,-394510,Charleroi,Charleroi,https://cdn5.wyscout.com/photos/team/public/513_120x120.png,Pro League,LCB,LCB,95,,0,,0,23,2003-04-02,0,2027-06-30,39,3663,3,2.76,0,0.0,11.65,55.06,France,"['France', 'Mali']",right,185,80,False,6.51,4.79,69.23,3.59,46.58,0.07,0.1,0.6900000000000001,3.12,4.11,0.81,4,0.1,0,0.0,0.25,0.07,3,0.07,0.07,2,0.05,19,0.47000000000000003,21.05,15.789,0.0,0.12,0.0,0.1,0.0,0.02,0.0,0.0,0.29,50.0,1.7000000000000002,31.88,0.71,0.74,0.1,24.64,0.32,0.44,33.24,90.69,11.94,81.89,2.04,92.77,30.52,94.28,2.6,52.83,19.44,34.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.36,75.0,0.27,18.18,0.07,33.33,0.12,0.0,4.13,63.1,96.38,15.63,0,,0,,0,0.0,0.0,0.0,,,1.38,,3.59,0.0,0.0,0.0,0.0,0,0.0
