Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
E. Pye,Ethan Pye,-256855,Stockport County,Stockport County,https://cdn5.wyscout.com/photos/team/public/1160_120x120.png,League One,"LCB3, LCB",LCB3,59,LCB,38,,0,23.0,2003-01-27,450000,2027-06-30,47,4691,0,2.34,1,1.43,19.65,61.91,England,['England'],left,183,75,False,10.34,6.29,73.78,7.08,63.69,0.19,0.29,0.52,5.51,8.4,0.84,11,0.21,0,0.0,0.46,0.0,0,0.0,0.04,0,0.0,16,0.31,18.75,0.0,0.02,0.6900000000000001,47.22,0.67,48.57,0.0,0.0,0.12,0.15,50.0,2.11,33.64,0.61,1.11,0.04,34.05,0.58,0.6900000000000001,51.48,84.76,23.35,74.77,3.63,95.77,44.09,90.21,6.73,52.71,19.99,37.59,0.03,0.29,0.04,0.0,0.0,0.0,0.21,6.7,65.33,1.04,40.74,0.17,11.11,0.19,0.31,9.46,70.99,93.26,18.23,0,,0,,0,0.0,0.0,0.0,,,1.9,,7.08,0.0,0.0,0.0,0.0,0,0.0
S. Walker,Sam Walker,183077,Bradford City,Bradford City,https://cdn5.wyscout.com/photos/team/public/1172_120x120.png,League One,GK,GK,100,,0,,0,34.0,1991-10-02,125000,2027-06-30,47,4688,0,0.0,0,0.0,0.38,85.0,England,['England'],right,196,78,False,0.9,0.02,100.0,0.25,92.31,0.0,0.0,0.0,0.88,1.3900000000000001,0.0,1,0.02,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,66.67,0.0,0.0,0.0,8.41,0.31,0.1,15.47,74.07,11.67,67.43,0.04,0.0,5.8,95.7,9.56,61.65,44.53,55.15,0.0,0.0,0.02,0.0,0.0,0.0,0.0,3.34,48.28,0.19,10.0,0.21,45.45,0.0,0.0,7.18,79.41,96.65,3.44,52,1.0,159,3.05,14,67.3,46.93,0.9,-5.07,-0.097,0.0,1.48,0.25,,,,0.0,0,0.0
G. Wickens,George Wickens,501934,Lincoln City,Lincoln City,https://cdn5.wyscout.com/photos/team/public/1205_120x120.png,League One,GK,GK,100,,0,,0,24.0,2001-11-08,150000,2028-06-30,46,4593,0,0.0,3,1.88,0.65,63.64,England,['England'],right,198,81,False,0.98,0.08,25.0,0.35000000000000003,72.22,0.0,0.0,0.02,0.96,1.23,0.02,5,0.1,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,83.33,0.0,0.0,0.0,18.83,0.29,0.22,26.06,74.89,18.85,67.36,0.02,0.0,8.41,96.27,17.56,64.96,46.17,55.07,0.04,0.08,0.0,0.02,0.0,0.0,0.08,10.86,61.91,1.04,26.42,0.43,31.82,0.29,0.0,12.52,86.54,95.71,6.86,41,0.8,143,2.8,19,71.33,39.81,0.78,-1.19,-0.023,0.0,1.47,0.35000000000000003,,,,0.0,0,0.0
I. Niskanen,Ilmari Niskanen,295512,Exeter City,Exeter City,https://cdn5.wyscout.com/photos/team/public/1179_120x120.png,League One,"RWB, RAMF, RW",RWB,52,RAMF,14,RW,12,28.0,1997-10-27,325000,2026-06-30,46,4590,3,3.36,13,9.69,15.1,47.66,Finland,['Finland'],right,177,78,False,8.29,6.45,55.62,3.31,38.46,0.53,0.74,0.18,4.18,5.82,0.92,5,0.1,0,0.0,2.76,0.06,3,0.06,0.07,0,0.0,27,0.53,25.93,11.111,0.25,3.94,39.8,0.51,53.85,3.41,37.93,0.39,1.6099999999999999,65.85,3.47,50.85,1.8,1.2,0.22,17.86,2.1,0.41000000000000003,26.67,71.54,6.57,58.21,6.65,91.74,21.18,78.7,1.67,56.47,17.45,27.24,0.19,1.2,0.06,0.0,0.02,0.0,0.92,1.9,60.82,3.49,47.75,0.08,25.0,0.75,1.55,4.98,70.08,67.77,7.73,0,,0,,0,0.0,0.0,0.0,,,0.71,,3.31,0.0,0.0,0.0,0.02,0,0.0
F. Marschall,Filip Marschall,-93551,Stevenage,Stevenage,https://cdn5.wyscout.com/photos/team/public/1590_120x120.png,League One,GK,GK,100,,0,,0,23.0,2003-04-24,800000,,46,4588,0,0.0,0,0.31,0.88,86.67,England,"['England', 'Poland']",right,195,87,False,1.53,0.1,60.0,0.51,96.15,0.02,0.03,0.02,1.45,2.04,0.04,2,0.04,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,83.33,0.0,0.0,0.0,10.97,0.08,0.31,20.13,68.42,15.89,61.48,0.06,33.33,5.98,96.72,14.08,56.69,44.33,52.62,0.01,0.04,0.0,0.0,0.0,0.0,0.02,6.59,51.19,0.63,9.38,0.22,18.18,0.04,0.0,9.44,81.7,96.06,3.98,44,0.86,134,2.63,19,67.16,44.05,0.86,0.05,0.001,0.0,1.8599999999999999,0.51,,,,0.0,0,0.0
O. Bailey,Owen Bailey,453352,Doncaster Rovers,Doncaster Rovers,https://cdn5.wyscout.com/photos/team/public/790_120x120.png,League One,"RCMF, RDMF, RCMF3",RCMF,39,RDMF,19,RCMF3,11,27.0,1999-01-22,300000,2027-06-30,46,4565,13,11.79,3,2.09,19.24,51.74,England,['England'],right,180,77,False,6.29,4.2,60.09,8.75,50.9,0.28,0.41000000000000003,0.30000000000000004,3.49,5.19,1.24,7,0.14,0,0.0,1.08,0.26,13,0.26,0.23,6,0.12,53,1.04,41.51,24.528,0.06,0.43,45.45,0.08,25.0,0.34,52.94,0.04,0.5700000000000001,68.97,2.8200000000000003,47.55,2.09,0.43,0.04,16.54,0.71,1.16,28.23,77.86,10.04,61.49,4.95,94.42,24.35,82.83,3.5300000000000002,46.93,18.46,38.98,0.04,0.41000000000000003,0.0,0.0,0.08,75.0,0.28,4.71,59.41,1.08,43.64,0.30000000000000004,40.0,0.51,0.16,4.93,69.6,87.39,8.75,0,,0,,0,0.0,0.0,0.0,,,0.49,,8.75,0.0,0.0,0.0,0.0,0,0.0
L. Wing,Lewis Wing,496040,Reading,Reading,https://cdn5.wyscout.com/photos/team/public/34_120x120.png,League One,"RDMF, RCMF, DMF",RDMF,42,RCMF,28,DMF,24,30.0,1995-06-23,650000,2028-06-30,46,4532,11,5.85,8,7.11,12.23,53.08,England,['England'],right,184,78,False,8.2,4.8100000000000005,62.4,2.2,58.56,0.28,0.39,0.62,4.92,6.96,0.81,5,0.1,0,0.0,1.43,0.22,6,0.12,0.12,0,0.0,82,1.63,30.49,13.415,0.16,1.23,51.61,0.26,53.85,0.93,48.94,0.1,0.42,57.14,3.63,41.53,0.34,0.85,0.04,33.78,0.26,0.8300000000000001,50.54,80.55,19.26,65.26,7.47,94.41,40.93,88.4,8.48,46.6,20.96,40.18,0.14,1.11,0.08,0.04,0.2,30.0,0.4,10.33,62.12,3.26,45.73,0.89,40.0,0.97,0.66,9.79,77.48,89.49,16.24,0,,0,,0,0.0,0.0,0.0,,,1.25,,2.2,0.97,0.18,55.56,1.85,5,100.0
K. Wootton,Kyle Wootton,358333,Stockport County,Stockport County,https://cdn5.wyscout.com/photos/team/public/1160_120x120.png,League One,"CF, RCB",CF,82,RCB,13,,0,29.0,1996-10-11,300000,2027-06-30,47,4515,18,14.07,0,1.22,25.2,44.62,England,['England'],right,188,78,False,4.03,2.55,60.94,11.04,57.58,0.2,0.31,0.16,2.27,3.49,1.69,3,0.06,0,0.0,1.04,0.36,18,0.36,0.28,10,0.2,73,1.46,50.68,24.658,0.0,0.18,33.33,0.1,40.0,0.06,33.33,0.06,0.4,55.0,4.54,25.88,2.47,0.26,0.0,12.36,1.9500000000000002,0.72,18.4,77.57,5.24,63.88,3.99,87.5,17.18,80.05,1.04,44.23,13.87,14.36,0.02,0.28,0.0,0.02,0.06,33.33,0.1,1.5,58.67,0.56,42.86,0.06,0.0,0.36,0.04,2.03,56.86,82.63,5.16,0,,0,,0,0.0,0.0,0.0,,,0.42,,11.04,0.0,0.0,0.0,0.0,0,0.0
S. Seddon,Steve Seddon,-72487,AFC Wimbledon,AFC Wimbledon,https://cdn5.wyscout.com/photos/team/public/2750_120x120.png,League One,"LWB, LCB3, LB",LWB,49,LCB3,22,LB,15,28.0,1997-12-25,250000,2026-06-30,46,4472,1,2.37,8,8.52,15.6,50.32,England,['England'],left,179,68,False,7.77,6.1,58.09,5.29,46.39,0.18,0.24,0.36,4.05,5.39,0.8300000000000001,7,0.14,0,0.0,2.39,0.02,1,0.02,0.05,0,0.0,23,0.46,30.43,4.348,0.16,3.88,43.01,3.38,41.67,0.48,50.0,0.66,0.81,70.0,2.07,53.4,0.89,0.56,0.16,24.49,1.27,0.5,36.45,70.62,16.12,62.3,5.53,94.55,25.94,81.3,6.72,45.21,20.2,35.13,0.17,1.29,0.06,0.0,0.02,100.0,0.5,6.48,55.28,4.25,49.76,0.36,33.33,0.64,1.65,9.98,74.4,69.83,9.74,0,,0,,0,0.0,0.0,0.0,,,0.4,,5.29,1.33,0.06,100.0,2.37,0,0.0
M. Boateng,Malachi Boateng,-197237,Plymouth Argyle,Plymouth Argyle,https://cdn5.wyscout.com/photos/team/public/314_120x120.png,League One,"RCMF, LCMF, RDMF",RCMF,46,LCMF,21,RDMF,10,23.0,2002-07-05,0,2028-06-30,45,4457,4,5.65,6,2.68,18.09,51.79,England,"['England', 'Ghana']",right,182,76,False,7.41,4.89,67.36,6.16,52.46,0.32,0.49,0.24,3.8,5.76,0.63,7,0.14,0,0.0,0.99,0.08,4,0.08,0.11,0,0.0,39,0.79,28.21,10.256,0.12,0.91,31.11,0.22,18.18,0.63,32.26,0.08,0.81,57.5,4.3,41.78,1.35,0.5700000000000001,0.08,17.33,0.30000000000000004,1.21,29.4,76.24,12.18,65.17,4.06,91.54,25.14,82.09,3.43,44.12,17.21,36.21,0.05,0.48,0.04,0.02,0.08,25.0,0.30000000000000004,4.75,62.98,1.19,40.68,0.2,50.0,0.42,0.26,5.41,62.31,84.33,7.73,0,,0,,0,0.0,0.0,0.0,,,0.46,,6.16,0.02,0.0,0.0,0.0,0,0.0
