Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
L. Palmisani,Lorenzo Palmisani,-143784,Frosinone,Frosinone,https://cdn5.wyscout.com/photos/team/public/185_120x120.png,Serie B,GK,GK,100,,0,,0,21.0,2004-06-12,200000,2029-06-30,32,3155,0,0.0,0,0.0,0.97,82.35,Italy,['Italy'],right,185,76,False,1.34,0.11,50.0,0.5700000000000001,85.0,0.03,0.04,0.03,1.26,1.9100000000000001,0.06,3,0.09,0,0.0,0.03,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.26,100.0,0.0,0.0,0.0,13.58,0.29,0.26,22.71,80.03,15.69,72.73,0.0,0.0,12.21,97.43,10.44,59.84,34.87,50.32,0.0,0.0,0.03,0.0,0.0,0.0,0.0,4.74,64.46,0.09,33.33,0.26,77.78,0.09,0.0,7.9,76.53,95.91,6.28,32,0.91,150,4.28,11,78.67,41.98,1.2,9.98,0.28500000000000003,0.0,2.03,0.5700000000000001,,,,0.0,0,0.0
M. Cerofolini,Michele Cerofolini,472824,Bari,Bari,https://cdn5.wyscout.com/photos/team/public/192_120x120.png,Serie B,GK,GK,100,,0,,0,27.0,1999-01-04,700000,2028-06-30,32,3146,0,0.0,0,0.05,0.6900000000000001,95.83,Italy,['Italy'],right,188,80,False,0.8300000000000001,0.09,66.67,0.46,100.0,0.03,0.04,0.0,0.74,0.97,0.0,1,0.03,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,100.0,0.0,0.0,0.0,12.93,0.17,0.23,20.05,86.73,10.73,77.6,0.0,0.0,13.42,98.29,6.64,63.36,29.8,47.06,0.0,0.03,0.0,0.0,0.0,0.0,0.0,1.57,54.55,0.11,25.0,0.2,71.43,0.03,0.0,5.12,68.72,97.3,8.47,50,1.43,182,5.21,6,72.53,56.65,1.62,6.65,0.19,0.0,1.4,0.46,,,,0.0,0,0.0
F. Stanković,Filip Stanković,-106558,Venezia,Venezia,https://cdn5.wyscout.com/photos/team/public/201_120x120.png,Serie B,GK,GK,100,,0,,0,24.0,2002-02-25,3000000,2029-06-30,32,3135,0,0.0,0,0.2,0.49,94.12,Italy,"['Italy', 'Serbia']",right,187,79,False,1.26,0.0,0.0,0.23,87.5,0.0,0.0,0.0,1.26,2.43,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,100.0,0.0,0.03,0.0,29.83,0.37,0.32,38.53,90.54,19.75,82.7,0.03,100.0,26.38,99.13,12.14,71.87,27.81,44.7,0.01,0.03,0.0,0.03,0.0,0.0,0.03,3.7,70.54,0.26,33.33,0.75,61.54,0.11,0.0,9.19,80.31,98.84,17.34,27,0.78,124,3.56,13,78.23,33.54,0.96,6.54,0.188,0.03,1.12,0.23,,,,0.0,0,0.0
A. Fulignati,Andrea Fulignati,278433,Empoli,Empoli,https://cdn5.wyscout.com/photos/team/public/77_120x120.png,Serie B,GK,GK,100,,0,,0,31.0,1994-10-31,700000,2026-06-30,32,3129,0,0.11,0,0.24,0.49,70.59,Italy,['Italy'],right,190,88,True,1.5,0.06,0.0,0.26,77.78,0.03,0.04,0.0,1.47,1.96,0.0,3,0.09,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,1,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.03,0.03,0.03,19.53,0.14,0.17,30.35,82.09,16.77,69.64,0.0,0.0,17.11,98.15,13.2,61.22,33.52,47.99,0.01,0.06,0.0,0.0,0.0,0.0,0.03,4.95,51.74,0.2,28.57,0.43,26.67,0.06,0.0,8.77,78.36,97.93,12.48,47,1.35,138,3.9699999999999998,6,65.94,44.83,1.29,-2.17,-0.062,0.0,1.21,0.26,,,,0.0,0,0.0
J. Klinsmann,Jonathan Klinsmann,474553,Cesena,Cesena,https://cdn5.wyscout.com/photos/team/public/g25343_120x120.png,Serie B,GK,GK,100,,0,,0,28.0,1997-04-08,100000,2028-06-30,32,3124,0,0.0,1,0.63,0.49,94.12,Germany,"['Germany', 'United States']",right,194,89,False,0.6000000000000001,0.0,0.0,0.32,90.91,0.0,0.0,0.0,0.6000000000000001,0.72,0.03,2,0.06,0,0.0,0.03,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.14,100.0,0.0,0.0,0.0,13.22,0.14,0.23,17.83,81.26,9.22,65.63,0.0,0.0,11.18,97.42,6.63,54.35,32.01,50.53,0.02,0.03,0.0,0.0,0.0,0.0,0.03,2.42,50.0,0.23,25.0,0.4,28.57,0.06,0.0,4.72,71.95,98.88,7.72,47,1.35,133,3.83,5,64.66,41.15,1.19,-5.85,-0.169,0.0,1.15,0.32,,,,0.0,0,0.0
D. Thiam,Demba Thiam Ngagne,469533,Monza,Monza,https://cdn5.wyscout.com/photos/team/public/203_120x120.png,Serie B,GK,GK,100,,0,,0,28.0,1998-03-05,450000,2028-06-30,32,3110,0,0.0,0,0.0,0.75,96.15,Senegal,['Senegal'],right,202,87,False,1.56,0.03,100.0,0.46,100.0,0.0,0.0,0.0,1.53,2.12,0.03,2,0.06,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,100.0,0.0,0.0,0.0,20.2,0.29,0.17,27.9,85.89,14.82,75.0,0.06,50.0,17.65,97.21,10.19,66.76,31.92,49.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.73,55.81,0.17,33.33,0.38,38.46,0.03,0.0,8.39,80.34,99.04,12.04,26,0.75,108,3.13,13,75.93,26.26,0.76,0.26,0.008,0.0,2.14,0.46,,,,0.0,0,0.0
M. Pigliacelli,Mirko Pigliacelli,203897,Catanzaro,Catanzaro,https://cdn5.wyscout.com/photos/team/public/411_120x120.png,Serie B,GK,GK,100,,0,,0,32.0,1993-06-30,800000,2027-06-30,31,3075,0,0.0,0,0.34,0.64,81.82,Italy,['Italy'],right,184,83,False,1.11,0.03,100.0,0.18,100.0,0.0,0.0,0.0,1.08,1.6,0.0,2,0.06,0,0.0,0.06,0.0,0,0.0,0.0,0,0.0,1,0.03,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.03,0.0,0.0,0.09,66.67,0.38,76.92,0.0,0.03,0.0,17.5,0.23,0.26,27.34,78.27,16.83,67.13,0.03,100.0,13.93,96.85,13.38,59.08,33.64,46.81,0.01,0.06,0.0,0.0,0.0,0.0,0.03,3.86,45.45,0.38,7.69,0.85,24.14,0.09,0.0,9.13,69.55,95.58,9.28,38,1.11,123,3.6,9,69.11,37.24,1.09,-0.76,-0.022,0.03,1.0,0.18,,,,0.0,0,0.0
L. Chichizola,Leandro Chichizola,176600,Modena,Modena,https://cdn5.wyscout.com/photos/team/public/179_120x120.png,Serie B,GK,GK,100,,0,,0,35.0,1990-03-27,400000,2027-06-30,31,3053,0,0.0,0,0.0,0.85,86.21,Argentina,"['Argentina', 'Italy']",right,185,80,False,1.03,0.09,33.33,0.53,94.44,0.0,0.0,0.03,1.0,1.4,0.03,1,0.03,0,0.0,0.03,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.18,83.33,0.0,0.0,0.0,21.73,0.24,0.32,28.95,82.99,19.07,75.12,0.03,100.0,15.21,98.06,13.74,66.31,36.39,50.29,0.0,0.0,0.0,0.03,0.0,0.0,0.0,6.28,67.14,0.53,44.44,0.68,34.78,0.29,0.0,10.76,81.37,98.15,9.55,25,0.74,94,2.77,14,73.4,29.16,0.86,4.16,0.123,0.03,2.06,0.53,,,,0.0,0,0.0
M. Bleve,Marco Bleve,284329,Carrarese,Carrarese,https://cdn5.wyscout.com/photos/team/public/396_120x120.png,Serie B,GK,GK,100,,0,,0,30.0,1995-10-18,600000,2027-06-30,31,3048,0,0.0,0,0.0,0.47000000000000003,100.0,Italy,['Italy'],right,184,84,False,1.18,0.0,0.0,0.32,100.0,0.0,0.0,0.0,1.18,1.6600000000000001,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,100.0,0.0,0.03,0.03,14.38,0.27,0.30000000000000004,22.68,86.2,13.02,77.78,0.0,0.0,12.9,97.71,9.77,71.0,31.51,44.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.27,49.35,0.18,0.0,0.21,14.29,0.03,0.0,6.47,79.45,97.7,9.01,41,1.21,129,3.81,11,68.22,40.09,1.18,-0.91,-0.027,0.0,1.42,0.32,,,,0.0,0,0.0
J. Joronen,Jesse Joronen,162037,Palermo,Palermo,https://cdn5.wyscout.com/photos/team/public/85_120x120.png,Serie B,GK,GK,100,,0,,0,33.0,1993-03-21,1000000,2026-06-30,31,3031,0,0.0,0,0.0,0.53,61.11,Finland,['Finland'],right,197,89,False,1.43,0.09,33.33,0.27,66.67,0.0,0.0,0.0,1.4,1.98,0.03,2,0.06,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,100.0,0.0,0.0,0.0,14.16,0.21,0.12,19.57,87.86,10.87,79.51,0.0,0.0,11.11,99.2,8.4,73.5,33.15,49.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,67.03,0.18,16.67,0.30000000000000004,60.0,0.03,0.0,6.89,86.21,98.87,7.87,26,0.77,119,3.5300000000000002,15,78.15,30.06,0.89,4.06,0.121,0.0,1.37,0.27,,,,0.0,0,0.0
