Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Kessi,Kessi Isac dos Santos,286083,Kowloon City,Kowloon City,https://cdn5.wyscout.com/photos/team/public/g-22103_120x120.png,Premier League,"RCMF, LCMF, CB",RCMF,39,LCMF,19,CB,10,31.0,1994-10-26,250000,,17,1752,2,1.7000000000000002,0,0.46,17.93,57.88,Brazil,['Brazil'],right,179,72,False,9.09,6.16,69.17,4.83,63.83,0.31,0.43,0.31,4.52,6.26,1.49,4,0.21,0,0.0,0.92,0.1,2,0.1,0.09,1,0.05,15,0.77,53.33,13.333,0.0,0.5700000000000001,27.27,0.15,0.0,0.36,42.86,0.0,0.72,50.0,4.01,41.03,0.98,0.62,0.0,22.45,0.62,0.8200000000000001,36.68,84.45,13.2,71.21,4.52,96.59,32.67,88.84,3.44,52.24,18.09,33.32,0.02,0.46,0.0,0.05,0.0,0.0,0.05,5.65,75.45,1.13,59.09,0.36,28.57,0.5700000000000001,0.21,5.29,71.84,91.47,13.25,0,,0,,0,0.0,0.0,0.0,,,0.21,,4.83,0.05,0.05,100.0,0.0,0,0
S. Sasaki,Shu Sasaki,472118,Southern District,Southern District,https://cdn5.wyscout.com/photos/team/public/g14323_120x120.png,Premier League,"LCMF, LDMF, LAMF",LCMF,16,LDMF,14,LAMF,13,35.0,1991-02-12,200000,2026-05-31,17,1697,1,2.65,1,1.52,22.54,49.41,Japan,['Japan'],right,0,0,False,8.22,7.8,63.95,3.61,44.12,0.11,0.16,0.05,3.13,4.66,1.5899999999999999,2,0.11,0,0.0,1.75,0.05,1,0.05,0.14,0,0.0,26,1.38,23.08,3.846,0.05,1.7000000000000002,37.5,1.22,30.43,0.48,55.56,0.21,1.5899999999999999,50.0,6.47,41.8,1.8,0.9,0.05,23.6,2.02,1.9100000000000001,38.24,71.15,15.86,57.53,5.25,91.92,29.22,80.4,7.37,42.45,19.96,36.07,0.08,0.6900000000000001,0.0,0.11,0.11,0.0,0.32,9.23,58.62,3.29,43.55,0.8,33.33,0.9,0.64,9.18,68.21,78.97,11.35,0,,0,,0,0.0,0.0,0.0,,,0.0,,3.61,0.58,0.0,0.0,1.06,0,0
Y. Arboleda,Yilber Arboleda Quiñones,-212340,North District,North District,https://cdn5.wyscout.com/photos/team/public/g-19813_120x120.png,Premier League,"RCMF, LCMF, RCMF3",RCMF,29,LCMF,21,RCMF3,14,27.0,1999-01-13,400000,,17,1664,3,2.85,1,2.18,20.07,52.56,Colombia,['Colombia'],right,175,67,False,9.41,7.84,64.14,2.7,38.0,0.81,1.35,0.16,3.5700000000000003,5.95,1.51,2,0.11,0,0.0,3.03,0.16,3,0.16,0.15,0,0.0,48,2.6,29.17,6.25,0.05,1.03,26.32,0.54,30.0,0.49,22.22,0.43,2.7,70.0,7.52,51.8,1.62,0.65,0.11,26.94,0.7000000000000001,1.57,37.97,83.33,11.9,69.55,5.35,97.98,32.45,89.33,4.49,53.01,19.26,34.53,0.12,1.3,0.05,0.05,0.27,40.0,0.54,6.54,71.07,2.76,49.02,1.03,31.58,1.62,0.32,6.49,81.67,90.0,15.14,0,,0,,0,0.0,0.0,0.0,,,0.11,,2.7,0.32,0.22,25.0,0.59,0,0
Diego Eli,Diego Eli Moreira,113542,Kowloon City,Kowloon City,https://cdn5.wyscout.com/photos/team/public/g-22103_120x120.png,Premier League,"CB, RCB",CB,66,RCB,12,,0,37.0,1988-09-04,50000,,16,1629,1,1.85,0,0.27,12.87,60.94,Hong Kong,"['Hong Kong', 'Brazil']",right,181,76,False,6.69,4.03,61.64,3.37,73.77,0.39,0.54,0.39,3.81,5.35,1.05,5,0.28,0,0.0,0.99,0.06,1,0.06,0.1,0,0.0,21,1.16,23.81,4.7620000000000005,0.0,0.17,0.0,0.17,0.0,0.0,0.0,0.11,0.77,78.57,3.26,52.54,1.22,0.66,0.0,22.32,0.22,0.77,37.79,82.02,16.08,68.38,2.76,100.0,29.39,90.79,8.23,52.35,23.64,40.43,0.01,0.17,0.11,0.06,0.11,100.0,0.11,6.57,58.82,0.9400000000000001,29.41,0.88,31.25,0.28,0.0,8.78,67.3,92.31,15.08,0,,0,,0,0.0,0.0,0.0,,,0.77,,3.37,0.66,0.11,50.0,0.0,0,0
Ng Wai Him,Wai Him Ng,-183451,Southern District,Southern District,https://cdn5.wyscout.com/photos/team/public/g14323_120x120.png,Premier League,GK,GK,100,,0,,0,23.0,2002-06-30,0,,16,1620,0,0.0,0,0.0,0.44,62.5,Hong Kong,['Hong Kong'],right,183,80,False,1.06,0.06,0.0,0.28,60.0,0.0,0.0,0.0,1.06,1.57,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.39,0.11,0.06,9.5,85.96,5.44,76.53,0.0,0.0,5.78,98.08,3.7199999999999998,67.16,33.87,45.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,54.17,0.0,0.0,0.06,0.0,0.0,0.0,2.61,82.98,98.59,3.94,25,1.3900000000000001,79,4.39,3,68.35,26.44,1.47,1.44,0.08,0.0,1.44,0.28,,,,0.0,0,0
Hélio,Hélio José de Souza Gonçalves,65686,Eastern District,Eastern District,https://cdn5.wyscout.com/photos/team/public/g37496_120x120.png,Premier League,LCB,LCB,91,,0,,0,40.0,1986-01-31,50000,,16,1608,1,0.09,0,0.04,8.28,56.08,Brazil,"['Brazil', 'Hong Kong']",right,186,81,False,5.88,2.63,68.09,3.9699999999999998,47.89,0.22,0.29,0.67,3.86,4.93,0.62,4,0.22,0,0.0,0.06,0.06,1,0.06,0.0,1,0.06,2,0.11,50.0,50.0,0.0,0.11,0.0,0.0,0.0,0.06,0.0,0.0,0.06,0.0,0.5,55.56,0.34,0.17,0.0,25.91,0.11,0.45,37.56,87.18,14.55,75.38,0.62,81.82,32.29,93.07,5.15,52.17,21.19,36.21,0.0,0.06,0.0,0.06,0.0,0.0,0.0,2.46,45.45,0.17,0.0,0.11,0.0,0.06,0.0,6.27,56.25,96.94,20.15,0,,0,,0,0.0,0.0,0.0,,,0.5,,3.9699999999999998,0.0,0.0,0.0,0.0,0,0
Luizinho,Luiz Humberto  Dutra dos Santos,-247006,Kowloon City,Kowloon City,https://cdn5.wyscout.com/photos/team/public/g-22103_120x120.png,Premier League,"CF, LW",CF,42,LW,30,,0,30.0,1995-11-01,250000,,16,1606,7,5.59,3,4.24,15.35,44.16,Brazil,['Brazil'],right,177,0,False,3.59,2.19,58.97,1.85,45.45,0.06,0.08,0.06,2.24,3.13,0.45,2,0.11,0,0.0,4.76,0.39,6,0.34,0.31,0,0.0,50,2.8,44.0,14.0,0.17,3.19,33.33,2.41,34.88,0.78,28.57,0.56,3.75,61.19,9.58,43.86,2.9699999999999998,2.8,0.5,23.26,2.69,1.4,32.95,68.03,10.98,61.73,6.28,87.5,26.67,73.95,3.42,54.1,17.94,34.07,0.24,2.41,0.0,0.0,0.28,60.0,0.39,5.32,57.89,3.98,43.66,0.73,23.08,1.18,1.12,6.61,72.03,64.46,9.3,0,,0,,0,0.0,0.0,0.0,,,0.0,,1.85,1.6800000000000002,0.11,50.0,4.2,1,100
Min-gyu Kim,Min-Gyu Kim,-174124,BC Rangers,BC Rangers,https://cdn5.wyscout.com/photos/team/public/g3150_120x120.png,Premier League,"RCB3, LCB3, CB",RCB3,48,LCB3,20,CB,12,26.0,1999-11-25,100000,,16,1597,1,0.9500000000000001,0,0.4,11.78,59.33,Korea Republic,['Korea Republic'],right,188,82,False,9.81,5.18,60.87,4.11,57.53,0.34,0.4,0.68,6.31,7.5,0.85,1,0.06,0,0.0,0.23,0.06,1,0.06,0.05,0,0.0,2,0.11,100.0,50.0,0.0,0.11,50.0,0.06,0.0,0.06,100.0,0.0,0.11,50.0,0.73,46.15,0.39,0.17,0.0,18.77,0.39,0.56,32.57,82.87,15.84,73.31,1.52,92.59,25.47,90.93,6.99,54.03,23.26,39.46,0.02,0.23,0.0,0.0,0.0,0.0,0.11,5.8,63.11,0.9,56.25,0.23,25.0,0.39,0.06,7.95,73.05,92.92,12.74,0,,0,,0,0.0,0.0,0.0,,,0.62,,4.11,0.06,0.0,0.0,0.0,0,0
J. Kang,Jun-hyun Kang,-423217,Kowloon City,Kowloon City,https://cdn5.wyscout.com/photos/team/public/g-22103_120x120.png,Premier League,"LCB3, LCB",LCB3,75,LCB,23,,0,26.0,1999-04-13,0,,16,1596,1,1.47,0,0.06,11.17,62.12,Korea Republic,['Korea Republic'],unknown,0,0,False,7.11,4.45,75.95,3.83,61.76,0.23,0.31,0.56,3.5,4.77,0.85,3,0.17,1,0.06,0.34,0.06,1,0.06,0.08,0,0.0,8,0.45,50.0,12.5,0.0,0.17,33.33,0.11,50.0,0.0,0.0,0.06,0.17,33.33,1.13,30.0,0.9,0.39,0.0,20.02,0.45,0.45,30.39,83.49,14.44,70.7,1.6400000000000001,93.1,24.08,93.21,6.15,46.79,22.17,38.89,0.0,0.11,0.0,0.0,0.0,0.0,0.0,3.7199999999999998,60.61,0.34,33.33,0.39,28.57,0.11,0.06,6.2,66.36,96.08,11.5,0,,0,,0,0.0,0.0,0.0,,,1.13,,3.83,0.0,0.0,0.0,0.0,0,0
Jahangir Khan,Jahangir Khan,-183459,North District,North District,https://cdn5.wyscout.com/photos/team/public/g-19813_120x120.png,Premier League,LB,LB,85,,0,,0,25.0,2000-10-03,50000,,17,1570,1,0.58,1,1.21,13.76,52.5,Pakistan,"['Pakistan', 'Hong Kong']",left,174,0,False,8.03,6.36,65.77,1.6099999999999999,42.86,0.06,0.1,0.11,3.7800000000000002,6.41,0.5700000000000001,1,0.06,0,0.0,1.55,0.06,1,0.06,0.03,0,0.0,13,0.75,38.46,7.692,0.06,2.06,13.89,1.6600000000000001,10.34,0.34,33.33,0.34,1.8900000000000001,51.52,4.36,36.84,1.49,1.78,0.17,30.04,1.6600000000000001,0.5700000000000001,40.64,82.23,15.65,76.92,7.68,90.3,35.66,89.07,3.04,45.28,17.09,31.99,0.07,0.92,0.06,0.0,0.0,0.0,0.29,4.93,76.74,2.12,37.84,0.34,16.67,0.52,0.4,8.25,69.44,80.95,10.83,0,,0,,0,0.0,0.0,0.0,,,0.0,,1.6099999999999999,0.34,0.06,0.0,1.32,0,0
